,Dispatching_base_num,Pickup_date,locationID
0,B00013,2015-02-01 00:00:00,
1,B00013,2015-02-01 00:01:00,
2,B00013,2015-02-01 00:21:00,
3,B00013,2015-02-01 01:00:00,
4,B00013,2015-02-01 02:10:00,
5,B00013,2015-02-01 03:34:00,
6,B00013,2015-02-01 03:37:00,
7,B00013,2015-02-01 03:39:00,
8,B00013,2015-02-01 03:42:00,
9,B00013,2015-02-01 03:44:00,
10,B00013,2015-02-01 03:45:00,
11,B00013,2015-02-01 03:46:00,
12,B00013,2015-02-01 03:47:00,
13,B00013,2015-02-01 03:50:00,
14,B00013,2015-02-01 03:52:00,
15,B00013,2015-02-01 03:55:00,
16,B00013,2015-02-01 03:57:00,
17,B00013,2015-02-01 03:59:00,
18,B00013,2015-02-01 04:06:00,
19,B00013,2015-02-01 04:07:00,
20,B00013,2015-02-01 04:14:00,
21,B00013,2015-02-01 04:17:00,
22,B00013,2015-02-01 04:19:00,
23,B00013,2015-02-01 04:21:00,
24,B00013,2015-02-01 04:23:00,
25,B00013,2015-02-01 04:26:00,
26,B00013,2015-02-01 04:30:00,
27,B00013,2015-02-01 04:38:00,
28,B00013,2015-02-01 04:41:00,
29,B00013,2015-02-01 04:46:00,
30,B00013,2015-02-01 04:48:00,
31,B00013,2015-02-01 05:21:00,
32,B00013,2015-02-01 05:30:00,
33,B00013,2015-02-01 06:40:00,
34,B00013,2015-02-01 07:00:00,
35,B00013,2015-02-01 07:15:00,
36,B00013,2015-02-01 07:25:00,
37,B00013,2015-02-01 07:41:00,
38,B00013,2015-02-01 07:58:00,
39,B00013,2015-02-01 08:09:00,
40,B00013,2015-02-01 08:10:00,
41,B00013,2015-02-01 08:30:00,
42,B00013,2015-02-01 09:00:00,
43,B00013,2015-02-01 09:30:00,
44,B00013,2015-02-01 09:41:00,
45,B00013,2015-02-01 09:50:00,
46,B00013,2015-02-01 09:57:00,
47,B00013,2015-02-01 10:05:00,
48,B00013,2015-02-01 10:10:00,
49,B00013,2015-02-01 10:30:00,
50,B00013,2015-02-01 10:30:00,
51,B00013,2015-02-01 11:00:00,
52,B00013,2015-02-01 11:09:00,
53,B00013,2015-02-01 11:15:00,
54,B00013,2015-02-01 11:58:00,
55,B00013,2015-02-01 12:00:00,
56,B00013,2015-02-01 12:00:00,
57,B00013,2015-02-01 12:02:00,
58,B00013,2015-02-01 12:08:00,
59,B00013,2015-02-01 12:45:00,
60,B00013,2015-02-01 12:45:00,
61,B00013,2015-02-01 12:49:00,
62,B00013,2015-02-01 13:00:00,
63,B00013,2015-02-01 13:55:00,
64,B00013,2015-02-01 14:25:00,
65,B00013,2015-02-01 15:00:00,
66,B00013,2015-02-01 15:15:00,
67,B00013,2015-02-01 15:15:00,
68,B00013,2015-02-01 15:15:00,
69,B00013,2015-02-01 15:20:00,
70,B00013,2015-02-01 15:30:00,
71,B00013,2015-02-01 15:30:00,
72,B00013,2015-02-01 15:30:00,
73,B00013,2015-02-01 15:45:00,
74,B00013,2015-02-01 15:50:00,
75,B00013,2015-02-01 15:59:00,
76,B00013,2015-02-01 16:08:00,
77,B00013,2015-02-01 16:16:00,
78,B00013,2015-02-01 16:22:00,
79,B00013,2015-02-01 16:30:00,
80,B00013,2015-02-01 16:30:00,
