taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second
yellow,VTS,2011-04-28T11:25:00.000+08:00,2011-04-28T11:31:00.000+08:00,"",1,0,0,-73.955433,40.779425,-73.952218,40.770385,2,0.99,4.9,0.0,0.5,0.0,0.0,0.0,0.0,5.4,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,28,11,25,0,2011,4,28,11,31,0
yellow,VTS,2011-04-25T08:24:00.000+08:00,2011-04-25T08:33:00.000+08:00,"",1,0,0,-73.995562,40.744125,-73.979193,40.75227,2,1.44,6.9,0.0,0.5,0.0,0.0,0.0,0.0,7.4,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,25,8,24,0,2011,4,25,8,33,0
yellow,CMT,2011-04-24T19:32:58.000+08:00,2011-04-24T19:39:07.000+08:00,N,1,0,0,-73.97444,40.764025,-73.981612,40.762011,1,0.7,5.3,0.0,0.5,0.0,0.0,0.0,0.0,5.8,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,19,32,58,2011,4,24,19,39,7
yellow,VTS,2011-04-28T20:17:00.000+08:00,2011-04-28T20:32:00.000+08:00,"",1,0,0,-74.00838,40.712037,-74.00403,40.74213,1,2.71,10.1,0.5,0.5,2.0,0.0,0.0,0.0,13.1,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,28,20,17,0,2011,4,28,20,32,0
yellow,VTS,2011-04-28T20:10:00.000+08:00,2011-04-28T20:23:00.000+08:00,"",1,0,0,-73.970283,40.799035,-73.915073,40.878908,1,7.32,17.3,0.5,0.5,4.45,2.2,0.0,0.0,24.95,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,28,20,10,0,2011,4,28,20,23,0
yellow,VTS,2011-04-29T04:05:00.000+08:00,2011-04-29T04:09:00.000+08:00,"",1,0,0,-73.928805,40.746772,-73.928805,40.746772,4,1.18,4.9,0.5,0.5,0.0,0.0,0.0,0.0,5.9,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,29,4,5,0,2011,4,29,4,9,0
yellow,VTS,2011-04-28T22:55:00.000+08:00,2011-04-28T23:08:00.000+08:00,"",1,0,0,-73.987932,40.737627,-73.959608,40.779393,1,3.36,10.5,0.5,0.5,2.5,0.0,0.0,0.0,14.0,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,28,22,55,0,2011,4,28,23,8,0
yellow,CMT,2011-04-24T23:04:01.000+08:00,2011-04-24T23:18:02.000+08:00,N,1,0,0,-73.977046,40.787838,-73.939182,40.790651,1,2.9,10.5,0.5,0.5,0.0,0.0,0.0,0.0,11.5,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,23,4,1,2011,4,24,23,18,2
yellow,VTS,2011-04-29T05:07:00.000+08:00,2011-04-29T05:26:00.000+08:00,"",1,0,0,-73.998537,40.734803,-73.95875,40.807803,1,6.44,17.3,0.5,0.5,0.7,0.0,0.0,0.0,19.0,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,29,5,7,0,2011,4,29,5,26,0
yellow,CMT,2011-04-24T19:29:34.000+08:00,2011-04-24T19:42:05.000+08:00,N,1,0,0,-73.977747,40.7867,-73.947525,40.799443,1,2.6,9.3,0.0,0.5,0.0,0.0,0.0,0.0,9.8,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,19,29,34,2011,4,24,19,42,5
yellow,VTS,2011-04-25T08:23:00.000+08:00,2011-04-25T08:29:00.000+08:00,"",1,0,0,-73.990032,40.732965,-74.0063,40.723315,5,1.63,6.5,0.0,0.5,0.0,0.0,0.0,0.0,7.0,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,25,8,23,0,2011,4,25,8,29,0
yellow,VTS,2011-04-25T07:04:00.000+08:00,2011-04-25T07:12:00.000+08:00,"",1,0,0,-73.982163,40.77811,-74.000053,40.738063,1,3.2,8.9,0.0,0.5,0.0,0.0,0.0,0.0,9.4,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,25,7,4,0,2011,4,25,7,12,0
yellow,VTS,2011-04-28T19:58:00.000+08:00,2011-04-28T20:09:00.000+08:00,"",1,0,0,-73.959162,40.712085,-74.000075,40.72286,1,2.71,9.3,1.0,0.5,0.0,0.0,0.0,0.0,10.8,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,28,19,58,0,2011,4,28,20,9,0
yellow,VTS,2011-04-28T20:09:00.000+08:00,2011-04-28T20:21:00.000+08:00,"",1,0,0,-73.998762,40.722852,-73.992152,40.749117,1,2.39,8.9,0.5,0.5,0.0,0.0,0.0,0.0,9.9,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,28,20,9,0,2011,4,28,20,21,0
yellow,CMT,2011-04-24T19:33:00.000+08:00,2011-04-24T19:39:26.000+08:00,N,1,0,0,-73.961162,40.779286,-73.982572,40.772565,2,1.8,6.5,0.0,0.5,0.0,0.0,0.0,0.0,7.0,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,19,33,0,2011,4,24,19,39,26
yellow,VTS,2011-04-29T02:13:00.000+08:00,2011-04-29T02:21:00.000+08:00,"",1,0,0,-74.003025,40.733287,-73.982627,40.73959,1,1.74,6.9,0.5,0.5,2.0,0.0,0.0,0.0,9.9,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,29,2,13,0,2011,4,29,2,21,0
yellow,VTS,2011-04-29T05:12:00.000+08:00,2011-04-29T05:17:00.000+08:00,"",1,0,0,-73.951015,40.771722,-73.971858,40.782195,3,1.39,5.7,0.5,0.5,0.0,0.0,0.0,0.0,6.7,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,29,5,12,0,2011,4,29,5,17,0
yellow,VTS,2011-04-28T12:52:00.000+08:00,2011-04-28T13:06:00.000+08:00,"",1,0,0,-73.977773,40.74548,-73.970475,40.764323,1,1.61,8.5,0.0,0.5,0.5,0.0,0.0,0.0,9.5,CRD,0,"","",Apr,April,"","","","","","","","",2011,4,28,12,52,0,2011,4,28,13,6,0
yellow,VTS,2011-04-25T09:15:00.000+08:00,2011-04-25T09:23:00.000+08:00,"",1,0,0,-73.985533,40.743833,-73.974232,40.751442,1,1.18,6.1,0.0,0.5,0.0,0.0,0.0,0.0,6.6,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,25,9,15,0,2011,4,25,9,23,0
yellow,CMT,2011-04-24T19:28:02.000+08:00,2011-04-24T19:34:17.000+08:00,N,1,0,0,-73.987675,40.74416,-73.993895,40.756515,0,1.2,5.7,0.0,0.5,0.0,0.0,0.0,0.0,6.2,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,19,28,2,2011,4,24,19,34,17
yellow,VTS,2011-04-28T18:30:00.000+08:00,2011-04-28T18:41:00.000+08:00,"",1,0,0,-73.977275,40.76419,-73.958805,40.783418,3,1.98,8.1,1.0,0.5,0.0,0.0,0.0,0.0,9.6,CSH,0,"","",Apr,April,"","","","","","","","",2011,4,28,18,30,0,2011,4,28,18,41,0
yellow,CMT,2011-04-24T23:02:08.000+08:00,2011-04-24T23:08:54.000+08:00,N,1,0,0,-73.96514,40.761802,-73.980766,40.763325,4,1.1,5.7,0.5,0.5,0.0,0.0,0.0,0.0,6.7,CSH,0,CMT,"Creative Mobile Technologies, LLC",Apr,April,"","","","","","","","",2011,4,24,23,2,8,2011,4,24,23,8,54
