taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second
yellow,1,2016-08-01T00:00:28.000+08:00,2016-08-01T00:05:49.000+08:00,N,1,148,79,,,,,2,0.6,5.5,0.5,0.5,0.0,0.0,0.0,0.3,6.8,2,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Cash,,Manhattan,Lower East Side,Yellow Zone,Manhattan,East Village,Yellow Zone,2016,8,1,0,0,28,2016,8,1,0,5,49
yellow,1,2016-08-01T00:00:51.000+08:00,2016-08-01T00:04:20.000+08:00,N,1,100,230,,,,,1,0.6,4.5,0.5,0.5,0.0,0.0,0.0,0.3,5.8,1,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Credit card,,Manhattan,Garment District,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone,2016,8,1,0,0,51,2016,8,1,0,4,20
yellow,1,2016-08-01T00:00:37.000+08:00,2016-08-01T00:09:49.000+08:00,N,1,100,48,,,,,1,1.8,8.5,0.5,0.5,1.95,0.0,0.0,0.3,11.75,1,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Credit card,,Manhattan,Garment District,Yellow Zone,Manhattan,Clinton East,Yellow Zone,2016,8,1,0,0,37,2016,8,1,0,9,49
yellow,2,2016-08-01T00:00:07.000+08:00,2016-08-01T00:21:55.000+08:00,N,1,65,141,,,,,1,8.03,25.0,0.5,0.5,0.01,0.0,0.0,0.3,26.31,1,0,VFI,VeriFone Inc.,Aug,August,Credit card,,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Manhattan,Lenox Hill West,Yellow Zone,2016,8,1,0,0,7,2016,8,1,0,21,55
yellow,1,2016-08-01T00:01:08.000+08:00,2016-08-01T00:36:44.000+08:00,N,1,132,189,,,,,1,21.2,58.0,0.5,0.5,11.85,0.0,0.0,0.3,71.15,1,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Credit card,,Queens,JFK Airport,Airports,Brooklyn,Prospect Heights,Boro Zone,2016,8,1,0,1,8,2016,8,1,0,36,44
yellow,1,2016-08-01T00:00:27.000+08:00,2016-08-01T00:04:53.000+08:00,N,1,74,74,,,,,2,0.8,5.0,0.5,0.5,0.0,0.0,0.0,0.3,6.3,2,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Cash,,Manhattan,East Harlem North,Boro Zone,Manhattan,East Harlem North,Boro Zone,2016,8,1,0,0,27,2016,8,1,0,4,53
yellow,1,2016-08-01T00:00:17.000+08:00,2016-08-01T00:35:48.000+08:00,N,1,100,61,,,,,1,8.7,30.0,0.5,0.5,0.0,0.0,0.0,0.3,31.3,2,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Cash,,Manhattan,Garment District,Yellow Zone,Brooklyn,Crown Heights North,Boro Zone,2016,8,1,0,0,17,2016,8,1,0,35,48
yellow,1,2016-08-01T00:00:22.000+08:00,2016-08-01T00:04:47.000+08:00,N,1,234,162,,,,,1,1.1,6.0,0.5,0.5,0.0,0.0,0.0,0.3,7.3,2,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Cash,,Manhattan,Union Sq,Yellow Zone,Manhattan,Midtown East,Yellow Zone,2016,8,1,0,0,22,2016,8,1,0,4,47
yellow,1,2016-08-01T00:00:55.000+08:00,2016-08-01T00:05:51.000+08:00,N,1,234,230,,,,,1,1.4,6.5,0.5,0.5,1.95,0.0,0.0,0.3,9.75,1,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Credit card,,Manhattan,Union Sq,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone,2016,8,1,0,0,55,2016,8,1,0,5,51
yellow,1,2016-08-01T00:00:11.000+08:00,2016-08-01T00:05:51.000+08:00,N,1,186,249,,,,,1,1.1,6.0,0.5,0.5,1.0,0.0,0.0,0.3,8.3,1,0,CMT,"Creative Mobile Technologies, LLC",Aug,August,Credit card,,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,West Village,Yellow Zone,2016,8,1,0,0,11,2016,8,1,0,5,51
