taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2014-12-01T00:00:59.000+08:00,2014-12-01T00:12:43.000+08:00,N,1,0,0,-73.9792251586914,40.682952880859375,-73.9502182006836,40.714080810546875,1,3.43,13.5,0.5,0.5,0.0,0.0,"",0.0,14.5,2,1,2014,12,1,0,0,59,2014-12-01,2014,12,1,0,12,43,2014-12-01,VFI,VeriFone Inc.,Dec,December,Cash,Standard rate,"","","","","",""
green,2,2014-12-01T00:01:05.000+08:00,2014-12-01T00:02:30.000+08:00,N,1,0,0,-73.93663787841797,40.82050323486328,-73.9286880493164,40.8189811706543,1,0.43,3.5,0.5,0.5,0.0,0.0,"",0.0,4.5,1,1,2014,12,1,0,1,5,2014-12-01,2014,12,1,0,2,30,2014-12-01,VFI,VeriFone Inc.,Dec,December,Credit card,Standard rate,"","","","","",""
green,2,2014-12-01T00:03:53.000+08:00,2014-12-01T00:08:29.000+08:00,N,1,0,0,-73.93656158447266,40.820526123046875,-73.94831848144531,40.82801055908203,1,1.03,5.5,0.5,0.5,0.0,0.0,"",0.0,6.5,2,1,2014,12,1,0,3,53,2014-12-01,2014,12,1,0,8,29,2014-12-01,VFI,VeriFone Inc.,Dec,December,Cash,Standard rate,"","","","","",""
green,2,2014-12-01T00:02:41.000+08:00,2014-12-01T00:02:44.000+08:00,N,5,0,0,-73.78034973144531,40.6912727355957,-73.78035736083984,40.69127655029297,1,0.0,10.0,0.0,0.0,0.0,0.0,"",0.0,10.0,1,2,2014,12,1,0,2,41,2014-12-01,2014,12,1,0,2,44,2014-12-01,VFI,VeriFone Inc.,Dec,December,Credit card,Negotiated fare,"","","","","",""
green,1,2014-12-01T00:02:56.000+08:00,2014-12-01T00:19:42.000+08:00,N,1,0,0,-73.87032318115234,40.733734130859375,-73.97850036621094,40.74828338623047,1,7.7,23.5,0.5,0.5,0.0,0.0,"",0.0,24.5,2,1,2014,12,1,0,2,56,2014-12-01,2014,12,1,0,19,42,2014-12-01,CMT,"Creative Mobile Technologies, LLC",Dec,December,Cash,Standard rate,"","","","","",""
green,2,2014-12-01T00:00:20.000+08:00,2014-12-01T00:08:31.000+08:00,N,1,0,0,-73.8299560546875,40.75956344604492,-73.80899810791016,40.779579162597656,1,2.54,10.0,0.5,0.5,0.0,0.0,"",0.0,11.0,2,1,2014,12,1,0,0,20,2014-12-01,2014,12,1,0,8,31,2014-12-01,VFI,VeriFone Inc.,Dec,December,Cash,Standard rate,"","","","","",""
green,2,2014-12-01T00:02:12.000+08:00,2014-12-01T00:07:06.000+08:00,N,1,0,0,-73.95834350585938,40.701690673828125,-73.95618438720703,40.69508361816406,1,0.7,5.0,0.5,0.5,0.0,0.0,"",0.0,6.0,1,1,2014,12,1,0,2,12,2014-12-01,2014,12,1,0,7,6,2014-12-01,VFI,VeriFone Inc.,Dec,December,Credit card,Standard rate,"","","","","",""
green,2,2014-12-01T00:04:01.000+08:00,2014-12-01T00:04:23.000+08:00,N,1,0,0,-73.94142150878906,40.807552337646484,-73.9421615600586,40.80656814575195,1,0.07,2.5,0.5,0.5,0.0,0.0,"",0.0,3.5,2,1,2014,12,1,0,4,1,2014-12-01,2014,12,1,0,4,23,2014-12-01,VFI,VeriFone Inc.,Dec,December,Cash,Standard rate,"","","","","",""
green,1,2014-12-01T00:01:45.000+08:00,2014-12-01T00:07:53.000+08:00,N,1,0,0,-73.8443832397461,40.72137451171875,-73.85684204101562,40.71986389160156,1,0.8,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,1,2014,12,1,0,1,45,2014-12-01,2014,12,1,0,7,53,2014-12-01,CMT,"Creative Mobile Technologies, LLC",Dec,December,Cash,Standard rate,"","","","","",""
green,2,2014-12-01T00:01:03.000+08:00,2014-12-01T00:02:28.000+08:00,N,1,0,0,-73.91885375976562,40.759090423583984,-73.91425323486328,40.763519287109375,1,0.36,3.0,0.5,0.5,0.0,0.0,"",0.0,4.0,2,1,2014,12,1,0,1,3,2014-12-01,2014,12,1,0,2,28,2014-12-01,VFI,VeriFone Inc.,Dec,December,Cash,Standard rate,"","","","","",""
