taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2016-07-01T00:00:29.000+08:00,2016-07-01T00:19:08.000+08:00,N,1,37,79,,,,,3,3.86,16.0,0.5,0.5,1.0,0.0,,0.3,18.3,1,1,2016,7,1,0,0,29,2016-07-01,2016,7,1,0,19,8,2016-07-01,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Brooklyn,Bushwick South,Boro Zone,Manhattan,East Village,Yellow Zone
green,2,2016-07-01T00:02:06.000+08:00,2016-07-01T00:23:37.000+08:00,N,1,223,145,,,,,1,3.12,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1,2016,7,1,0,2,6,2016-07-01,2016,7,1,0,23,37,2016-07-01,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Queens,Steinway,Boro Zone,Queens,Long Island City/Hunters Point,Boro Zone
green,2,2016-07-01T00:04:22.000+08:00,2016-07-01T00:07:17.000+08:00,N,1,80,80,,,,,1,0.62,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1,2016,7,1,0,4,22,2016-07-01,2016,7,1,0,7,17,2016-07-01,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Brooklyn,East Williamsburg,Boro Zone,Brooklyn,East Williamsburg,Boro Zone
green,2,2016-07-01T00:06:11.000+08:00,2016-07-01T00:07:34.000+08:00,N,1,42,42,,,,,4,0.35,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1,2016,7,1,0,6,11,2016-07-01,2016,7,1,0,7,34,2016-07-01,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Central Harlem North,Boro Zone,Manhattan,Central Harlem North,Boro Zone
green,2,2016-07-01T00:01:03.000+08:00,2016-07-01T00:08:32.000+08:00,N,1,82,82,,,,,1,0.98,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,2016,7,1,0,1,3,2016-07-01,2016,7,1,0,8,32,2016-07-01,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Elmhurst,Boro Zone
green,2,2016-07-01T00:00:47.000+08:00,2016-07-01T00:06:55.000+08:00,N,1,82,129,,,,,1,1.2,6.5,0.5,0.5,2.34,0.0,,0.3,10.14,1,1,2016,7,1,0,0,47,2016-07-01,2016,7,1,0,6,55,2016-07-01,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2016-07-01T00:00:27.000+08:00,2016-07-01T00:09:18.000+08:00,N,1,17,61,,,,,5,2.11,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1,2016,7,1,0,0,27,2016-07-01,2016,7,1,0,9,18,2016-07-01,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Brooklyn,Bedford,Boro Zone,Brooklyn,Crown Heights North,Boro Zone
green,2,2016-07-01T00:02:43.000+08:00,2016-07-01T00:06:50.000+08:00,N,1,130,197,,,,,1,1.2,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1,2016,7,1,0,2,43,2016-07-01,2016,7,1,0,6,50,2016-07-01,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Queens,Jamaica,Boro Zone,Queens,Richmond Hill,Boro Zone
green,2,2016-07-01T00:00:11.000+08:00,2016-07-01T00:20:00.000+08:00,N,1,256,197,,,,,1,11.23,32.5,0.5,0.5,0.0,0.0,,0.3,33.8,2,1,2016,7,1,0,0,11,2016-07-01,2016,7,1,0,20,0,2016-07-01,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Queens,Richmond Hill,Boro Zone
green,2,2016-07-01T00:00:04.000+08:00,2016-07-02T00:00:00.000+08:00,N,1,255,17,,,,,1,1.7,8.0,0.5,0.5,1.86,0.0,,0.3,11.16,1,1,2016,7,1,0,0,4,2016-07-01,2016,7,2,0,0,0,2016-07-02,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Bedford,Boro Zone
