taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2017-01-01T00:00:36.000+08:00,2017-01-01T00:12:20.000+08:00,N,1,91,188,,,,,1,3.02,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1,1,0,0,36,2017-01-01,2017,1,1,0,12,20,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Flatlands,Boro Zone,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
green,2,2017-01-01T00:01:56.000+08:00,2017-01-01T00:05:01.000+08:00,N,1,134,28,,,,,1,1.05,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,1,0,1,56,2017-01-01,2017,1,1,0,5,1,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Kew Gardens,Boro Zone,Queens,Briarwood/Jamaica Hills,Boro Zone
green,2,2017-01-01T00:41:41.000+08:00,2017-01-01T00:51:40.000+08:00,N,1,41,116,,,,,1,1.7,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,1,0,41,41,2017-01-01,2017,1,1,0,51,40,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Hamilton Heights,Boro Zone
green,2,2017-01-01T00:01:57.000+08:00,2017-01-01T00:12:00.000+08:00,N,1,65,97,,,,,1,0.94,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1,1,0,1,57,2017-01-01,2017,1,1,0,12,0,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Fort Greene,Boro Zone
green,2,2017-01-01T00:51:36.000+08:00,2017-01-01T00:55:56.000+08:00,N,1,25,52,,,,,1,0.98,5.0,0.5,0.5,1.58,0.0,,0.3,7.88,1,1,1,0,51,36,2017-01-01,2017,1,1,0,55,56,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Boerum Hill,Boro Zone,Brooklyn,Cobble Hill,Boro Zone
green,2,2017-01-01T00:10:57.000+08:00,2017-01-01T00:34:42.000+08:00,N,1,112,107,,,,,2,6.03,21.5,0.5,0.5,4.56,0.0,,0.3,27.36,1,1,1,0,10,57,2017-01-01,2017,1,1,0,34,42,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Greenpoint,Boro Zone,Manhattan,Gramercy,Yellow Zone
green,2,2017-01-01T00:02:54.000+08:00,2017-01-01T00:16:53.000+08:00,N,1,97,181,,,,,1,2.2,11.0,0.5,0.5,2.46,0.0,,0.3,14.76,1,1,1,0,2,54,2017-01-01,2017,1,1,0,16,53,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Park Slope,Boro Zone
green,2,2017-01-01T00:03:28.000+08:00,2017-01-01T00:03:28.000+08:00,N,1,82,260,,,,,1,1.75,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,2,1,1,0,3,28,2017-01-01,2017,1,1,0,3,28,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Queens,Woodside,Boro Zone
green,2,2017-01-01T00:57:20.000+08:00,2017-01-01T01:17:42.000+08:00,N,1,95,226,,,,,1,4.56,19.0,0.5,0.5,6.09,0.0,,0.3,26.39,1,1,1,0,57,20,2017-01-01,2017,1,1,1,17,42,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Forest Hills,Boro Zone,Queens,Sunnyside,Boro Zone
green,2,2017-01-01T00:00:28.000+08:00,2017-01-01T00:13:31.000+08:00,N,1,179,226,,,,,1,4.14,15.0,0.5,0.5,0.0,0.0,,0.3,16.3,1,1,1,0,0,28,2017-01-01,2017,1,1,0,13,31,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Old Astoria,Boro Zone,Queens,Sunnyside,Boro Zone
