taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
yellow,1,2016-06-09T21:09:56.000+08:00,2016-06-09T21:23:26.000+08:00,N,1,0,0,-73.95399475097656,40.77484130859375,-73.99640655517578,40.7650146484375,1,3.7,13.5,0.5,0.5,1.0,0.0,0.3,15.8,1,2016,6,9,21,9,56,2016-06-09,2016,6,9,21,23,26,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:06:39.000+08:00,2016-06-09T21:15:09.000+08:00,N,1,0,0,-74.0051040649414,40.737518310546875,-73.99778747558594,40.756744384765625,2,1.7,8.0,0.5,0.5,1.86,0.0,0.3,11.16,1,2016,6,9,21,6,39,2016-06-09,2016,6,9,21,15,9,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
yellow,2,2016-06-09T21:09:55.000+08:00,2016-06-09T21:19:35.000+08:00,N,1,0,0,-73.99311828613281,40.766380310058594,-73.97175598144531,40.792137145996094,1,2.19,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1,2016,6,9,21,9,55,2016-06-09,2016,6,9,21,19,35,2016-06-09,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:09:52.000+08:00,2016-06-09T21:27:51.000+08:00,N,1,0,0,-73.98873901367188,40.73651123046875,-73.95951080322266,40.7761344909668,1,3.3,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2,2016,6,9,21,9,52,2016-06-09,2016,6,9,21,27,51,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Cash,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:13:22.000+08:00,2016-06-09T21:19:42.000+08:00,N,1,0,0,-73.87093353271484,40.77373504638672,-73.9177017211914,40.77121353149414,1,2.7,9.5,0.5,0.5,2.7,0.0,0.3,13.5,1,2016,6,9,21,13,22,2016-06-09,2016,6,9,21,19,42,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
yellow,2,2016-06-09T21:06:36.000+08:00,2016-06-09T21:19:21.000+08:00,N,1,0,0,-73.99520111083984,40.7394905090332,-73.99320220947266,40.76264190673828,1,2.17,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1,2016,6,9,21,6,36,2016-06-09,2016,6,9,21,19,21,2016-06-09,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,"","","","","",""
yellow,2,2016-06-09T21:13:22.000+08:00,2016-06-09T21:20:16.000+08:00,N,1,0,0,-73.96305847167969,40.7692985534668,-73.9673080444336,40.757530212402344,1,1.01,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1,2016,6,9,21,13,22,2016-06-09,2016,6,9,21,20,16,2016-06-09,VFI,VeriFone Inc.,Jun,June,Credit card,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:06:40.000+08:00,2016-06-09T21:25:41.000+08:00,N,1,0,0,-73.98251342773438,40.7723388671875,-73.9684066772461,40.754905700683594,1,1.9,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2,2016,6,9,21,6,40,2016-06-09,2016,6,9,21,25,41,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Cash,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:06:41.000+08:00,2016-06-09T21:15:35.000+08:00,N,1,0,0,-73.99408721923828,40.75905227661133,-73.98001098632812,40.78608322143555,1,2.5,10.0,0.5,0.5,2.0,0.0,0.3,13.3,1,2016,6,9,21,6,41,2016-06-09,2016,6,9,21,15,35,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
yellow,2,2016-06-09T21:06:36.000+08:00,2016-06-09T21:30:13.000+08:00,N,1,0,0,-73.98047637939453,40.74168014526367,-73.90296173095703,40.748741149902344,5,6.02,21.5,0.5,0.5,0.0,0.0,0.3,22.8,2,2016,6,9,21,6,36,2016-06-09,2016,6,9,21,30,13,2016-06-09,VFI,VeriFone Inc.,Jun,June,Cash,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:06:37.000+08:00,2016-06-09T21:23:57.000+08:00,N,1,0,0,-73.97792053222656,40.750091552734375,-73.98723602294922,40.749359130859375,2,1.9,12.0,0.5,0.5,3.33,0.0,0.3,16.63,1,2016,6,9,21,6,37,2016-06-09,2016,6,9,21,23,57,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
yellow,1,2016-06-09T21:13:23.000+08:00,2016-06-09T21:19:02.000+08:00,N,1,0,0,-73.99593353271484,40.73868179321289,-73.9925765991211,40.74852752685547,1,0.9,5.5,0.5,0.5,2.0,0.0,0.3,8.8,1,2016,6,9,21,13,23,2016-06-09,2016,6,9,21,19,2,2016-06-09,CMT,"Creative Mobile Technologies, LLC",Jun,June,Credit card,Standard rate,"","","","","",""
