taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
yellow,2,2016-07-10T10:50:31.000+08:00,2016-07-10T10:56:35.000+08:00,N,1,186,158,,,,,6,1.34,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,10,10,50,31,2016-07-10,2016,7,10,10,56,35,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone
yellow,1,2016-07-10T10:50:38.000+08:00,2016-07-10T11:01:01.000+08:00,N,1,263,162,,,,,1,1.8,9.5,0.0,0.5,2.05,0.0,0.3,12.35,1,10,10,50,38,2016-07-10,2016,7,10,11,1,1,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Yorkville West,Yellow Zone,Manhattan,Midtown East,Yellow Zone
yellow,1,2016-07-10T10:50:27.000+08:00,2016-07-10T11:00:14.000+08:00,N,1,239,237,,,,,1,1.9,9.5,0.0,0.5,1.55,0.0,0.3,11.85,1,10,10,50,27,2016-07-10,2016,7,10,11,0,14,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
yellow,2,2016-07-10T10:50:18.000+08:00,2016-07-10T10:55:21.000+08:00,N,1,142,163,,,,,5,1.34,6.0,0.0,0.5,1.36,0.0,0.3,8.16,1,10,10,50,18,2016-07-10,2016,7,10,10,55,21,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Midtown North,Yellow Zone
yellow,1,2016-07-10T10:50:27.000+08:00,2016-07-10T11:09:07.000+08:00,N,1,138,162,,,,,2,10.2,29.0,0.0,0.5,0.0,5.54,0.3,35.34,2,10,10,50,27,2016-07-10,2016,7,10,11,9,7,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Queens,LaGuardia Airport,Airports,Manhattan,Midtown East,Yellow Zone
yellow,2,2016-07-10T10:50:33.000+08:00,2016-07-10T10:52:56.000+08:00,N,1,264,264,,,,,5,0.53,4.0,0.0,0.5,0.96,0.0,0.3,5.76,1,10,10,50,33,2016-07-10,2016,7,10,10,52,56,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Unknown,NV,N/A,Unknown,NV,N/A
yellow,1,2016-07-10T10:50:22.000+08:00,2016-07-10T10:58:23.000+08:00,N,1,144,170,,,,,1,1.7,8.0,0.0,0.5,1.0,0.0,0.3,9.8,1,10,10,50,22,2016-07-10,2016,7,10,10,58,23,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
yellow,2,2016-07-10T10:50:27.000+08:00,2016-07-10T10:54:55.000+08:00,N,1,142,43,,,,,3,0.76,5.0,0.0,0.5,0.0,0.0,0.3,5.8,2,10,10,50,27,2016-07-10,2016,7,10,10,54,55,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Central Park,Yellow Zone
yellow,1,2016-07-10T10:50:29.000+08:00,2016-07-10T11:10:40.000+08:00,N,1,255,170,,,,,1,4.7,18.0,0.0,0.5,3.75,0.0,0.3,22.55,1,10,10,50,29,2016-07-10,2016,7,10,11,10,40,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Murray Hill,Yellow Zone
yellow,1,2016-07-10T10:50:33.000+08:00,2016-07-10T11:09:40.000+08:00,N,1,41,229,,,,,1,4.4,17.0,0.0,0.5,3.5,0.0,0.3,21.3,1,10,10,50,33,2016-07-10,2016,7,10,11,9,40,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
