taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2013-08-01T08:14:37.000+08:00,2013-08-01T09:09:06.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,21.25,0.0,0.0,0.0,0.0,"",0.0,21.25,2,""
green,2,2013-08-01T09:13:00.000+08:00,2013-08-01T11:38:00.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,2,0.0,74.5,0.0,0.5,0.0,0.0,"",0.0,75.0,2,""
green,2,2013-08-01T09:48:00.000+08:00,2013-08-01T09:49:00.000+08:00,N,5,0,0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.1,0.0,0.0,1.0,"",0.0,2.1,2,""
green,2,2013-08-01T10:38:35.000+08:00,2013-08-01T10:38:51.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,3.25,0.0,0.0,0.0,0.0,"",0.0,3.25,2,""
green,2,2013-08-01T11:51:45.000+08:00,2013-08-01T12:03:52.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,8.5,0.0,0.5,0.0,0.0,"",0.0,9.0,2,""
green,2,2013-08-01T14:33:39.000+08:00,2013-08-01T15:49:00.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,9.0,0.0,0.5,0.0,0.0,"",0.0,9.5,2,""
green,2,2013-08-01T17:19:00.000+08:00,2013-08-01T17:19:00.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,2.5,1.0,0.5,0.0,0.0,"",0.0,4.0,2,""
green,2,2013-08-01T17:22:00.000+08:00,2013-08-01T17:22:00.000+08:00,N,1,0,0,-73.9377670288086,40.758480072021484,-73.9377670288086,40.758480072021484,1,0.0,2.5,1.0,0.5,0.0,5.33,"",0.0,9.33,2,""
green,2,2013-08-01T17:24:00.000+08:00,2013-08-01T17:25:00.000+08:00,N,1,0,0,-73.93792724609375,40.757843017578125,-73.93792724609375,40.757843017578125,1,0.0,2.5,1.0,0.5,0.0,1.11,"",0.0,5.11,2,""
green,2,2013-08-01T19:21:09.000+08:00,2013-08-01T19:22:30.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,5,0.0,3.0,1.0,0.5,0.0,0.0,"",0.0,4.5,1,""
