taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2013-09-01T00:02:00.000+08:00,2013-09-01T00:54:51.000+08:00,N,1,0,0,-73.95240783691406,40.810726165771484,-73.98394012451172,40.67628479003906,5,14.35,50.5,0.5,0.5,10.3,0.0,"",0.0,61.8,1,""
green,2,2013-09-01T00:02:34.000+08:00,2013-09-01T00:20:59.000+08:00,N,1,0,0,-73.96302032470703,40.71183395385742,-73.96664428710938,40.68169021606445,1,3.24,15.0,0.5,0.5,0.0,0.0,"",0.0,16.0,2,""
green,2,2013-09-01T00:03:06.000+08:00,2013-09-01T00:28:03.000+08:00,N,1,0,0,-73.84346008300781,40.755950927734375,-73.98921203613281,40.74052810668945,1,11.27,34.0,0.5,0.5,8.07,5.33,"",0.0,48.4,1,""
green,2,2013-09-01T00:03:30.000+08:00,2013-09-01T00:23:02.000+08:00,N,1,0,0,-73.92481231689453,40.75424575805664,-73.9787368774414,40.72150421142578,1,6.63,22.0,0.5,0.5,5.75,0.0,"",0.0,28.75,1,""
green,2,2013-09-01T00:05:12.000+08:00,2013-09-01T00:30:55.000+08:00,N,1,0,0,-73.92950439453125,40.75645065307617,-73.85674285888672,40.69703674316406,1,12.84,37.0,0.5,0.5,0.0,0.0,"",0.0,38.0,1,""
green,2,2013-09-01T00:05:18.000+08:00,2013-09-01T00:23:31.000+08:00,N,1,0,0,-73.92504119873047,40.76170349121094,-73.87860870361328,40.73628234863281,1,3.14,14.5,0.5,0.5,0.0,0.0,"",0.0,15.5,2,""
green,2,2013-09-01T00:05:51.000+08:00,2013-09-01T00:13:32.000+08:00,N,1,0,0,-73.90320587158203,40.745704650878906,-73.91960906982422,40.758182525634766,1,1.43,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,2,2013-09-01T00:07:01.000+08:00,2013-09-01T00:13:56.000+08:00,N,1,0,0,-73.84425354003906,40.72134017944336,-73.83403015136719,40.706809997558594,1,1.61,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,2,2013-09-01T00:07:55.000+08:00,2013-09-01T00:24:19.000+08:00,N,1,0,0,-73.98892974853516,40.70240020751953,-73.95065307617188,40.72369384765625,1,4.76,17.0,0.5,0.5,3.6,0.0,"",0.0,21.6,1,""
green,2,2013-09-01T00:07:58.000+08:00,2013-09-01T00:38:32.000+08:00,N,1,0,0,-73.95552825927734,40.8044548034668,-73.99693298339844,40.68008804321289,3,12.51,37.5,0.5,0.5,0.0,0.0,"",0.0,38.5,2,""
green,2,2013-09-01T00:08:30.000+08:00,2013-09-01T00:13:58.000+08:00,N,1,0,0,-73.95846557617188,40.71715545654297,-73.95063781738281,40.70774841308594,3,1.25,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
green,2,2013-09-01T00:09:25.000+08:00,2013-09-01T00:27:14.000+08:00,N,1,0,0,-73.92872619628906,40.7583122253418,-73.98726654052734,40.764427185058594,2,3.96,16.0,0.5,0.5,4.25,0.0,"",0.0,21.25,1,""
green,2,2013-09-01T00:09:41.000+08:00,2013-09-01T00:17:37.000+08:00,N,1,0,0,-73.90457916259766,40.741294860839844,-73.87622833251953,40.76304244995117,1,3.4,11.5,0.5,0.5,0.0,0.0,"",0.0,12.5,2,""
green,2,2013-09-01T00:11:14.000+08:00,2013-09-01T00:16:05.000+08:00,N,1,0,0,-73.94830322265625,40.80869674682617,-73.93587493896484,40.80996322631836,5,0.99,5.0,0.5,0.5,0.0,0.0,"",0.0,6.0,2,""
green,2,2013-09-01T00:11:17.000+08:00,2013-09-01T00:34:44.000+08:00,N,1,0,0,-73.93263244628906,40.80427169799805,-73.9917984008789,40.74470520019531,5,6.33,22.0,0.5,0.5,0.0,0.0,"",0.0,23.0,2,""
green,2,2013-09-01T00:11:26.000+08:00,2013-09-01T00:21:45.000+08:00,N,1,0,0,-73.98727416992188,40.702335357666016,-73.98678588867188,40.704376220703125,1,1.8,8.0,0.5,0.5,0.0,0.0,"",0.0,9.0,2,""
green,2,2013-09-01T00:11:46.000+08:00,2013-09-01T00:27:51.000+08:00,N,1,0,0,-73.92227172851562,40.760581970214844,-73.97566223144531,40.75175476074219,5,3.96,15.0,0.5,0.5,4.0,0.0,"",0.0,20.0,1,""
green,2,2013-09-01T00:15:01.000+08:00,2013-09-01T00:26:34.000+08:00,N,1,0,0,-73.82989501953125,40.71371078491211,-73.86140441894531,40.716800689697266,5,2.75,11.5,0.5,0.5,0.0,0.0,"",0.0,12.5,2,""
green,2,2013-09-01T00:15:27.000+08:00,2013-09-01T00:24:30.000+08:00,N,1,0,0,-73.92575073242188,40.76179122924805,-73.94231414794922,40.75400161743164,5,1.56,8.0,0.5,0.5,0.0,0.0,"",0.0,9.0,2,""
green,2,2013-09-01T00:15:40.000+08:00,2013-09-01T00:23:37.000+08:00,N,1,0,0,-73.91907501220703,40.75886535644531,-73.90177154541016,40.77639389038086,1,1.48,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,1,2013-09-01T00:17:15.000+08:00,2013-09-01T00:25:29.000+08:00,N,1,0,0,-73.9680404663086,40.6799201965332,-73.97560119628906,40.697242736816406,1,1.4,8.0,0.5,0.5,1.8,0.0,"",0.0,10.8,1,""
green,2,2013-09-01T00:18:12.000+08:00,2013-09-01T00:23:56.000+08:00,N,1,0,0,-73.93919372558594,40.80514144897461,-73.9521713256836,40.810394287109375,5,0.86,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
