taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T13:48:03.000+08:00,N,1,0,0,0.0,0.0,-73.93710327148438,40.76064682006836,2,0.0,3.5,0.0,0.5,0.0,0.0,"",0.0,4.0,2,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T19:54:27.000+08:00,N,1,0,0,0.0,0.0,-73.9652099609375,40.75794219970703,1,5.25,19.0,1.0,0.5,3.5,0.0,"",0.0,24.0,1,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T12:06:42.000+08:00,N,1,0,0,0.0,0.0,-73.96002197265625,40.81992721557617,6,2.03,9.5,0.0,0.5,0.0,0.0,"",0.0,10.0,2,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T14:51:53.000+08:00,N,1,0,0,0.0,0.0,-73.86099243164062,40.83861541748047,1,7.09,24.0,0.0,0.5,0.0,0.0,"",0.0,24.5,2,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T16:04:00.000+08:00,N,1,0,0,0.0,0.0,-73.9565200805664,40.803035736083984,1,2.28,11.5,0.0,0.5,0.0,0.0,"",0.0,12.0,2,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T17:29:03.000+08:00,N,1,0,0,0.0,0.0,-73.92247009277344,40.83433151245117,1,1.12,7.0,1.0,0.5,0.0,0.0,"",0.0,8.5,2,""
green,2,2013-11-01T00:00:00.000+08:00,2013-11-01T14:41:08.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,2,0.0,12.5,0.0,0.5,0.0,0.0,"",0.0,13.0,2,""
green,2,2013-11-01T00:00:11.000+08:00,2013-11-01T00:25:26.000+08:00,N,1,0,0,-73.94003295898438,40.84088134765625,-73.99529266357422,40.750003814697266,1,8.02,27.0,0.0,0.5,0.0,0.0,"",0.0,27.5,1,""
green,2,2013-11-01T00:00:15.000+08:00,2013-11-01T00:02:03.000+08:00,N,1,0,0,-73.95023345947266,40.72197341918945,-73.95867919921875,40.71501541137695,2,0.67,4.0,0.5,0.5,0.5,0.0,"",0.0,5.5,1,""
green,2,2013-11-01T00:00:17.000+08:00,2013-11-01T00:20:43.000+08:00,N,1,0,0,-73.99874114990234,40.67652130126953,-73.91471862792969,40.778602600097656,1,12.57,35.0,0.5,0.5,0.0,0.0,"",0.0,36.0,1,""
green,1,2013-11-01T00:00:36.000+08:00,2013-11-01T00:17:26.000+08:00,N,1,0,0,-73.95787048339844,40.71773147583008,-73.99676513671875,40.66147232055664,1,6.7,22.0,0.5,0.5,0.0,0.0,"",0.0,23.0,2,""
green,2,2013-11-01T00:00:48.000+08:00,2013-11-01T00:07:54.000+08:00,N,1,0,0,-73.9552993774414,40.73628234863281,-73.94874572753906,40.71122360229492,1,1.77,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,1,2013-11-01T00:00:48.000+08:00,2013-11-01T00:05:42.000+08:00,N,1,0,0,-73.88510131835938,40.75567626953125,-73.87931823730469,40.7480354309082,1,0.8,5.5,0.5,0.5,0.0,0.0,"",0.0,6.5,2,""
green,2,2013-11-01T00:01:14.000+08:00,2013-11-01T00:09:59.000+08:00,N,1,0,0,-73.96190643310547,40.71355056762695,-73.99299621582031,40.72015380859375,2,2.25,9.5,0.5,0.5,0.0,0.0,"",0.0,10.5,1,""
green,2,2013-11-01T00:01:14.000+08:00,2013-11-01T00:08:44.000+08:00,N,1,0,0,-73.92572784423828,40.761600494384766,-73.92085266113281,40.74642562866211,5,1.73,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,2,2013-11-01T00:01:26.000+08:00,2013-11-01T00:33:11.000+08:00,N,1,0,0,-73.92528533935547,40.761722564697266,-73.93474578857422,40.698673248291016,2,8.27,28.0,0.5,0.5,1.0,0.0,"",0.0,30.0,1,""
green,2,2013-11-01T00:01:36.000+08:00,2013-11-01T00:12:33.000+08:00,N,1,0,0,-73.91983795166016,40.86567687988281,-73.9306869506836,40.84328079223633,1,3.27,11.5,0.5,0.5,0.0,0.0,"",0.0,12.5,2,""
green,2,2013-11-01T00:01:36.000+08:00,2013-11-01T00:27:28.000+08:00,N,1,0,0,-73.93514251708984,40.71441650390625,-73.9658432006836,40.80527877807617,1,12.25,35.5,0.5,0.5,0.0,5.33,"",0.0,41.83,2,""
green,2,2013-11-01T00:01:40.000+08:00,2013-11-01T00:20:26.000+08:00,N,1,0,0,-73.95668029785156,40.80245590209961,-74.00363159179688,40.750797271728516,1,6.42,21.0,0.5,0.5,0.0,0.0,"",0.0,22.0,2,""
green,2,2013-11-01T00:01:42.000+08:00,2013-11-01T00:07:03.000+08:00,N,1,0,0,-73.9609603881836,40.70973205566406,-73.9428939819336,40.701358795166016,1,1.16,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
green,2,2013-11-01T00:01:47.000+08:00,2013-11-01T00:05:39.000+08:00,N,1,0,0,-73.9583740234375,40.71718215942383,-73.95016479492188,40.722599029541016,2,0.73,5.0,0.5,0.5,1.2,0.0,"",0.0,7.2,1,""
green,2,2013-11-01T00:01:52.000+08:00,2013-11-01T00:09:16.000+08:00,N,1,0,0,-73.94293975830078,40.72111129760742,-73.96839141845703,40.70781707763672,1,2.44,9.5,0.5,0.5,0.0,0.0,"",0.0,10.5,2,""
green,2,2013-11-01T00:01:53.000+08:00,2013-11-01T00:09:45.000+08:00,N,1,0,0,-73.96331787109375,40.71112060546875,-73.96047973632812,40.711021423339844,1,0.43,6.5,0.5,0.5,0.0,0.0,"",0.0,7.5,2,""
green,1,2013-11-01T00:01:59.000+08:00,2013-11-01T00:40:17.000+08:00,N,5,0,0,-73.87068176269531,40.749210357666016,-73.99679565429688,40.73653030395508,2,0.0,45.0,0.0,0.0,5.0,0.0,"",0.0,50.0,1,""
