taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T23:25:08.000+08:00,N,2,0,0,0.0,0.0,-73.9122543334961,40.75322723388672,2,0.89,52.0,0.0,0.5,0.0,0.0,"",0.0,52.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T20:17:35.000+08:00,N,1,0,0,0.0,0.0,-73.96028900146484,40.761558532714844,1,2.72,11.0,0.5,0.5,0.75,0.0,"",0.0,12.75,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T14:27:37.000+08:00,N,1,0,0,0.0,0.0,-73.9372329711914,40.75831604003906,1,0.0,2.5,0.0,0.5,0.0,0.0,"",0.0,3.0,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T01:07:26.000+08:00,N,1,0,0,0.0,0.0,-73.94705200195312,40.68362808227539,1,3.21,12.5,0.5,0.5,3.9,0.0,"",0.0,17.4,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T04:04:40.000+08:00,N,1,0,0,0.0,0.0,-73.97649383544922,40.788700103759766,1,9.71,31.0,0.5,0.5,6.3,0.0,"",0.0,38.3,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T11:24:18.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,3.05,13.5,0.0,0.5,2.7,0.0,"",0.0,16.7,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T20:43:09.000+08:00,N,1,0,0,0.0,0.0,-73.995849609375,40.76445388793945,1,4.36,15.0,0.5,0.5,2.0,0.0,"",0.0,18.0,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T21:25:35.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,5.11,19.0,0.5,0.5,4.88,0.0,"",0.0,24.88,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T07:36:10.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,10.33,29.0,0.0,0.5,8.58,5.33,"",0.0,43.41,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T21:22:18.000+08:00,N,1,0,0,0.0,0.0,-73.83027648925781,40.89322280883789,1,10.86,31.5,0.5,0.5,0.0,0.0,"",0.0,32.5,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T15:32:09.000+08:00,N,1,0,0,0.0,0.0,-73.79865264892578,40.737884521484375,1,16.44,47.0,0.0,0.5,0.0,5.33,"",0.0,52.83,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T04:16:37.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,1.47,9.0,0.5,0.5,0.0,0.0,"",0.0,10.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T15:37:57.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,7.28,26.0,0.0,0.5,0.0,0.0,"",0.0,26.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T04:15:18.000+08:00,N,5,0,0,0.0,0.0,-73.87958526611328,40.8746452331543,1,1.9,10.0,0.0,0.5,0.0,0.0,"",0.0,10.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T03:44:27.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,5,5.43,19.5,0.5,0.5,5.07,5.33,"",0.0,30.9,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T23:26:29.000+08:00,N,1,0,0,0.0,0.0,-73.96322631835938,40.71361541748047,1,1.16,7.5,0.5,0.5,1.6,0.0,"",0.0,10.1,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T19:15:38.000+08:00,N,1,0,0,0.0,0.0,-73.96424865722656,40.680545806884766,1,4.12,18.0,0.0,0.5,0.0,0.0,"",0.0,18.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T11:33:28.000+08:00,N,1,0,0,0.0,0.0,-73.93733215332031,40.7583122253418,1,0.0,2.5,0.0,0.5,0.0,0.0,"",0.0,3.0,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T23:03:07.000+08:00,N,1,0,0,0.0,0.0,-73.92565155029297,40.70065689086914,2,3.26,13.0,0.5,0.5,0.0,0.0,"",0.0,14.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T11:29:13.000+08:00,N,1,0,0,0.0,0.0,-73.88543701171875,40.877655029296875,1,4.13,16.0,0.0,0.5,0.0,0.0,"",0.0,16.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T18:50:38.000+08:00,N,1,0,0,0.0,0.0,-73.97903442382812,40.78828430175781,1,1.77,9.0,0.0,0.5,2.0,0.0,"",0.0,11.5,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T22:48:19.000+08:00,N,1,0,0,0.0,0.0,-73.94873046875,40.8122444152832,1,1.68,8.5,0.5,0.5,0.0,0.0,"",0.0,9.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T12:39:05.000+08:00,N,2,0,0,0.0,0.0,-73.8980712890625,40.83290481567383,1,0.95,52.0,0.0,0.5,0.0,0.0,"",0.0,52.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T11:23:13.000+08:00,N,5,0,0,0.0,0.0,0.0,0.0,6,16.59,60.0,0.0,0.5,0.0,0.0,"",0.0,60.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T01:04:09.000+08:00,N,1,0,0,0.0,0.0,-73.9440689086914,40.68393325805664,1,3.27,13.0,0.5,0.5,0.0,0.0,"",0.0,14.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T07:43:26.000+08:00,N,1,0,0,0.0,0.0,-73.83119201660156,40.8858757019043,1,3.07,11.5,0.0,0.5,0.0,0.0,"",0.0,12.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T01:48:18.000+08:00,N,1,0,0,0.0,0.0,-73.94261169433594,40.836971282958984,1,4.56,17.0,0.5,0.5,0.0,0.0,"",0.0,18.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T23:29:21.000+08:00,N,1,0,0,0.0,0.0,-73.9733657836914,40.63990783691406,1,0.47,4.0,0.5,0.5,0.0,0.0,"",0.0,5.0,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T17:02:07.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.7,5.0,0.0,0.5,0.0,0.0,"",0.0,5.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T19:21:49.000+08:00,N,1,0,0,0.0,0.0,-73.99213409423828,40.684261322021484,5,1.93,9.0,0.0,0.5,0.0,0.0,"",0.0,9.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T03:03:34.000+08:00,N,1,0,0,0.0,0.0,-73.94477081298828,40.70552062988281,1,1.71,9.0,0.5,0.5,2.38,0.0,"",0.0,12.38,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T22:39:47.000+08:00,N,2,0,0,0.0,0.0,-73.91239166259766,40.84236526489258,1,0.0,52.0,0.0,0.5,0.0,0.0,"",0.0,52.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T23:52:50.000+08:00,N,1,0,0,0.0,0.0,-73.98568725585938,40.761966705322266,1,7.32,31.5,0.5,0.5,0.0,0.0,"",0.0,32.5,2,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T00:47:10.000+08:00,N,1,0,0,0.0,0.0,-73.94132995605469,40.684906005859375,1,2.37,10.0,0.5,0.5,3.15,0.0,"",0.0,14.15,1,""
green,2,2014-02-01T00:00:00.000+08:00,2014-02-01T10:27:21.000+08:00,N,1,0,0,0.0,0.0,-73.87264251708984,40.73472213745117,6,17.56,53.0,0.0,0.5,0.0,0.0,"",0.0,53.5,2,""
green,1,2014-02-01T00:00:02.000+08:00,2014-02-01T00:08:29.000+08:00,N,1,0,0,-73.95946502685547,40.716217041015625,-73.96578216552734,40.71055221557617,1,1.1,7.5,0.5,0.5,1.0,0.0,"",0.0,9.5,1,""
green,2,2014-02-01T00:00:02.000+08:00,2014-02-01T00:00:09.000+08:00,N,1,0,0,-73.95075225830078,40.79827880859375,-73.95072937011719,40.798301696777344,2,0.0,26.0,1.0,0.5,0.0,0.0,"",0.0,27.5,1,""
green,2,2014-02-01T00:00:08.000+08:00,2014-02-01T00:20:33.000+08:00,N,1,0,0,-73.961669921875,40.714012145996094,-73.91709899902344,40.74638366699219,2,3.88,17.0,0.5,0.5,4.38,0.0,"",0.0,22.38,1,""
green,2,2014-02-01T00:00:08.000+08:00,2014-02-01T00:28:26.000+08:00,N,1,0,0,-73.95113372802734,40.74890899658203,-73.9800033569336,40.657005310058594,2,10.5,32.0,0.5,0.5,0.0,0.0,"",0.0,33.0,1,""
green,1,2014-02-01T00:00:08.000+08:00,2014-02-01T00:15:13.000+08:00,N,1,0,0,-73.99073028564453,40.694610595703125,-73.95735168457031,40.714481353759766,1,3.5,15.0,0.5,0.5,4.0,0.0,"",0.0,20.0,1,""
green,1,2014-02-01T00:00:12.000+08:00,2014-02-01T00:11:32.000+08:00,N,1,0,0,-73.98259735107422,40.67832946777344,-74.00460815429688,40.650665283203125,4,2.4,10.5,0.5,0.5,2.3,0.0,"",0.0,13.8,1,""
green,2,2014-02-01T00:00:13.000+08:00,2014-02-01T00:06:56.000+08:00,N,1,0,0,-73.95367431640625,40.79075241088867,-73.95915985107422,40.780113220214844,1,1.12,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
green,2,2014-02-01T00:00:24.000+08:00,2014-02-01T00:08:06.000+08:00,N,1,0,0,-73.94479370117188,40.72732925415039,-73.94168090820312,40.7083625793457,1,1.4,7.5,0.5,0.5,2.0,0.0,"",0.0,10.5,1,""
green,2,2014-02-01T00:00:27.000+08:00,2014-02-01T00:19:34.000+08:00,N,1,0,0,-73.97757720947266,40.67861557006836,-73.98853302001953,40.71851348876953,1,3.36,16.0,0.5,0.5,3.3,0.0,"",0.0,20.3,1,""
green,2,2014-02-01T00:00:29.000+08:00,2014-02-01T00:20:32.000+08:00,N,1,0,0,-73.97212219238281,40.672393798828125,-73.99998474121094,40.729251861572266,1,4.59,18.0,0.5,0.5,3.0,0.0,"",0.0,22.0,1,""
green,2,2014-02-01T00:00:30.000+08:00,2014-02-01T00:16:14.000+08:00,N,1,0,0,-73.91463470458984,40.75690841674805,-73.8638916015625,40.746395111083984,1,3.14,13.0,0.5,0.5,4.05,0.0,"",0.0,18.05,1,""
green,2,2014-02-01T00:00:32.000+08:00,2014-02-01T00:27:45.000+08:00,N,1,0,0,-73.95157623291016,40.71394348144531,-74.00523376464844,40.72932815551758,1,3.64,19.0,0.5,0.5,0.0,0.0,"",0.0,20.0,1,""
green,1,2014-02-01T00:00:36.000+08:00,2014-02-01T00:02:22.000+08:00,N,1,0,0,-73.95508575439453,40.80421447753906,-73.94682312011719,40.80418014526367,3,0.6,3.5,0.5,0.5,0.0,0.0,"",0.0,4.5,2,""
green,2,2014-02-01T00:00:36.000+08:00,2014-02-01T00:05:27.000+08:00,N,1,0,0,-73.94910430908203,40.78531265258789,-73.95128631591797,40.799869537353516,5,1.62,7.0,0.5,0.5,0.0,0.0,"",0.0,8.0,2,""
green,2,2014-02-01T00:00:38.000+08:00,2014-02-01T00:21:21.000+08:00,N,1,0,0,-73.96931457519531,40.67591094970703,-73.9154052734375,40.70111846923828,1,4.04,16.5,0.5,0.5,0.0,0.0,"",0.0,17.5,2,""
green,2,2014-02-01T00:00:39.000+08:00,2014-02-01T00:29:50.000+08:00,N,1,0,0,-73.92216491699219,40.7061882019043,-73.98046112060547,40.72627258300781,1,4.83,22.5,0.5,0.5,1.5,0.0,"",0.0,25.0,1,""
green,2,2014-02-01T00:00:43.000+08:00,2014-02-01T00:06:52.000+08:00,N,1,0,0,-73.91299438476562,40.77440643310547,-73.92137908935547,40.76713180541992,6,0.67,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
green,2,2014-02-01T00:00:43.000+08:00,2014-02-01T00:06:25.000+08:00,N,1,0,0,-73.99191284179688,40.68465042114258,-73.97190856933594,40.67926025390625,1,1.22,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
green,2,2014-02-01T00:00:44.000+08:00,2014-02-01T00:29:12.000+08:00,N,1,0,0,-73.96253204345703,40.71003723144531,-73.99236297607422,40.74845886230469,1,4.89,21.0,0.5,0.5,0.0,0.0,"",0.0,22.0,2,""
green,2,2014-02-01T00:00:44.000+08:00,2014-02-01T00:07:44.000+08:00,N,1,0,0,-73.9516830444336,40.80274200439453,-73.96398162841797,40.807918548583984,1,1.24,6.5,0.5,0.5,0.0,0.0,"",0.0,7.5,2,""
green,2,2014-02-01T00:00:44.000+08:00,2014-02-01T00:04:51.000+08:00,N,1,0,0,-73.8698959350586,40.73362350463867,-73.86041259765625,40.7398567199707,1,0.92,5.5,0.5,0.5,0.0,0.0,"",0.0,6.5,2,""
green,2,2014-02-01T00:00:44.000+08:00,2014-02-01T00:15:22.000+08:00,N,1,0,0,-73.93401336669922,40.7421989440918,-73.98428344726562,40.763816833496094,1,3.54,14.5,0.5,0.5,3.0,0.0,"",0.0,18.5,1,""
green,2,2014-02-01T00:00:46.000+08:00,2014-02-01T00:04:33.000+08:00,N,1,0,0,-73.89078521728516,40.74694061279297,-73.87893676757812,40.748050689697266,5,0.62,4.5,0.5,0.5,0.0,0.0,"",0.0,5.5,1,""
green,1,2014-02-01T00:00:51.000+08:00,2014-02-01T00:06:33.000+08:00,N,1,0,0,-73.95480346679688,40.72243881225586,-73.96629333496094,40.71293640136719,3,1.0,6.0,0.5,0.5,1.4,0.0,"",0.0,8.4,1,""
green,2,2014-02-01T00:00:52.000+08:00,2014-02-01T00:23:49.000+08:00,N,1,0,0,-73.93964385986328,40.84144592285156,-73.99996948242188,40.74854278564453,1,9.03,28.5,0.5,0.5,1.0,0.0,"",0.0,30.5,1,""
green,2,2014-02-01T00:00:53.000+08:00,2014-02-01T00:06:46.000+08:00,N,1,0,0,-73.93948364257812,40.82175827026367,-73.94568634033203,40.80773162841797,1,1.15,7.0,0.5,0.5,1.0,0.0,"",0.0,9.0,1,""
green,2,2014-02-01T00:00:56.000+08:00,2014-02-01T00:06:56.000+08:00,N,1,0,0,-73.89009094238281,40.86112594604492,-73.89459991455078,40.86781692504883,1,0.77,5.5,0.5,0.5,0.0,0.0,"",0.0,6.5,2,""
green,2,2014-02-01T00:00:56.000+08:00,2014-02-01T00:08:57.000+08:00,N,1,0,0,-73.93636322021484,40.80588912963867,-73.95545959472656,40.82026672363281,1,1.54,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,""
green,2,2014-02-01T00:00:56.000+08:00,2014-02-01T00:12:52.000+08:00,N,1,0,0,-73.94698333740234,40.676841735839844,-73.95978546142578,40.71583938598633,1,3.22,12.0,0.5,0.5,0.0,0.0,"",0.0,13.0,2,""
green,2,2014-02-01T00:00:57.000+08:00,2014-02-01T00:09:14.000+08:00,N,1,0,0,-73.83082580566406,40.75935363769531,-73.86653137207031,40.76765823364258,1,2.57,10.0,0.5,0.5,0.0,0.0,"",0.0,11.0,2,""
green,1,2014-02-01T00:00:58.000+08:00,2014-02-01T00:19:25.000+08:00,N,1,0,0,-73.95802307128906,40.71464157104492,-73.98147583007812,40.666996002197266,3,5.1,17.5,0.5,0.5,3.7,0.0,"",0.0,22.2,1,""
green,2,2014-02-01T00:00:58.000+08:00,2014-02-01T00:07:00.000+08:00,N,1,0,0,-73.9393081665039,40.80562210083008,-73.9382095336914,40.82270050048828,1,1.43,7.0,0.5,0.5,0.0,0.0,"",0.0,8.0,2,""
green,2,2014-02-01T00:00:59.000+08:00,2014-02-01T00:17:24.000+08:00,N,1,0,0,-73.9580078125,40.71760940551758,-73.96363067626953,40.6767578125,6,3.2,13.5,0.5,0.5,2.8,0.0,"",0.0,17.3,1,""
green,2,2014-02-01T00:00:59.000+08:00,2014-02-01T00:16:54.000+08:00,N,1,0,0,-73.96021270751953,40.71531295776367,-73.97904968261719,40.678428649902344,2,4.35,15.5,0.5,0.5,0.0,0.0,"",0.0,16.5,2,""
green,2,2014-02-01T00:00:59.000+08:00,2014-02-01T00:05:33.000+08:00,N,1,0,0,-73.966796875,40.803863525390625,-73.95304107666016,40.825035095214844,1,1.74,7.0,0.5,0.5,0.0,0.0,"",0.0,8.0,2,""
green,1,2014-02-01T00:01:00.000+08:00,2014-02-01T00:05:51.000+08:00,Y,1,0,0,-73.99341583251953,40.68244552612305,-73.9786605834961,40.68449783325195,1,1.1,6.0,0.5,0.5,0.0,0.0,"",0.0,7.0,2,""
