taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T07:40:36.000+08:00,N,1,0,0,0.0,0.0,-73.86557006835938,40.7708625793457,1,8.0,24.5,0.0,0.5,0.0,7.5,"",0.0,32.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T15:25:06.000+08:00,N,5,0,0,0.0,0.0,-73.92831420898438,40.81576156616211,1,0.94,7.0,0.0,0.0,0.0,0.0,"",0.0,7.0,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T02:06:27.000+08:00,N,1,0,0,0.0,0.0,-73.92926025390625,40.855411529541016,1,1.12,6.5,0.5,0.5,0.0,0.0,"",0.0,7.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T23:33:03.000+08:00,N,1,0,0,0.0,0.0,-73.9970474243164,40.74982833862305,1,6.97,29.5,0.5,0.5,0.0,0.0,"",0.0,30.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T13:05:02.000+08:00,N,1,0,0,0.0,0.0,-73.94898223876953,40.79709243774414,1,1.04,7.0,0.0,0.5,0.0,0.0,"",0.0,7.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T14:14:55.000+08:00,N,2,0,0,0.0,0.0,-73.7825698852539,40.64410400390625,1,18.16,52.0,0.0,0.5,0.0,5.33,"",0.0,57.83,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T23:03:03.000+08:00,N,1,0,0,0.0,0.0,-73.98802947998047,40.755943298339844,1,6.41,20.0,0.5,0.5,0.0,0.0,"",0.0,21.0,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T04:55:35.000+08:00,N,1,0,0,0.0,0.0,-73.92464447021484,40.76144027709961,1,0.61,4.5,0.5,0.5,0.0,0.0,"",0.0,5.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T13:12:40.000+08:00,N,1,0,0,0.0,0.0,-73.98005676269531,40.77557373046875,1,2.6,13.0,0.0,0.5,3.9,0.0,"",0.0,17.4,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T17:26:34.000+08:00,N,1,0,0,0.0,0.0,-73.95658874511719,40.78668212890625,1,1.77,7.0,0.0,0.5,2.1,0.0,"",0.0,9.6,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T08:44:51.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,3.43,13.0,0.0,0.5,0.0,0.0,"",0.0,13.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T03:59:23.000+08:00,N,1,0,0,0.0,0.0,-73.94921875,40.721641540527344,1,1.64,7.5,0.5,0.5,0.0,0.0,"",0.0,8.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T05:04:23.000+08:00,N,1,0,0,0.0,0.0,-73.96418762207031,40.71281814575195,1,2.94,15.5,0.5,0.5,0.0,0.0,"",0.0,16.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T18:52:17.000+08:00,N,1,0,0,0.0,0.0,-73.9241943359375,40.642452239990234,1,3.56,12.0,0.0,0.5,0.0,0.0,"",0.0,12.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T02:04:33.000+08:00,N,1,0,0,0.0,0.0,-73.91278076171875,40.76523971557617,1,0.8,4.5,0.5,0.5,1.0,0.0,"",0.0,6.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T21:36:54.000+08:00,N,1,0,0,0.0,0.0,-73.94247436523438,40.7863655090332,1,5.15,17.0,0.5,0.5,0.0,5.33,"",0.0,23.33,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T14:38:42.000+08:00,N,1,0,0,0.0,0.0,-73.96293640136719,40.81291198730469,1,1.1,6.5,0.0,0.5,1.3,0.0,"",0.0,8.3,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T00:23:01.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,2.33,10.5,0.5,0.5,2.2,0.0,"",0.0,13.7,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T13:17:42.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,4.35,15.0,0.0,0.5,3.0,0.0,"",0.0,18.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T00:40:17.000+08:00,N,1,0,0,0.0,0.0,-73.96343994140625,40.67202377319336,1,0.0,2.5,0.5,0.5,0.0,0.0,"",0.0,3.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T11:09:18.000+08:00,N,1,0,0,0.0,0.0,-73.96158599853516,40.67096710205078,1,3.7,13.0,0.0,0.5,0.0,0.0,"",0.0,13.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T21:28:20.000+08:00,N,1,0,0,0.0,0.0,-73.87235260009766,40.73687744140625,1,2.69,12.5,0.5,0.5,0.0,0.0,"",0.0,13.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T02:22:12.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.0,2.5,0.5,0.5,1.0,0.0,"",0.0,4.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T00:01:05.000+08:00,N,5,0,0,0.0,0.0,-73.90404510498047,40.85248565673828,1,2.24,13.0,0.0,0.0,0.0,0.0,"",0.0,13.0,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T23:42:23.000+08:00,N,1,0,0,0.0,0.0,-73.94664764404297,40.78173828125,1,0.98,6.5,0.5,0.5,1.0,0.0,"",0.0,8.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T12:28:55.000+08:00,N,1,0,0,0.0,0.0,-73.95552825927734,40.81985855102539,1,1.5,9.0,0.0,0.5,4.0,0.0,"",0.0,13.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T13:11:52.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,3.78,14.5,0.0,0.5,3.62,0.0,"",0.0,18.62,1,1
green,1,2014-06-01T00:00:00.000+08:00,2014-06-01T00:39:18.000+08:00,N,1,0,0,-73.99090576171875,40.687747955322266,-73.96913146972656,40.7907829284668,2,10.9,37.0,0.5,0.5,8.65,5.33,"",0.0,51.98,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T15:02:06.000+08:00,N,1,0,0,0.0,0.0,-73.90264892578125,40.74143981933594,5,1.4,8.5,0.0,0.5,0.0,0.0,"",0.0,9.0,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T22:26:46.000+08:00,N,1,0,0,0.0,0.0,-73.9967269897461,40.661842346191406,1,2.7,13.5,0.5,0.5,2.8,0.0,"",0.0,17.3,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T18:30:07.000+08:00,N,1,0,0,0.0,0.0,-73.94332122802734,40.694915771484375,1,1.73,8.5,0.0,0.5,0.0,0.0,"",0.0,9.0,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T11:16:53.000+08:00,N,1,0,0,0.0,0.0,-73.95797729492188,40.6573371887207,1,5.97,21.5,0.0,0.5,4.3,0.0,"",0.0,26.3,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T00:35:48.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,3.65,20.5,0.5,0.5,5.25,0.0,"",0.0,26.75,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T22:32:59.000+08:00,N,1,0,0,0.0,0.0,-73.99031066894531,40.685874938964844,1,2.01,8.5,0.5,0.5,0.0,0.0,"",0.0,9.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T09:28:42.000+08:00,N,1,0,0,0.0,0.0,-73.80752563476562,40.70021438598633,1,2.64,11.0,0.0,0.5,0.0,0.0,"",0.0,11.5,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T14:59:02.000+08:00,N,1,0,0,0.0,0.0,-73.83389282226562,40.7720832824707,1,2.47,9.5,0.0,0.5,0.0,0.0,"",0.0,10.0,2,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T15:42:31.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,5.74,19.5,0.0,0.5,3.0,0.0,"",0.0,23.0,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T18:09:09.000+08:00,N,1,0,0,0.0,0.0,-73.96183776855469,40.66718673706055,1,9.07,32.0,0.0,0.5,0.0,0.0,"",0.0,32.5,1,1
green,2,2014-06-01T00:00:00.000+08:00,2014-06-01T23:03:56.000+08:00,N,5,0,0,0.0,0.0,-73.90457916259766,40.90546798706055,1,0.27,27.0,0.0,0.0,0.0,0.0,"",0.0,27.0,2,1
