taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T22:33:05.000+08:00,N,1,0,0,0.0,0.0,-73.95280456542969,40.79909133911133,1,0.76,4.5,0.5,0.5,0.0,0.0,"",0.0,5.5,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T22:12:19.000+08:00,N,1,0,0,0.0,0.0,-73.92530059814453,40.8060417175293,1,5.06,17.0,0.5,0.5,0.0,0.0,"",0.0,18.0,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T10:33:40.000+08:00,N,1,0,0,0.0,0.0,-73.93170928955078,40.79714584350586,5,0.85,5.0,0.0,0.5,1.0,0.0,"",0.0,6.5,1,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T08:54:25.000+08:00,N,1,0,0,0.0,0.0,-73.91569519042969,40.77207565307617,2,3.4,13.0,0.0,0.5,0.0,0.0,"",0.0,13.5,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T08:42:46.000+08:00,N,1,0,0,0.0,0.0,-73.91033935546875,40.74473571777344,1,1.09,6.5,0.0,0.5,0.0,0.0,"",0.0,7.0,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T15:05:02.000+08:00,N,1,0,0,0.0,0.0,-73.9735336303711,40.76479721069336,1,4.38,19.0,0.0,0.5,0.0,0.0,"",0.0,19.5,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T14:50:30.000+08:00,N,1,0,0,0.0,0.0,-73.93948364257812,40.820865631103516,6,1.76,9.0,0.0,0.5,0.0,0.0,"",0.0,9.5,2,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T09:46:47.000+08:00,N,1,0,0,0.0,0.0,-73.92561340332031,40.82827377319336,1,5.66,20.0,0.0,0.5,5.07,5.33,"",0.0,30.9,1,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T14:11:02.000+08:00,N,1,0,0,0.0,0.0,-73.96800231933594,40.76219940185547,1,4.24,21.0,0.0,0.5,4.2,0.0,"",0.0,25.7,1,1
green,2,2014-07-01T00:00:00.000+08:00,2014-07-01T19:16:57.000+08:00,N,5,0,0,0.0,0.0,-73.73844909667969,40.667842864990234,5,17.67,5.0,0.0,0.0,0.0,0.0,"",0.0,5.0,2,1
