taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2015-02-01T00:00:01.000+08:00,2015-02-01T00:18:27.000+08:00,N,1,0,0,-73.96199035644531,40.71586227416992,-74.01216125488281,40.71678161621094,1,5.72,20.0,0.5,0.5,4.1,0.0,"",0.3,25.4,1,1
green,2,2015-02-01T00:00:06.000+08:00,2015-02-01T00:05:26.000+08:00,N,1,0,0,-73.94564819335938,40.80781173706055,-73.95220184326172,40.813961029052734,1,0.92,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,1,1
green,2,2015-02-01T00:00:09.000+08:00,2015-02-01T00:25:24.000+08:00,N,1,0,0,-73.95481872558594,40.820701599121094,-73.99883270263672,40.729896545410156,1,8.76,28.5,0.5,0.5,5.8,0.0,"",0.3,35.6,1,1
green,2,2015-02-01T00:00:21.000+08:00,2015-02-01T00:07:10.000+08:00,N,1,0,0,-73.91641235351562,40.76103210449219,-73.90843963623047,40.77457809448242,3,1.22,6.5,0.5,0.5,1.4,0.0,"",0.3,9.2,1,1
green,2,2015-02-01T00:00:13.000+08:00,2015-02-01T00:09:51.000+08:00,N,5,0,0,-73.91413116455078,40.836639404296875,-73.9126205444336,40.82376480102539,1,1.41,7.0,0.0,0.0,0.0,0.0,"",0.0,7.0,2,2
green,2,2015-02-01T00:00:12.000+08:00,2015-02-01T00:09:35.000+08:00,N,1,0,0,-73.9235610961914,40.76406478881836,-73.91692352294922,40.780269622802734,1,1.5,8.5,0.5,0.5,2.45,0.0,"",0.3,12.25,1,1
green,2,2015-02-01T00:00:17.000+08:00,2015-02-01T00:13:37.000+08:00,N,1,0,0,-73.97601318359375,40.684051513671875,-73.92850494384766,40.69101333618164,1,3.61,13.5,0.5,0.5,0.0,0.0,"",0.3,14.8,1,1
green,2,2015-02-01T00:00:37.000+08:00,2015-02-01T00:10:47.000+08:00,N,1,0,0,-73.9205322265625,40.763736724853516,-73.9248275756836,40.76861572265625,1,1.13,8.0,0.5,0.5,0.0,0.0,"",0.3,9.3,2,1
green,2,2015-02-01T00:00:25.000+08:00,2015-02-01T00:18:03.000+08:00,N,1,0,0,-73.95500946044922,40.73422622680664,-73.93684387207031,40.69778060913086,5,2.89,13.5,0.5,0.5,3.7,0.0,"",0.3,18.5,1,1
green,2,2015-02-01T00:00:44.000+08:00,2015-02-01T00:10:23.000+08:00,N,1,0,0,-73.95836639404297,40.679588317871094,-73.94963073730469,40.716575622558594,1,2.78,10.5,0.5,0.5,2.36,0.0,"",0.3,14.16,1,1
green,2,2015-02-01T00:00:40.000+08:00,2015-02-01T00:04:57.000+08:00,N,1,0,0,-73.84423065185547,40.721431732177734,-73.8560562133789,40.71977233886719,1,0.83,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-02-01T00:00:48.000+08:00,2015-02-01T00:17:08.000+08:00,N,1,0,0,-73.95095825195312,40.670780181884766,-73.96672058105469,40.63847351074219,1,3.12,13.0,0.5,0.5,2.7,0.0,"",0.3,17.0,1,1
green,2,2015-02-01T00:00:46.000+08:00,2015-02-01T00:22:42.000+08:00,N,1,0,0,-73.91816711425781,40.76543426513672,-73.96640014648438,40.677154541015625,1,9.54,28.5,0.5,0.5,5.96,0.0,"",0.3,35.76,1,1
green,1,2015-02-01T00:00:33.000+08:00,2015-02-01T00:13:05.000+08:00,N,1,0,0,-73.93885040283203,40.8053092956543,-73.96653747558594,40.78925704956055,1,2.4,11.5,0.5,0.5,0.0,0.0,"",0.3,12.8,2,1
green,1,2015-02-01T00:00:29.000+08:00,2015-02-01T00:10:13.000+08:00,N,1,0,0,-73.9913558959961,40.673377990722656,-73.97325134277344,40.695926666259766,1,2.3,9.5,0.5,0.5,3.2,0.0,"",0.3,14.0,1,1
green,2,2015-02-01T00:01:42.000+08:00,2015-02-01T00:09:21.000+08:00,N,1,0,0,-73.8442153930664,40.7209587097168,-73.85216522216797,40.744110107421875,1,1.75,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2015-02-01T00:00:52.000+08:00,2015-02-01T00:06:11.000+08:00,N,1,0,0,-73.95435333251953,40.7906494140625,-73.95433044433594,40.778804779052734,5,1.11,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-02-01T00:01:45.000+08:00,2015-02-01T00:12:09.000+08:00,N,1,0,0,-73.9816665649414,40.67958068847656,-73.95378875732422,40.683067321777344,1,2.12,10.0,0.5,0.5,2.26,0.0,"",0.3,13.56,1,1
green,2,2015-02-01T00:01:16.000+08:00,2015-02-01T00:17:00.000+08:00,N,1,0,0,-73.91221618652344,40.77391815185547,-73.92814636230469,40.758583068847656,1,2.62,12.0,0.5,0.5,0.0,0.0,"",0.0,13.0,2,1
green,2,2015-02-01T00:01:11.000+08:00,2015-02-01T00:19:05.000+08:00,N,1,0,0,-73.92313385009766,40.755191802978516,-73.86405944824219,40.750362396240234,1,3.68,14.5,0.5,0.5,0.0,0.0,"",0.3,15.8,2,1
green,2,2015-02-01T00:01:08.000+08:00,2015-02-01T00:31:08.000+08:00,N,1,0,0,-73.95757293701172,40.72979736328125,-73.97174072265625,40.67140197753906,1,5.9,23.0,0.5,0.5,4.7,0.0,"",0.3,29.0,1,1
green,2,2015-02-01T00:01:38.000+08:00,2015-02-01T00:11:35.000+08:00,N,1,0,0,-73.910400390625,40.82321548461914,-73.90894317626953,40.83332443237305,5,1.22,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,1,1
