taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,1,2015-03-01T00:02:05.000+08:00,2015-03-01T00:08:01.000+08:00,N,1,0,0,-73.96147918701172,40.80187225341797,-73.98072052001953,40.775054931640625,1,2.1,8.0,0.5,0.5,0.0,0.0,"",0.3,9.3,1,1
green,1,2015-03-01T00:02:11.000+08:00,2015-03-01T00:27:09.000+08:00,N,1,0,0,-73.9797592163086,40.677467346191406,-74.01709747314453,40.71092987060547,1,4.7,20.0,0.5,0.5,4.0,0.0,"",0.3,25.3,1,1
green,2,2015-03-01T00:02:07.000+08:00,2015-03-01T00:10:31.000+08:00,N,1,0,0,-73.94137573242188,40.83363342285156,-73.92668914794922,40.86341094970703,1,3.09,11.0,0.5,0.5,0.0,0.0,"",0.3,12.3,2,1
green,1,2015-03-01T00:02:13.000+08:00,2015-03-01T00:09:09.000+08:00,N,1,0,0,-73.9396743774414,40.82115173339844,-73.93185424804688,40.846458435058594,1,2.2,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,4,1
green,2,2015-03-01T00:02:18.000+08:00,2015-03-01T00:07:52.000+08:00,N,1,0,0,-73.95734405517578,40.71295928955078,-73.95479583740234,40.71965026855469,6,0.75,5.5,0.5,0.5,1.0,0.0,"",0.3,7.8,1,1
green,2,2015-03-01T00:02:20.000+08:00,2015-03-01T00:08:54.000+08:00,N,1,0,0,-73.84425354003906,40.7209358215332,-73.86347198486328,40.73740005493164,1,1.97,8.0,0.5,0.5,2.32,0.0,"",0.3,11.62,1,1
green,2,2015-03-01T00:02:16.000+08:00,2015-03-01T00:05:39.000+08:00,N,1,0,0,-73.94995880126953,40.722354888916016,-73.94645690917969,40.71577453613281,1,0.56,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,1,1
green,1,2015-03-01T00:02:33.000+08:00,2015-03-01T00:19:04.000+08:00,N,1,0,0,-73.86907196044922,40.749305725097656,-73.91903686523438,40.76926040649414,1,4.3,16.5,0.5,0.5,0.0,0.0,"",0.3,17.8,2,1
green,2,2015-03-01T00:02:26.000+08:00,2015-03-01T00:12:27.000+08:00,N,1,0,0,-73.84435272216797,40.72135925292969,-73.83214569091797,40.70622253417969,1,1.93,9.5,0.5,0.5,0.0,0.0,"",0.3,10.8,2,1
green,2,2015-03-01T00:02:23.000+08:00,2015-03-01T00:23:02.000+08:00,N,1,0,0,-73.9935531616211,40.66141891479492,-73.99490356445312,40.71828079223633,1,4.97,19.0,0.5,0.5,6.09,0.0,"",0.3,26.39,1,1
green,2,2015-03-01T00:02:42.000+08:00,2015-03-01T00:11:09.000+08:00,N,1,0,0,-73.93870544433594,40.80514144897461,-73.94985961914062,40.78099060058594,1,2.07,9.0,0.5,0.5,0.0,0.0,"",0.3,10.3,2,1
green,2,2015-03-01T00:02:28.000+08:00,2015-03-01T00:05:00.000+08:00,N,1,0,0,-73.98456573486328,40.6634407043457,-73.99236297607422,40.66248321533203,1,0.56,4.0,0.5,0.5,3.0,0.0,"",0.3,8.3,1,1
green,2,2015-03-01T00:02:44.000+08:00,2015-03-01T00:13:03.000+08:00,N,1,0,0,-73.93841552734375,40.846839904785156,-73.92527770996094,40.86498260498047,2,1.67,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2015-03-01T00:02:36.000+08:00,2015-03-01T00:15:59.000+08:00,N,1,0,0,-73.870361328125,40.73384094238281,-73.87458038330078,40.754478454589844,1,2.26,11.0,0.5,0.5,2.3,0.0,"",0.0,14.3,1,1
green,2,2015-03-01T00:02:24.000+08:00,2015-03-01T00:16:20.000+08:00,N,1,0,0,-73.92073822021484,40.76786804199219,-73.97139739990234,40.75920486450195,2,3.95,14.0,0.5,0.5,0.0,0.0,"",0.3,15.3,1,1
green,1,2015-03-01T00:03:12.000+08:00,2015-03-01T00:07:59.000+08:00,N,1,0,0,-73.95771789550781,40.81497573852539,-73.9621353149414,40.80473709106445,1,0.8,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,1,2015-03-01T00:03:24.000+08:00,2015-03-01T00:35:12.000+08:00,N,1,0,0,-73.98209381103516,40.67425537109375,-73.85136413574219,40.72132873535156,1,11.0,35.5,0.5,0.5,3.2,0.0,"",0.3,40.0,1,1
green,1,2015-03-01T00:02:57.000+08:00,2015-03-01T00:28:47.000+08:00,N,1,0,0,-73.92144775390625,40.69856262207031,-73.8646469116211,40.67643356323242,1,4.4,19.5,0.5,0.5,0.0,0.0,"",0.3,20.8,2,1
green,2,2015-03-01T00:03:01.000+08:00,2015-03-01T00:35:21.000+08:00,N,1,0,0,-73.94310760498047,40.808555603027344,-74.00538635253906,40.71901321411133,1,10.95,35.0,0.5,0.5,5.0,0.0,"",0.3,41.3,1,1
green,2,2015-03-01T00:03:05.000+08:00,2015-03-01T00:11:50.000+08:00,N,1,0,0,-73.94140625,40.747440338134766,-73.91036987304688,40.748558044433594,1,2.03,8.5,0.5,0.5,2.45,0.0,"",0.3,12.25,1,1
green,2,2015-03-01T00:03:19.000+08:00,2015-03-01T00:14:48.000+08:00,N,1,0,0,-73.9430160522461,40.836753845214844,-73.91825103759766,40.83890151977539,1,2.51,10.0,0.5,0.5,0.0,0.0,"",0.3,11.3,2,1
green,2,2015-03-01T00:02:52.000+08:00,2015-03-01T00:13:35.000+08:00,N,1,0,0,-73.92852783203125,40.755470275878906,-73.9684066772461,40.75503158569336,1,2.91,11.5,0.5,0.5,0.0,0.0,"",0.3,12.8,2,1
green,2,2015-03-01T00:02:55.000+08:00,2015-03-01T00:09:14.000+08:00,N,1,0,0,-73.97607421875,40.683616638183594,-73.97795104980469,40.69340133666992,2,0.85,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,2,1
green,2,2015-03-01T00:03:17.000+08:00,2015-03-01T00:08:39.000+08:00,N,1,0,0,-73.92241668701172,40.7673454284668,-73.92752075195312,40.77153778076172,1,0.65,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-03-01T00:03:08.000+08:00,2015-03-01T00:22:37.000+08:00,N,1,0,0,-73.91893005371094,40.70697021484375,-73.9552993774414,40.722145080566406,6,3.68,15.5,0.5,0.5,3.0,0.0,"",0.0,19.5,1,1
green,2,2015-03-01T00:02:51.000+08:00,2015-03-01T00:16:01.000+08:00,N,1,0,0,-73.96212005615234,40.7158317565918,-74.00154876708984,40.7182502746582,2,5.1,16.5,0.5,0.5,4.45,0.0,"",0.3,22.25,1,1
green,2,2015-03-01T00:03:02.000+08:00,2015-03-01T00:17:26.000+08:00,N,1,0,0,-73.91529846191406,40.805850982666016,-73.90180969238281,40.847530364990234,1,4.82,16.5,0.5,0.5,0.0,0.0,"",0.3,17.8,2,1
green,2,2015-03-01T00:03:25.000+08:00,2015-03-01T00:09:02.000+08:00,N,1,0,0,-73.91634368896484,40.760963439941406,-73.92121124267578,40.744991302490234,1,1.27,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,2,1
green,2,2015-03-01T00:02:47.000+08:00,2015-03-01T00:07:27.000+08:00,N,1,0,0,-73.88274383544922,40.75581741333008,-73.864990234375,40.75763702392578,1,0.91,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-03-01T00:03:23.000+08:00,2015-03-01T00:10:24.000+08:00,N,1,0,0,-73.83455657958984,40.706993103027344,-73.86870574951172,40.720558166503906,1,2.16,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2015-03-01T00:03:14.000+08:00,2015-03-01T00:07:48.000+08:00,N,1,0,0,-73.9578628540039,40.71384811401367,-73.9479751586914,40.710575103759766,1,0.87,5.5,0.5,0.5,1.7,0.0,"",0.3,8.5,1,1
green,1,2015-03-01T00:04:43.000+08:00,2015-03-01T00:24:20.000+08:00,N,1,0,0,-73.95932006835938,40.71784973144531,-73.97401428222656,40.6739501953125,1,4.9,18.0,0.5,0.5,0.0,0.0,"",0.3,19.3,2,1
green,1,2015-03-01T00:04:22.000+08:00,2015-03-01T00:15:39.000+08:00,Y,1,0,0,-73.99336242675781,40.682518005371094,-73.97631072998047,40.66946029663086,1,2.3,10.5,0.5,0.5,1.0,0.0,"",0.3,12.8,1,1
green,1,2015-03-01T00:04:37.000+08:00,2015-03-01T00:17:49.000+08:00,N,1,0,0,-73.89200592041016,40.74668502807617,-73.86517333984375,40.73556900024414,1,2.1,10.5,0.5,0.5,0.0,0.0,"",0.3,11.8,2,1
green,1,2015-03-01T00:03:41.000+08:00,2015-03-01T00:20:43.000+08:00,N,1,0,0,-73.98042297363281,40.666160583496094,-73.95846557617188,40.68834686279297,3,3.0,13.5,0.5,0.5,0.0,0.0,"",0.3,14.8,2,1
green,2,2015-03-01T00:03:57.000+08:00,2015-03-01T00:15:42.000+08:00,N,1,0,0,-73.88085174560547,40.74192428588867,-73.85826110839844,40.749755859375,1,2.05,9.0,0.5,0.5,0.0,0.0,"",0.3,10.3,2,1
green,2,2015-03-01T00:04:02.000+08:00,2015-03-01T00:19:43.000+08:00,N,1,0,0,-73.9736328125,40.68728256225586,-73.95230102539062,40.74526596069336,3,5.15,17.5,0.5,0.5,0.0,0.0,"",0.3,18.8,2,1
green,2,2015-03-01T00:02:04.000+08:00,2015-03-01T00:25:47.000+08:00,N,1,0,0,-73.95182037353516,40.72555923461914,-73.94758605957031,40.673255920410156,1,4.16,17.5,0.5,0.5,0.0,0.0,"",0.3,18.8,2,1
green,2,2015-03-01T00:02:07.000+08:00,2015-03-01T00:13:32.000+08:00,N,1,0,0,-73.9247817993164,40.82236862182617,-73.89300537109375,40.859832763671875,6,3.32,11.5,0.5,0.5,0.0,0.0,"",0.3,12.8,2,1
green,2,2015-03-01T00:02:09.000+08:00,2015-03-01T00:18:35.000+08:00,N,1,0,0,-73.91329956054688,40.70087814331055,-73.91156005859375,40.69955825805664,1,0.69,10.5,0.5,0.5,0.0,0.0,"",0.3,11.8,2,1
green,1,2015-03-01T00:02:18.000+08:00,2015-03-01T00:17:39.000+08:00,N,1,0,0,-73.96900177001953,40.68952560424805,-73.96019744873047,40.64573287963867,1,3.3,13.5,0.5,0.5,0.0,0.0,"",0.3,14.8,2,1
green,1,2015-03-01T00:02:12.000+08:00,2015-03-01T00:09:53.000+08:00,N,1,0,0,-73.94615936279297,40.61762619018555,-73.96318054199219,40.63315200805664,1,2.2,9.0,0.5,0.5,0.0,0.0,"",0.3,10.3,2,1
green,2,2015-03-01T00:02:16.000+08:00,2015-03-01T00:04:11.000+08:00,N,1,0,0,-73.95060729980469,40.66933059692383,-73.95040893554688,40.66240310668945,1,0.49,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
