taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2015-09-01T00:02:34.000+08:00,2015-09-01T00:02:38.000+08:00,N,5,0,0,-73.97948455810547,40.68495559692383,-73.97943115234375,40.685020446777344,1,0.0,7.8,0.0,0.0,1.95,0.0,"",0.0,9.75,1,2
green,2,2015-09-01T00:04:20.000+08:00,2015-09-01T00:04:24.000+08:00,N,5,0,0,-74.01079559326172,40.91221618652344,-74.01078033447266,40.91221237182617,1,0.0,45.0,0.0,0.0,0.0,0.0,"",0.0,45.0,1,2
green,2,2015-09-01T00:01:50.000+08:00,2015-09-01T00:04:24.000+08:00,N,1,0,0,-73.9214096069336,40.76670837402344,-73.91441345214844,40.764686584472656,1,0.59,4.0,0.5,0.5,0.5,0.0,"",0.3,5.8,1,1
green,2,2015-09-01T00:02:36.000+08:00,2015-09-01T00:06:42.000+08:00,N,1,0,0,-73.92138671875,40.76667785644531,-73.93142700195312,40.771583557128906,1,0.74,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:00:14.000+08:00,2015-09-01T00:04:20.000+08:00,N,1,0,0,-73.95548248291016,40.714046478271484,-73.94441223144531,40.71472930908203,1,0.61,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:00:39.000+08:00,2015-09-01T00:05:20.000+08:00,N,1,0,0,-73.94529724121094,40.80818557739258,-73.93766784667969,40.821197509765625,1,1.07,5.5,0.5,0.5,1.36,0.0,"",0.3,8.16,1,1
green,2,2015-09-01T00:00:52.000+08:00,2015-09-01T00:05:50.000+08:00,N,1,0,0,-73.89087677001953,40.74642562866211,-73.87692260742188,40.75630569458008,1,1.43,6.5,0.5,0.5,0.0,0.0,"",0.3,7.8,1,1
green,2,2015-09-01T00:02:15.000+08:00,2015-09-01T00:05:34.000+08:00,N,1,0,0,-73.94670104980469,40.79732131958008,-73.9376449584961,40.80451583862305,1,0.9,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:02:36.000+08:00,2015-09-01T00:07:20.000+08:00,N,1,0,0,-73.96315002441406,40.69382858276367,-73.956787109375,40.6805305480957,1,1.33,6.0,0.5,0.5,1.46,0.0,"",0.3,8.76,1,1
green,2,2015-09-01T00:02:13.000+08:00,2015-09-01T00:07:23.000+08:00,N,1,0,0,-73.89682006835938,40.74612808227539,-73.88862609863281,40.752723693847656,1,0.84,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-09-01T00:01:12.000+08:00,2015-09-01T00:05:03.000+08:00,N,1,0,0,-73.82991790771484,40.713768005371094,-73.83494567871094,40.70729064941406,2,0.8,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:04:00.000+08:00,2015-09-01T00:06:06.000+08:00,N,1,0,0,-73.9055404663086,40.772525787353516,-73.8953628540039,40.76896286010742,1,0.7,4.0,0.5,0.5,1.06,0.0,"",0.3,6.36,1,1
green,2,2015-09-01T00:03:06.000+08:00,2015-09-01T00:07:40.000+08:00,N,1,0,0,-73.941650390625,40.818294525146484,-73.950927734375,40.82603073120117,1,1.01,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-09-01T00:05:01.000+08:00,2015-09-01T00:07:11.000+08:00,N,1,0,0,-73.93252563476562,40.85680389404297,-73.93136596679688,40.856117248535156,1,0.39,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-09-01T00:04:59.000+08:00,2015-09-01T00:07:27.000+08:00,N,1,0,0,-73.95282745361328,40.808353424072266,-73.94914245605469,40.80290985107422,1,0.56,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-09-01T00:00:58.000+08:00,2015-09-01T00:07:54.000+08:00,N,1,0,0,-73.904052734375,40.87870788574219,-73.89696502685547,40.90113067626953,1,1.8,7.5,0.5,0.5,0.0,0.0,"",0.3,8.8,2,1
green,2,2015-09-01T00:01:09.000+08:00,2015-09-01T00:08:23.000+08:00,N,1,0,0,-74.02134704589844,40.647010803222656,-74.00405883789062,40.65459442138672,1,1.46,7.5,0.5,0.5,0.0,0.0,"",0.3,8.8,2,1
green,2,2015-09-01T00:04:02.000+08:00,2015-09-01T00:07:20.000+08:00,N,1,0,0,-73.95098876953125,40.68049621582031,-73.9539566040039,40.69042205810547,1,0.88,5.0,0.5,0.5,1.26,0.0,"",0.3,7.56,1,1
green,2,2015-09-01T00:00:17.000+08:00,2015-09-01T00:07:29.000+08:00,N,1,0,0,-73.84967041015625,40.72400665283203,-73.83512878417969,40.70719909667969,1,1.73,7.5,0.5,0.5,0.0,0.0,"",0.3,8.8,2,1
green,2,2015-09-01T00:01:32.000+08:00,2015-09-01T00:07:27.000+08:00,N,1,0,0,-73.9466781616211,40.80628967285156,-73.93624877929688,40.799251556396484,1,0.82,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-09-01T00:00:23.000+08:00,2015-09-01T00:07:19.000+08:00,N,1,0,0,-73.98682403564453,40.702457427978516,-73.97278594970703,40.692901611328125,5,1.81,8.0,0.5,0.5,0.0,0.0,"",0.3,9.3,2,1
green,2,2015-09-01T00:04:22.000+08:00,2015-09-01T00:08:17.000+08:00,N,1,0,0,-73.91205596923828,40.7754020690918,-73.89364624023438,40.76850509643555,1,1.34,6.0,0.5,0.5,1.46,0.0,"",0.3,8.76,1,1
green,2,2015-09-01T00:04:08.000+08:00,2015-09-01T00:10:00.000+08:00,N,1,0,0,-73.96174621582031,40.71377944946289,-73.98593139648438,40.718048095703125,6,1.83,8.0,0.5,0.5,1.86,0.0,"",0.3,11.16,1,1
green,2,2015-09-01T00:01:30.000+08:00,2015-09-01T00:08:01.000+08:00,N,1,0,0,-73.94091033935547,40.69868087768555,-73.94107818603516,40.6828498840332,1,1.43,7.0,0.5,0.5,0.0,0.0,"",0.3,8.3,2,1
green,2,2015-09-01T00:01:06.000+08:00,2015-09-01T00:10:16.000+08:00,N,1,0,0,-73.84423828125,40.72149658203125,-73.8086929321289,40.73440170288086,1,2.75,10.5,0.5,0.5,0.0,0.0,"",0.3,11.8,2,1
green,2,2015-09-01T00:03:22.000+08:00,2015-09-01T00:09:20.000+08:00,N,1,0,0,-73.89108276367188,40.746910095214844,-73.87848663330078,40.7494010925293,1,1.18,6.5,0.5,0.5,0.0,0.0,"",0.3,7.8,2,1
green,2,2015-09-01T00:00:35.000+08:00,2015-09-01T00:08:31.000+08:00,N,1,0,0,-73.84487915039062,40.75502395629883,-73.87222290039062,40.773990631103516,1,2.92,10.5,0.5,0.5,2.36,0.0,"",0.3,14.16,1,1
green,2,2015-09-01T00:08:11.000+08:00,2015-09-01T00:08:32.000+08:00,N,1,0,0,-73.87079620361328,40.733463287353516,-73.87014770507812,40.73357391357422,1,0.03,2.5,0.5,0.5,0.0,0.0,"",0.3,3.8,2,1
green,2,2015-09-01T00:06:37.000+08:00,2015-09-01T00:09:37.000+08:00,N,1,0,0,-73.94847869873047,40.81386184692383,-73.94107055664062,40.81884002685547,1,0.0,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-09-01T00:02:38.000+08:00,2015-09-01T00:10:32.000+08:00,N,1,0,0,-73.95164489746094,40.713661193847656,-73.95014190673828,40.69989013671875,1,1.49,7.5,0.5,0.5,0.0,0.0,"",0.3,8.8,2,1
green,2,2015-09-01T00:00:42.000+08:00,2015-09-01T00:11:15.000+08:00,N,1,0,0,-73.9956283569336,40.67914581298828,-73.9570083618164,40.720516204833984,5,5.53,16.5,0.5,0.5,0.0,0.0,"",0.3,17.8,2,1
green,2,2015-09-01T00:07:12.000+08:00,2015-09-01T00:07:27.000+08:00,N,2,0,0,-73.84426879882812,40.755165100097656,-73.84465026855469,40.75505828857422,1,0.0,52.0,0.0,0.5,0.0,0.0,"",0.3,52.8,2,1
green,2,2015-09-01T00:05:53.000+08:00,2015-09-01T00:08:20.000+08:00,N,1,0,0,-73.91834259033203,40.75566101074219,-73.91419219970703,40.75810623168945,1,0.36,3.5,0.5,0.5,1.44,0.0,"",0.3,6.24,1,1
green,2,2015-09-01T00:02:35.000+08:00,2015-09-01T00:07:58.000+08:00,N,1,0,0,-73.89093017578125,40.7469367980957,-73.87989807128906,40.74806594848633,1,0.55,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:00:15.000+08:00,2015-09-01T00:08:50.000+08:00,N,1,0,0,-73.829833984375,40.759708404541016,-73.7988510131836,40.74966812133789,1,2.13,9.0,0.5,0.5,1.0,0.0,"",0.3,11.3,1,1
green,2,2015-09-01T00:03:22.000+08:00,2015-09-01T00:08:56.000+08:00,N,1,0,0,-73.80696105957031,40.69911575317383,-73.78166961669922,40.703426361083984,1,1.63,7.0,0.5,0.5,0.0,0.0,"",0.3,8.3,2,1
green,2,2015-09-01T00:01:30.000+08:00,2015-09-01T00:08:05.000+08:00,N,1,0,0,-73.92558288574219,40.81029510498047,-73.91496276855469,40.83723068237305,1,1.97,8.0,0.5,0.5,0.0,0.0,"",0.3,9.3,2,1
green,2,2015-09-01T00:02:52.000+08:00,2015-09-01T00:05:18.000+08:00,N,1,0,0,-73.95274353027344,40.78912353515625,-73.94435119628906,40.79976272583008,1,0.85,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2015-09-01T00:01:49.000+08:00,2015-09-01T00:05:37.000+08:00,N,1,0,0,-73.927001953125,40.703773498535156,-73.94071960449219,40.701087951660156,2,0.79,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-09-01T00:03:08.000+08:00,2015-09-01T00:06:18.000+08:00,N,1,0,0,-73.95747375488281,40.71445846557617,-73.95093536376953,40.723724365234375,2,0.96,5.0,0.5,0.5,1.26,0.0,"",0.3,7.56,1,1
green,2,2015-09-01T00:04:48.000+08:00,2015-09-01T00:06:44.000+08:00,N,1,0,0,-73.94312286376953,40.82661437988281,-73.94340515136719,40.829246520996094,1,0.65,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-09-01T00:03:44.000+08:00,2015-09-01T00:06:02.000+08:00,N,1,0,0,-73.95162963867188,40.74372100830078,-73.952880859375,40.7463264465332,2,0.3,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-09-01T00:03:56.000+08:00,2015-09-01T00:10:29.000+08:00,N,1,0,0,-73.92769622802734,40.86529541015625,-73.91048431396484,40.87743377685547,1,1.47,7.5,0.5,0.5,0.0,0.0,"",0.3,8.8,2,1
green,2,2015-09-01T00:04:38.000+08:00,2015-09-01T00:08:54.000+08:00,N,1,0,0,-73.89136505126953,40.74691390991211,-73.89482116699219,40.7606315612793,1,1.45,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,2,1
green,2,2015-09-01T00:12:26.000+08:00,2015-09-01T00:12:34.000+08:00,N,5,0,0,-73.87332153320312,40.84017562866211,-73.87330627441406,40.840187072753906,1,0.0,9.0,0.0,0.0,0.0,0.0,"",0.0,9.0,1,2
green,2,2015-09-01T00:05:40.000+08:00,2015-09-01T00:07:49.000+08:00,N,1,0,0,-73.96259307861328,40.80462646484375,-73.958740234375,40.80068588256836,1,0.46,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-09-01T00:04:51.000+08:00,2015-09-01T00:08:09.000+08:00,N,1,0,0,-73.95230865478516,40.80329513549805,-73.94136047363281,40.81830596923828,1,1.19,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,1,1
green,2,2015-09-01T00:05:48.000+08:00,2015-09-01T00:07:58.000+08:00,N,1,0,0,-73.92637634277344,40.818321228027344,-73.92359924316406,40.814453125,5,0.44,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-09-01T00:06:27.000+08:00,2015-09-01T00:09:11.000+08:00,N,1,0,0,-73.93852996826172,40.804988861083984,-73.93583679199219,40.80709457397461,1,0.4,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-09-01T00:06:09.000+08:00,2015-09-01T00:09:10.000+08:00,N,1,0,0,-73.829833984375,40.7137336730957,-73.8316421508789,40.70571517944336,1,0.76,4.5,0.5,0.5,1.16,0.0,"",0.3,6.96,1,1
