taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2015-11-01T00:57:34.000+08:00,2015-11-01T23:57:45.000+08:00,N,5,0,0,-73.95508575439453,40.66372299194336,-73.958984375,40.663448333740234,1,0.09,15.0,0.0,0.0,0.0,0.0,"",0.0,15.0,2,2
green,2,2015-11-01T00:57:34.000+08:00,2015-11-01T23:57:45.000+08:00,N,5,0,0,-73.95508575439453,40.66372299194336,-73.958984375,40.663448333740234,1,0.09,-15.0,0.0,0.0,0.0,0.0,"",0.0,-15.0,3,2
green,2,2015-11-01T00:01:58.000+08:00,2015-11-01T00:02:16.000+08:00,N,1,0,0,-73.91333770751953,40.87187576293945,-73.91588592529297,40.869903564453125,1,0.07,2.5,0.5,0.5,0.0,0.0,"",0.3,3.8,2,1
green,2,2015-11-01T00:00:15.000+08:00,2015-11-01T00:02:13.000+08:00,N,1,0,0,-73.94207763671875,40.83808517456055,-73.9476089477539,40.830501556396484,1,0.59,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-11-01T00:01:37.000+08:00,2015-11-01T00:02:42.000+08:00,N,1,0,0,-73.95015716552734,40.82627868652344,-73.94412994384766,40.823734283447266,1,0.37,3.0,0.5,0.5,0.86,0.0,"",0.3,5.16,1,1
green,2,2015-11-01T00:00:36.000+08:00,2015-11-01T00:02:02.000+08:00,N,1,0,0,-73.93526458740234,40.71430587768555,-73.93368530273438,40.71400833129883,1,0.11,3.0,0.5,0.5,0.0,0.0,"",0.3,4.3,2,1
green,2,2015-11-01T00:53:39.000+08:00,2015-11-02T00:02:50.000+08:00,N,1,0,0,-73.94361114501953,40.83017349243164,-73.95242309570312,40.80815124511719,1,1.82,9.0,0.5,0.5,1.5,0.0,"",0.3,11.8,1,1
green,2,2015-11-01T00:00:08.000+08:00,2015-11-01T00:03:14.000+08:00,N,1,0,0,-73.9056396484375,40.88753128051758,-73.90950775146484,40.89284133911133,1,0.68,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2015-11-01T00:00:31.000+08:00,2015-11-01T00:03:35.000+08:00,N,1,0,0,-73.95230102539062,40.70647048950195,-73.95777130126953,40.708499908447266,1,0.34,4.0,0.5,0.5,1.06,0.0,"",0.3,6.36,1,1
green,2,2015-11-01T00:00:37.000+08:00,2015-11-01T00:03:53.000+08:00,N,1,0,0,-73.95785522460938,40.811126708984375,-73.95294952392578,40.81796646118164,1,0.53,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2015-11-01T00:00:21.000+08:00,2015-11-01T00:03:19.000+08:00,N,1,0,0,-73.95181274414062,40.71486282348633,-73.95169830322266,40.7137451171875,1,0.27,3.5,0.5,0.5,15.0,0.0,"",0.3,19.8,1,1
green,2,2015-11-01T00:03:48.000+08:00,2015-11-01T00:03:48.000+08:00,N,5,0,0,-73.98339080810547,40.69316101074219,-73.93849182128906,40.797386169433594,1,0.06,30.0,0.0,0.0,0.0,0.0,"",0.0,30.0,2,2
green,2,2015-11-01T00:00:48.000+08:00,2015-11-01T00:04:00.000+08:00,N,1,0,0,-73.95693969726562,40.802207946777344,-73.95260620117188,40.808101654052734,1,0.46,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,1,1
green,2,2015-11-01T00:01:56.000+08:00,2015-11-01T00:03:40.000+08:00,N,1,0,0,-73.92178344726562,40.76652908325195,-73.92521667480469,40.76237106323242,1,0.36,3.5,0.5,0.5,1.2,0.0,"",0.3,6.0,1,1
green,2,2015-11-01T00:00:48.000+08:00,2015-11-01T00:03:56.000+08:00,N,1,0,0,-73.91622924804688,40.71357345581055,-73.92709350585938,40.70541763305664,1,0.82,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,1,1
green,2,2015-11-01T00:02:13.000+08:00,2015-11-01T00:04:22.000+08:00,N,1,0,0,-73.94892120361328,40.71101379394531,-73.94459533691406,40.70868682861328,1,0.39,3.5,0.5,0.5,0.96,0.0,"",0.3,5.76,1,1
green,2,2015-11-01T00:01:03.000+08:00,2015-11-01T00:04:03.000+08:00,N,1,0,0,-73.95390319824219,40.78752136230469,-73.94337463378906,40.802024841308594,1,1.14,5.0,0.5,0.5,1.0,0.0,"",0.3,7.3,1,1
green,2,2015-11-01T00:02:01.000+08:00,2015-11-01T00:04:09.000+08:00,N,1,0,0,-73.95454406738281,40.73179244995117,-73.95834350585938,40.735595703125,1,0.45,3.5,0.5,0.5,1.44,0.0,"",0.3,6.24,1,1
green,2,2015-11-01T00:00:47.000+08:00,2015-11-01T00:04:12.000+08:00,N,1,0,0,-73.89492797851562,40.70174789428711,-73.8994369506836,40.71058654785156,1,0.66,4.5,0.5,0.5,1.0,0.0,"",0.3,6.8,1,1
green,2,2015-11-01T00:01:39.000+08:00,2015-11-01T00:04:35.000+08:00,N,1,0,0,-73.9554214477539,40.80424118041992,-73.94647979736328,40.806358337402344,1,0.7,4.5,0.5,0.5,1.45,0.0,"",0.3,7.25,1,1
green,2,2015-11-01T00:01:38.000+08:00,2015-11-01T00:03:54.000+08:00,N,1,0,0,-73.95757293701172,40.67158126831055,-73.96175384521484,40.667701721191406,1,0.4,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-11-01T00:05:09.000+08:00,2015-11-01T00:05:14.000+08:00,N,2,0,0,-73.9668960571289,40.7105712890625,-73.96688842773438,40.710567474365234,2,0.0,52.0,0.0,0.5,0.0,0.0,"",0.3,52.8,2,1
green,2,2015-11-01T00:00:54.000+08:00,2015-11-01T00:05:10.000+08:00,N,1,0,0,-73.98062133789062,40.67624282836914,-73.99134826660156,40.663360595703125,1,1.07,5.5,0.5,0.5,2.04,0.0,"",0.3,8.84,1,1
green,2,2015-11-01T00:04:50.000+08:00,2015-11-01T00:05:32.000+08:00,N,1,0,0,-73.9504165649414,40.72388458251953,-73.94562530517578,40.72543716430664,1,0.28,3.0,0.5,0.5,0.86,0.0,"",0.3,5.16,1,1
green,2,2015-11-01T00:03:07.000+08:00,2015-11-01T00:05:19.000+08:00,N,1,0,0,-73.9323501586914,40.7957763671875,-73.93917846679688,40.79854965209961,5,0.29,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-11-01T00:04:23.000+08:00,2015-11-01T00:05:31.000+08:00,N,1,0,0,-73.92558288574219,40.7617073059082,-73.92430114746094,40.76142883300781,1,0.02,3.0,0.5,0.5,0.0,0.0,"",0.3,4.3,2,1
green,2,2015-11-01T00:01:41.000+08:00,2015-11-01T00:05:12.000+08:00,N,1,0,0,-73.9033432006836,40.74582290649414,-73.90331268310547,40.755863189697266,1,0.74,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2015-11-01T00:02:38.000+08:00,2015-11-01T00:04:20.000+08:00,N,1,0,0,-73.89534759521484,40.81733703613281,-73.90499877929688,40.812416076660156,1,0.58,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2015-11-01T00:00:33.000+08:00,2015-11-01T00:05:22.000+08:00,N,1,0,0,-73.94825744628906,40.82434844970703,-73.93731689453125,40.81913375854492,1,0.84,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-11-01T00:02:53.000+08:00,2015-11-01T00:05:42.000+08:00,N,1,0,0,-73.94346618652344,40.79945755004883,-73.94794464111328,40.80305862426758,1,0.49,4.0,0.5,0.5,0.0,0.0,"",0.3,5.3,2,1
green,2,2015-11-01T00:00:30.000+08:00,2015-11-01T00:05:39.000+08:00,N,1,0,0,-73.9637451171875,40.7103157043457,-73.95835876464844,40.72187423706055,1,1.19,6.0,0.5,0.5,1.46,0.0,"",0.3,8.76,1,1
green,2,2015-11-01T00:00:16.000+08:00,2015-11-01T00:05:45.000+08:00,N,1,0,0,-73.9880599975586,40.666961669921875,-73.97438049316406,40.643157958984375,1,2.21,8.5,0.5,0.5,1.96,0.0,"",0.3,11.76,1,1
green,2,2015-11-01T00:05:52.000+08:00,2015-11-01T00:05:54.000+08:00,N,5,0,0,-73.93095397949219,40.85928726196289,-73.93095397949219,40.85928726196289,1,0.0,11.0,0.0,0.0,0.0,0.0,"",0.0,11.0,1,2
green,2,2015-11-01T00:00:36.000+08:00,2015-11-01T00:05:42.000+08:00,N,1,0,0,-73.93434143066406,40.80173873901367,-73.9359359741211,40.812049865722656,1,1.27,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,1,1
green,2,2015-11-01T00:00:44.000+08:00,2015-11-01T00:05:50.000+08:00,N,1,0,0,-73.95232391357422,40.80336380004883,-73.94086456298828,40.8057746887207,1,0.88,5.5,0.5,0.5,1.36,0.0,"",0.3,8.16,1,1
green,2,2015-11-01T00:01:43.000+08:00,2015-11-01T00:05:59.000+08:00,N,1,0,0,-73.9210205078125,40.75661849975586,-73.9215087890625,40.764076232910156,1,0.94,5.5,0.5,0.5,1.36,0.0,"",0.3,8.16,1,1
green,2,2015-11-01T00:04:38.000+08:00,2015-11-01T00:04:47.000+08:00,N,1,0,0,-73.94815826416016,40.73054122924805,-73.9482192993164,40.73057556152344,1,0.0,2.5,0.5,0.5,0.0,0.0,"",0.3,3.8,2,1
green,2,2015-11-01T00:02:03.000+08:00,2015-11-01T00:06:07.000+08:00,N,1,0,0,-73.96803283691406,40.689022064208984,-73.96659851074219,40.693336486816406,1,0.4,4.5,0.5,0.5,1.16,0.0,"",0.3,6.96,1,1
green,2,2015-11-01T00:04:30.000+08:00,2015-11-01T00:06:39.000+08:00,N,1,0,0,-73.94929504394531,40.807865142822266,-73.9485092163086,40.801517486572266,1,0.59,4.0,0.5,0.5,3.0,0.0,"",0.3,8.3,1,1
green,2,2015-11-01T00:01:29.000+08:00,2015-11-01T00:05:51.000+08:00,N,1,0,0,-73.91887664794922,40.74299621582031,-73.9044189453125,40.74173355102539,1,0.87,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2015-11-01T00:05:01.000+08:00,2015-11-01T00:05:01.000+08:00,N,1,0,0,-73.98670959472656,40.70170593261719,-73.7435531616211,40.724159240722656,1,18.54,50.5,0.5,0.5,0.0,0.0,"",0.3,51.8,1,1
green,2,2015-11-01T00:01:50.000+08:00,2015-11-01T00:05:46.000+08:00,N,1,0,0,-73.95573425292969,40.717708587646484,-73.95314025878906,40.72697830200195,4,0.82,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2015-11-01T00:00:45.000+08:00,2015-11-01T00:06:26.000+08:00,N,1,0,0,-73.961181640625,40.71660614013672,-73.95756530761719,40.730037689208984,2,1.11,6.0,0.5,0.5,1.46,0.0,"",0.3,8.76,1,1
green,2,2015-11-01T00:01:05.000+08:00,2015-11-01T00:06:36.000+08:00,N,1,0,0,-73.98306274414062,40.675209045410156,-73.99853515625,40.681461334228516,2,1.17,6.0,0.5,0.5,1.5,0.0,"",0.3,8.8,1,1
