taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2016-01-01T00:29:24.000+08:00,2016-01-01T00:39:36.000+08:00,N,1,0,0,-73.92864227294922,40.68061065673828,-73.92427825927734,40.69804382324219,1,1.46,8.0,0.5,0.5,1.86,0.0,"",0.3,11.16,1,1
green,2,2016-01-01T00:19:39.000+08:00,2016-01-01T00:39:18.000+08:00,N,1,0,0,-73.95267486572266,40.723175048828125,-73.92391967773438,40.76137924194336,1,3.56,15.5,0.5,0.5,0.0,0.0,"",0.3,16.8,2,1
green,2,2016-01-01T00:19:33.000+08:00,2016-01-01T00:39:48.000+08:00,N,1,0,0,-73.97161102294922,40.67610549926758,-74.0131607055664,40.64607238769531,1,3.79,16.5,0.5,0.5,4.45,0.0,"",0.3,22.25,1,1
green,2,2016-01-01T00:22:12.000+08:00,2016-01-01T00:38:32.000+08:00,N,1,0,0,-73.989501953125,40.669578552246094,-74.00064849853516,40.68903350830078,1,3.01,13.5,0.5,0.5,0.0,0.0,"",0.3,14.8,2,1
green,2,2016-01-01T00:24:01.000+08:00,2016-01-01T00:39:22.000+08:00,N,1,0,0,-73.96472930908203,40.68285369873047,-73.94071960449219,40.66301345825195,1,2.55,12.0,0.5,0.5,0.0,0.0,"",0.3,13.3,2,1
green,2,2016-01-01T00:32:59.000+08:00,2016-01-01T00:39:35.000+08:00,N,1,0,0,-73.89114379882812,40.746456146240234,-73.86774444580078,40.74211120605469,1,1.37,7.0,0.5,0.5,0.0,0.0,"",0.3,8.3,2,1
green,2,2016-01-01T00:34:42.000+08:00,2016-01-01T00:39:21.000+08:00,N,1,0,0,-73.89667510986328,40.74619674682617,-73.88619232177734,40.745689392089844,1,0.57,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2016-01-01T00:31:23.000+08:00,2016-01-01T00:39:36.000+08:00,N,1,0,0,-73.95335388183594,40.803558349609375,-73.94915008544922,40.79412078857422,1,1.01,7.0,0.5,0.5,0.0,0.0,"",0.3,8.3,2,1
green,2,2016-01-01T00:24:40.000+08:00,2016-01-01T00:39:52.000+08:00,N,1,0,0,-73.99406433105469,40.702816009521484,-73.97157287597656,40.679725646972656,1,2.46,12.0,0.5,0.5,2.0,0.0,"",0.3,15.3,1,1
green,2,2016-01-01T00:28:59.000+08:00,2016-01-01T00:39:23.000+08:00,N,1,0,0,-73.91413116455078,40.75664138793945,-73.91754913330078,40.73965835571289,1,1.61,9.0,0.5,0.5,1.6,0.0,"",0.3,11.9,1,1
