taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:01:39.000+08:00,N,1,0,0,-73.94475555419922,40.81904983520508,-73.9494857788086,40.81261444091797,1,0.49,3.5,0.5,0.5,0.0,0.0,"",0.3,4.8,2,1
green,2,2016-03-01T00:00:23.000+08:00,2016-03-01T00:03:20.000+08:00,N,1,0,0,-73.8697509765625,40.733612060546875,-73.85908508300781,40.73881149291992,1,0.71,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2016-03-01T00:00:29.000+08:00,2016-03-01T00:04:03.000+08:00,N,1,0,0,-73.90343475341797,40.74534606933594,-73.8996353149414,40.73500061035156,5,0.9,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,2,1
green,2,2016-03-01T00:02:46.000+08:00,2016-03-01T00:04:29.000+08:00,N,1,0,0,-73.91485595703125,40.764007568359375,-73.91902923583984,40.7657470703125,1,0.25,3.5,0.5,0.5,1.2,0.0,"",0.3,6.0,1,1
green,2,2016-03-01T00:01:09.000+08:00,2016-03-01T00:04:52.000+08:00,N,1,0,0,-73.95074462890625,40.810585021972656,-73.94052124023438,40.82466506958008,1,1.13,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2016-03-01T00:01:04.000+08:00,2016-03-01T00:04:55.000+08:00,N,1,0,0,-73.91172790527344,40.775428771972656,-73.91460418701172,40.76444625854492,1,0.82,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2016-03-01T00:02:40.000+08:00,2016-03-01T00:05:08.000+08:00,N,1,0,0,-73.9790267944336,40.67853546142578,-73.9743423461914,40.68113327026367,2,0.44,4.0,0.5,0.5,1.06,0.0,"",0.3,6.36,1,1
green,2,2016-03-01T00:00:42.000+08:00,2016-03-01T00:05:30.000+08:00,N,1,0,0,-73.84405517578125,40.72114181518555,-73.85961151123047,40.719505310058594,1,1.0,5.5,0.5,0.5,1.7,0.0,"",0.3,8.5,1,1
green,2,2016-03-01T00:01:27.000+08:00,2016-03-01T00:05:37.000+08:00,N,1,0,0,-73.91205596923828,40.775203704833984,-73.89995574951172,40.771881103515625,5,0.88,5.0,0.5,0.5,1.26,0.0,"",0.3,7.56,1,1
green,2,2016-03-01T00:02:22.000+08:00,2016-03-01T00:05:45.000+08:00,N,1,0,0,-73.94995880126953,40.72208023071289,-73.9570541381836,40.729881286621094,6,0.85,5.0,0.5,0.5,1.26,0.0,"",0.3,7.56,1,1
green,2,2016-03-01T00:02:43.000+08:00,2016-03-01T00:04:52.000+08:00,N,1,0,0,-73.93592834472656,40.79942321777344,-73.94055938720703,40.788818359375,1,0.93,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,2,1
green,2,2016-03-01T00:02:02.000+08:00,2016-03-01T00:05:43.000+08:00,N,1,0,0,-73.94447326660156,40.82380294799805,-73.9364013671875,40.83018112182617,1,0.73,5.0,0.5,0.5,0.0,0.0,"",0.3,6.3,1,1
green,2,2016-03-01T00:01:04.000+08:00,2016-03-01T00:06:09.000+08:00,N,1,0,0,-73.95978546142578,40.655452728271484,-73.94335174560547,40.65607833862305,1,1.04,5.5,0.5,0.5,0.0,0.0,"",0.3,6.8,2,1
green,2,2016-03-01T00:02:38.000+08:00,2016-03-01T00:05:52.000+08:00,N,1,0,0,-73.9391098022461,40.80513381958008,-73.9365005493164,40.81236267089844,1,0.62,4.5,0.5,0.5,1.16,0.0,"",0.3,6.96,1,1
green,2,2016-03-01T00:00:01.000+08:00,2016-03-01T00:06:21.000+08:00,N,1,0,0,-73.95012664794922,40.811561584472656,-73.93608093261719,40.81493377685547,1,1.09,6.5,0.5,0.5,0.0,0.0,"",0.3,7.8,2,1
green,2,2016-03-01T00:02:10.000+08:00,2016-03-01T00:06:16.000+08:00,N,1,0,0,-73.86139678955078,40.8333625793457,-73.86421203613281,40.840023040771484,1,0.6,4.5,0.5,0.5,0.0,0.0,"",0.3,5.8,1,1
green,2,2016-03-01T00:01:54.000+08:00,2016-03-01T00:07:26.000+08:00,N,1,0,0,-73.96109771728516,40.71471405029297,-73.95777130126953,40.7335090637207,2,1.59,6.5,0.5,0.5,1.56,0.0,"",0.3,9.36,1,1
green,2,2016-03-01T00:01:27.000+08:00,2016-03-01T00:06:42.000+08:00,N,1,0,0,-73.9253921508789,40.818111419677734,-73.92816162109375,40.83244323730469,1,1.16,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,2,1
green,2,2016-03-01T00:02:20.000+08:00,2016-03-01T00:07:44.000+08:00,N,1,0,0,-73.94047546386719,40.80568313598633,-73.95256042480469,40.80082321166992,1,1.13,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,2,1
green,2,2016-03-01T00:03:53.000+08:00,2016-03-01T00:08:17.000+08:00,N,1,0,0,-73.95097351074219,40.665321350097656,-73.94322967529297,40.6561164855957,1,1.15,6.0,0.5,0.5,0.0,0.0,"",0.3,7.3,1,1
green,2,2016-03-01T00:02:54.000+08:00,2016-03-01T00:08:30.000+08:00,N,1,0,0,-73.8746337890625,40.73509979248047,-73.88934326171875,40.733848571777344,2,1.06,6.0,0.5,0.5,1.0,0.0,"",0.3,8.3,1,1
green,2,2016-03-01T00:00:35.000+08:00,2016-03-01T00:08:19.000+08:00,N,1,0,0,-73.84429168701172,40.721351623535156,-73.81807708740234,40.7104606628418,1,1.74,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2016-03-01T00:00:07.000+08:00,2016-03-01T00:09:58.000+08:00,N,1,0,0,-73.99280548095703,40.68864822387695,-73.99954223632812,40.655433654785156,2,2.67,10.5,0.5,0.5,0.0,0.0,"",0.3,11.8,2,1
green,2,2016-03-01T00:01:59.000+08:00,2016-03-01T00:10:56.000+08:00,N,1,0,0,-73.80699157714844,40.69917678833008,-73.8403091430664,40.67009353637695,1,4.67,14.5,0.5,0.5,3.16,0.0,"",0.3,18.96,1,1
green,2,2016-03-01T00:05:18.000+08:00,2016-03-01T00:13:01.000+08:00,N,1,0,0,-73.80776977539062,40.700706481933594,-73.789306640625,40.67434310913086,1,2.08,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2016-03-01T00:00:45.000+08:00,2016-03-01T00:12:49.000+08:00,N,1,0,0,-73.9538345336914,40.74356460571289,-73.95931243896484,40.73114776611328,1,1.32,9.5,0.5,0.5,2.7,0.0,"",0.3,13.5,1,1
green,2,2016-03-01T00:03:51.000+08:00,2016-03-01T00:13:18.000+08:00,N,1,0,0,-73.97984313964844,40.68178176879883,-73.95238494873047,40.67439270019531,1,1.76,8.5,0.5,0.5,0.0,0.0,"",0.3,9.8,2,1
green,2,2016-03-01T00:01:22.000+08:00,2016-03-01T00:14:48.000+08:00,N,1,0,0,-73.96653747558594,40.69334030151367,-73.92933654785156,40.6689567565918,1,3.75,13.5,0.5,0.5,0.0,0.0,"",0.3,14.8,2,1
green,2,2016-03-01T00:02:28.000+08:00,2016-03-01T00:14:49.000+08:00,N,1,0,0,-73.86986541748047,40.73358917236328,-73.91938018798828,40.743408203125,1,2.68,12.0,0.5,0.5,0.0,0.0,"",0.3,13.3,2,1
