taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2016-04-01T00:02:03.000+08:00,2016-04-01T00:05:53.000+08:00,N,1,0,0,-73.99118041992188,40.68560791015625,-73.98411560058594,40.695980072021484,1,0.94,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1
green,2,2016-04-01T00:01:31.000+08:00,2016-04-01T00:05:55.000+08:00,N,1,0,0,-73.84429168701172,40.721431732177734,-73.8504409790039,40.724143981933594,1,0.68,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2016-04-01T00:00:57.000+08:00,2016-04-01T00:07:36.000+08:00,N,1,0,0,-73.94400787353516,40.71453857421875,-73.93870544433594,40.72492599487305,1,1.53,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1
green,2,2016-04-01T00:01:22.000+08:00,2016-04-01T00:06:12.000+08:00,N,1,0,0,-73.95278930664062,40.81074905395508,-73.96350860595703,40.796485900878906,1,1.16,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,1,1
green,2,2016-04-01T00:00:56.000+08:00,2016-04-01T00:05:25.000+08:00,N,1,0,0,-73.99124908447266,40.69143295288086,-73.98876190185547,40.683597564697266,3,0.75,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2016-04-01T00:00:47.000+08:00,2016-04-01T00:14:49.000+08:00,N,1,0,0,-73.96870422363281,40.6778564453125,-73.9350357055664,40.65156936645508,1,3.26,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1
green,2,2016-04-01T00:00:07.000+08:00,2016-04-01T00:03:41.000+08:00,N,1,0,0,-73.95787811279297,40.71104049682617,-73.95588684082031,40.7076530456543,1,0.54,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2016-04-01T00:00:13.000+08:00,2016-04-01T00:18:43.000+08:00,N,1,0,0,-73.96064758300781,40.71934509277344,-73.91785430908203,40.781211853027344,1,5.59,18.5,0.5,0.5,4.95,0.0,,0.3,24.75,1,1
green,2,2016-04-01T00:00:34.000+08:00,2016-04-01T00:12:19.000+08:00,N,1,0,0,-73.98406219482422,40.676143646240234,-74.02771759033203,40.632232666015625,1,4.74,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1
green,2,2016-04-01T00:47:13.000+08:00,2016-04-01T00:59:30.000+08:00,N,1,0,0,-73.8845443725586,40.7556037902832,-73.85602569580078,40.74533462524414,1,2.18,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1
green,2,2016-04-01T00:00:39.000+08:00,2016-04-01T00:06:56.000+08:00,N,1,0,0,-73.98051452636719,40.67628860473633,-73.97018432617188,40.678836822509766,1,0.67,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-04-01T00:01:58.000+08:00,2016-04-01T00:05:55.000+08:00,N,1,0,0,-73.95758819580078,40.71797180175781,-73.94892120361328,40.72641372680664,2,0.84,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2016-04-01T00:00:47.000+08:00,2016-04-01T00:13:28.000+08:00,N,1,0,0,-73.958740234375,40.810176849365234,-73.98959350585938,40.76863098144531,1,4.31,15.5,0.5,0.5,3.36,0.0,,0.3,20.16,1,1
green,2,2016-04-01T00:00:28.000+08:00,2016-04-01T00:11:13.000+08:00,N,1,0,0,-73.9771499633789,40.68147277832031,-73.95022583007812,40.68042755126953,1,1.8,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1
green,2,2016-04-01T00:17:04.000+08:00,2016-04-01T00:27:10.000+08:00,N,1,0,0,-73.80734252929688,40.70022964477539,-73.85435485839844,40.68944549560547,3,2.84,10.5,0.5,0.5,2.36,0.0,,0.3,14.16,1,1
green,2,2016-04-01T00:31:20.000+08:00,2016-04-01T00:38:12.000+08:00,N,1,0,0,-73.85269927978516,40.69340896606445,-73.8297119140625,40.697486877441406,3,1.28,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2016-04-01T00:01:20.000+08:00,2016-04-01T00:03:53.000+08:00,N,1,0,0,-73.94902801513672,40.71407699584961,-73.93987274169922,40.70765686035156,1,0.74,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2016-04-01T00:00:10.000+08:00,2016-04-01T00:13:47.000+08:00,N,1,0,0,-73.95640563964844,40.813316345214844,-73.94337463378906,40.78752517700195,1,2.6,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,1,1
green,2,2016-04-01T00:01:34.000+08:00,2016-04-01T00:09:35.000+08:00,N,1,0,0,-73.9774398803711,40.68076705932617,-73.99811553955078,40.68377685546875,1,1.49,7.5,0.5,0.5,1.76,0.0,,0.3,10.56,1,1
green,2,2016-04-01T00:00:16.000+08:00,2016-04-01T00:20:11.000+08:00,N,1,0,0,-73.98336791992188,40.69346237182617,-73.9231185913086,40.681907653808594,2,4.04,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1
green,2,2016-04-01T00:01:36.000+08:00,2016-04-01T00:10:33.000+08:00,N,1,0,0,-73.97377014160156,40.686065673828125,-73.99342346191406,40.680572509765625,1,1.57,8.0,0.5,0.5,2.79,0.0,,0.3,12.09,1,1
green,2,2016-04-01T00:01:08.000+08:00,2016-04-01T00:12:31.000+08:00,N,1,0,0,-73.95587158203125,40.71950912475586,-73.93138122558594,40.69731903076172,2,2.75,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,2,1
green,2,2016-04-01T00:02:09.000+08:00,2016-04-01T00:03:34.000+08:00,N,1,0,0,-73.94854736328125,40.82380676269531,-73.94841003417969,40.82890319824219,1,0.47,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1
green,2,2016-04-01T00:02:37.000+08:00,2016-04-01T00:04:16.000+08:00,N,2,0,0,-73.96184539794922,40.71358108520508,-73.96167755126953,40.71401596069336,1,0.02,52.0,0.0,0.5,0.0,0.0,,0.3,52.8,2,1
green,2,2016-04-01T00:02:00.000+08:00,2016-04-01T00:04:36.000+08:00,N,1,0,0,-73.9135513305664,40.76572799682617,-73.91349029541016,40.75494384765625,1,0.77,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2016-04-01T00:01:35.000+08:00,2016-04-01T00:04:41.000+08:00,N,1,0,0,-73.92005157470703,40.75770950317383,-73.91644287109375,40.7647819519043,1,0.8,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1
green,2,2016-04-01T00:02:30.000+08:00,2016-04-01T00:04:54.000+08:00,N,1,0,0,-73.95789337158203,40.717811584472656,-73.96061706542969,40.71281051635742,1,0.41,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
green,2,2016-04-01T00:04:57.000+08:00,2016-04-01T00:05:25.000+08:00,N,1,0,0,-73.88419342041016,40.74760818481445,-73.88087463378906,40.7479248046875,1,0.04,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2,1
green,2,2016-04-01T00:00:44.000+08:00,2016-04-02T00:00:00.000+08:00,N,1,0,0,-73.9503402709961,40.680484771728516,-73.96109771728516,40.68056869506836,1,0.71,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-04-01T00:01:11.000+08:00,2016-04-01T00:05:32.000+08:00,N,1,0,0,-73.95403289794922,40.82129669189453,-73.94526672363281,40.8333740234375,1,0.92,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1
green,2,2016-04-01T00:01:08.000+08:00,2016-04-01T00:05:42.000+08:00,N,1,0,0,-73.87726593017578,40.73744201660156,-73.88880920410156,40.74553680419922,1,0.85,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-04-01T00:01:44.000+08:00,2016-04-01T00:06:12.000+08:00,N,1,0,0,-73.93307495117188,40.70695114135742,-73.9249038696289,40.697872161865234,1,0.89,5.0,0.5,0.5,1.7,0.0,,0.3,8.0,1,1
green,2,2016-04-01T00:02:55.000+08:00,2016-04-01T00:05:46.000+08:00,N,1,0,0,-73.9383773803711,40.80470657348633,-73.93916320800781,40.81064224243164,1,0.59,4.0,0.5,0.5,1.06,0.0,,0.3,6.36,1,1
green,2,2016-04-01T00:01:53.000+08:00,2016-04-01T00:06:17.000+08:00,N,1,0,0,-73.93907928466797,40.84891128540039,-73.92764282226562,40.86555099487305,1,1.7,7.0,0.5,0.5,1.7,0.0,,0.3,10.0,1,1
green,2,2016-04-01T00:00:32.000+08:00,2016-04-01T00:06:00.000+08:00,N,1,0,0,-73.93965911865234,40.80521774291992,-73.94062805175781,40.79315185546875,1,1.1,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2016-04-01T00:03:29.000+08:00,2016-04-01T00:06:25.000+08:00,N,1,0,0,-73.80813598632812,40.69938659667969,-73.797607421875,40.690853118896484,1,0.8,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1
green,2,2016-04-01T00:00:11.000+08:00,2016-04-01T00:05:57.000+08:00,N,1,0,0,-73.94232177734375,40.81230163574219,-73.95423889160156,40.805908203125,2,1.26,6.5,0.5,0.5,1.95,0.0,,0.3,9.75,1,1
green,2,2016-04-01T00:02:38.000+08:00,2016-04-01T00:06:54.000+08:00,N,1,0,0,-73.95794677734375,40.72182846069336,-73.95829010009766,40.734161376953125,3,1.03,5.5,0.5,0.5,1.7,0.0,,0.3,8.5,1,1
green,2,2016-04-01T00:01:43.000+08:00,2016-04-01T00:06:41.000+08:00,N,1,0,0,-73.86237335205078,40.73040771484375,-73.85580444335938,40.739463806152344,1,1.05,5.5,0.5,0.5,2.04,0.0,,0.3,8.84,1,1
green,2,2016-04-01T00:01:12.000+08:00,2016-04-01T00:06:53.000+08:00,N,1,0,0,-73.95765686035156,40.717872619628906,-73.957275390625,40.72836685180664,2,0.92,6.0,0.5,0.5,1.0,0.0,,0.3,8.3,1,1
green,2,2016-04-01T00:02:50.000+08:00,2016-04-01T00:07:16.000+08:00,N,1,0,0,-73.955078125,40.804283142089844,-73.95184326171875,40.80912780761719,1,0.69,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1
green,2,2016-04-01T00:01:06.000+08:00,2016-04-01T00:06:42.000+08:00,N,1,0,0,-73.93923950195312,40.80534362792969,-73.95689392089844,40.800148010253906,1,1.41,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1
green,2,2016-04-01T00:01:11.000+08:00,2016-04-01T00:07:17.000+08:00,N,1,0,0,-73.96366119384766,40.80294418334961,-73.95042419433594,40.81300735473633,1,1.25,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1
green,2,2016-04-01T00:02:51.000+08:00,2016-04-01T00:07:28.000+08:00,N,1,0,0,-73.9339828491211,40.71364974975586,-73.92605590820312,40.70081329345703,2,1.06,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1
green,2,2016-04-01T00:00:37.000+08:00,2016-04-01T00:08:01.000+08:00,N,1,0,0,-73.94327545166016,40.67039108276367,-73.92242431640625,40.673728942871094,1,1.37,7.0,0.5,0.5,0.83,0.0,,0.3,9.13,1,1
green,2,2016-04-01T00:04:44.000+08:00,2016-04-01T00:07:59.000+08:00,N,1,0,0,-73.8441390991211,40.721248626708984,-73.85112762451172,40.73193359375,1,0.92,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1
green,2,2016-04-01T00:04:33.000+08:00,2016-04-01T00:07:53.000+08:00,N,1,0,0,-73.92761993408203,40.692657470703125,-73.9241714477539,40.69984817504883,1,0.73,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2016-04-01T00:02:37.000+08:00,2016-04-01T00:08:15.000+08:00,N,1,0,0,-73.95263671875,40.810604095458984,-73.93815612792969,40.809635162353516,1,1.02,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2016-04-01T00:04:41.000+08:00,2016-04-01T00:08:24.000+08:00,N,1,0,0,-73.8443603515625,40.721046447753906,-73.85636901855469,40.712772369384766,1,1.11,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1
green,2,2016-04-01T00:02:51.000+08:00,2016-04-01T00:08:33.000+08:00,N,1,0,0,-73.9579086303711,40.67091369628906,-73.9315185546875,40.66776657104492,1,1.47,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2016-04-01T00:03:10.000+08:00,2016-04-01T00:08:25.000+08:00,N,1,0,0,-73.9556884765625,40.68090057373047,-73.95665740966797,40.66610336303711,1,1.22,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1
green,2,2016-04-01T00:02:24.000+08:00,2016-04-01T00:08:11.000+08:00,N,1,0,0,-73.89095306396484,40.74681091308594,-73.88837432861328,40.75153350830078,1,0.63,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-04-01T00:09:00.000+08:00,2016-04-01T00:09:10.000+08:00,N,2,0,0,-73.9508056640625,40.72368621826172,-73.95081329345703,40.72368240356445,1,0.0,52.0,0.0,0.5,0.0,0.0,,0.3,52.8,2,1
green,2,2016-04-01T00:02:57.000+08:00,2016-04-01T00:08:40.000+08:00,N,1,0,0,-73.95651245117188,40.71307373046875,-73.94183349609375,40.714027404785156,1,0.82,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1
green,2,2016-04-01T00:04:36.000+08:00,2016-04-01T00:08:52.000+08:00,N,1,0,0,-73.94023895263672,40.840538024902344,-73.94437408447266,40.83488845825195,1,0.44,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1
