taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2016-12-01T00:00:54.000+08:00,2016-12-01T00:06:54.000+08:00,N,1,92,192,,,,,1,1.29,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2016-12-01T00:52:41.000+08:00,2016-12-01T00:54:51.000+08:00,N,1,92,171,,,,,1,0.64,4.0,0.5,0.5,1.06,0.0,,0.3,6.36,1,1
green,2,2016-12-01T00:10:39.000+08:00,2016-12-01T00:14:47.000+08:00,N,1,75,238,,,,,2,0.89,5.5,0.5,0.5,1.7,0.0,,0.3,8.5,1,1
green,2,2016-12-01T00:12:16.000+08:00,2016-12-01T00:15:31.000+08:00,N,1,166,151,,,,,1,0.66,4.5,0.5,0.5,1.74,0.0,,0.3,7.54,1,1
green,2,2016-12-01T00:29:22.000+08:00,2016-12-01T00:39:51.000+08:00,N,1,166,42,,,,,1,2.15,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1,1
green,2,2016-12-01T00:42:02.000+08:00,2016-12-01T00:52:19.000+08:00,N,1,42,151,,,,,1,2.82,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,1,1
green,2,2016-12-01T00:16:59.000+08:00,2016-12-01T00:21:03.000+08:00,N,1,179,179,,,,,1,0.68,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2016-12-01T00:48:04.000+08:00,2016-12-01T00:59:40.000+08:00,N,1,179,129,,,,,1,2.62,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1
green,2,2016-12-01T00:04:23.000+08:00,2016-12-01T00:06:43.000+08:00,N,1,82,82,,,,,1,0.52,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
green,2,2016-12-01T00:34:43.000+08:00,2016-12-01T00:54:09.000+08:00,N,1,85,77,,,,,1,4.63,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1
green,2,2016-12-01T00:38:48.000+08:00,2016-12-01T00:43:30.000+08:00,N,1,134,134,,,,,1,1.08,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-12-01T00:10:20.000+08:00,2016-12-01T00:19:32.000+08:00,N,1,65,49,,,,,1,2.22,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1,1
green,2,2016-12-01T00:59:09.000+08:00,2016-12-01T01:11:08.000+08:00,N,1,256,37,,,,,1,3.0,12.0,0.5,0.5,3.99,0.0,,0.3,17.29,1,1
green,2,2016-12-01T00:07:57.000+08:00,2016-12-01T00:13:25.000+08:00,N,1,260,82,,,,,1,0.9,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2016-12-01T00:18:49.000+08:00,2016-12-01T00:30:45.000+08:00,N,1,244,241,,,,,1,4.39,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,2,1
green,2,2016-12-01T00:52:42.000+08:00,2016-12-01T01:02:14.000+08:00,N,1,95,10,,,,,1,4.05,13.0,0.5,0.5,2.86,0.0,,0.3,17.16,1,1
green,2,2016-12-01T00:07:52.000+08:00,2016-12-01T00:17:59.000+08:00,N,1,129,70,,,,,3,1.84,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1
green,2,2016-12-01T00:00:53.000+08:00,2016-12-01T00:13:10.000+08:00,N,1,244,238,,,,,1,4.38,14.5,0.5,0.5,0.0,0.0,,0.3,15.8,1,1
