taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2017-03-01T00:30:18.000+08:00,2017-03-01T00:30:47.000+08:00,N,1,264,264,,,,,1,0.0,1.5,0.2,0.0,0.0,0.0,,0.0,1.7,1,1
green,2,2017-03-01T00:11:58.000+08:00,2017-03-01T01:05:54.000+08:00,N,1,95,49,,,,,1,18.77,57.5,0.5,0.5,0.0,0.0,,0.3,58.8,2,1
green,2,2017-03-01T00:54:44.000+08:00,2017-03-01T01:03:42.000+08:00,N,1,92,192,,,,,1,1.76,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1
green,2,2017-03-01T00:00:07.000+08:00,2017-03-01T00:04:39.000+08:00,N,1,70,70,,,,,2,1.15,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
green,2,2017-03-01T00:17:05.000+08:00,2017-03-01T00:36:48.000+08:00,N,1,196,193,,,,,1,5.19,18.5,0.5,0.5,0.0,0.0,,0.3,19.8,1,1
green,2,2017-03-01T00:38:48.000+08:00,2017-03-01T00:45:59.000+08:00,N,1,7,179,,,,,1,1.52,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-03-01T00:06:06.000+08:00,2017-03-01T00:18:01.000+08:00,N,1,264,264,,,,,1,3.73,13.0,0.5,0.5,2.86,0.0,,0.3,17.16,1,1
green,2,2017-03-01T00:59:13.000+08:00,2017-03-01T01:10:17.000+08:00,N,1,75,186,,,,,1,3.7,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,2,1
green,2,2017-03-01T00:05:27.000+08:00,2017-03-01T00:17:52.000+08:00,N,1,166,243,,,,,1,4.35,14.5,0.5,0.5,3.95,0.0,,0.3,19.75,1,1
green,2,2017-03-01T00:21:48.000+08:00,2017-03-01T00:41:47.000+08:00,N,1,256,75,,,,,1,8.47,25.5,0.5,0.5,5.36,0.0,,0.3,32.16,1,1
green,2,2017-03-01T00:04:53.000+08:00,2017-03-01T00:10:58.000+08:00,N,1,260,157,,,,,5,1.22,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-03-01T00:40:15.000+08:00,2017-03-01T00:46:22.000+08:00,N,1,181,66,,,,,1,1.27,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-03-01T00:01:28.000+08:00,2017-03-01T00:06:25.000+08:00,N,1,74,74,,,,,1,0.71,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1
green,2,2017-03-01T00:21:55.000+08:00,2017-03-01T00:30:51.000+08:00,N,1,152,119,,,,,1,2.56,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1,1
green,2,2017-03-01T00:24:32.000+08:00,2017-03-01T00:28:39.000+08:00,N,1,223,223,,,,,1,0.91,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1
green,2,2017-03-01T00:07:41.000+08:00,2017-03-01T00:12:29.000+08:00,N,1,223,223,,,,,1,1.04,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2017-03-01T00:03:21.000+08:00,2017-03-01T00:06:24.000+08:00,N,1,40,54,,,,,1,0.64,4.5,0.5,0.5,1.45,0.0,,0.3,7.25,1,1
green,2,2017-03-01T00:14:37.000+08:00,2017-03-01T00:17:38.000+08:00,N,1,95,95,,,,,1,0.8,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1
green,2,2017-03-01T00:44:21.000+08:00,2017-03-01T00:56:39.000+08:00,N,1,95,82,,,,,1,2.66,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1
green,2,2017-03-01T00:06:20.000+08:00,2017-03-01T00:12:21.000+08:00,N,1,82,56,,,,,2,1.25,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-03-01T00:32:01.000+08:00,2017-03-01T00:35:52.000+08:00,N,1,260,82,,,,,2,0.73,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2017-03-01T00:50:50.000+08:00,2017-03-01T00:57:35.000+08:00,N,1,260,129,,,,,2,1.39,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-03-01T00:24:01.000+08:00,2017-03-01T00:42:46.000+08:00,N,1,7,198,,,,,1,4.6,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1
green,2,2017-03-01T00:56:55.000+08:00,2017-03-01T01:08:24.000+08:00,N,1,42,147,,,,,1,2.52,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,1,1
green,2,2017-03-01T00:13:08.000+08:00,2017-03-01T00:22:50.000+08:00,N,1,7,260,,,,,5,1.93,9.0,0.5,0.5,1.0,0.0,,0.3,11.3,1,1
green,2,2017-03-01T00:38:02.000+08:00,2017-03-01T00:42:39.000+08:00,N,1,7,7,,,,,5,1.24,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2017-03-01T00:36:35.000+08:00,2017-03-01T00:39:01.000+08:00,N,1,223,7,,,,,5,0.69,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
green,2,2017-03-01T00:41:02.000+08:00,2017-03-01T00:52:03.000+08:00,N,1,7,145,,,,,5,3.72,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1
green,2,2017-03-01T00:28:53.000+08:00,2017-03-01T00:33:50.000+08:00,N,1,97,97,,,,,1,0.94,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
