taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2017-04-01T00:03:54.000+08:00,2017-04-01T00:20:51.000+08:00,N,1,25,14,,,,,1,5.29,18.5,0.5,0.5,1.0,0.0,,0.3,20.8,1,1
green,2,2017-04-01T00:00:29.000+08:00,2017-04-01T00:02:44.000+08:00,N,1,263,75,,,,,1,0.76,4.5,0.5,0.5,1.45,0.0,,0.3,7.25,1,1
green,2,2017-04-01T00:02:22.000+08:00,2017-04-01T00:02:25.000+08:00,N,5,182,182,,,,,1,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,8.0,1,2
green,2,2017-04-01T00:08:15.000+08:00,2017-04-01T00:08:15.000+08:00,N,1,255,137,,,,,1,5.2,21.0,0.5,0.5,4.46,0.0,,0.3,26.76,1,1
green,2,2017-04-01T00:00:46.000+08:00,2017-04-01T00:07:40.000+08:00,N,1,89,188,,,,,1,1.61,7.5,0.5,0.5,1.76,0.0,,0.3,12.51,1,1
green,2,2017-04-01T00:18:54.000+08:00,2017-04-01T00:34:22.000+08:00,N,1,130,205,,,,,3,4.11,15.0,0.5,0.5,0.0,0.0,,0.3,16.3,2,1
green,2,2017-04-01T00:50:24.000+08:00,2017-04-01T01:06:07.000+08:00,N,1,130,252,,,,,3,8.16,24.0,0.5,0.5,0.0,0.0,,0.3,25.3,1,1
green,2,2017-04-01T00:07:50.000+08:00,2017-04-01T00:17:37.000+08:00,N,1,264,264,,,,,1,1.38,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1,1
green,2,2017-04-01T00:01:12.000+08:00,2017-04-01T00:14:42.000+08:00,N,5,244,3,,,,,1,8.68,25.0,0.0,0.0,0.0,0.0,,0.0,25.0,2,2
green,2,2017-04-01T00:00:13.000+08:00,2017-04-01T00:03:50.000+08:00,N,1,181,181,,,,,1,0.78,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1
green,2,2017-04-01T00:01:32.000+08:00,2017-04-01T00:01:49.000+08:00,N,1,223,223,,,,,1,0.0,2.5,0.5,0.5,12.0,0.0,,0.3,15.8,1,1
green,2,2017-04-01T00:02:25.000+08:00,2017-04-01T00:05:00.000+08:00,N,1,52,40,,,,,1,0.6,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
green,2,2017-04-01T00:00:05.000+08:00,2017-04-01T00:06:48.000+08:00,N,1,106,181,,,,,1,1.27,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1
green,2,2017-04-01T00:01:37.000+08:00,2017-04-01T00:13:39.000+08:00,N,1,74,24,,,,,1,1.56,9.5,0.5,0.5,2.7,0.0,,0.3,13.5,1,1
green,2,2017-04-01T00:36:05.000+08:00,2017-04-01T00:56:51.000+08:00,N,1,97,162,,,,,4,7.33,24.0,0.5,0.5,5.06,0.0,,0.3,30.36,1,1
green,2,2017-04-01T00:01:57.000+08:00,2017-04-01T00:10:43.000+08:00,N,1,129,7,,,,,1,2.65,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1
green,2,2017-04-01T00:05:24.000+08:00,2017-04-01T00:23:34.000+08:00,N,1,147,243,,,,,1,4.93,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2,1
green,2,2017-04-01T00:00:08.000+08:00,2017-04-01T00:05:48.000+08:00,N,1,255,217,,,,,1,1.02,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2017-04-01T00:02:55.000+08:00,2017-04-01T00:16:09.000+08:00,N,1,106,49,,,,,1,2.74,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1
green,2,2017-04-01T00:02:08.000+08:00,2017-04-01T00:08:19.000+08:00,N,1,152,42,,,,,1,0.94,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
green,2,2017-04-01T00:12:06.000+08:00,2017-04-01T00:14:27.000+08:00,N,1,42,42,,,,,1,0.63,4.0,0.5,0.5,2.0,0.0,,0.3,7.3,1,1
green,2,2017-04-01T00:21:00.000+08:00,2017-04-01T00:29:25.000+08:00,N,1,41,244,,,,,1,1.89,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1
green,2,2017-04-01T00:00:25.000+08:00,2017-04-01T00:15:36.000+08:00,N,1,189,181,,,,,1,2.49,12.0,0.5,0.5,2.66,0.0,,0.3,15.96,1,1
green,2,2017-04-01T00:02:15.000+08:00,2017-04-01T00:08:59.000+08:00,N,1,18,20,,,,,1,1.08,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-04-01T00:03:13.000+08:00,2017-04-01T00:18:06.000+08:00,N,1,106,14,,,,,1,4.01,15.0,0.5,0.5,3.0,0.0,,0.3,19.3,1,1
green,2,2017-04-01T00:04:43.000+08:00,2017-04-01T00:08:58.000+08:00,N,1,25,65,,,,,1,0.65,5.0,0.5,0.5,1.0,0.0,,0.3,7.3,1,1
green,2,2017-04-01T00:01:17.000+08:00,2017-04-01T00:20:34.000+08:00,N,1,255,106,,,,,1,6.59,21.0,0.5,0.5,4.46,0.0,,0.3,26.76,1,1
