taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
green,2,2017-05-01T00:01:45.000+08:00,2017-05-01T00:20:40.000+08:00,N,1,223,129,,,,,1,2.63,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1
green,2,2017-05-01T00:24:58.000+08:00,2017-05-01T00:38:29.000+08:00,N,1,256,225,,,,,1,1.45,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,2,1
green,2,2017-05-01T00:00:11.000+08:00,2017-05-01T00:06:42.000+08:00,N,1,75,163,,,,,1,2.8,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1
green,2,2017-05-01T00:03:17.000+08:00,2017-05-01T00:14:40.000+08:00,N,1,7,129,,,,,1,2.48,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1
green,2,2017-05-01T00:03:49.000+08:00,2017-05-01T00:08:14.000+08:00,N,1,43,75,,,,,1,0.73,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1
green,2,2017-05-01T00:00:12.000+08:00,2017-05-01T00:10:39.000+08:00,N,1,129,173,,,,,5,1.33,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1
green,2,2017-05-01T00:02:49.000+08:00,2017-05-01T00:07:47.000+08:00,N,1,41,166,,,,,2,1.18,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1
green,2,2017-05-01T00:00:04.000+08:00,2017-05-01T00:23:18.000+08:00,N,1,255,158,,,,,1,5.48,20.5,0.5,0.5,5.45,0.0,,0.3,27.25,1,1
green,2,2017-05-01T00:00:38.000+08:00,2017-05-01T00:12:42.000+08:00,N,1,166,246,,,,,2,4.87,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1
green,2,2017-05-01T00:05:13.000+08:00,2017-05-01T00:09:50.000+08:00,N,1,260,129,,,,,1,1.05,5.5,0.5,0.5,1.7,0.0,,0.3,8.5,1,1
green,2,2017-05-01T00:02:52.000+08:00,2017-05-01T00:05:45.000+08:00,N,1,65,65,,,,,5,0.53,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
green,2,2017-05-01T00:00:35.000+08:00,2017-05-01T00:15:46.000+08:00,N,1,20,243,,,,,1,3.24,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,2,1
green,2,2017-05-01T00:01:04.000+08:00,2017-05-01T23:30:35.000+08:00,N,1,74,116,,,,,1,2.5,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,1,1
green,2,2017-05-01T00:00:35.000+08:00,2017-05-01T00:04:42.000+08:00,N,1,255,112,,,,,1,1.02,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,1,1
green,2,2017-05-01T00:01:18.000+08:00,2017-05-01T00:07:25.000+08:00,N,1,33,228,,,,,1,1.7,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-05-01T00:12:44.000+08:00,2017-05-01T23:34:43.000+08:00,N,1,40,225,,,,,1,4.48,17.5,0.5,0.5,3.76,0.0,,0.3,22.56,1,1
green,2,2017-05-01T00:00:31.000+08:00,2017-05-01T00:08:05.000+08:00,N,1,95,28,,,,,1,1.83,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,1,1
green,2,2017-05-01T00:01:42.000+08:00,2017-05-01T00:10:04.000+08:00,N,1,181,25,,,,,2,1.65,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1
green,2,2017-05-01T00:01:04.000+08:00,2017-05-01T00:08:20.000+08:00,N,1,74,74,,,,,1,0.75,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-05-01T00:00:39.000+08:00,2017-05-01T00:15:23.000+08:00,N,1,255,80,,,,,1,2.46,12.0,0.5,0.5,2.66,0.0,,0.3,15.96,1,1
green,2,2017-05-01T00:00:57.000+08:00,2017-05-01T00:10:10.000+08:00,N,1,134,216,,,,,5,2.3,9.0,0.5,0.5,2.58,0.0,,0.3,12.88,1,1
green,2,2017-05-01T00:07:27.000+08:00,2017-05-01T00:17:53.000+08:00,N,1,244,24,,,,,1,3.28,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1
green,2,2017-05-01T00:03:16.000+08:00,2017-05-01T00:23:01.000+08:00,N,1,130,198,,,,,3,6.87,22.0,0.5,0.5,4.66,0.0,,0.3,27.96,1,1
green,2,2017-05-01T00:11:19.000+08:00,2017-05-01T00:16:24.000+08:00,N,1,36,36,,,,,1,0.91,5.5,0.5,0.5,1.2,0.0,,0.3,8.0,1,1
green,2,2017-05-01T00:25:42.000+08:00,2017-05-01T00:30:06.000+08:00,N,1,36,36,,,,,1,0.87,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2017-05-01T00:00:36.000+08:00,2017-05-01T00:13:31.000+08:00,N,1,7,74,,,,,1,4.51,15.5,0.5,0.5,4.51,5.76,,0.3,27.07,1,1
green,2,2017-05-01T00:15:24.000+08:00,2017-05-01T00:38:47.000+08:00,N,1,7,90,,,,,2,7.22,24.5,0.5,0.5,0.0,0.0,,0.3,25.8,1,1
green,2,2017-05-01T00:01:35.000+08:00,2017-05-01T00:22:32.000+08:00,N,1,195,36,,,,,1,7.87,25.0,0.5,0.5,0.0,0.0,,0.3,26.3,2,1
green,2,2017-05-01T00:24:37.000+08:00,2017-05-01T00:52:05.000+08:00,N,1,256,238,,,,,1,9.14,29.5,0.5,0.5,6.16,0.0,,0.3,36.96,1,1
green,2,2017-05-01T00:00:07.000+08:00,2017-05-01T00:09:24.000+08:00,N,1,134,197,,,,,2,2.05,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1
green,2,2017-05-01T00:40:23.000+08:00,2017-05-01T00:51:30.000+08:00,N,5,168,159,,,,,2,1.3,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,2,2
green,2,2017-05-01T00:52:29.000+08:00,2017-05-01T00:52:39.000+08:00,N,5,159,159,,,,,2,0.0,8.0,0.0,0.0,0.7,0.0,,0.0,8.7,1,2
green,2,2017-05-01T00:57:33.000+08:00,2017-05-01T01:00:30.000+08:00,N,1,179,179,,,,,1,0.61,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1
green,2,2017-05-01T00:24:17.000+08:00,2017-05-01T00:28:02.000+08:00,N,1,260,260,,,,,5,0.52,4.5,0.5,0.5,1.74,0.0,,0.3,7.54,1,1
green,2,2017-05-01T00:53:07.000+08:00,2017-05-01T01:11:49.000+08:00,N,1,260,171,,,,,5,7.59,24.0,0.5,0.5,5.06,0.0,,0.3,30.36,1,1
green,2,2017-05-01T00:08:16.000+08:00,2017-05-01T00:14:37.000+08:00,N,1,7,223,,,,,1,1.5,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-05-01T00:26:31.000+08:00,2017-05-01T00:31:33.000+08:00,N,1,223,223,,,,,1,1.6,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-05-01T00:20:58.000+08:00,2017-05-01T00:26:27.000+08:00,N,1,223,223,,,,,1,0.97,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1
green,2,2017-05-01T00:28:13.000+08:00,2017-05-01T00:32:49.000+08:00,N,1,223,7,,,,,1,0.76,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2017-05-01T00:11:00.000+08:00,2017-05-01T00:14:49.000+08:00,N,1,134,28,,,,,1,0.9,5.0,0.5,0.5,1.58,0.0,,0.3,7.88,1,1
green,2,2017-05-01T00:40:55.000+08:00,2017-05-01T00:52:29.000+08:00,N,1,134,197,,,,,1,2.79,11.5,0.5,0.5,1.0,0.0,,0.3,13.8,1,1
green,2,2017-05-01T00:15:33.000+08:00,2017-05-01T00:24:13.000+08:00,N,1,92,192,,,,,1,1.39,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1
green,2,2017-05-01T00:05:54.000+08:00,2017-05-01T00:13:22.000+08:00,N,1,7,260,,,,,1,1.62,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1
green,2,2017-05-01T00:28:11.000+08:00,2017-05-01T00:59:00.000+08:00,N,1,49,179,,,,,1,7.2,25.0,0.5,0.5,5.26,0.0,,0.3,31.56,1,1
green,2,2017-05-01T00:17:41.000+08:00,2017-05-01T00:19:38.000+08:00,N,1,41,74,,,,,1,0.4,3.5,0.5,0.5,1.5,0.0,,0.3,6.3,1,1
green,2,2017-05-01T00:48:12.000+08:00,2017-05-01T01:10:04.000+08:00,N,1,7,249,,,,,5,6.14,20.5,0.5,0.5,0.0,0.0,,0.3,21.8,2,1
green,2,2017-05-01T00:46:14.000+08:00,2017-05-01T01:06:53.000+08:00,N,1,97,37,,,,,1,4.94,18.5,0.5,0.5,0.0,0.0,,0.3,19.8,2,1
green,2,2017-05-01T00:28:36.000+08:00,2017-05-01T00:33:01.000+08:00,N,1,82,82,,,,,1,0.62,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2017-05-01T00:43:19.000+08:00,2017-05-01T00:51:26.000+08:00,N,1,82,82,,,,,1,1.63,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1
green,2,2017-05-01T00:01:07.000+08:00,2017-05-01T00:18:07.000+08:00,N,1,223,255,,,,,2,6.53,21.0,0.5,0.5,4.46,0.0,,0.3,26.76,1,1
green,2,2017-05-01T00:41:03.000+08:00,2017-05-02T00:18:07.000+08:00,N,1,260,82,,,,,2,1.64,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1
green,2,2017-05-01T00:07:00.000+08:00,2017-05-01T00:10:46.000+08:00,N,1,127,127,,,,,1,0.9,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1,1
green,2,2017-05-01T00:01:16.000+08:00,2017-05-01T00:07:26.000+08:00,N,1,7,223,,,,,1,1.16,6.5,0.5,0.5,2.34,0.0,,0.3,10.14,1,1
green,2,2017-05-01T00:43:51.000+08:00,2017-05-02T00:07:26.000+08:00,N,1,7,157,,,,,1,4.61,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1
green,2,2017-05-01T00:07:57.000+08:00,2017-05-01T00:14:32.000+08:00,N,1,260,7,,,,,1,1.68,7.5,0.5,0.5,1.76,0.0,,0.3,10.56,1,1
green,2,2017-05-01T00:47:16.000+08:00,2017-05-01T00:51:10.000+08:00,N,1,260,260,,,,,1,0.68,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
green,2,2017-05-01T00:17:51.000+08:00,2017-05-01T00:39:10.000+08:00,N,1,256,37,,,,,1,3.33,16.0,0.5,0.5,3.46,0.0,,0.3,20.76,1,1
green,2,2017-05-01T00:09:00.000+08:00,2017-05-01T00:51:09.000+08:00,N,1,7,52,,,,,1,9.33,34.0,0.5,0.5,0.0,0.0,,0.3,35.3,2,1
green,2,2017-05-01T00:29:33.000+08:00,2017-05-01T00:32:00.000+08:00,N,1,260,82,,,,,1,0.31,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1
green,2,2017-05-01T00:32:38.000+08:00,2017-05-01T00:39:14.000+08:00,N,1,82,82,,,,,1,1.41,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1
green,2,2017-05-01T00:40:32.000+08:00,2017-05-01T00:46:06.000+08:00,N,1,82,82,,,,,1,1.22,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,1,1
green,2,2017-05-01T00:26:09.000+08:00,2017-05-01T00:28:02.000+08:00,N,1,42,42,,,,,1,0.36,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1
green,2,2017-05-01T00:32:30.000+08:00,2017-05-01T00:55:33.000+08:00,N,1,260,193,,,,,1,3.86,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1
