taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2009-01-04T02:52:00.000+08:00,2009-01-04T03:02:00.000+08:00,"","",0,0,-73.991957,40.721567,-73.993803,40.695922,1,2.63,8.9,0.5,"",0.0,0.0,0.0,9.4,CASH
yellow,VTS,2009-01-04T03:31:00.000+08:00,2009-01-04T03:38:00.000+08:00,"","",0,0,-73.982102,40.73629,-73.95585,40.76803,3,4.55,12.1,0.5,"",2.0,0.0,0.0,14.6,Credit
yellow,VTS,2009-01-03T15:43:00.000+08:00,2009-01-03T15:57:00.000+08:00,"","",0,0,-74.002587,40.739748,-73.869983,40.770225,5,10.35,23.7,0.0,"",4.74,0.0,0.0,28.44,Credit
yellow,DDS,2009-01-01T20:52:58.000+08:00,2009-01-01T21:14:00.000+08:00,"","",0,0,-73.974267,40.790955,-73.996558,40.731849,1,5.0,14.9,0.5,"",3.05,0.0,0.0,18.45,CREDIT
yellow,DDS,2009-01-24T16:18:23.000+08:00,2009-01-24T16:24:56.000+08:00,"","",0,0,-74.00158,40.719382,-74.008378,40.72035,1,0.4,3.7,0.0,"",0.0,0.0,0.0,3.7,CASH
yellow,DDS,2009-01-16T22:35:59.000+08:00,2009-01-16T22:43:35.000+08:00,"","",0,0,-73.989806,40.735006,-73.985021,40.724494,2,1.2,6.1,0.5,"",0.0,0.0,0.0,6.6,CASH
yellow,DDS,2009-01-21T08:55:57.000+08:00,2009-01-21T09:05:42.000+08:00,"","",0,0,-73.98405,40.743544,-73.98026,40.748926,1,0.4,5.7,0.0,"",1.0,0.0,0.0,6.7,CREDIT
yellow,VTS,2009-01-04T04:31:00.000+08:00,2009-01-04T04:36:00.000+08:00,"","",0,0,-73.992635,40.748362,-73.995585,40.728307,1,1.72,6.1,0.5,"",0.0,0.0,0.0,6.6,CASH
yellow,CMT,2009-01-05T16:29:02.000+08:00,2009-01-05T16:40:21.000+08:00,"","",0,0,-73.96969,40.749244,-73.990413,40.751082,1,1.6,8.7,0.0,"",1.3,0.0,0.0,10.0,Credit
yellow,CMT,2009-01-05T18:53:13.000+08:00,2009-01-05T18:57:45.000+08:00,"","",0,0,-73.955173,40.783044,-73.958598,40.774822,1,0.7,5.9,0.0,"",0.0,0.0,0.0,5.9,Cash
yellow,CMT,2009-01-05T08:15:38.000+08:00,2009-01-05T08:16:44.000+08:00,"","",0,0,-73.986824,40.750893,-73.984118,40.751437,1,0.3,2.9,0.0,"",0.0,0.0,0.0,2.9,Cash
yellow,CMT,2009-01-05T06:21:43.000+08:00,2009-01-05T06:28:41.000+08:00,"","",0,0,-74.0061,40.748432,-73.978437,40.762481,1,2.3,7.7,0.0,"",0.0,0.0,0.0,7.7,Cash
yellow,DDS,2009-01-20T13:44:02.000+08:00,2009-01-20T13:52:43.000+08:00,"","",0,0,-73.983339,40.744782,-73.98116,40.720835,2,2.1,7.3,0.0,"",0.0,0.0,0.0,7.3,CASH
yellow,CMT,2009-01-05T16:19:53.000+08:00,2009-01-05T16:26:48.000+08:00,"","",0,0,-73.97351,40.76028,-73.962933,40.775119,2,1.2,6.7,0.0,"",0.0,0.0,0.0,6.7,Cash
yellow,CMT,2009-01-05T17:22:16.000+08:00,2009-01-05T17:27:25.000+08:00,"","",0,0,-73.984426,40.75748,-73.982519,40.767165,1,0.8,5.9,0.0,"",0.0,0.0,0.0,5.9,Cash
yellow,CMT,2009-01-05T16:02:52.000+08:00,2009-01-05T16:18:43.000+08:00,"","",0,0,-73.991064,40.727654,-73.945771,40.77765,1,4.5,13.9,0.0,"",0.0,0.0,0.0,13.9,Cash
yellow,CMT,2009-01-05T12:15:06.000+08:00,2009-01-05T12:27:58.000+08:00,"","",0,0,-74.001678,40.7473,-73.978957,40.750394,1,1.7,8.5,0.0,"",0.0,0.0,0.0,8.5,Cash
yellow,CMT,2009-01-05T07:49:57.000+08:00,2009-01-05T07:54:11.000+08:00,"","",0,0,-73.982457,40.731475,-73.973011,40.743387,1,1.0,4.5,0.0,"",1.0,0.0,0.0,5.5,Credit
yellow,DDS,2009-01-23T23:57:34.000+08:00,2009-01-24T00:12:40.000+08:00,"","",0,0,-73.992554,40.724476,-73.953065,40.777555,2,5.0,13.3,0.5,"",3.45,0.0,0.0,17.25,CREDIT
yellow,CMT,2009-01-05T10:23:13.000+08:00,2009-01-05T10:33:56.000+08:00,"","",0,0,-73.990089,40.759027,-73.983974,40.746938,1,1.3,7.3,0.0,"",0.0,0.0,0.0,7.3,Cash
yellow,CMT,2009-01-05T11:01:05.000+08:00,2009-01-05T11:11:19.000+08:00,"","",0,0,-73.945893,40.773608,-73.965765,40.764683,1,1.6,7.3,0.0,"",0.0,0.0,0.0,7.3,Cash
yellow,DDS,2009-01-20T14:38:38.000+08:00,2009-01-20T14:50:57.000+08:00,"","",0,0,-73.969387,40.749159,-73.976872,40.758792,1,1.4,6.9,0.0,"",0.0,0.0,0.0,6.9,CASH
yellow,CMT,2009-01-05T11:29:40.000+08:00,2009-01-05T11:37:04.000+08:00,"","",0,0,-73.952267,40.766205,-73.969591,40.762841,1,1.3,6.5,0.0,"",0.0,0.0,0.0,6.5,Cash
yellow,DDS,2009-01-23T00:12:44.000+08:00,2009-01-23T00:23:41.000+08:00,"","",0,0,-73.977986,40.746056,-73.949086,40.781537,1,2.9,9.3,0.5,"",0.0,0.0,0.0,9.8,CASH
yellow,CMT,2009-01-03T01:34:33.000+08:00,2009-01-03T01:35:10.000+08:00,"","",0,0,-73.956573,40.716945,-73.958689,40.714976,1,0.1,3.0,0.0,"",0.0,0.0,0.0,3.0,Cash
yellow,CMT,2009-01-03T17:08:30.000+08:00,2009-01-03T17:16:31.000+08:00,"","",0,0,-73.999303,40.754142,-73.98485,40.753539,1,1.0,6.1,0.0,"",2.0,0.0,0.0,8.1,Credit
yellow,CMT,2009-01-05T09:43:32.000+08:00,2009-01-05T10:02:28.000+08:00,"","",0,0,-73.991284,40.761803,-73.987076,40.729314,1,3.0,11.7,0.0,"",0.0,0.0,0.0,11.7,Cash
