taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2009-03-26T15:30:14.000+08:00,2009-03-26T15:33:45.000+08:00,0,"",0,0,-73.970709,40.796382,-73.973602,40.792058,1,0.3,4.1,0.0,"",0.0,0.0,0.0,4.1,Cash
yellow,CMT,2009-03-07T00:09:04.000+08:00,2009-03-07T00:16:06.000+08:00,"","",0,0,-74.007315,40.739964,-74.004717,40.751879,1,1.6,7.0,0.0,"",0.0,0.0,0.0,7.0,Cash
yellow,DDS,2009-03-11T19:49:43.000+08:00,2009-03-11T20:00:51.000+08:00,"","",0,0,-73.976375,40.756729,-73.954439,40.767205,1,2.0,8.1,0.5,"",0.0,0.0,0.0,8.6,CASH
yellow,CMT,2009-03-06T22:09:53.000+08:00,2009-03-06T22:16:55.000+08:00,"","",0,0,-73.990625,40.751453,-74.008427,40.746579,3,1.6,7.0,0.0,"",0.0,0.0,0.0,7.0,Cash
yellow,CMT,2009-03-06T22:55:45.000+08:00,2009-03-06T23:11:35.000+08:00,"","",0,0,-73.993798,40.734164,-73.958812,40.769911,2,3.8,12.6,0.0,"",0.0,0.0,0.0,12.6,Cash
yellow,CMT,2009-03-07T01:15:45.000+08:00,2009-03-07T01:19:42.000+08:00,"","",0,0,-73.967421,40.780917,-73.968087,40.771853,1,0.7,5.4,0.0,"",0.0,0.0,0.0,5.4,Cash
yellow,CMT,2009-03-07T22:21:28.000+08:00,2009-03-07T22:21:35.000+08:00,"","",0,0,-73.96162,40.756548,-73.961616,40.756566,1,0.0,3.0,0.0,"",0.0,0.0,0.0,3.0,No Charge
yellow,CMT,2009-03-01T07:27:29.000+08:00,2009-03-01T07:31:13.000+08:00,0,"",0,0,-73.933819,40.854028,-73.939632,40.841354,1,0.9,4.5,0.0,"",0.0,0.0,0.0,4.5,Cash
yellow,CMT,2009-03-26T13:43:50.000+08:00,2009-03-26T13:49:55.000+08:00,0,"",0,0,-73.9645,40.770431,-73.981902,40.773696,1,1.1,5.7,0.0,"",0.0,0.0,0.0,5.7,Cash
yellow,CMT,2009-03-07T21:41:48.000+08:00,2009-03-07T21:50:36.000+08:00,"","",0,0,-73.967327,40.763524,-73.984623,40.732552,1,2.5,8.6,0.0,"",0.0,0.0,0.0,8.6,Cash
yellow,CMT,2009-03-06T07:08:03.000+08:00,2009-03-06T07:15:07.000+08:00,"","",0,0,-73.99098,40.756743,-73.976128,40.755155,1,1.0,5.7,0.0,"",1.3,0.0,0.0,7.0,Credit
yellow,CMT,2009-03-03T10:47:40.000+08:00,2009-03-03T11:04:49.000+08:00,"","",0,0,-73.984523,40.745643,-73.962898,40.776781,2,2.5,10.5,0.0,"",0.0,0.0,0.0,10.5,Cash
