taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2009-04-08T12:19:00.000+08:00,2009-04-08T12:24:00.000+08:00,"","",0,0,-73.974467,40.760793,-73.96677,40.757057,1,0.49,4.1,0.0,"",0.0,0.0,0.0,4.1,CASH
yellow,VTS,2009-04-08T15:20:00.000+08:00,2009-04-08T15:28:00.000+08:00,"","",0,0,-73.978528,40.753472,-73.981245,40.76549,1,1.05,6.1,0.0,"",0.9,0.0,0.0,7.0,Credit
yellow,VTS,2009-04-06T21:31:00.000+08:00,2009-04-06T21:35:00.000+08:00,"","",0,0,-73.9958,40.738933,-74.002083,40.747672,1,1.14,5.3,0.5,"",1.5,0.0,0.0,7.3,Credit
yellow,VTS,2009-04-06T19:02:00.000+08:00,2009-04-06T19:41:00.000+08:00,"","",0,0,-73.863343,40.769942,-74.040087,40.61944,1,19.78,43.7,1.0,"",8.94,0.0,0.0,53.64,Credit
yellow,VTS,2009-04-08T09:37:00.000+08:00,2009-04-08T09:51:00.000+08:00,"","",0,0,-73.992263,40.715288,-73.962442,40.767997,1,5.28,14.5,0.0,"",0.0,0.0,0.0,14.5,CASH
yellow,VTS,2009-04-06T23:26:00.000+08:00,2009-04-06T23:41:00.000+08:00,"","",0,0,-73.982922,40.757682,-73.977717,40.721342,5,3.33,11.3,0.5,"",0.0,0.0,0.0,11.8,CASH
yellow,VTS,2009-04-08T16:14:00.000+08:00,2009-04-08T16:37:00.000+08:00,"","",0,0,-73.949175,40.773432,-73.990697,40.751467,1,3.68,14.5,1.0,"",0.0,0.0,0.0,15.5,CASH
yellow,VTS,2009-04-08T09:33:00.000+08:00,2009-04-08T09:35:00.000+08:00,"","",0,0,-73.906378,40.773168,-73.911742,40.775435,1,0.39,3.3,0.0,"",0.0,0.0,0.0,3.3,CASH
yellow,VTS,2009-04-23T19:13:00.000+08:00,2009-04-23T19:29:00.000+08:00,"","",0,0,-73.973487,40.756455,-73.998773,40.737333,2,2.31,10.1,1.0,"",0.0,0.0,0.0,11.1,CASH
yellow,VTS,2009-04-08T17:29:00.000+08:00,2009-04-08T17:44:00.000+08:00,"","",0,0,-73.983813,40.73759,-73.961795,40.767485,2,2.51,10.1,1.0,"",2.0,0.0,0.0,13.1,Credit
yellow,VTS,2009-04-08T18:27:00.000+08:00,2009-04-08T18:33:00.000+08:00,"","",0,0,-73.987892,40.770137,-73.986802,40.766448,2,0.33,4.9,1.0,"",0.0,0.0,0.0,5.9,CASH
yellow,VTS,2009-04-21T22:55:00.000+08:00,2009-04-21T22:59:00.000+08:00,"","",0,0,-73.962585,40.767053,-73.950195,40.779957,5,1.29,4.9,0.5,"",2.0,0.0,0.0,7.4,Credit
yellow,VTS,2009-04-24T19:23:00.000+08:00,2009-04-24T19:33:00.000+08:00,"","",0,0,-73.99776,40.736377,-73.980357,40.751377,1,1.67,7.3,1.0,"",0.0,0.0,0.0,8.3,CASH
yellow,VTS,2009-04-06T17:26:00.000+08:00,2009-04-06T17:40:00.000+08:00,"","",0,0,-73.9904,40.757595,-73.960232,40.806517,1,4.07,11.7,1.0,"",1.0,0.0,0.0,13.7,Credit
yellow,VTS,2009-04-22T18:58:00.000+08:00,2009-04-22T19:13:00.000+08:00,"","",0,0,-74.010668,40.709293,-73.998398,40.75422,1,4.53,13.3,1.0,"",2.0,0.0,0.0,16.3,Credit
yellow,VTS,2009-04-08T15:26:00.000+08:00,2009-04-08T15:40:00.000+08:00,"","",0,0,-73.95379,40.779072,-73.959057,40.783288,1,0.48,8.1,0.0,"",0.0,0.0,0.0,8.1,CASH
yellow,VTS,2009-04-08T10:32:00.000+08:00,2009-04-08T10:38:00.000+08:00,"","",0,0,-73.999095,40.744487,-73.983863,40.746465,1,1.1,5.3,0.0,"",0.0,0.0,0.0,5.3,CASH
yellow,VTS,2009-04-24T16:01:00.000+08:00,2009-04-24T16:15:00.000+08:00,"","",0,0,-73.992022,40.716203,-74.009922,40.720102,1,1.49,8.5,1.0,"",2.0,0.0,0.0,11.5,Credit
yellow,VTS,2009-04-21T22:40:00.000+08:00,2009-04-21T22:46:00.000+08:00,"","",0,0,-73.99456,40.750708,-74.005897,40.743008,5,1.37,5.7,0.5,"",0.0,0.0,0.0,6.2,CASH
yellow,VTS,2009-04-06T21:52:00.000+08:00,2009-04-06T22:23:00.000+08:00,"","",0,0,-74.008468,40.73282,-73.9423,40.615152,5,11.77,28.1,0.5,"",0.0,0.0,0.0,28.6,CASH
yellow,VTS,2009-04-06T20:17:00.000+08:00,2009-04-06T20:25:00.000+08:00,"","",0,0,-73.97413,40.78723,-73.97413,40.78723,2,1.88,7.3,0.5,"",0.0,0.0,0.0,7.8,CASH
yellow,VTS,2009-04-08T11:02:00.000+08:00,2009-04-08T11:03:00.000+08:00,"","",0,0,-73.937432,40.75811,-73.937432,40.75811,1,0.0,2.5,0.0,"",0.0,0.0,0.0,2.5,CASH
yellow,VTS,2009-04-08T16:17:00.000+08:00,2009-04-08T16:32:00.000+08:00,"","",0,0,-73.977115,40.785987,-73.988635,40.75635,5,2.4,10.5,1.0,"",0.0,0.0,0.0,11.5,CASH
yellow,VTS,2009-04-08T10:05:00.000+08:00,2009-04-08T10:17:00.000+08:00,"","",0,0,-73.972077,40.79669,-73.93937,40.805048,1,2.89,9.7,0.0,"",0.0,0.0,0.0,9.7,CASH
yellow,CMT,2009-04-13T21:48:50.000+08:00,2009-04-13T21:53:46.000+08:00,0,"",0,0,-74.009472,40.713343,-74.006187,40.730948,1,1.4,6.2,0.0,"",2.0,0.0,0.0,8.2,Credit
yellow,VTS,2009-04-08T09:39:00.000+08:00,2009-04-08T09:49:00.000+08:00,"","",0,0,-73.961448,40.780313,-73.987072,40.769105,1,2.32,8.5,0.0,"",3.0,0.0,0.0,11.5,Credit
yellow,VTS,2009-04-08T10:54:00.000+08:00,2009-04-08T11:26:00.000+08:00,"","",0,0,-73.968517,40.764873,-73.795388,40.644565,1,17.04,45.0,0.0,"",20.0,0.0,0.0,65.0,Credit
yellow,VTS,2009-04-06T23:18:00.000+08:00,2009-04-06T23:27:00.000+08:00,"","",0,0,-73.991363,40.736902,-73.970833,40.755803,4,2.2,8.1,0.5,"",0.0,0.0,0.0,8.6,CASH
yellow,VTS,2009-04-08T11:04:00.000+08:00,2009-04-08T11:12:00.000+08:00,"","",0,0,-73.973173,40.792565,-73.98327,40.781063,5,1.11,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-04-06T21:58:00.000+08:00,2009-04-06T22:05:00.000+08:00,"","",0,0,-73.986027,40.762933,-73.976153,40.780585,6,1.49,6.1,0.5,"",0.0,0.0,0.0,6.6,CASH
yellow,VTS,2009-04-24T16:05:00.000+08:00,2009-04-24T16:10:00.000+08:00,"","",0,0,-73.970745,40.783527,-73.979888,40.786067,1,0.58,4.5,1.0,"",0.0,0.0,0.0,5.5,CASH
yellow,VTS,2009-04-26T13:35:00.000+08:00,2009-04-26T13:37:00.000+08:00,"","",0,0,-73.961258,40.767187,-73.965402,40.768723,5,0.37,2.9,0.0,"",0.0,0.0,0.0,2.9,CASH
yellow,VTS,2009-04-02T08:53:00.000+08:00,2009-04-02T09:11:00.000+08:00,"","",0,0,-73.967188,40.755147,-74.00506,40.727062,1,3.46,12.1,0.0,"",2.0,0.0,0.0,14.1,Credit
yellow,VTS,2009-04-25T16:06:00.000+08:00,2009-04-25T16:30:00.000+08:00,"","",0,0,-73.972233,40.758595,-73.970157,40.763482,1,3.76,10.1,0.0,"",0.0,0.0,0.0,10.1,CASH
yellow,VTS,2009-04-08T07:22:00.000+08:00,2009-04-08T07:30:00.000+08:00,"","",0,0,-73.992688,40.723777,-74.006603,40.705987,1,1.56,6.9,0.0,"",0.0,0.0,0.0,6.9,CASH
yellow,VTS,2009-04-06T22:38:00.000+08:00,2009-04-06T22:49:00.000+08:00,"","",0,0,-73.992075,40.729087,-73.994662,40.750467,1,2.0,8.1,0.5,"",0.0,0.0,0.0,8.6,CASH
yellow,VTS,2009-04-06T22:08:00.000+08:00,2009-04-06T22:25:00.000+08:00,"","",0,0,-73.978005,40.725125,-73.928972,40.807545,1,7.21,18.1,0.5,"",1.4,0.0,0.0,20.0,Credit
yellow,VTS,2009-04-08T08:30:00.000+08:00,2009-04-08T08:33:00.000+08:00,"","",0,0,-73.979385,40.739552,-73.98211,40.731178,2,0.76,4.1,0.0,"",0.0,0.0,0.0,4.1,CASH
yellow,VTS,2009-04-06T20:36:00.000+08:00,2009-04-06T20:40:00.000+08:00,"","",0,0,-74.003228,40.7441,-74.008183,40.737637,1,0.62,3.7,0.5,"",0.0,0.0,0.0,4.2,CASH
yellow,VTS,2009-04-06T21:46:00.000+08:00,2009-04-06T21:56:00.000+08:00,"","",0,0,-73.953318,40.771255,-73.975445,40.758562,1,2.32,8.9,0.5,"",2.0,0.0,0.0,11.4,Credit
yellow,VTS,2009-04-08T08:41:00.000+08:00,2009-04-08T08:52:00.000+08:00,"","",0,0,-73.95517,40.788612,-73.962897,40.810952,1,2.26,8.1,0.0,"",0.0,0.0,0.0,8.1,CASH
yellow,VTS,2009-04-06T19:27:00.000+08:00,2009-04-06T19:40:00.000+08:00,"","",0,0,-73.981217,40.750787,-73.953507,40.771678,1,2.59,9.3,1.0,"",0.0,0.0,0.0,10.3,CASH
yellow,VTS,2009-04-02T09:32:00.000+08:00,2009-04-02T09:41:00.000+08:00,"","",0,0,-73.98372,40.730308,-73.976822,40.749273,1,1.65,7.3,0.0,"",1.4,0.0,0.0,8.7,Credit
yellow,VTS,2009-04-06T20:24:00.000+08:00,2009-04-06T20:43:00.000+08:00,"","",0,0,-73.978203,40.762393,-73.991823,40.726033,1,3.29,12.1,0.5,"",0.0,0.0,0.0,12.6,CASH
yellow,VTS,2009-04-04T23:31:00.000+08:00,2009-04-04T23:46:00.000+08:00,"","",0,0,-73.99444,40.746187,-73.988085,40.732052,5,1.4,8.5,0.5,"",0.0,0.0,0.0,9.0,CASH
yellow,VTS,2009-04-03T14:47:00.000+08:00,2009-04-03T15:06:00.000+08:00,"","",0,0,-73.972705,40.780707,-73.985577,40.744343,1,3.2,12.1,0.0,"",1.2,0.0,0.0,13.3,Credit
yellow,VTS,2009-04-25T14:17:00.000+08:00,2009-04-25T14:46:00.000+08:00,"","",0,0,-73.874718,40.774068,-73.984802,40.758808,2,10.85,26.9,0.0,"",0.0,4.15,0.0,31.05,CASH
yellow,VTS,2009-04-02T09:39:00.000+08:00,2009-04-02T09:49:00.000+08:00,"","",0,0,-74.006327,40.744835,-73.9847,40.758687,1,1.95,7.7,0.0,"",0.0,0.0,0.0,7.7,CASH
yellow,VTS,2009-04-02T09:45:00.000+08:00,2009-04-02T09:51:00.000+08:00,"","",0,0,-73.981882,40.75778,-73.982065,40.76241,2,0.51,4.9,0.0,"",0.0,0.0,0.0,4.9,CASH
yellow,VTS,2009-04-02T09:41:00.000+08:00,2009-04-02T09:49:00.000+08:00,"","",0,0,-73.99402,40.756427,-73.99498,40.750453,1,0.64,5.7,0.0,"",0.0,0.0,0.0,5.7,CASH
yellow,VTS,2009-04-26T12:28:00.000+08:00,2009-04-26T12:34:00.000+08:00,"","",0,0,-74.002137,40.745457,-74.00708,40.74569,2,0.61,4.9,0.0,"",2.0,0.0,0.0,6.9,Credit
yellow,VTS,2009-04-03T13:56:00.000+08:00,2009-04-03T14:06:00.000+08:00,"","",0,0,-74.003185,40.749193,-74.005415,40.727832,5,1.94,7.7,0.0,"",0.0,0.0,0.0,7.7,CASH
yellow,VTS,2009-04-03T15:07:00.000+08:00,2009-04-03T15:25:00.000+08:00,"","",0,0,-73.954222,40.787182,-73.964047,40.76459,5,2.08,10.9,0.0,"",0.0,0.0,0.0,10.9,CASH
yellow,VTS,2009-04-23T19:05:00.000+08:00,2009-04-23T19:30:00.000+08:00,"","",0,0,-73.960753,40.778337,-73.989835,40.741332,1,3.19,14.1,1.0,"",0.0,0.0,0.0,15.1,CASH
yellow,VTS,2009-04-03T15:36:00.000+08:00,2009-04-03T15:46:00.000+08:00,"","",0,0,-74.011015,40.716358,-74.008932,40.7111,1,0.55,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-04-03T14:14:00.000+08:00,2009-04-03T14:21:00.000+08:00,"","",0,0,-73.987335,40.760803,-73.988148,40.776922,1,1.39,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-04-04T02:27:00.000+08:00,2009-04-04T02:43:00.000+08:00,"","",0,0,-73.995458,40.73083,-73.948133,40.781467,2,4.82,13.7,0.5,"",0.0,0.0,0.0,14.2,CASH
yellow,VTS,2009-04-21T22:11:00.000+08:00,2009-04-21T22:26:00.000+08:00,"","",0,0,-73.995758,40.716477,-73.94864,40.774863,2,5.16,14.1,0.5,"",0.0,0.0,0.0,14.6,CASH
