taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2009-06-14T23:23:00.000+08:00,2009-06-14T23:48:00.000+08:00,"","",0,0,-73.787442,40.641525,-73.980072,40.742963,1,17.52,45.0,0.0,"",9.0,4.15,0.0,58.15,Credit
yellow,VTS,2009-06-18T17:35:00.000+08:00,2009-06-18T17:43:00.000+08:00,"","",0,0,-74.009767,40.722065,-74.005698,40.740187,1,1.56,6.5,1.0,"",1.0,0.0,0.0,8.5,Credit
yellow,VTS,2009-06-10T18:08:00.000+08:00,2009-06-10T18:27:00.000+08:00,"","",0,0,-73.983038,40.761945,-74.004745,40.718043,5,3.37,12.5,1.0,"",2.0,0.0,0.0,15.5,Credit
yellow,VTS,2009-06-14T23:54:00.000+08:00,2009-06-14T23:58:00.000+08:00,"","",0,0,-73.992247,40.749802,-73.985233,40.739637,1,1.11,4.9,0.5,"",0.0,0.0,0.0,5.4,CASH
yellow,VTS,2009-06-13T13:01:00.000+08:00,2009-06-13T13:23:00.000+08:00,"","",0,0,-73.949233,40.776825,-73.852693,40.730032,1,11.09,25.7,0.0,"",0.0,4.15,0.0,29.85,CASH
yellow,VTS,2009-06-10T19:43:00.000+08:00,2009-06-10T19:52:00.000+08:00,"","",0,0,-73.953652,40.790582,-73.97686,40.777537,2,2.1,7.3,1.0,"",2.0,0.0,0.0,10.3,Credit
yellow,VTS,2009-06-10T20:06:00.000+08:00,2009-06-10T20:09:00.000+08:00,"","",0,0,-73.966408,40.767147,-73.962125,40.770277,1,0.4,3.7,0.5,"",1.0,0.0,0.0,5.2,Credit
yellow,VTS,2009-06-14T20:57:00.000+08:00,2009-06-14T21:08:00.000+08:00,"","",0,0,-73.977773,40.76175,-73.951465,40.774043,2,2.24,8.1,0.5,"",0.0,0.0,0.0,8.6,CASH
yellow,VTS,2009-06-14T12:49:00.000+08:00,2009-06-14T12:56:00.000+08:00,"","",0,0,-73.959832,40.766355,-73.943683,40.777985,1,1.48,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-06-10T18:03:00.000+08:00,2009-06-10T18:13:00.000+08:00,"","",0,0,-73.987588,40.751327,-74.009823,40.720052,1,2.72,8.9,1.0,"",0.0,0.0,0.0,9.9,CASH
yellow,VTS,2009-06-14T11:24:00.000+08:00,2009-06-14T11:27:00.000+08:00,"","",0,0,-73.98861,40.764112,-73.981827,40.758588,5,0.69,4.1,0.0,"",0.0,0.0,0.0,4.1,CASH
yellow,VTS,2009-06-13T19:17:00.000+08:00,2009-06-13T19:17:00.000+08:00,"","",0,0,-73.993425,40.727343,-73.993425,40.727343,4,0.0,2.5,0.0,"",4.0,0.0,0.0,6.5,Credit
yellow,VTS,2009-06-10T19:38:00.000+08:00,2009-06-10T19:39:00.000+08:00,"","",0,0,-73.982592,40.763875,-73.982693,40.763403,1,0.05,2.9,1.0,"",0.0,0.0,0.0,3.9,CASH
yellow,VTS,2009-06-14T02:34:00.000+08:00,2009-06-14T03:00:00.000+08:00,"","",0,0,-73.992023,40.759188,-73.864513,40.881595,2,14.86,33.3,0.5,"",0.0,0.0,0.0,33.8,CASH
yellow,VTS,2009-06-16T12:56:00.000+08:00,2009-06-16T12:59:00.000+08:00,"","",0,0,-73.9786,40.752078,-73.986537,40.741075,5,0.88,4.1,0.0,"",0.0,0.0,0.0,4.1,CASH
yellow,VTS,2009-06-16T12:39:00.000+08:00,2009-06-16T12:58:00.000+08:00,"","",0,0,-73.984905,40.75907,-73.981595,40.728683,1,2.82,11.7,0.0,"",4.0,0.0,0.0,15.7,Credit
yellow,VTS,2009-06-15T20:05:00.000+08:00,2009-06-15T20:18:00.000+08:00,"","",0,0,-73.964637,40.76032,-73.998107,40.745173,1,2.83,10.1,0.5,"",0.0,0.0,0.0,10.6,CASH
yellow,VTS,2009-06-16T12:44:00.000+08:00,2009-06-16T12:59:00.000+08:00,"","",0,0,-73.966648,40.761615,-73.987643,40.779377,1,2.08,9.7,0.0,"",0.0,0.0,0.0,9.7,CASH
yellow,VTS,2009-06-10T17:57:00.000+08:00,2009-06-10T18:10:00.000+08:00,"","",0,0,-73.97372,40.752203,-73.972752,40.761275,2,0.8,7.7,1.0,"",0.0,0.0,0.0,8.7,CASH
yellow,VTS,2009-06-14T17:53:00.000+08:00,2009-06-14T17:58:00.000+08:00,"","",0,0,-73.993775,40.754173,-73.993482,40.749855,1,0.58,4.5,0.0,"",1.0,0.0,0.0,5.5,Credit
yellow,VTS,2009-06-14T11:16:00.000+08:00,2009-06-14T11:19:00.000+08:00,"","",0,0,-73.99796,40.74109,-74.004725,40.741707,2,0.48,3.7,0.0,"",0.0,0.0,0.0,3.7,CASH
yellow,VTS,2009-06-18T17:02:00.000+08:00,2009-06-18T17:11:00.000+08:00,"","",0,0,-73.96608,40.754082,-73.969057,40.761607,1,0.9,6.5,1.0,"",0.0,0.0,0.0,7.5,CASH
yellow,VTS,2009-06-14T19:04:00.000+08:00,2009-06-14T19:09:00.000+08:00,"","",0,0,-73.993013,40.742647,-73.98259,40.7641,5,1.81,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-06-15T19:17:00.000+08:00,2009-06-15T19:19:00.000+08:00,"","",0,0,-73.965202,40.769087,-73.96665,40.772295,5,0.32,3.3,1.0,"",0.0,0.0,0.0,4.3,CASH
