taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2009-07-15T17:39:00.000+08:00,2009-07-15T17:46:00.000+08:00,"","",0,0,-73.999132,40.726542,-73.984907,40.736347,1,1.32,6.1,1.0,"",1.0,0.0,0.0,8.1,Credit
yellow,VTS,2009-07-15T19:22:00.000+08:00,2009-07-15T19:27:00.000+08:00,"","",0,0,-73.972235,40.78217,-73.958948,40.778083,1,1.03,5.3,1.0,"",0.0,0.0,0.0,6.3,CASH
yellow,VTS,2009-07-15T13:22:00.000+08:00,2009-07-15T13:35:00.000+08:00,"","",0,0,-73.973805,40.756858,-73.98733,40.738387,1,1.53,8.5,0.0,"",0.0,0.0,0.0,8.5,CASH
yellow,VTS,2009-07-15T17:22:00.000+08:00,2009-07-15T17:39:00.000+08:00,"","",0,0,-73.953952,40.76658,-74.000537,40.727347,1,5.38,15.7,1.0,"",0.0,0.0,0.0,16.7,CASH
yellow,VTS,2009-07-15T17:59:00.000+08:00,2009-07-15T18:06:00.000+08:00,"","",0,0,-73.958445,40.716432,-73.964672,40.727495,1,0.94,5.3,1.0,"",0.7,0.0,0.0,7.0,Credit
yellow,VTS,2009-07-15T12:18:00.000+08:00,2009-07-15T12:47:00.000+08:00,"","",0,0,-73.995488,40.767453,-73.995488,40.767453,1,3.49,16.1,0.0,"",3.22,0.0,0.0,19.32,Credit
yellow,VTS,2009-07-14T21:49:00.000+08:00,2009-07-14T21:52:00.000+08:00,"","",0,0,-73.95959,40.762873,-73.952885,40.772185,2,0.73,3.7,0.5,"",0.0,0.0,0.0,4.2,CASH
yellow,VTS,2009-07-15T17:28:00.000+08:00,2009-07-15T17:39:00.000+08:00,"","",0,0,-73.992127,40.754035,-73.973602,40.754843,5,1.4,7.3,1.0,"",3.0,0.0,0.0,11.3,Credit
yellow,VTS,2009-07-15T17:28:00.000+08:00,2009-07-15T17:51:00.000+08:00,"","",0,0,-73.953625,40.766828,-73.9612,40.801977,1,3.2,14.5,1.0,"",0.0,0.0,0.0,15.5,CASH
yellow,VTS,2009-07-15T14:40:00.000+08:00,2009-07-15T14:59:00.000+08:00,"","",0,0,-73.97436,40.757592,-74.015538,40.711475,5,7.8,20.9,0.0,"",0.0,0.0,0.0,20.9,CASH
yellow,VTS,2009-07-15T17:38:00.000+08:00,2009-07-15T17:47:00.000+08:00,"","",0,0,-73.96054,40.759393,-73.948088,40.782903,1,1.95,7.7,1.0,"",0.0,0.0,0.0,8.7,CASH
yellow,VTS,2009-07-15T17:26:00.000+08:00,2009-07-15T17:31:00.000+08:00,"","",0,0,-74.008772,40.732032,-73.999653,40.724592,1,1.02,4.9,1.0,"",0.0,0.0,0.0,5.9,CASH
yellow,VTS,2009-07-15T21:06:00.000+08:00,2009-07-15T21:17:00.000+08:00,"","",0,0,-73.979332,40.749395,-74.00198,40.719208,1,2.46,8.9,0.5,"",0.0,0.0,0.0,9.4,CASH
yellow,VTS,2009-07-15T18:31:00.000+08:00,2009-07-15T18:59:00.000+08:00,"","",0,0,-73.862667,40.768875,-73.97264,40.756297,5,9.44,25.3,1.0,"",5.26,4.57,0.0,36.13,Credit
yellow,VTS,2009-07-14T16:31:00.000+08:00,2009-07-14T16:58:00.000+08:00,"","",0,0,-73.99662,40.725333,-73.975338,40.75958,1,4.64,16.9,1.0,"",0.0,0.0,0.0,17.9,CASH
yellow,VTS,2009-07-15T19:54:00.000+08:00,2009-07-15T20:06:00.000+08:00,"","",0,0,-74.008507,40.733997,-73.990167,40.725103,2,1.36,7.7,1.0,"",0.0,0.0,0.0,8.7,CASH
yellow,VTS,2009-07-17T15:58:00.000+08:00,2009-07-17T16:12:00.000+08:00,"","",0,0,-73.991965,40.739113,-73.987053,40.722327,5,1.72,9.3,0.0,"",0.0,0.0,0.0,9.3,CASH
yellow,VTS,2009-07-15T19:50:00.000+08:00,2009-07-15T20:09:00.000+08:00,"","",0,0,-73.977722,40.752618,-73.953578,40.811205,1,5.44,14.9,1.0,"",0.0,0.0,0.0,15.9,CASH
yellow,VTS,2009-07-15T19:25:00.000+08:00,2009-07-15T20:00:00.000+08:00,"","",0,0,-73.783678,40.64869,-73.98593,40.758882,5,18.06,45.0,0.0,"",0.0,4.57,0.0,49.57,CASH
yellow,VTS,2009-07-15T17:34:00.000+08:00,2009-07-15T17:37:00.000+08:00,"","",0,0,-73.966052,40.762162,-73.957038,40.77097,1,0.97,4.5,1.0,"",0.0,0.0,0.0,5.5,CASH
yellow,VTS,2009-07-15T19:05:00.000+08:00,2009-07-15T19:13:00.000+08:00,"","",0,0,-73.976432,40.760023,-73.96013,40.782022,5,2.07,6.9,1.0,"",0.0,0.0,0.0,7.9,CASH
yellow,VTS,2009-07-15T18:12:00.000+08:00,2009-07-15T18:31:00.000+08:00,"","",0,0,-74.005795,40.722405,-73.93794,40.70354,6,4.54,14.5,1.0,"",0.0,0.0,0.0,15.5,CASH
yellow,VTS,2009-07-15T19:06:00.000+08:00,2009-07-15T19:17:00.000+08:00,"","",0,0,-73.897968,40.754178,-73.87458,40.758993,1,2.58,9.3,1.0,"",0.0,0.0,0.0,10.3,CASH
yellow,VTS,2009-07-15T16:54:00.000+08:00,2009-07-15T17:18:00.000+08:00,"","",0,0,-73.991078,40.734933,-73.953502,40.728477,5,5.23,16.5,1.0,"",0.0,0.0,0.0,17.5,CASH
yellow,VTS,2009-07-17T15:40:00.000+08:00,2009-07-17T15:47:00.000+08:00,"","",0,0,-74.006573,40.75038,-73.991718,40.73905,1,1.34,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-07-15T11:55:00.000+08:00,2009-07-15T12:03:00.000+08:00,"","",0,0,-73.993663,40.72663,-73.999977,40.71906,1,1.54,6.9,0.0,"",0.0,0.0,0.0,6.9,CASH
yellow,VTS,2009-07-15T12:50:00.000+08:00,2009-07-15T12:59:00.000+08:00,"","",0,0,-73.984518,40.779442,-73.971335,40.78265,3,1.27,6.5,0.0,"",0.0,0.0,0.0,6.5,CASH
yellow,VTS,2009-07-15T16:19:00.000+08:00,2009-07-15T16:38:00.000+08:00,"","",0,0,-73.97243,40.764987,-74.000042,40.722908,2,3.42,12.1,1.0,"",0.0,0.0,0.0,13.1,CASH
yellow,VTS,2009-07-14T21:21:00.000+08:00,2009-07-14T21:33:00.000+08:00,"","",0,0,-73.999148,40.725117,-73.98214,40.758045,5,3.08,9.7,0.5,"",0.0,0.0,0.0,10.2,CASH
yellow,VTS,2009-07-15T12:37:00.000+08:00,2009-07-15T12:46:00.000+08:00,"","",0,0,-73.973737,40.765163,-73.978313,40.757618,1,0.7,6.1,0.0,"",0.0,0.0,0.0,6.1,CASH
yellow,VTS,2009-07-15T16:33:00.000+08:00,2009-07-15T16:50:00.000+08:00,"","",0,0,-73.981652,40.740933,-73.982218,40.771365,1,2.78,10.9,1.0,"",1.1,0.0,0.0,13.0,Credit
