taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2009-11-23T16:19:00.000+08:00,2009-11-23T16:23:00.000+08:00,"","",0,0,-73.975327,40.751015,-73.983357,40.745057,1,0.76,4.5,1.0,0.5,0.0,0.0,0.0,6.0,CASH
yellow,VTS,2009-11-05T16:48:00.000+08:00,2009-11-05T16:56:00.000+08:00,"","",0,0,-73.99266,40.75363,-74.002908,40.728558,5,1.6,6.5,1.0,0.5,0.0,0.0,0.0,8.0,CASH
yellow,VTS,2009-11-17T08:24:00.000+08:00,2009-11-17T08:31:00.000+08:00,"","",0,0,-74.007537,40.733597,-73.993205,40.742265,1,1.28,6.1,0.0,0.5,0.0,0.0,0.0,6.6,CASH
yellow,VTS,2009-11-01T14:34:00.000+08:00,2009-11-01T14:39:00.000+08:00,"","",0,0,-73.985598,40.74566,-73.988213,40.762142,1,1.14,5.3,0.0,"",0.0,0.0,0.0,5.8,CASH
yellow,VTS,2009-11-17T13:49:00.000+08:00,2009-11-17T13:57:00.000+08:00,"","",0,0,-73.978117,40.760763,-73.983258,40.756568,1,0.79,6.1,0.0,0.5,0.0,0.0,0.0,6.6,CASH
yellow,VTS,2009-11-17T09:25:00.000+08:00,2009-11-17T09:32:00.000+08:00,"","",0,0,-73.985087,40.741617,-73.972748,40.759833,2,1.53,6.5,0.0,0.5,1.0,0.0,0.0,8.0,Credit
yellow,VTS,2009-11-22T05:13:00.000+08:00,2009-11-22T05:22:00.000+08:00,"","",0,0,-73.987593,40.748202,-73.967497,40.787708,1,3.69,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CASH
yellow,VTS,2009-11-01T15:15:00.000+08:00,2009-11-01T15:28:00.000+08:00,"","",0,0,-73.98797,40.769763,-73.981982,40.743415,1,2.63,9.7,0.0,"",1.0,0.0,0.0,11.2,Credit
yellow,VTS,2009-11-01T10:18:00.000+08:00,2009-11-01T10:26:00.000+08:00,"","",0,0,-73.982698,40.771743,-74.000977,40.76181,5,1.54,6.5,0.0,"",0.0,0.0,0.0,7.0,CASH
yellow,VTS,2009-11-01T12:25:00.000+08:00,2009-11-01T12:54:00.000+08:00,"","",0,0,-73.96164,40.75524,-73.861698,40.768375,2,9.48,26.5,0.0,"",0.0,0.0,0.0,27.0,CASH
yellow,VTS,2009-11-17T09:47:00.000+08:00,2009-11-17T09:58:00.000+08:00,"","",0,0,-74.00508,40.723133,-73.985455,40.747112,1,2.05,8.1,0.0,0.5,3.0,0.0,0.0,11.6,Credit
yellow,VTS,2009-11-18T00:29:00.000+08:00,2009-11-18T00:39:00.000+08:00,"","",0,0,-73.990628,40.736482,-74.012203,40.716135,5,2.44,8.9,0.5,0.5,0.0,0.0,0.0,9.9,CASH
yellow,VTS,2009-11-17T13:52:00.000+08:00,2009-11-17T13:56:00.000+08:00,"","",0,0,-74.006268,40.733667,-73.994263,40.736423,5,1.0,4.9,0.0,0.5,0.0,0.0,0.0,5.4,CASH
yellow,VTS,2009-11-17T22:15:00.000+08:00,2009-11-17T22:20:00.000+08:00,"","",0,0,-73.992942,40.742598,-73.990882,40.755347,5,1.15,4.9,0.5,0.5,0.0,0.0,0.0,5.9,Credit
yellow,VTS,2009-11-01T13:45:00.000+08:00,2009-11-01T13:51:00.000+08:00,"","",0,0,-74.079053,40.687793,-74.066488,40.69069,2,1.3,6.1,0.0,"",0.0,0.0,0.0,6.6,CASH
yellow,VTS,2009-11-17T15:48:00.000+08:00,2009-11-17T15:57:00.000+08:00,"","",0,0,-74.002808,40.723468,-73.987737,40.748245,5,2.05,7.7,0.0,0.5,0.0,0.0,0.0,8.2,CASH
yellow,VTS,2009-11-17T21:21:00.000+08:00,2009-11-17T21:23:00.000+08:00,"","",0,0,-73.991837,40.731288,-73.998603,40.734068,1,0.4,3.3,0.5,0.5,0.0,0.0,0.0,4.3,CASH
yellow,VTS,2009-11-18T09:56:00.000+08:00,2009-11-18T10:06:00.000+08:00,"","",0,0,-73.988568,40.775123,-73.9822,40.768555,1,0.71,6.9,0.0,0.5,0.0,0.0,0.0,7.4,CASH
yellow,VTS,2009-11-17T20:30:00.000+08:00,2009-11-17T20:42:00.000+08:00,"","",0,0,-74.001248,40.736377,-73.98149,40.749962,2,1.86,8.5,0.5,0.5,0.0,0.0,0.0,9.5,CASH
yellow,VTS,2009-11-01T01:52:00.000+08:00,2009-11-01T01:56:00.000+08:00,"","",0,0,-73.957313,40.707955,-73.959158,40.70065,1,0.66,4.5,0.5,"",0.0,0.0,0.0,5.5,CASH
yellow,VTS,2009-11-05T15:39:00.000+08:00,2009-11-05T15:50:00.000+08:00,"","",0,0,-73.983172,40.756685,-73.960865,40.777882,1,2.23,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CASH
yellow,VTS,2009-11-17T15:39:00.000+08:00,2009-11-17T15:47:00.000+08:00,"","",0,0,-73.984532,40.768243,-73.978683,40.763227,2,0.72,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CASH
yellow,VTS,2009-11-18T09:49:00.000+08:00,2009-11-18T10:01:00.000+08:00,"","",0,0,-73.96107,40.77057,-73.971527,40.752452,5,1.75,7.7,0.0,0.5,0.0,0.0,0.0,8.2,CASH
yellow,VTS,2009-11-17T21:22:00.000+08:00,2009-11-17T21:28:00.000+08:00,"","",0,0,-73.989603,40.772788,-73.976253,40.792425,1,1.59,6.5,0.5,0.5,1.5,0.0,0.0,9.0,Credit
yellow,VTS,2009-11-17T18:40:00.000+08:00,2009-11-17T18:59:00.000+08:00,"","",0,0,-73.969435,40.7486,-73.996305,40.740368,5,2.7,10.9,1.0,0.5,1.5,0.0,0.0,13.9,Credit
yellow,VTS,2009-11-22T04:35:00.000+08:00,2009-11-22T04:48:00.000+08:00,"","",0,0,-73.962402,40.760733,-73.99155,40.750043,1,2.93,10.5,0.5,0.5,0.0,0.0,0.0,11.5,CASH
yellow,VTS,2009-11-16T14:17:00.000+08:00,2009-11-16T14:26:00.000+08:00,"","",0,0,-73.991398,40.749607,-73.987377,40.74149,5,0.92,5.7,0.0,0.5,2.0,0.0,0.0,8.2,Credit
yellow,VTS,2009-11-22T03:57:00.000+08:00,2009-11-22T04:16:00.000+08:00,"","",0,0,-73.983047,40.762948,-73.995465,40.71886,1,4.11,13.3,0.5,0.5,0.0,0.0,0.0,14.3,CASH
yellow,VTS,2009-11-17T11:50:00.000+08:00,2009-11-17T11:56:00.000+08:00,"","",0,0,-73.958907,40.774838,-73.952227,40.767898,1,0.79,5.3,0.0,0.5,0.0,0.0,0.0,5.8,CASH
yellow,VTS,2009-11-06T11:35:00.000+08:00,2009-11-06T11:40:00.000+08:00,"","",0,0,-73.958378,40.77582,-73.958295,40.780515,5,0.57,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CASH
yellow,VTS,2009-11-17T07:52:00.000+08:00,2009-11-17T07:54:00.000+08:00,"","",0,0,-73.980562,40.773872,-73.982847,40.76951,1,0.32,3.3,0.0,0.5,0.0,0.0,0.0,3.8,CASH
