taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2010-01-26T07:41:00.000+08:00,2010-01-26T07:45:00.000+08:00,"",1,0,0,-73.956778,40.76775,-73.965957,40.765232,1,0.75,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CAS
yellow,DDS,2010-01-30T23:31:00.000+08:00,2010-01-30T23:46:12.000+08:00,"",1,0,0,-73.996118,40.763932,-73.981512,40.741193,1,5.9,15.3,0.5,0.5,0.0,0.0,0.0,16.3,CAS
yellow,DDS,2010-01-18T20:22:20.000+08:00,2010-01-18T20:38:12.000+08:00,"",1,0,0,-73.979673,40.78379,-73.917852,40.87856,1,4.0,11.7,0.5,0.5,0.0,0.0,0.0,12.7,CAS
yellow,VTS,2010-01-09T01:18:00.000+08:00,2010-01-09T01:35:00.000+08:00,"",1,0,0,-73.977922,40.763997,-73.923908,40.759725,2,4.7,13.3,0.5,0.5,0.0,0.0,0.0,14.3,CAS
yellow,CMT,2010-01-18T19:10:14.000+08:00,2010-01-18T19:17:07.000+08:00,0,1,0,0,-73.990924,40.734682,-73.995511,40.739088,1,0.6,5.3,0.0,0.5,0.87,0.0,0.0,6.67,Cre
yellow,DDS,2010-01-23T18:40:25.000+08:00,2010-01-23T18:54:51.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,1,3.3,10.5,0.0,0.5,1.0,0.0,0.0,12.0,CRE
yellow,VTS,2010-01-17T09:18:00.000+08:00,2010-01-17T09:25:00.000+08:00,"",1,0,0,-73.993747,40.754917,-73.984715,40.755927,1,1.33,6.1,0.0,0.5,0.0,0.0,0.0,6.6,CAS
yellow,VTS,2010-01-09T13:49:00.000+08:00,2010-01-09T13:56:00.000+08:00,"",1,0,0,-73.97103,40.751307,-73.99056,40.734923,1,1.83,6.9,0.0,0.5,0.0,0.0,0.0,7.4,CAS
yellow,VTS,2010-01-09T00:25:00.000+08:00,2010-01-09T00:39:00.000+08:00,"",1,0,0,-73.990037,40.725633,-73.993842,40.761697,1,3.28,11.3,0.5,0.5,0.0,0.0,0.0,12.3,CAS
yellow,VTS,2010-01-27T18:15:00.000+08:00,2010-01-27T18:29:00.000+08:00,"",1,0,0,-73.979623,40.74378,-73.989415,40.756788,1,1.42,8.5,1.0,0.5,2.0,0.0,0.0,12.0,Cre
yellow,VTS,2010-01-08T16:05:00.000+08:00,2010-01-08T16:13:00.000+08:00,"",1,0,0,-74.000917,40.75728,-73.989767,40.757407,1,0.84,5.7,1.0,0.5,3.0,0.0,0.0,10.2,Cre
yellow,VTS,2010-01-09T02:07:00.000+08:00,2010-01-09T02:21:00.000+08:00,"",1,0,0,-73.991175,40.728072,-73.979307,40.74422,1,2.76,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CAS
yellow,VTS,2010-01-16T19:04:00.000+08:00,2010-01-16T19:22:00.000+08:00,"",1,0,0,-73.980985,40.737848,-74.003255,40.738717,1,1.52,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CAS
yellow,VTS,2010-01-08T17:15:00.000+08:00,2010-01-08T17:40:00.000+08:00,"",1,0,0,-73.844168,40.721353,-73.931442,40.670685,1,7.12,19.7,1.0,0.5,0.0,0.0,0.0,21.2,CAS
yellow,DDS,2010-01-14T19:23:15.000+08:00,2010-01-14T19:44:25.000+08:00,"",1,0,0,-73.955577,40.772523,-73.99112,40.755463,1,1.4,9.7,1.5,0.0,0.0,0.0,0.0,11.2,CAS
yellow,DDS,2010-01-06T22:34:49.000+08:00,2010-01-06T22:41:30.000+08:00,"",1,0,0,-74.010253,40.72055,-74.003965,40.715782,1,1.1,5.7,0.5,-1.0,0.0,0.0,0.0,6.7,CAS
yellow,DDS,2010-01-20T15:52:26.000+08:00,2010-01-20T16:07:19.000+08:00,"",1,0,0,-73.969535,40.800547,-73.942722,40.841573,1,2.0,8.9,0.0,0.5,1.1,0.0,0.0,10.5,CRE
yellow,DDS,2010-01-22T11:54:52.000+08:00,2010-01-22T11:59:38.000+08:00,"",1,0,0,-73.996835,40.716547,-73.94854,40.79509,1,1.1,4.9,0.0,0.5,0.0,0.0,0.0,5.4,CAS
yellow,VTS,2010-01-26T16:59:00.000+08:00,2010-01-26T17:08:00.000+08:00,"",1,0,0,-73.988813,40.736657,-73.980332,40.723988,2,1.34,6.1,1.0,0.5,0.0,0.0,0.0,7.6,CAS
yellow,VTS,2010-01-26T12:05:00.000+08:00,2010-01-26T12:16:00.000+08:00,"",1,0,0,-73.990388,40.74583,-74.007802,40.745153,5,1.64,7.7,0.0,0.5,3.0,0.0,0.0,11.2,Cre
yellow,VTS,2010-01-07T18:51:00.000+08:00,2010-01-07T19:04:00.000+08:00,"",1,0,0,-73.998043,40.74126,-73.984912,40.724135,3,1.82,8.5,1.0,0.5,0.0,0.0,0.0,10.0,CAS
yellow,VTS,2010-01-13T11:41:00.000+08:00,2010-01-13T11:45:00.000+08:00,"",1,0,0,-73.992818,40.753273,-73.999295,40.754702,1,0.54,4.1,0.0,0.5,0.0,0.0,0.0,4.6,CAS
yellow,CMT,2010-01-02T21:16:07.000+08:00,2010-01-02T21:26:45.000+08:00,0,1,0,0,-74.006338,40.744562,-74.005995,40.723611,1,2.4,8.9,0.5,0.5,0.0,0.0,0.0,9.9,Cas
yellow,VTS,2010-01-14T22:24:00.000+08:00,2010-01-14T22:25:00.000+08:00,"",1,0,0,-73.9783,40.73719,-73.976525,40.739832,1,0.22,2.9,0.5,0.5,0.0,0.0,0.0,3.9,CAS
yellow,VTS,2010-01-13T16:49:00.000+08:00,2010-01-13T17:02:00.000+08:00,"",1,0,0,-73.950595,40.770822,-73.961718,40.757452,5,1.11,7.7,1.0,0.5,0.0,0.0,0.0,9.2,CAS
yellow,VTS,2010-01-08T22:14:00.000+08:00,2010-01-08T22:27:00.000+08:00,"",1,0,0,-73.991682,40.729727,-73.961595,40.764993,1,3.14,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CAS
yellow,VTS,2010-01-09T07:37:00.000+08:00,2010-01-09T07:41:00.000+08:00,"",1,0,0,-73.980837,40.747525,-73.98667,40.736503,1,0.94,4.5,0.0,0.5,1.0,0.0,0.0,6.0,Cre
yellow,VTS,2010-01-09T09:41:00.000+08:00,2010-01-09T09:48:00.000+08:00,"",1,0,0,-73.96088,40.769232,-73.958038,40.780148,1,1.03,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CAS
yellow,VTS,2010-01-16T23:56:00.000+08:00,2010-01-17T00:09:00.000+08:00,"",1,0,0,-73.984365,40.7686,-73.968862,40.798457,1,0.26,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CAS
yellow,VTS,2010-01-16T21:27:00.000+08:00,2010-01-16T21:31:00.000+08:00,"",1,0,0,-73.984018,40.765498,-73.995248,40.754752,1,1.1,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CAS
yellow,VTS,2010-01-08T22:26:00.000+08:00,2010-01-08T22:33:00.000+08:00,"",1,0,0,-73.9826,40.769187,-73.973662,40.762528,5,1.05,6.1,0.5,0.5,0.0,0.0,0.0,7.1,CAS
yellow,DDS,2010-01-23T17:03:51.000+08:00,2010-01-23T18:01:17.000+08:00,"",1,0,0,-73.949798,40.787415,-73.960065,40.799913,2,17.3,45.0,0.5,0.0,9.1,5.5,0.0,60.1,CRE
yellow,VTS,2010-01-26T18:13:00.000+08:00,2010-01-26T18:18:00.000+08:00,"",1,0,0,-73.991377,40.750172,-74.001885,40.745082,1,0.87,4.9,1.0,0.5,0.0,0.0,0.0,6.4,CAS
yellow,VTS,2010-01-28T09:19:00.000+08:00,2010-01-28T09:25:00.000+08:00,"",1,0,0,-73.982557,40.739278,-73.990615,40.748567,5,1.24,5.3,0.0,0.5,2.0,0.0,0.0,7.8,Cre
yellow,VTS,2010-01-16T13:06:00.000+08:00,2010-01-16T13:08:00.000+08:00,"",1,0,0,-73.983265,40.771168,-73.988935,40.763638,1,0.61,3.7,0.0,0.5,0.0,0.0,0.0,4.2,CAS
yellow,DDS,2010-01-24T17:00:42.000+08:00,2010-01-24T17:04:09.000+08:00,"",1,0,0,-73.986193,40.726455,-73.973987,40.764432,3,0.5,3.7,0.0,0.5,0.0,0.0,0.0,4.2,CAS
yellow,VTS,2010-01-14T22:44:00.000+08:00,2010-01-14T22:57:00.000+08:00,"",1,0,0,-73.982128,40.757327,-73.984698,40.711052,1,4.22,12.5,0.5,0.5,0.0,0.0,0.0,13.5,CAS
yellow,VTS,2010-01-07T23:22:00.000+08:00,2010-01-07T23:40:00.000+08:00,"",1,0,0,-73.987322,40.72493,-73.989547,40.769525,2,4.43,13.3,0.5,0.5,0.0,0.0,0.0,14.3,CAS
yellow,VTS,2010-01-13T13:59:00.000+08:00,2010-01-13T14:01:00.000+08:00,"",1,0,0,-73.954082,40.784517,-73.95491,40.787487,1,0.36,3.7,0.0,0.5,0.0,0.0,0.0,4.2,CAS
yellow,VTS,2010-01-09T04:36:00.000+08:00,2010-01-09T04:44:00.000+08:00,"",1,0,0,-74.001533,40.735937,-73.975552,40.744885,5,2.16,7.7,0.5,0.5,0.0,0.0,0.0,8.7,CAS
yellow,CMT,2010-01-03T22:46:22.000+08:00,2010-01-03T22:52:43.000+08:00,0,1,0,0,-73.985734,40.758801,-73.970028,40.756641,1,0.9,5.7,0.5,0.5,0.0,0.0,0.0,6.7,Cas
yellow,CMT,2010-01-02T23:10:00.000+08:00,2010-01-02T23:19:19.000+08:00,0,1,0,0,-73.998153,40.718282,-73.97985,40.73347,2,1.6,7.3,0.5,0.5,1.66,0.0,0.0,9.96,Cre
yellow,VTS,2010-01-15T21:42:00.000+08:00,2010-01-15T22:09:00.000+08:00,"",1,0,0,-74.001718,40.732322,-73.991997,40.684123,2,5.03,16.9,0.5,0.5,0.0,0.0,0.0,17.9,CAS
yellow,VTS,2010-01-02T14:19:00.000+08:00,2010-01-02T14:40:00.000+08:00,"",1,0,0,-74.006798,40.704955,-73.982073,40.775393,5,6.51,17.7,0.0,0.5,0.0,0.0,0.0,18.2,CAS
yellow,VTS,2010-01-08T23:38:00.000+08:00,2010-01-08T23:43:00.000+08:00,"",1,0,0,-74.004935,40.740835,-74.00239,40.750312,1,0.84,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CAS
yellow,VTS,2010-01-09T14:02:00.000+08:00,2010-01-09T14:09:00.000+08:00,"",1,0,0,-73.99816,40.720343,-74.01001,40.721232,1,1.03,5.7,0.0,0.5,1.0,0.0,0.0,7.2,Cre
yellow,VTS,2010-01-09T04:14:00.000+08:00,2010-01-09T04:32:00.000+08:00,"",1,0,0,-73.98673,40.755638,-73.900987,40.74613,5,5.66,15.3,0.5,0.5,0.0,0.0,0.0,16.3,CAS
yellow,VTS,2010-01-09T14:19:00.000+08:00,2010-01-09T14:38:00.000+08:00,"",1,0,0,-74.01588,40.704618,-73.98402,40.737735,1,4.46,14.9,0.0,0.5,4.0,0.0,0.0,19.4,Cre
yellow,DDS,2010-01-22T16:38:17.000+08:00,2010-01-22T17:11:52.000+08:00,"",1,0,0,-74.00545,40.74078,-73.974222,40.754687,4,17.2,45.0,0.0,0.5,0.0,0.0,0.0,45.5,CAS
yellow,DDS,2010-01-28T19:46:40.000+08:00,2010-01-28T20:10:39.000+08:00,"",1,0,0,-73.981567,40.729573,-73.977565,40.729202,1,8.7,22.5,1.5,0.0,4.8,0.0,0.0,28.8,CRE
yellow,VTS,2010-01-16T20:06:00.000+08:00,2010-01-16T20:45:00.000+08:00,"",1,0,0,-73.952598,40.823673,-73.974123,40.731252,2,7.89,24.9,0.5,0.5,0.0,0.0,0.0,25.9,CAS
yellow,VTS,2010-01-26T19:48:00.000+08:00,2010-01-26T19:54:00.000+08:00,"",1,0,0,-73.982383,40.766333,-73.97936,40.755888,1,1.16,5.7,1.0,0.5,0.0,0.0,0.0,7.2,CAS
yellow,VTS,2010-01-16T15:56:00.000+08:00,2010-01-16T16:03:00.000+08:00,"",1,0,0,-73.989802,40.741675,-73.991173,40.750478,2,1.04,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CAS
yellow,DDS,2010-01-27T21:03:44.000+08:00,2010-01-27T22:13:10.000+08:00,"",1,0,0,-73.994733,40.750325,-73.97331,40.755392,1,2.9,9.7,0.5,0.5,0.0,0.0,0.0,10.7,CAS
yellow,VTS,2010-01-01T00:40:00.000+08:00,2010-01-01T00:52:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,3,2.79,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CAS
yellow,VTS,2010-01-15T11:16:00.000+08:00,2010-01-15T11:16:00.000+08:00,"",1,0,0,-73.962063,40.773355,-73.965945,40.771038,4,0.34,2.9,0.0,0.5,0.0,0.0,0.0,3.4,CAS
yellow,VTS,2010-01-15T14:50:00.000+08:00,2010-01-15T15:00:00.000+08:00,"",1,0,0,-73.997725,40.720665,-73.999312,40.743902,1,2.14,7.7,0.0,0.5,0.0,0.0,0.0,8.2,CAS
yellow,CMT,2010-01-02T21:38:56.000+08:00,2010-01-02T21:50:25.000+08:00,0,1,0,0,-73.989013,40.75872,-73.968468,40.793204,4,2.8,9.7,0.5,0.5,0.0,0.0,0.0,10.7,Cas
yellow,DDS,2010-01-01T04:07:33.000+08:00,2010-01-01T04:20:20.000+08:00,"",1,0,0,-74.010165,40.720495,-73.986612,40.757565,1,1.7,8.5,0.5,-1.0,0.0,0.0,0.0,9.5,CAS
yellow,DDS,2010-01-29T08:13:38.000+08:00,2010-01-29T08:25:26.000+08:00,"",1,0,0,-73.976508,40.75082,-73.982395,40.748663,1,2.3,8.9,0.5,0.0,0.0,0.0,0.0,9.4,CAS
yellow,VTS,2010-01-09T14:04:00.000+08:00,2010-01-09T14:08:00.000+08:00,"",1,0,0,-73.984325,40.77047,-73.983803,40.763365,5,0.5,4.1,0.0,0.5,0.0,0.0,0.0,4.6,CAS
yellow,DDS,2010-01-17T14:13:48.000+08:00,2010-01-17T14:34:33.000+08:00,"",1,0,0,-73.988735,40.731163,-73.976155,40.748767,1,4.1,14.1,0.0,0.5,2.9,0.0,0.0,17.5,CRE
yellow,DDS,2010-01-31T00:10:52.000+08:00,2010-01-31T00:15:04.000+08:00,"",1,0,0,-73.987037,40.760867,-73.991605,40.75027,4,0.7,4.1,0.5,0.5,0.0,0.0,0.0,5.1,CAS
yellow,VTS,2010-01-23T23:32:00.000+08:00,2010-01-23T23:45:00.000+08:00,"",1,0,0,-73.981142,40.746852,-74.00323,40.724008,1,2.21,8.9,0.5,0.5,1.0,0.0,0.0,10.9,Cre
yellow,VTS,2010-01-09T13:47:00.000+08:00,2010-01-09T14:02:00.000+08:00,"",1,0,0,-74.006163,40.740082,-73.978452,40.752267,5,2.29,9.3,0.0,0.5,0.0,0.0,0.0,9.8,CAS
yellow,VTS,2010-01-17T12:20:00.000+08:00,2010-01-17T12:29:00.000+08:00,"",1,0,0,-73.976532,40.758137,-73.990687,40.736593,2,1.91,7.3,0.0,0.5,0.0,0.0,0.0,7.8,CAS
yellow,VTS,2010-01-16T23:37:00.000+08:00,2010-01-16T23:43:00.000+08:00,"",1,0,0,-73.959692,40.773623,-73.976268,40.775913,1,1.49,6.1,0.5,0.5,0.0,0.0,0.0,7.1,CAS
yellow,DDS,2010-01-05T12:52:24.000+08:00,2010-01-05T13:03:23.000+08:00,"",1,0,0,-73.855753,40.770402,-73.983567,40.730623,1,1.9,7.3,0.0,-1.0,1.55,0.0,0.0,9.35,CRE
yellow,VTS,2010-01-09T15:43:00.000+08:00,2010-01-09T15:55:00.000+08:00,"",1,0,0,-73.987837,40.750183,-73.967747,40.761352,4,1.78,8.1,0.0,0.5,0.0,0.0,0.0,8.6,CAS
yellow,VTS,2010-01-09T20:26:00.000+08:00,2010-01-09T20:27:00.000+08:00,"",1,0,0,-73.955488,40.804635,-73.955478,40.804628,1,0.0,3.5,0.0,0.5,0.0,0.0,0.0,4.0,CAS
yellow,VTS,2010-01-09T22:41:00.000+08:00,2010-01-09T23:05:00.000+08:00,"",1,0,0,-73.987092,40.729485,-73.96433,40.6804,1,6.55,18.9,0.5,0.5,3.88,0.0,0.0,23.78,Cre
yellow,VTS,2010-01-16T00:48:00.000+08:00,2010-01-16T01:10:00.000+08:00,"",1,0,0,-73.996755,40.725277,-73.949078,40.825222,5,8.91,23.3,0.5,0.5,0.0,0.0,0.0,24.3,CAS
yellow,VTS,2010-01-17T17:26:00.000+08:00,2010-01-17T17:33:00.000+08:00,"",1,0,0,-74.00588,40.735193,-73.997148,40.726403,1,0.88,5.7,0.0,0.5,1.0,0.0,0.0,7.2,Cre
yellow,VTS,2010-01-21T14:51:00.000+08:00,2010-01-21T15:12:00.000+08:00,"",1,0,0,-73.956825,40.780737,-73.926318,40.866498,1,7.36,20.5,0.0,0.5,4.1,0.0,0.0,25.1,Cre
yellow,VTS,2010-01-14T11:08:00.000+08:00,2010-01-14T11:13:00.000+08:00,"",1,0,0,-73.96321,40.765618,-73.971525,40.760898,1,0.72,4.9,0.0,0.5,0.0,0.0,0.0,5.4,CAS
yellow,VTS,2010-01-30T11:08:00.000+08:00,2010-01-30T11:20:00.000+08:00,"",1,0,0,-73.97845,40.756055,-73.998987,40.722493,1,2.79,9.3,0.0,0.5,0.0,0.0,0.0,9.8,CAS
yellow,DDS,2010-01-04T15:23:26.000+08:00,2010-01-04T15:40:31.000+08:00,"",1,0,0,-73.993138,40.752703,-73.985472,40.720635,2,4.3,13.3,0.0,-1.0,0.0,0.0,0.0,13.8,CAS
yellow,VTS,2010-01-09T18:15:00.000+08:00,2010-01-09T18:20:00.000+08:00,"",1,0,0,-73.96203,40.759485,-73.951453,40.775193,5,1.25,5.3,0.0,0.5,2.0,0.0,0.0,7.8,Cre
yellow,VTS,2010-01-09T19:37:00.000+08:00,2010-01-09T19:49:00.000+08:00,"",1,0,0,-74.006027,40.706353,-74.007423,40.741073,1,3.6,11.3,0.0,0.5,2.0,0.0,0.0,13.8,Cre
yellow,VTS,2010-01-06T08:32:00.000+08:00,2010-01-06T08:42:00.000+08:00,"",1,0,0,-73.962865,40.772355,-73.983388,40.76033,1,1.94,8.1,0.0,0.5,0.0,0.0,0.0,8.6,CAS
