taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2010-06-18T10:43:46.000+08:00,2010-06-18T11:22:12.000+08:00,0,2,0,0,-73.972894,40.79281,-73.776308,40.645528,4,20.0,45.0,0.0,0.5,0.0,4.57,0.0,50.07,Cas
yellow,CMT,2010-06-26T15:02:57.000+08:00,2010-06-26T15:07:15.000+08:00,0,1,0,0,-73.987815,40.74848,-73.977535,40.75388,1,0.7,4.5,0.0,0.5,0.0,0.0,0.0,5.0,Cas
yellow,CMT,2010-06-24T07:36:37.000+08:00,2010-06-24T07:43:29.000+08:00,0,1,0,0,-74.006497,40.732921,-73.998122,40.725982,1,1.0,5.7,0.0,0.5,0.0,0.0,0.0,6.2,Cas
yellow,CMT,2010-06-23T18:42:21.000+08:00,2010-06-23T18:55:41.000+08:00,0,1,0,0,-73.987534,40.733397,-73.951097,40.770543,2,3.5,10.9,1.0,0.5,1.0,0.0,0.0,13.4,Cre
yellow,CMT,2010-06-23T14:10:43.000+08:00,2010-06-23T14:17:02.000+08:00,0,1,0,0,-73.955832,40.779476,-73.968117,40.765118,1,1.2,5.7,0.0,0.5,0.0,0.0,0.0,6.2,Cas
yellow,CMT,2010-06-23T09:47:52.000+08:00,2010-06-23T10:01:10.000+08:00,0,1,0,0,-73.981108,40.737857,-74.017214,40.704727,4,4.6,13.3,0.0,0.5,0.0,0.0,0.0,13.8,Cas
yellow,CMT,2010-06-22T20:55:25.000+08:00,2010-06-22T21:03:29.000+08:00,0,1,0,0,-73.986599,40.726505,-74.000412,40.730207,3,1.0,6.1,0.5,0.5,0.0,0.0,0.0,7.1,Cas
yellow,CMT,2010-06-22T17:25:42.000+08:00,2010-06-22T17:51:11.000+08:00,0,4,0,0,-73.98827,40.743159,-73.99127,40.688231,1,4.5,15.3,1.0,0.5,0.0,0.0,0.0,16.8,Cas
yellow,CMT,2010-06-22T14:05:57.000+08:00,2010-06-22T14:33:50.000+08:00,0,1,0,0,-73.981986,40.76207,-74.013103,40.703633,1,5.5,18.5,0.0,0.5,0.0,0.0,0.0,19.0,Cas
yellow,CMT,2010-06-22T06:27:12.000+08:00,2010-06-22T06:28:46.000+08:00,0,1,0,0,-73.979061,40.740948,-73.985254,40.741285,1,0.4,3.3,0.0,0.5,0.0,0.0,0.0,3.8,Cas
yellow,CMT,2010-06-10T17:48:29.000+08:00,2010-06-10T18:04:47.000+08:00,0,1,0,0,-73.991546,40.749873,-74.005587,40.725532,2,1.8,9.7,1.0,0.5,0.0,0.0,0.0,11.2,Cas
yellow,CMT,2010-06-12T11:09:13.000+08:00,2010-06-12T11:13:50.000+08:00,0,1,0,0,-73.974023,40.763213,-73.980548,40.773907,1,1.1,4.9,0.0,0.5,0.0,0.0,0.0,5.4,Cas
yellow,CMT,2010-06-07T08:06:58.000+08:00,2010-06-07T08:12:35.000+08:00,0,1,0,0,-73.975455,40.761478,-73.987862,40.743183,1,1.4,5.7,0.0,0.5,1.3,0.0,0.0,7.5,Cre
yellow,CMT,2010-06-06T12:18:47.000+08:00,2010-06-06T12:24:28.000+08:00,0,1,0,0,-73.989816,40.772594,-73.990841,40.761833,1,1.0,5.3,0.0,0.5,0.0,0.0,0.0,5.8,Cas
yellow,CMT,2010-06-06T11:40:25.000+08:00,2010-06-06T11:45:11.000+08:00,0,1,0,0,-73.983381,40.762052,-73.992005,40.749416,2,0.9,4.9,0.0,0.5,0.0,0.0,0.0,5.4,Cas
yellow,CMT,2010-06-28T08:36:44.000+08:00,2010-06-28T08:45:38.000+08:00,0,1,0,0,-74.002286,40.719718,-73.99706,40.74238,1,1.9,7.3,0.0,0.5,0.0,0.0,0.0,7.8,Cas
yellow,CMT,2010-06-04T08:49:14.000+08:00,2010-06-04T09:10:32.000+08:00,0,1,0,0,-73.956251,40.775661,-73.990365,40.740573,1,3.5,12.9,0.0,0.5,2.68,0.0,0.0,16.08,Cre
yellow,CMT,2010-06-30T03:13:10.000+08:00,2010-06-30T03:19:50.000+08:00,0,1,0,0,-73.996682,40.715095,-73.982882,40.731136,1,1.5,6.5,0.5,0.5,1.0,0.0,0.0,8.5,Cre
yellow,CMT,2010-06-04T15:38:37.000+08:00,2010-06-04T15:55:03.000+08:00,0,1,0,0,-73.994956,40.689973,-73.978205,40.671259,1,2.1,10.1,0.0,0.5,1.0,0.0,0.0,11.6,Cre
yellow,CMT,2010-06-22T04:13:26.000+08:00,2010-06-22T04:17:40.000+08:00,0,1,0,0,-73.990074,40.757208,-73.977429,40.752173,1,0.7,4.5,0.5,0.5,0.0,0.0,0.0,5.5,Cas
yellow,CMT,2010-06-21T16:30:57.000+08:00,2010-06-21T16:34:54.000+08:00,0,1,0,0,-73.972515,40.754324,-73.981283,40.743789,1,0.9,4.9,1.0,0.5,1.28,0.0,0.0,7.68,Cre
yellow,CMT,2010-06-30T17:25:44.000+08:00,2010-06-30T17:38:42.000+08:00,0,1,0,0,-73.977724,40.751811,-73.952418,40.772964,1,2.3,9.3,1.0,0.5,1.62,0.0,0.0,12.42,Cre
yellow,CMT,2010-06-28T15:36:29.000+08:00,2010-06-28T15:50:59.000+08:00,0,1,0,0,-73.993067,40.747904,-73.974709,40.790606,2,3.3,10.9,0.0,0.5,0.0,0.0,0.0,11.4,Cas
yellow,CMT,2010-06-28T18:41:18.000+08:00,2010-06-28T18:53:02.000+08:00,0,1,0,0,-73.951552,40.773589,-73.97671,40.743702,1,2.6,9.3,1.0,0.5,0.0,0.0,0.0,10.8,Cas
yellow,CMT,2010-06-30T22:05:47.000+08:00,2010-06-30T22:11:45.000+08:00,0,1,0,0,-73.966927,40.760227,-73.950963,40.783201,1,1.8,6.5,0.5,0.5,1.87,0.0,0.0,9.37,Cre
yellow,CMT,2010-06-05T16:24:59.000+08:00,2010-06-05T16:31:58.000+08:00,0,1,0,0,-73.994385,40.724879,-73.983646,40.743971,2,1.5,6.5,0.0,0.5,0.0,0.0,0.0,7.0,Cas
yellow,CMT,2010-06-21T15:37:11.000+08:00,2010-06-21T15:48:01.000+08:00,0,1,0,0,-73.976377,40.780783,-73.988879,40.756532,4,2.0,8.1,0.0,0.5,0.0,0.0,0.0,8.6,Cas
yellow,CMT,2010-06-30T12:01:14.000+08:00,2010-06-30T12:15:13.000+08:00,0,1,0,0,-73.965779,40.758513,-73.990054,40.750814,1,2.0,9.7,0.0,0.5,2.0,0.0,0.0,12.2,Cre
yellow,CMT,2010-06-30T15:06:19.000+08:00,2010-06-30T15:15:51.000+08:00,0,1,0,0,-73.98395,40.746576,-74.001943,40.740752,1,1.5,7.3,0.0,0.5,0.0,0.0,0.0,7.8,Cas
yellow,CMT,2010-06-10T09:14:05.000+08:00,2010-06-10T09:26:54.000+08:00,0,1,0,0,-73.974967,40.77752,-73.982257,40.76229,1,1.9,8.5,0.0,0.5,1.8,0.0,0.0,10.8,Cre
yellow,CMT,2010-06-05T16:20:24.000+08:00,2010-06-05T16:35:36.000+08:00,0,1,0,0,-73.998646,40.761566,-73.961902,40.761243,2,2.9,10.5,0.0,0.5,0.0,0.0,0.0,11.0,Cas
yellow,CMT,2010-06-19T04:02:01.000+08:00,2010-06-19T04:18:07.000+08:00,0,1,0,0,-74.004073,40.725476,-73.95854,40.708641,1,3.9,12.9,0.5,0.5,0.0,0.0,0.0,13.9,Cas
yellow,CMT,2010-06-25T13:19:13.000+08:00,2010-06-25T13:25:12.000+08:00,0,1,0,0,-73.962138,40.775837,-73.980179,40.784082,1,1.2,5.7,0.0,0.5,0.0,0.0,0.0,6.2,Cas
yellow,CMT,2010-06-21T02:19:40.000+08:00,2010-06-21T02:30:16.000+08:00,0,1,0,0,-73.987808,40.722614,-73.9768,40.687216,1,3.1,10.5,0.5,0.5,0.0,0.0,0.0,11.5,Cas
yellow,CMT,2010-06-19T01:12:03.000+08:00,2010-06-19T01:23:41.000+08:00,0,1,0,0,-73.986112,40.722261,-73.956144,40.715005,1,2.9,10.1,0.5,0.5,0.0,0.0,0.0,11.1,Cas
yellow,CMT,2010-06-01T15:11:06.000+08:00,2010-06-01T15:23:46.000+08:00,0,1,0,0,-73.955021,40.783362,-73.963511,40.754466,4,2.5,9.3,0.0,0.5,0.0,0.0,0.0,9.8,Cas
yellow,CMT,2010-06-16T19:05:38.000+08:00,2010-06-16T19:19:20.000+08:00,0,1,0,0,-73.989804,40.734064,-73.978351,40.761693,1,2.3,9.3,1.0,0.5,0.0,0.0,0.0,10.8,Cas
yellow,CMT,2010-06-14T07:36:58.000+08:00,2010-06-14T07:52:16.000+08:00,0,1,0,0,-74.000447,40.742976,-73.97191,40.794802,1,4.3,12.5,0.0,0.5,2.6,0.0,0.0,15.6,Cre
yellow,CMT,2010-06-13T00:07:14.000+08:00,2010-06-13T00:13:10.000+08:00,0,1,0,0,-73.982631,40.756959,-73.973522,40.760095,1,0.9,5.3,0.5,0.5,0.0,0.0,0.0,6.3,Cas
yellow,CMT,2010-06-19T23:30:16.000+08:00,2010-06-19T23:59:58.000+08:00,0,1,0,0,-73.954017,40.729529,-73.97853,40.777389,1,6.9,21.3,0.5,0.5,0.0,0.0,0.0,22.3,Cre
yellow,CMT,2010-06-27T15:11:52.000+08:00,2010-06-27T15:15:59.000+08:00,0,1,0,0,-73.96293,40.766715,-73.950164,40.780523,1,1.3,5.3,0.0,0.5,2.0,0.0,0.0,7.8,Cre
yellow,DDS,2010-06-09T20:03:55.000+08:00,2010-06-09T20:15:25.000+08:00,"",1,0,0,-73.955434,40.773555,-73.964933,40.759976,1,1.4,7.3,0.5,0.5,1.0,0.0,0.0,9.3,CRE
yellow,VTS,2010-06-24T19:15:00.000+08:00,2010-06-24T19:17:00.000+08:00,"",1,0,0,-73.978303,40.737032,-73.975343,40.741323,3,0.34,2.9,1.0,0.5,1.0,0.0,0.0,5.4,Cre
yellow,VTS,2010-06-10T10:51:00.000+08:00,2010-06-10T11:03:00.000+08:00,"",1,0,0,-73.98199,40.740195,-74.001125,40.731627,1,1.73,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CAS
yellow,VTS,2010-06-04T03:21:00.000+08:00,2010-06-04T03:26:00.000+08:00,"",1,0,0,-73.999098,40.728132,-73.989995,40.729395,1,0.75,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CAS
yellow,VTS,2010-06-10T14:14:00.000+08:00,2010-06-10T14:22:00.000+08:00,"",1,0,0,-73.966337,40.76555,-73.966955,40.756988,2,0.78,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CAS
