taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2010-07-22T09:44:00.000+08:00,2010-07-22T09:55:00.000+08:00,"",1,0,0,-73.974005,40.75417,-73.986397,40.757853,1,1.04,6.9,0.0,0.5,0.0,0.0,0.0,7.4,CAS
yellow,VTS,2010-07-08T15:15:00.000+08:00,2010-07-08T15:33:00.000+08:00,"",1,0,0,-73.995808,40.7612,-73.995808,40.7612,1,5.11,14.1,0.0,0.5,3.0,0.0,0.0,17.6,Cre
yellow,VTS,2010-07-30T11:36:00.000+08:00,2010-07-30T11:53:00.000+08:00,"",1,0,0,-73.967288,40.772408,-73.937272,40.7406,1,3.98,12.9,0.0,0.5,2.0,0.0,0.0,15.4,Cre
yellow,VTS,2010-07-26T22:23:00.000+08:00,2010-07-26T22:32:00.000+08:00,"",1,0,0,-73.996952,40.745312,-74.00598,40.721842,2,2.8,8.5,0.5,0.5,0.0,0.0,0.0,9.5,CAS
yellow,VTS,2010-07-23T12:28:00.000+08:00,2010-07-23T12:53:00.000+08:00,"",1,0,0,-74.006163,40.73362,-73.98015,40.762565,1,3.06,13.7,0.0,0.5,0.0,0.0,0.0,14.2,CAS
yellow,VTS,2010-07-28T15:36:00.000+08:00,2010-07-28T16:02:00.000+08:00,"",1,0,0,-73.96944,40.757623,-73.947235,40.78798,1,2.36,14.5,0.0,0.5,0.0,0.0,0.0,15.0,CAS
yellow,VTS,2010-07-18T21:17:00.000+08:00,2010-07-18T21:21:00.000+08:00,"",1,0,0,-73.965453,40.75925,-73.97809,40.745697,1,1.29,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CAS
yellow,VTS,2010-07-18T01:18:00.000+08:00,2010-07-18T01:24:00.000+08:00,"",1,0,0,-73.977972,40.746202,-73.988425,40.734807,2,1.46,6.1,0.5,0.5,0.0,0.0,0.0,7.1,CAS
yellow,VTS,2010-07-21T11:52:00.000+08:00,2010-07-21T11:56:00.000+08:00,"",1,0,0,-73.992178,40.743707,-73.985327,40.753457,1,0.78,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CAS
yellow,VTS,2010-07-20T16:42:00.000+08:00,2010-07-20T17:01:00.000+08:00,"",1,0,0,-73.974503,40.756432,-74.007382,40.705547,1,5.28,15.7,1.0,0.5,3.34,0.0,0.0,20.54,Cre
yellow,VTS,2010-07-08T16:39:00.000+08:00,2010-07-08T16:42:00.000+08:00,"",1,0,0,-73.985907,40.722765,-73.982327,40.731318,3,0.73,4.1,1.0,0.5,0.0,0.0,0.0,5.6,CAS
yellow,VTS,2010-07-30T10:48:00.000+08:00,2010-07-30T10:54:00.000+08:00,"",1,0,0,-73.976453,40.788345,-73.969667,40.798797,1,0.78,5.3,0.0,0.5,1.25,0.0,0.0,7.05,Cre
yellow,VTS,2010-07-30T17:53:00.000+08:00,2010-07-30T18:15:00.000+08:00,"",1,0,0,-73.972058,40.765373,-73.990642,40.750647,2,1.71,11.3,1.0,0.5,1.0,0.0,0.0,13.8,Cre
yellow,VTS,2010-07-23T12:50:00.000+08:00,2010-07-23T12:55:00.000+08:00,"",1,0,0,-73.96749,40.756305,-73.975668,40.756575,1,0.54,4.1,0.0,0.5,0.0,0.0,0.0,4.6,CAS
yellow,VTS,2010-07-17T08:56:00.000+08:00,2010-07-17T09:07:00.000+08:00,"",1,0,0,-73.982028,40.783038,-73.991568,40.750565,1,2.98,9.7,0.0,0.5,0.0,0.0,0.0,10.2,CAS
yellow,VTS,2010-07-06T10:30:00.000+08:00,2010-07-06T10:38:00.000+08:00,"",1,0,0,-73.98153,40.780133,-73.977202,40.766162,1,1.15,6.1,0.0,0.5,0.0,0.0,0.0,6.6,CAS
yellow,VTS,2010-07-26T13:54:00.000+08:00,2010-07-26T14:13:00.000+08:00,"",1,0,0,-73.986873,40.739437,-73.980703,40.767633,1,2.6,11.7,0.0,0.5,2.0,0.0,0.0,14.2,Cre
yellow,VTS,2010-07-23T20:21:00.000+08:00,2010-07-23T20:25:00.000+08:00,"",1,0,0,-73.99189,40.696462,-73.995493,40.683413,2,0.96,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CAS
yellow,VTS,2010-07-08T17:53:00.000+08:00,2010-07-08T18:11:00.000+08:00,"",1,0,0,-73.975062,40.749332,-73.975413,40.787815,5,3.53,12.5,1.0,0.5,2.0,0.0,0.0,16.0,Cre
yellow,VTS,2010-07-28T20:46:00.000+08:00,2010-07-28T21:00:00.000+08:00,"",1,0,0,-73.982557,40.763175,-73.986503,40.7393,5,2.18,8.9,0.5,0.5,2.0,0.0,0.0,11.9,Cre
yellow,VTS,2010-07-23T12:16:00.000+08:00,2010-07-23T12:44:00.000+08:00,"",1,0,0,-74.009998,40.721458,-73.973478,40.764545,5,5.32,17.7,0.0,0.5,0.0,0.0,0.0,18.2,CAS
yellow,VTS,2010-07-28T12:29:00.000+08:00,2010-07-28T12:36:00.000+08:00,"",1,0,0,-73.962168,40.779443,-73.972353,40.765088,1,1.13,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CAS
yellow,VTS,2010-07-15T09:37:00.000+08:00,2010-07-15T09:40:00.000+08:00,"",1,0,0,-74.001417,40.736055,-74.00708,40.72877,1,0.66,4.1,0.0,0.5,0.0,0.0,0.0,4.6,CAS
yellow,VTS,2010-07-05T17:01:00.000+08:00,2010-07-05T17:18:00.000+08:00,"",1,0,0,-73.885383,40.773097,-73.859993,40.834767,5,10.36,23.3,0.0,0.5,0.0,4.57,0.0,28.37,CAS
yellow,VTS,2010-07-08T18:56:00.000+08:00,2010-07-08T19:11:00.000+08:00,"",1,0,0,-73.97416,40.769035,-73.991608,40.738597,1,2.24,9.7,1.0,0.5,3.0,0.0,0.0,14.2,Cre
yellow,VTS,2010-07-07T01:03:00.000+08:00,2010-07-07T01:33:00.000+08:00,"",1,0,0,-73.991807,40.735348,-74.034018,40.620365,1,13.27,31.7,0.5,0.5,0.0,0.0,0.0,32.7,CAS
yellow,VTS,2010-07-27T17:44:00.000+08:00,2010-07-27T17:51:00.000+08:00,"",1,0,0,-73.978373,40.7531,-73.998462,40.74061,2,1.79,6.9,1.0,0.5,0.0,0.0,0.0,8.4,CAS
yellow,VTS,2010-07-21T16:04:00.000+08:00,2010-07-21T16:39:00.000+08:00,"",1,0,0,-73.971997,40.78187,-73.98797,40.765013,5,2.93,18.5,1.0,0.5,0.0,0.0,0.0,20.0,CAS
yellow,VTS,2010-07-25T00:36:00.000+08:00,2010-07-25T00:42:00.000+08:00,"",1,0,0,-73.98221,40.7785,-73.966263,40.804012,2,2.08,6.9,0.5,0.5,0.0,0.0,0.0,7.9,CAS
yellow,VTS,2010-07-06T15:27:00.000+08:00,2010-07-06T15:49:00.000+08:00,"",1,0,0,-73.969687,40.758125,-73.959012,40.763705,1,1.96,11.7,0.0,0.5,0.0,0.0,0.0,12.2,CAS
yellow,VTS,2010-07-09T19:09:00.000+08:00,2010-07-09T19:28:00.000+08:00,"",1,0,0,-73.974922,40.755613,-74.005458,40.726597,5,3.31,12.5,1.0,0.5,0.0,0.0,0.0,14.0,CAS
yellow,VTS,2010-07-21T08:56:00.000+08:00,2010-07-21T09:01:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,1,0.91,4.9,0.0,0.5,1.25,0.0,0.0,6.65,Cre
yellow,VTS,2010-07-23T23:55:00.000+08:00,2010-07-23T23:58:00.000+08:00,"",1,0,0,-73.984552,40.763645,-73.984227,40.7711,1,0.58,3.7,0.5,0.5,0.0,0.0,0.0,4.7,CAS
yellow,VTS,2010-07-30T11:16:00.000+08:00,2010-07-30T11:31:00.000+08:00,"",1,0,0,-73.97972,40.786338,-73.96932,40.761443,1,2.6,9.7,0.0,0.5,3.0,0.0,0.0,13.2,Cre
yellow,VTS,2010-07-16T13:51:00.000+08:00,2010-07-16T13:57:00.000+08:00,"",1,0,0,-74.00705,40.734683,-74.009993,40.720888,1,1.34,5.7,0.0,0.5,2.0,0.0,0.0,8.2,Cre
yellow,VTS,2010-07-25T03:39:00.000+08:00,2010-07-25T03:43:00.000+08:00,"",1,0,0,-73.956622,40.718805,-73.95451,40.731828,1,1.04,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CAS
yellow,CMT,2010-07-08T18:00:37.000+08:00,2010-07-08T18:12:20.000+08:00,0,1,0,0,-73.951706,40.76943,-73.970968,40.748909,1,2.1,8.9,1.0,0.5,0.0,0.0,0.0,10.4,Cas
yellow,VTS,2010-07-09T16:40:00.000+08:00,2010-07-09T16:46:00.000+08:00,"",1,0,0,-73.9558,40.787748,-73.963345,40.774775,1,1.1,5.3,1.0,0.5,1.0,0.0,0.0,7.8,Cre
yellow,VTS,2010-07-28T23:03:00.000+08:00,2010-07-28T23:10:00.000+08:00,"",1,0,0,-74.003228,40.720367,-73.99006,40.734513,5,1.35,6.1,0.5,0.5,0.0,0.0,0.0,7.1,CAS
yellow,VTS,2010-07-28T15:54:00.000+08:00,2010-07-28T16:05:00.000+08:00,"",1,0,0,-73.968533,40.786465,-73.979012,40.777207,1,0.94,7.3,0.0,0.5,0.0,0.0,0.0,7.8,CAS
yellow,VTS,2010-07-05T20:48:00.000+08:00,2010-07-05T20:59:00.000+08:00,"",1,0,0,-73.96638,40.753173,-74.001838,40.719435,1,3.41,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CAS
yellow,VTS,2010-07-08T08:55:00.000+08:00,2010-07-08T09:10:00.000+08:00,"",1,0,0,-73.997587,40.720895,-74.006628,40.742632,1,2.13,9.7,0.0,0.5,2.0,0.0,0.0,12.2,Cre
yellow,CMT,2010-07-22T23:45:22.000+08:00,2010-07-22T23:48:05.000+08:00,0,1,0,0,-73.96383,40.77438,-73.959654,40.771115,1,0.3,3.7,0.5,0.5,0.0,0.0,0.0,4.7,No
yellow,VTS,2010-07-05T17:20:00.000+08:00,2010-07-05T17:21:00.000+08:00,"",1,0,0,-73.977137,40.747078,-73.975163,40.750038,1,0.26,2.9,0.0,0.5,0.0,0.0,0.0,3.4,CAS
yellow,VTS,2010-07-06T20:17:00.000+08:00,2010-07-06T20:29:00.000+08:00,"",1,0,0,-73.996665,40.753017,-73.983212,40.747425,2,1.29,7.7,0.5,0.5,2.0,0.0,0.0,10.7,Cre
yellow,VTS,2010-07-05T11:21:00.000+08:00,2010-07-05T11:43:00.000+08:00,"",1,0,0,-73.959243,40.814907,-73.974187,40.757093,1,5.13,16.1,0.0,0.5,3.22,0.0,0.0,19.82,Cre
yellow,VTS,2010-07-25T03:18:00.000+08:00,2010-07-25T03:40:00.000+08:00,"",1,0,0,-73.942878,40.790055,-73.885875,40.874487,5,9.29,22.9,0.5,0.5,0.0,0.0,0.0,23.9,CAS
yellow,VTS,2010-07-20T19:00:00.000+08:00,2010-07-20T19:11:00.000+08:00,"",1,0,0,-73.956195,40.781528,-73.968243,40.756345,2,2.14,8.9,1.0,0.5,0.0,0.0,0.0,10.4,CAS
yellow,VTS,2010-07-27T19:22:00.000+08:00,2010-07-27T19:35:00.000+08:00,"",1,0,0,-73.981003,40.784447,-73.948008,40.80132,1,2.8,10.1,1.0,0.5,2.0,0.0,0.0,13.6,Cre
yellow,VTS,2010-07-14T15:09:00.000+08:00,2010-07-14T15:18:00.000+08:00,"",1,0,0,-73.982593,40.76322,-74.00555,40.750962,1,1.96,7.3,0.0,0.5,1.0,0.0,0.0,8.8,Cre
yellow,VTS,2010-07-23T19:55:00.000+08:00,2010-07-23T20:00:00.000+08:00,"",1,0,0,-73.966653,40.753207,-73.947602,40.779245,5,2.05,6.9,1.0,0.5,0.0,0.0,0.0,8.4,CAS
yellow,VTS,2010-07-19T16:06:00.000+08:00,2010-07-19T16:14:00.000+08:00,"",1,0,0,-73.980472,40.751218,-73.964052,40.773652,1,1.82,6.9,1.0,0.5,1.0,0.0,0.0,9.4,Cre
yellow,VTS,2010-07-21T13:27:00.000+08:00,2010-07-21T13:45:00.000+08:00,"",1,0,0,-73.983617,40.770682,-73.989245,40.753053,3,1.65,9.7,0.0,0.5,2.0,0.0,0.0,12.2,Cre
yellow,VTS,2010-07-26T06:18:00.000+08:00,2010-07-26T06:24:00.000+08:00,"",1,0,0,-73.969257,40.785428,-73.952542,40.789477,5,1.47,6.1,0.0,0.5,1.25,0.0,0.0,7.85,Cre
yellow,VTS,2010-07-29T08:10:00.000+08:00,2010-07-29T08:23:00.000+08:00,"",1,0,0,-73.98312,40.7626,-73.998427,40.722785,1,3.53,10.9,0.0,0.5,2.0,0.0,0.0,13.4,Cre
yellow,VTS,2010-07-28T14:50:00.000+08:00,2010-07-28T14:54:00.000+08:00,"",1,0,0,-73.972043,40.786568,-73.98252,40.78239,1,0.85,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CAS
yellow,VTS,2010-07-09T19:06:00.000+08:00,2010-07-09T19:17:00.000+08:00,"",1,0,0,-73.948462,40.77832,-73.97487,40.761897,2,2.41,8.9,1.0,0.5,0.0,0.0,0.0,10.4,CAS
yellow,VTS,2010-07-23T23:06:00.000+08:00,2010-07-23T23:52:00.000+08:00,"",2,0,0,-73.789567,40.64711,-73.953927,40.822062,1,18.42,45.0,0.0,0.5,0.0,4.57,0.0,50.07,CAS
yellow,VTS,2010-07-26T15:05:00.000+08:00,2010-07-26T15:06:00.000+08:00,"",5,0,0,-73.870745,40.773897,-73.870778,40.77393,1,0.0,40.0,0.0,0.5,9.01,4.57,0.0,54.08,Cre
yellow,VTS,2010-07-21T18:02:00.000+08:00,2010-07-21T18:17:00.000+08:00,"",1,0,0,-73.957877,40.77356,-74.004498,40.708198,1,6.81,17.3,1.0,0.5,0.0,0.0,0.0,18.8,CAS
yellow,CMT,2010-07-13T17:19:28.000+08:00,2010-07-13T17:25:23.000+08:00,0,1,0,0,-73.970514,40.75919,-73.959042,40.76403,1,0.9,5.3,1.0,0.5,0.0,0.0,0.0,6.8,Cas
