taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2010-10-01T04:04:02.000+08:00,2010-10-01T04:08:31.000+08:00,N,1,0,0,-73.981668,40.763661,-73.991518,40.760422,1,0.6,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2010-10-01T02:46:21.000+08:00,2010-10-01T02:54:31.000+08:00,N,1,0,0,-74.004524,40.722785,-73.989923,40.751827,1,2.5,8.1,0.5,0.5,0.0,0.0,0.0,9.1,CSH
yellow,CMT,2010-10-01T04:55:37.000+08:00,2010-10-01T04:55:43.000+08:00,N,1,0,0,-73.994984,40.761136,-73.994984,40.761136,1,0.0,2.5,0.5,0.5,0.0,0.0,0.0,3.5,CSH
yellow,CMT,2010-10-01T03:09:08.000+08:00,2010-10-01T03:11:47.000+08:00,N,1,0,0,-73.834215,40.766077,-73.833483,40.769152,1,0.4,3.3,0.5,0.5,0.0,0.0,0.0,4.3,CSH
yellow,CMT,2010-10-01T09:05:52.000+08:00,2010-10-01T09:36:22.000+08:00,N,1,0,0,-73.862781,40.676826,-73.909849,40.698856,1,10.0,24.5,0.0,0.5,0.0,0.0,0.0,25.0,CSH
yellow,CMT,2010-10-01T02:28:57.000+08:00,2010-10-01T02:42:55.000+08:00,N,1,0,0,-74.004982,40.729624,-73.959532,40.767452,1,4.5,12.1,0.5,0.5,0.0,0.0,0.0,13.1,CSH
yellow,CMT,2010-10-01T02:17:29.000+08:00,2010-10-01T02:21:48.000+08:00,N,1,0,0,-74.002319,40.734669,-73.995853,40.725207,1,0.9,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2010-10-01T08:36:09.000+08:00,2010-10-01T09:34:29.000+08:00,N,1,0,0,-73.776715,40.645925,-73.823618,40.724773,1,10.8,36.9,0.0,0.5,0.0,0.0,0.0,37.4,CSH
yellow,CMT,2010-10-01T03:38:46.000+08:00,2010-10-01T03:55:56.000+08:00,N,1,0,0,-73.986668,40.74752,-73.964091,40.8071,1,5.3,14.5,0.5,0.5,0.0,0.0,0.0,15.5,CSH
yellow,CMT,2010-10-01T03:28:37.000+08:00,2010-10-01T03:47:34.000+08:00,N,1,0,0,-73.748633,40.719658,-73.810238,40.741139,1,6.1,16.9,0.5,0.5,0.0,0.0,0.0,17.9,CSH
yellow,CMT,2010-10-01T04:43:18.000+08:00,2010-10-01T04:45:33.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,1.0,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2010-10-01T01:13:21.000+08:00,2010-10-01T01:31:15.000+08:00,N,1,0,0,-74.001624,40.750705,-73.961121,40.768957,1,4.7,13.7,0.5,0.5,0.0,0.0,0.0,14.7,CSH
yellow,CMT,2010-10-01T07:57:00.000+08:00,2010-10-01T08:00:38.000+08:00,N,1,0,0,-73.934935,40.801003,-73.94034,40.800448,1,0.4,3.7,0.0,0.5,0.0,0.0,0.0,4.2,CSH
yellow,CMT,2010-10-01T04:17:24.000+08:00,2010-10-01T04:32:53.000+08:00,N,1,0,0,-73.991876,40.754594,-73.944957,40.837394,1,7.4,18.5,0.5,0.5,0.0,0.0,0.0,19.5,CSH
yellow,CMT,2010-10-01T00:07:46.000+08:00,2010-10-01T00:23:36.000+08:00,N,1,0,0,-73.997372,40.721309,-73.956231,40.687831,1,4.1,13.7,0.5,0.5,0.0,0.0,0.0,14.7,CSH
yellow,CMT,2010-10-01T05:20:11.000+08:00,2010-10-01T05:47:08.000+08:00,N,1,0,0,-73.906777,40.74539,-74.015135,40.70872,1,10.1,24.9,0.5,0.5,0.0,0.0,0.0,25.9,CSH
yellow,CMT,2010-10-01T12:25:05.000+08:00,2010-10-01T12:33:46.000+08:00,N,1,0,0,-73.951641,40.784839,-73.961453,40.777588,2,0.8,6.1,0.0,0.5,0.0,0.0,0.0,6.6,CSH
yellow,CMT,2010-10-01T14:04:43.000+08:00,2010-10-01T14:14:44.000+08:00,N,1,0,0,-73.978537,40.752871,-73.965482,40.764412,1,1.3,7.3,0.0,0.5,0.0,0.0,0.0,7.8,CSH
yellow,CMT,2010-10-01T11:03:22.000+08:00,2010-10-01T11:04:15.000+08:00,N,1,0,0,-73.948691,40.744857,-73.948691,40.744857,1,0.0,2.5,0.0,0.5,0.0,0.0,0.0,3.0,CSH
yellow,CMT,2010-10-01T01:24:34.000+08:00,2010-10-01T01:40:03.000+08:00,N,1,0,0,-73.988449,40.718485,-73.908289,40.686487,1,4.9,14.5,0.5,0.5,0.0,0.0,0.0,15.5,CSH
