taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2010-11-01T05:13:00.000+08:00,2010-11-01T05:13:00.000+08:00,"",1,0,0,-73.980032,40.734887,-73.98,40.734915,1,0.0,2.5,0.5,0.5,0.0,0.0,0.0,3.5,CSH
yellow,VTS,2010-11-05T00:44:00.000+08:00,2010-11-05T00:59:00.000+08:00,"",1,0,0,-73.99029,40.719572,-73.988018,40.763367,1,3.92,11.7,0.5,0.5,4.0,0.0,0.0,16.7,CRD
yellow,VTS,2010-11-05T19:01:00.000+08:00,2010-11-05T19:28:00.000+08:00,"",1,0,0,-73.959298,40.781057,-73.995517,40.733393,5,3.9,15.3,1.0,0.5,3.0,0.0,0.0,19.8,CRD
yellow,VTS,2010-11-05T19:13:00.000+08:00,2010-11-05T19:17:00.000+08:00,"",1,0,0,-73.955623,40.782275,-73.955178,40.773293,1,0.92,4.5,1.0,0.5,0.0,0.0,0.0,6.0,CSH
yellow,VTS,2010-11-05T19:09:00.000+08:00,2010-11-05T19:22:00.000+08:00,"",1,0,0,-73.948438,40.77816,-73.9644,40.807197,2,3.02,10.1,1.0,0.5,1.75,0.0,0.0,13.35,CRD
yellow,VTS,2010-11-05T19:06:00.000+08:00,2010-11-05T19:19:00.000+08:00,"",1,0,0,-73.959232,40.770038,-73.973038,40.758895,5,1.28,7.7,1.0,0.5,0.0,0.0,0.0,9.2,CRD
yellow,CMT,2010-11-07T01:15:30.000+08:00,2010-11-07T01:38:09.000+08:00,N,1,0,0,-73.995528,40.74399,-73.909719,40.742291,1,6.3,18.1,0.5,0.5,0.0,0.0,0.0,19.1,CSH
yellow,CMT,2010-11-07T01:13:06.000+08:00,2010-11-07T01:26:42.000+08:00,N,1,0,0,-73.956504,40.771299,-73.99283,40.744424,1,3.3,10.9,0.5,0.5,0.0,0.0,0.0,11.9,CSH
yellow,VTS,2010-11-05T19:15:00.000+08:00,2010-11-05T19:26:00.000+08:00,"",1,0,0,-73.981425,40.77395,-73.980855,40.763428,1,0.78,7.3,1.0,0.5,0.0,0.0,0.0,8.8,CSH
yellow,VTS,2010-11-04T04:14:00.000+08:00,2010-11-04T04:31:00.000+08:00,"",1,0,0,-73.976802,40.751008,-73.872913,40.774263,2,8.94,21.3,0.5,0.5,4.36,4.57,0.0,31.23,CRD
yellow,CMT,2010-11-07T01:18:54.000+08:00,2010-11-07T01:34:14.000+08:00,N,1,0,0,-74.002151,40.734542,-73.981974,40.749075,3,2.7,10.5,0.5,0.5,0.0,0.0,0.0,11.5,CSH
yellow,VTS,2010-11-05T19:06:00.000+08:00,2010-11-05T19:17:00.000+08:00,"",1,0,0,-74.00245,40.73442,-73.987495,40.725372,2,1.04,6.9,1.0,0.5,2.0,0.0,0.0,10.4,CRD
yellow,VTS,2010-11-04T18:03:00.000+08:00,2010-11-04T18:16:00.000+08:00,"",1,0,0,-73.988455,40.750307,-73.96779,40.751763,1,2.19,9.3,1.0,0.5,0.0,0.0,0.0,10.8,CSH
yellow,VTS,2010-11-05T18:51:00.000+08:00,2010-11-05T19:06:00.000+08:00,"",1,0,0,-73.996425,40.763413,-73.968928,40.754445,1,1.8,9.3,1.0,0.5,1.2,0.0,0.0,12.0,CRD
yellow,VTS,2010-11-05T19:23:00.000+08:00,2010-11-05T19:32:00.000+08:00,"",1,0,0,-73.982725,40.73111,-73.985338,40.746298,1,1.44,6.9,1.0,0.5,1.0,0.0,0.0,9.4,CRD
yellow,VTS,2010-11-05T18:57:00.000+08:00,2010-11-05T19:20:00.000+08:00,"",1,0,0,-74.002863,40.760498,-73.994782,40.723165,1,3.65,14.1,1.0,0.5,0.8,0.0,0.0,16.4,CRD
yellow,VTS,2010-11-05T19:13:00.000+08:00,2010-11-05T19:16:00.000+08:00,"",1,0,0,-74.01017,40.717445,-74.004603,40.719135,2,0.45,3.7,1.0,0.5,0.0,0.0,0.0,5.2,CSH
yellow,VTS,2010-11-05T18:52:00.000+08:00,2010-11-05T18:57:00.000+08:00,"",1,0,0,-73.980765,40.764863,-73.982202,40.767553,1,0.54,4.5,1.0,0.5,0.0,0.0,0.0,6.0,CSH
yellow,VTS,2010-11-05T19:27:00.000+08:00,2010-11-05T19:32:00.000+08:00,"",1,0,0,-73.986772,40.753678,-73.997262,40.755462,2,0.9,4.5,1.0,0.5,0.0,0.0,0.0,6.0,CSH
yellow,VTS,2010-11-05T19:40:00.000+08:00,2010-11-05T19:42:00.000+08:00,"",1,0,0,-73.969277,40.790548,-73.973063,40.785332,1,0.41,3.3,1.0,0.5,0.0,0.0,0.0,4.8,CSH
yellow,VTS,2010-11-05T09:56:00.000+08:00,2010-11-05T10:06:00.000+08:00,"",1,0,0,-73.999738,40.67915,-73.993287,40.692562,1,0.98,6.5,0.0,0.5,0.0,0.0,0.0,7.0,CSH
yellow,VTS,2010-11-05T19:31:00.000+08:00,2010-11-05T19:38:00.000+08:00,"",1,0,0,-73.989185,40.720342,-74.002412,40.70895,2,1.23,5.7,1.0,0.5,0.0,0.0,0.0,7.2,CSH
yellow,VTS,2010-11-05T19:33:00.000+08:00,2010-11-05T19:42:00.000+08:00,"",1,0,0,-73.988792,40.730987,-73.991977,40.74397,1,1.28,6.9,1.0,0.5,0.0,0.0,0.0,8.4,CSH
yellow,VTS,2010-11-05T18:46:00.000+08:00,2010-11-05T19:01:00.000+08:00,"",1,0,0,-73.789807,40.643913,-73.80147,40.671293,1,5.21,14.9,1.0,0.5,0.0,0.0,0.0,16.4,CSH
yellow,VTS,2010-11-05T18:32:00.000+08:00,2010-11-05T19:00:00.000+08:00,"",1,0,0,-73.947817,40.782893,-73.997843,40.745375,2,4.95,17.7,1.0,0.5,0.0,0.0,0.0,19.2,CSH
yellow,VTS,2010-11-05T18:52:00.000+08:00,2010-11-05T19:05:00.000+08:00,"",1,0,0,-73.985345,40.761005,-73.991292,40.750313,1,0.82,7.3,1.0,0.5,0.0,0.0,0.0,8.8,CSH
yellow,VTS,2010-11-05T18:43:00.000+08:00,2010-11-05T19:35:00.000+08:00,"",1,0,0,-73.862827,40.769002,-73.98749,40.735883,5,11.17,31.7,1.0,0.5,0.0,0.0,0.0,33.2,CSH
yellow,VTS,2010-11-05T19:12:00.000+08:00,2010-11-05T19:21:00.000+08:00,"",1,0,0,-73.996252,40.740527,-73.983413,40.744895,2,1.01,6.1,1.0,0.5,0.0,0.0,0.0,7.6,CSH
yellow,VTS,2010-11-05T19:09:00.000+08:00,2010-11-05T19:28:00.000+08:00,"",1,0,0,-73.979972,40.760505,-74.00011,40.74826,5,2.07,10.9,1.0,0.5,2.0,0.0,0.0,14.4,CRD
yellow,VTS,2010-11-05T18:09:00.000+08:00,2010-11-05T18:12:00.000+08:00,"",1,0,0,-73.97584,40.752367,-73.977847,40.7457,2,0.57,3.7,1.0,0.5,0.0,0.0,0.0,5.2,CSH
yellow,VTS,2010-11-05T19:18:00.000+08:00,2010-11-05T19:48:00.000+08:00,"",1,0,0,-73.952585,40.786803,-73.990995,40.759605,1,3.57,16.5,1.0,0.5,1.0,0.0,0.0,19.0,CRD
yellow,VTS,2010-11-05T18:50:00.000+08:00,2010-11-05T19:00:00.000+08:00,"",1,0,0,-74.005965,40.74525,-74.010542,40.718992,1,2.42,8.9,1.0,0.5,0.0,0.0,0.0,10.4,CSH
yellow,VTS,2010-11-07T15:00:00.000+08:00,2010-11-07T15:10:00.000+08:00,"",1,0,0,-73.979355,40.749503,-73.963237,40.762668,1,1.47,7.3,0.0,0.5,0.0,0.0,0.0,7.8,CSH
yellow,VTS,2010-11-03T21:09:00.000+08:00,2010-11-03T21:15:00.000+08:00,"",1,0,0,-73.998045,40.740925,-73.991695,40.729978,2,1.13,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,VTS,2010-11-04T03:09:00.000+08:00,2010-11-04T03:14:00.000+08:00,"",1,0,0,-73.959918,40.773642,-73.950983,40.770678,1,0.64,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CRD
yellow,VTS,2010-11-04T03:00:00.000+08:00,2010-11-04T03:11:00.000+08:00,"",1,0,0,-73.968255,40.757808,-73.996668,40.720465,5,3.44,10.1,0.5,0.5,0.0,0.0,0.0,11.1,CSH
