taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2011-03-12T23:13:52.000+08:00,2011-03-12T23:18:15.000+08:00,N,1,0,0,-73.99635,40.744395,-73.990414,40.736777,3,0.8,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2011-03-12T23:07:00.000+08:00,2011-03-12T23:14:06.000+08:00,N,1,0,0,-74.001082307514,40.731597151667,-73.984950314171,40.728027452849,1,0.0,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,CMT,2011-03-12T20:53:37.000+08:00,2011-03-12T21:22:09.000+08:00,N,1,0,0,-73.999968939398,40.761392476976,-74.036639021182,40.624900827201,1,0.0,28.9,0.5,0.5,0.0,4.8,0.0,34.7,CSH
yellow,CMT,2011-03-12T23:12:50.000+08:00,2011-03-12T23:15:48.000+08:00,N,1,0,0,-73.955232,40.773479,-73.955468,40.779433,1,0.5,4.1,0.5,0.5,0.0,0.0,0.0,5.1,CSH
yellow,CMT,2011-03-12T23:14:23.000+08:00,2011-03-12T23:20:15.000+08:00,N,1,0,0,-73.96744,40.76671,-73.963418,40.774499,2,0.8,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,CMT,2011-03-12T23:05:58.000+08:00,2011-03-12T23:18:08.000+08:00,N,1,0,0,-74.002378,40.750335,-73.96007,40.776103,4,3.9,11.3,0.5,0.5,0.0,0.0,0.0,12.3,CSH
yellow,CMT,2011-03-13T05:14:51.000+08:00,2011-03-13T05:19:13.000+08:00,N,1,0,0,-74.0089,40.713961,-74.00197,40.70813,1,0.9,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,CMT,2011-03-13T05:07:13.000+08:00,2011-03-13T05:28:08.000+08:00,N,1,0,0,-73.974693114292,40.754522152116,-75.412146107061,40.725892808827,1,0.0,20.1,0.5,0.5,0.0,0.0,0.0,21.1,CSH
yellow,CMT,2011-03-12T21:01:02.000+08:00,2011-03-12T21:05:23.000+08:00,N,1,0,0,-73.97526,40.765278,-73.975292,40.752477,4,1.0,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,CMT,2011-03-12T21:03:12.000+08:00,2011-03-12T21:16:36.000+08:00,N,1,0,0,-73.996933,40.725578,-73.99673,40.744593,2,1.7,8.5,0.5,0.5,0.0,0.0,0.0,9.5,CSH
