taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2011-05-13T20:48:53.000+08:00,2011-05-13T20:59:28.000+08:00,N,1,0,0,-73.974574670875,40.750450184117,-73.942594948377,39.610568217375,1,0.0,9.3,0.5,0.5,2.05,0.0,0.0,12.35,CRD
yellow,CMT,2011-05-13T20:51:55.000+08:00,2011-05-13T20:54:49.000+08:00,N,1,0,0,-73.998859,40.739082,-73.998961,40.734786,2,0.4,3.7,0.5,0.5,0.94,0.0,0.0,5.64,CRD
yellow,CMT,2011-05-13T20:44:59.000+08:00,2011-05-13T20:53:51.000+08:00,N,1,0,0,-73.991577,40.726659,-73.977539,40.743838,1,1.4,6.9,0.5,0.5,1.58,0.0,0.0,9.48,CRD
yellow,VTS,2011-05-15T21:57:00.000+08:00,2011-05-15T22:01:00.000+08:00,"",1,0,0,-73.993247,40.757388,-73.999833,40.745122,1,1.08,4.9,0.5,0.5,1.0,0.0,0.0,6.9,CRD
yellow,VTS,2011-05-15T21:57:00.000+08:00,2011-05-15T22:06:00.000+08:00,"",1,0,0,-73.97446,40.753822,-73.998262,40.760972,1,1.55,6.9,0.5,0.5,1.6,0.0,0.0,9.5,CRD
yellow,CMT,2011-05-13T14:36:49.000+08:00,2011-05-13T14:44:26.000+08:00,N,1,0,0,-73.999003,40.734312,-74.008067,40.739255,1,1.0,5.7,0.0,0.5,1.86,0.0,0.0,8.06,CRD
yellow,VTS,2011-05-15T22:03:00.000+08:00,2011-05-15T22:10:00.000+08:00,"",1,0,0,-73.982898,40.76021,-73.981717,40.741407,5,1.85,6.9,0.5,0.5,2.0,0.0,0.0,9.9,CRD
yellow,VTS,2011-05-15T21:50:00.000+08:00,2011-05-15T22:07:00.000+08:00,"",1,0,0,-73.959812,40.762778,-74.011243,40.701768,1,6.1,16.9,0.5,0.5,2.0,0.0,0.0,19.9,CRD
yellow,CMT,2011-05-13T20:52:20.000+08:00,2011-05-13T21:05:14.000+08:00,N,1,0,0,-73.990103,40.734979,-73.966894,40.764258,1,2.4,9.3,0.5,0.5,1.0,0.0,0.0,11.3,CRD
yellow,CMT,2011-05-13T20:48:14.000+08:00,2011-05-13T20:53:18.000+08:00,N,1,0,0,-73.983893,40.773729,-73.972797,40.790566,1,1.4,5.7,0.5,0.5,1.34,0.0,0.0,8.04,CRD
yellow,CMT,2011-05-14T15:12:34.000+08:00,2011-05-14T15:21:47.000+08:00,N,1,0,0,-73.980045,40.754807,-73.98297,40.731471,2,2.1,8.1,0.0,0.5,1.72,0.0,0.0,10.32,CRD
yellow,CMT,2011-05-13T20:46:50.000+08:00,2011-05-13T20:54:51.000+08:00,N,1,0,0,-73.980751,40.739485,-73.990492,40.729792,1,1.2,6.1,0.5,0.5,1.0,0.0,0.0,8.1,CRD
yellow,CMT,2011-05-13T20:50:07.000+08:00,2011-05-13T21:13:45.000+08:00,N,1,0,0,-73.966351,40.764838,-73.843664,40.721668,1,7.7,20.9,0.5,0.5,3.0,0.0,0.0,24.9,CRD
yellow,CMT,2011-05-13T20:49:23.000+08:00,2011-05-13T20:54:09.000+08:00,N,1,0,0,-73.985206,40.732135,-73.990599,40.724703,1,0.5,4.5,0.5,0.5,1.1,0.0,0.0,6.6,CRD
yellow,VTS,2011-05-15T22:04:00.000+08:00,2011-05-15T22:08:00.000+08:00,"",1,0,0,-73.993862,40.741658,-74.00603,40.731598,5,1.12,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,CMT,2011-05-14T15:03:45.000+08:00,2011-05-14T15:11:00.000+08:00,N,1,0,0,-73.975618,40.752624,-73.962948,40.757898,1,1.2,6.1,0.0,0.5,2.0,0.0,0.0,8.6,CRD
yellow,CMT,2011-05-13T14:28:47.000+08:00,2011-05-13T14:38:04.000+08:00,N,1,0,0,-73.980959,40.765429,-73.980248,40.780482,1,1.1,6.5,0.0,0.5,1.4,0.0,0.0,8.4,CRD
yellow,CMT,2011-05-13T14:34:35.000+08:00,2011-05-13T14:41:46.000+08:00,N,1,0,0,-73.966934,40.760925,-73.951481,40.769182,1,1.2,6.1,0.0,0.5,1.0,0.0,0.0,7.6,CRD
yellow,VTS,2011-05-15T22:01:00.000+08:00,2011-05-15T22:08:00.000+08:00,"",1,0,0,-74.000795,40.731805,-73.986088,40.761655,1,2.49,7.7,0.5,0.5,3.0,0.0,0.0,11.7,CRD
yellow,VTS,2011-05-15T22:01:00.000+08:00,2011-05-15T22:06:00.000+08:00,"",1,0,0,-73.989818,40.725757,-74.001142,40.731515,2,0.74,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,CMT,2011-05-14T15:07:45.000+08:00,2011-05-14T15:14:51.000+08:00,N,1,0,0,-73.987144,40.739654,-73.973274,40.743838,1,1.1,5.7,0.0,0.5,1.24,0.0,0.0,7.44,CRD
yellow,CMT,2011-05-13T14:28:46.000+08:00,2011-05-13T14:35:59.000+08:00,N,1,0,0,-73.980982,40.753794,-73.983585,40.756775,1,0.6,4.9,0.0,0.5,1.08,0.0,0.0,6.48,CRD
yellow,VTS,2011-05-15T22:06:00.000+08:00,2011-05-15T22:09:00.000+08:00,"",1,0,0,-74.005492,40.727952,-74.010357,40.714105,1,1.09,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2011-05-14T15:07:24.000+08:00,2011-05-14T15:15:39.000+08:00,N,1,0,0,-73.981108,40.768683,-73.986303,40.778658,1,1.1,6.1,0.0,0.5,1.25,0.0,0.0,7.85,CRD
yellow,CMT,2011-05-14T15:07:49.000+08:00,2011-05-14T15:24:26.000+08:00,N,1,0,0,-73.985059,40.728085,-73.96025,40.770366,2,3.5,12.1,0.0,0.5,2.52,0.0,0.0,15.12,CRD
yellow,VTS,2011-05-15T21:54:00.000+08:00,2011-05-15T22:05:00.000+08:00,"",1,0,0,-73.984312,40.756723,-73.998677,40.722967,3,3.02,9.7,0.5,0.5,0.0,0.0,0.0,10.7,CSH
yellow,VTS,2011-05-15T22:09:00.000+08:00,2011-05-15T22:15:00.000+08:00,"",1,0,0,-73.978512,40.747952,-73.995652,40.72671,2,1.85,6.5,0.5,0.5,0.0,0.0,0.0,7.5,CSH
yellow,CMT,2011-05-14T15:12:50.000+08:00,2011-05-14T15:32:28.000+08:00,N,1,0,0,-73.980375,40.748656,-73.983188,40.766783,1,1.7,11.3,0.0,0.5,2.36,0.0,0.0,14.16,CRD
yellow,CMT,2011-05-14T15:03:33.000+08:00,2011-05-14T15:15:53.000+08:00,N,1,0,0,-73.98847,40.774372,-73.980908,40.76611,1,0.9,7.7,0.0,0.5,0.0,0.0,0.0,8.2,CRD
yellow,VTS,2011-05-15T21:36:00.000+08:00,2011-05-15T21:42:00.000+08:00,"",1,0,0,-73.982468,40.768282,-73.97378,40.764525,3,1.13,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,VTS,2011-05-15T21:54:00.000+08:00,2011-05-15T21:57:00.000+08:00,"",1,0,0,-74.00662,40.72153,-74.002578,40.728673,2,0.8,4.1,0.5,0.5,0.0,0.0,0.0,5.1,CSH
yellow,VTS,2011-05-15T21:35:00.000+08:00,2011-05-15T21:42:00.000+08:00,"",1,0,0,-73.976022,40.744683,-73.990893,40.750455,1,1.01,5.3,0.5,0.5,2.0,0.0,0.0,8.3,CRD
yellow,VTS,2011-05-15T21:18:00.000+08:00,2011-05-15T21:34:00.000+08:00,"",1,0,0,-73.84443,40.729727,-74.00585,40.716375,1,4.12,12.9,0.5,0.5,0.0,0.0,0.0,13.9,CSH
