taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2011-07-12T07:12:05.000+08:00,2011-07-12T07:17:59.000+08:00,N,1,0,0,-73.9806,40.7337,-73.9689,40.7577,1,2.0,6.9,0.0,0.5,1.85,0.0,0.0,9.25,CRD
yellow,CMT,2011-07-12T10:28:50.000+08:00,2011-07-12T10:47:54.000+08:00,N,1,0,0,-73.970352,40.761975,-74.014159,40.715894,1,7.7,20.5,0.0,0.5,4.2,0.0,0.0,25.2,CRD
yellow,CMT,2011-07-10T22:33:29.000+08:00,2011-07-10T22:43:53.000+08:00,N,1,0,0,-74.003993,40.712986,-74.008951,40.738114,1,2.2,8.5,0.5,0.5,1.9,0.0,0.0,11.4,CRD
yellow,CMT,2011-07-11T09:04:16.000+08:00,2011-07-11T09:13:24.000+08:00,N,1,0,0,-73.959316,40.777574,-73.979723,40.765959,1,1.9,7.7,0.0,0.5,1.8,0.0,0.0,10.0,CRD
yellow,CMT,2011-07-11T13:11:05.000+08:00,2011-07-11T13:25:10.000+08:00,N,1,0,0,-73.974349,40.75659,-73.979543,40.762356,1,1.3,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CRD
yellow,CMT,2011-07-10T19:32:03.000+08:00,2011-07-10T19:46:20.000+08:00,N,1,0,0,-73.961395,40.780108,-73.981241,40.741917,1,3.2,10.5,0.0,0.5,1.0,0.0,0.0,12.0,CRD
yellow,CMT,2011-07-12T09:14:39.000+08:00,2011-07-12T09:30:46.000+08:00,N,1,0,0,-73.954932,40.789098,-73.978204,40.76473,1,2.2,10.1,0.0,0.5,1.4,0.0,0.0,12.0,CRD
yellow,CMT,2011-07-12T06:31:26.000+08:00,2011-07-12T06:37:13.000+08:00,N,1,0,0,-73.998309,40.73551,-73.985091,40.759205,1,1.9,6.5,0.0,0.5,2.0,0.0,0.0,9.0,CRD
yellow,CMT,2011-07-12T15:20:21.000+08:00,2011-07-12T15:34:15.000+08:00,N,1,0,0,-73.976027,40.751006,-73.987787,40.760424,1,1.3,8.5,0.0,0.5,1.8,0.0,0.0,10.8,CRD
yellow,CMT,2011-07-12T10:08:37.000+08:00,2011-07-12T11:13:57.000+08:00,N,2,0,0,-73.784204,40.648514,-73.989008,40.75642,2,17.4,45.0,0.0,0.5,10.06,4.8,0.0,60.36,CRD
yellow,CMT,2011-07-12T13:40:06.000+08:00,2011-07-12T13:49:19.000+08:00,N,1,0,0,-73.956571,40.77811,-73.982088,40.775104,1,2.1,7.7,0.0,0.5,1.64,0.0,0.0,9.84,CRD
yellow,CMT,2011-07-12T12:22:32.000+08:00,2011-07-12T12:30:36.000+08:00,N,1,0,0,-73.982391,40.74688,-73.972399,40.761747,1,1.2,6.1,0.0,0.5,3.0,0.0,0.0,9.6,CRD
yellow,CMT,2011-07-12T09:50:55.000+08:00,2011-07-12T10:05:36.000+08:00,N,1,0,0,-73.955471,40.776812,-73.943362,40.746691,1,3.4,11.7,0.0,0.5,1.0,0.0,0.0,13.2,CRD
yellow,CMT,2011-07-11T07:39:29.000+08:00,2011-07-11T07:50:42.000+08:00,N,1,0,0,-73.980362,40.78339,-73.984875,40.755356,1,2.4,8.9,0.0,0.5,2.0,0.0,0.0,11.4,CRD
yellow,CMT,2011-07-11T08:04:03.000+08:00,2011-07-11T08:10:39.000+08:00,N,1,0,0,-73.991215,40.755721,-73.971006,40.762929,1,1.5,6.5,0.0,0.5,0.0,0.0,0.0,7.0,CRD
yellow,CMT,2011-07-12T07:23:40.000+08:00,2011-07-12T07:34:37.000+08:00,N,1,0,0,-73.995496,40.76447,-73.978498,40.751995,1,1.5,7.7,0.0,0.5,2.05,0.0,0.0,10.25,CRD
yellow,CMT,2011-07-11T11:57:44.000+08:00,2011-07-11T12:17:56.000+08:00,N,1,0,0,-73.9806,40.7453,-73.9881,40.7766,1,3.2,12.9,0.0,0.5,2.7,0.0,0.0,16.1,CRD
yellow,CMT,2011-07-11T15:37:23.000+08:00,2011-07-11T15:43:35.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,2,0.9,5.3,0.0,0.5,1.0,0.0,0.0,6.8,CRD
yellow,CMT,2011-07-11T21:01:05.000+08:00,2011-07-11T21:08:49.000+08:00,N,1,0,0,-73.9671,40.760534,-73.9447,40.779201,1,2.1,7.7,0.5,0.5,2.0,0.0,0.0,10.7,CRD
yellow,CMT,2011-07-11T18:26:29.000+08:00,2011-07-11T18:34:12.000+08:00,N,1,0,0,-73.984613,40.760645,-73.980823,40.778288,1,1.9,6.9,1.0,0.5,2.1,0.0,0.0,10.5,CRD
yellow,CMT,2011-07-12T08:59:45.000+08:00,2011-07-12T09:24:04.000+08:00,N,1,0,0,-73.963165,40.762414,-74.016117,40.710053,1,5.6,14.9,0.0,0.5,3.08,0.0,0.0,18.48,CRD
yellow,CMT,2011-07-12T13:17:21.000+08:00,2011-07-12T13:35:16.000+08:00,N,1,0,0,-73.991724,40.749827,-73.963399,40.769172,1,3.0,11.7,0.0,0.5,2.44,0.0,0.0,14.64,CRD
yellow,CMT,2011-07-12T09:09:53.000+08:00,2011-07-12T09:43:04.000+08:00,N,1,0,0,-73.965904,40.768522,-74.007093,40.717491,1,6.6,22.9,0.0,0.5,1.6,0.0,0.0,25.0,CRD
