taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2012-02-09T14:48:06.000+08:00,2012-02-09T15:06:39.000+08:00,N,1,0,0,-73.982768,40.769174,-73.958792,40.777842,1,2.9,12.1,0.0,0.5,0.0,0.0,0.0,12.6,CSH
yellow,CMT,2012-02-09T11:27:42.000+08:00,2012-02-09T11:48:16.000+08:00,N,1,0,0,-73.960833,40.771875,-74.002698,40.744865,0,3.6,13.3,0.0,0.5,2.0,0.0,0.0,15.8,CRD
yellow,CMT,2012-02-09T11:29:01.000+08:00,2012-02-09T11:33:32.000+08:00,N,1,0,0,-73.98146,40.780616,-73.973338,40.791958,1,0.9,5.3,0.0,0.5,1.16,0.0,0.0,6.96,CRD
yellow,CMT,2012-02-09T13:38:44.000+08:00,2012-02-09T13:53:56.000+08:00,N,1,0,0,-73.960631,40.781242,-73.978149,40.755748,2,2.0,9.7,0.0,0.5,0.0,0.0,0.0,10.2,CSH
yellow,CMT,2012-02-09T13:36:47.000+08:00,2012-02-09T13:42:14.000+08:00,N,1,0,0,-73.994676,40.740338,-74.001847,40.745855,1,0.9,5.3,0.0,0.5,0.0,0.0,0.0,5.8,CSH
yellow,CMT,2012-02-09T13:37:41.000+08:00,2012-02-09T13:51:55.000+08:00,N,1,0,0,-74.00627,40.740447,-73.988003,40.74002,1,1.3,8.9,0.0,0.5,0.0,0.0,0.0,9.4,CSH
yellow,CMT,2012-02-09T13:36:40.000+08:00,2012-02-09T13:42:34.000+08:00,N,1,0,0,-73.978943,40.756827,-73.991192,40.739397,1,1.4,5.7,0.0,0.5,0.0,0.0,0.0,6.2,CSH
yellow,CMT,2012-02-09T13:37:57.000+08:00,2012-02-09T13:48:30.000+08:00,N,1,0,0,-73.992192,40.75491,-73.972853,40.761739,1,1.5,7.3,0.0,0.5,0.0,0.0,0.0,7.8,CSH
yellow,CMT,2012-02-09T13:37:18.000+08:00,2012-02-09T13:37:28.000+08:00,N,2,0,0,-73.94488,40.821028,-73.944251,40.821149,1,0.0,45.0,0.0,0.5,0.0,0.0,0.0,45.5,CSH
yellow,CMT,2012-02-09T13:36:35.000+08:00,2012-02-09T13:54:15.000+08:00,N,1,0,0,-73.991745,40.749211,-73.970622,40.764803,1,2.1,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
