taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2012-05-07T10:32:00.000+08:00,2012-05-07T10:43:00.000+08:00,"",1,0,0,-73.98718,40.73318,-73.956118,40.763562,2,3.15,10.1,0.0,0.5,0.0,0.0,0.0,10.6,CSH
yellow,VTS,2012-05-07T09:28:00.000+08:00,2012-05-07T09:40:00.000+08:00,"",1,0,0,-73.995107,40.74986,-73.970238,40.753973,1,1.92,8.1,0.0,0.5,1.62,0.0,0.0,10.22,CRD
yellow,VTS,2012-05-08T13:27:00.000+08:00,2012-05-08T13:33:00.000+08:00,"",1,0,0,-73.995737,40.74897,-73.998587,40.755447,5,0.87,4.9,0.0,0.5,0.0,0.0,0.0,5.4,CSH
yellow,VTS,2012-05-08T13:17:00.000+08:00,2012-05-08T13:37:00.000+08:00,"",1,0,0,-74.007422,40.733003,-73.981192,40.745212,1,2.04,11.3,0.0,0.5,2.26,0.0,0.0,14.06,CRD
yellow,VTS,2012-05-08T13:21:00.000+08:00,2012-05-08T13:39:00.000+08:00,"",1,0,0,-73.977922,40.745965,-73.98062,40.760502,1,1.43,10.1,0.0,0.5,2.02,0.0,0.0,12.62,CRD
yellow,VTS,2012-05-11T21:39:00.000+08:00,2012-05-11T21:49:00.000+08:00,"",1,0,0,-73.984938,40.741695,-73.973353,40.760938,1,1.96,8.1,0.5,0.5,0.0,0.0,0.0,9.1,CSH
yellow,VTS,2012-05-07T09:27:00.000+08:00,2012-05-07T09:31:00.000+08:00,"",1,0,0,-73.992457,40.743652,-73.987765,40.753892,1,0.87,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CSH
yellow,VTS,2012-05-07T09:03:00.000+08:00,2012-05-07T09:28:00.000+08:00,"",1,0,0,-73.973133,40.755277,-73.995425,40.769362,1,2.1,13.3,0.0,0.5,2.0,0.0,0.0,15.8,CRD
yellow,VTS,2012-05-11T21:37:00.000+08:00,2012-05-11T21:49:00.000+08:00,"",1,0,0,-73.955255,40.785767,-73.965853,40.754293,1,2.8,9.7,0.5,0.5,1.0,0.0,0.0,11.7,CRD
yellow,VTS,2012-05-11T20:19:00.000+08:00,2012-05-11T20:26:00.000+08:00,"",1,0,0,-74.003318,40.735473,-73.988447,40.727597,1,1.11,5.3,0.5,0.5,1.16,0.0,0.0,7.46,CRD
yellow,VTS,2012-05-08T11:57:00.000+08:00,2012-05-08T12:27:00.000+08:00,"",2,0,0,-73.78961,40.643737,-73.973878,40.74737,1,17.71,45.0,0.0,0.5,0.0,4.8,0.0,50.3,CSH
yellow,VTS,2012-05-07T03:59:00.000+08:00,2012-05-07T04:11:00.000+08:00,"",1,0,0,-73.975997,40.749122,-73.967115,40.790137,1,3.74,10.9,0.5,0.5,0.0,0.0,0.0,11.9,CSH
yellow,VTS,2012-05-11T20:02:00.000+08:00,2012-05-11T20:22:00.000+08:00,"",1,0,0,-73.95335,40.730302,-73.908952,40.774845,1,6.46,16.5,0.5,0.5,3.4,0.0,0.0,20.9,CRD
yellow,VTS,2012-05-08T12:11:00.000+08:00,2012-05-08T12:29:00.000+08:00,"",1,0,0,-73.990402,40.73382,-73.994055,40.75158,4,1.89,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
yellow,VTS,2012-05-07T09:14:00.000+08:00,2012-05-07T09:23:00.000+08:00,"",1,0,0,-73.969455,40.78513,-73.968327,40.76654,3,1.82,7.7,0.0,0.5,0.0,0.0,0.0,8.2,CSH
yellow,VTS,2012-05-08T12:19:00.000+08:00,2012-05-08T12:32:00.000+08:00,"",1,0,0,-73.973452,40.750237,-73.972333,40.764978,2,1.29,8.1,0.0,0.5,0.0,0.0,0.0,8.6,CSH
yellow,VTS,2012-05-07T10:41:00.000+08:00,2012-05-07T10:49:00.000+08:00,"",1,0,0,-73.981867,40.73103,-73.978607,40.720222,1,1.11,6.5,0.0,0.5,0.0,0.0,0.0,7.0,CSH
yellow,VTS,2012-05-07T03:52:00.000+08:00,2012-05-07T04:06:00.000+08:00,"",1,0,0,-73.99143,40.765377,-73.981137,40.737998,2,2.93,10.5,0.5,0.5,2.2,0.0,0.0,13.7,CRD
yellow,VTS,2012-05-08T08:45:00.000+08:00,2012-05-08T08:49:00.000+08:00,"",1,0,0,-74.00231,40.729115,-73.998687,40.723257,1,0.71,4.5,0.0,0.5,1.0,0.0,0.0,6.0,CRD
yellow,VTS,2012-05-08T12:07:00.000+08:00,2012-05-08T12:31:00.000+08:00,"",1,0,0,-73.994568,40.7506,-73.961803,40.77947,1,3.46,13.7,0.0,0.5,0.0,0.0,0.0,14.2,CSH
yellow,VTS,2012-05-07T10:29:00.000+08:00,2012-05-07T10:52:00.000+08:00,"",1,0,0,-73.86337,40.770072,-73.98592,40.752322,5,9.22,23.3,0.0,0.5,0.0,4.8,0.0,28.6,CSH
yellow,VTS,2012-05-11T21:32:00.000+08:00,2012-05-11T21:48:00.000+08:00,"",1,0,0,-73.979957,40.73914,-73.99362,40.721482,2,1.45,9.7,0.5,0.5,2.04,0.0,0.0,12.74,CRD
yellow,VTS,2012-05-11T21:42:00.000+08:00,2012-05-11T21:50:00.000+08:00,"",1,0,0,-73.9833,40.765455,-73.980032,40.755315,1,1.09,6.1,0.5,0.5,0.0,0.0,0.0,7.1,CSH
yellow,VTS,2012-05-11T21:29:00.000+08:00,2012-05-11T21:47:00.000+08:00,"",1,0,0,-73.98373,40.743845,-74.00559,40.740198,1,1.66,9.7,0.5,0.5,2.04,0.0,0.0,12.74,CRD
yellow,VTS,2012-05-08T12:08:00.000+08:00,2012-05-08T12:23:00.000+08:00,"",1,0,0,-73.974293,40.754163,-73.996435,40.721495,1,2.81,10.5,0.0,0.5,2.62,0.0,0.0,13.62,CRD
yellow,VTS,2012-05-11T21:40:00.000+08:00,2012-05-11T21:49:00.000+08:00,"",1,0,0,-74.00725,40.748217,-74.009768,40.722242,5,2.39,8.5,0.5,0.5,0.0,0.0,0.0,9.5,CSH
yellow,VTS,2012-05-08T12:24:00.000+08:00,2012-05-08T12:30:00.000+08:00,"",1,0,0,-73.962383,40.799907,-73.975322,40.777107,1,1.88,6.5,0.0,0.5,1.0,0.0,0.0,8.0,CRD
yellow,VTS,2012-05-11T21:33:00.000+08:00,2012-05-11T21:49:00.000+08:00,"",1,0,0,-74.000647,40.73731,-73.986522,40.766577,2,3.1,11.3,0.5,0.5,0.0,0.0,0.0,12.3,CSH
yellow,VTS,2012-05-07T10:33:00.000+08:00,2012-05-07T10:54:00.000+08:00,"",1,0,0,-73.870938,40.773722,-73.98751,40.744643,5,8.69,21.3,0.0,0.5,0.0,4.8,0.0,26.6,CSH
yellow,VTS,2012-05-07T10:18:00.000+08:00,2012-05-07T10:47:00.000+08:00,"",1,0,0,-73.862922,40.769015,-73.972825,40.761517,1,10.8,27.7,0.0,0.5,5.54,4.8,0.0,38.54,CRD
yellow,VTS,2012-05-07T10:37:00.000+08:00,2012-05-07T10:51:00.000+08:00,"",4,0,0,-73.80401,40.663587,-73.803342,40.660008,1,11.23,26.5,0.0,0.5,0.0,4.8,0.0,31.8,CSH
yellow,VTS,2012-05-11T21:44:00.000+08:00,2012-05-11T21:51:00.000+08:00,"",1,0,0,-73.95803,40.769547,-73.967628,40.78472,1,1.89,7.3,0.5,0.5,0.0,0.0,0.0,8.3,CSH
yellow,VTS,2012-05-08T12:13:00.000+08:00,2012-05-08T12:31:00.000+08:00,"",1,0,0,-73.961005,40.769182,-73.895572,40.76647,2,7.39,18.5,0.0,0.5,3.7,4.8,0.0,27.5,CRD
yellow,VTS,2012-05-11T20:15:00.000+08:00,2012-05-11T20:25:00.000+08:00,"",1,0,0,-74.001197,40.730822,-73.988015,40.730222,1,1.01,6.5,0.5,0.5,0.0,0.0,0.0,7.5,CSH
yellow,VTS,2012-05-07T09:04:00.000+08:00,2012-05-07T09:32:00.000+08:00,"",1,0,0,-73.968795,40.798658,-73.97602,40.744527,2,4.99,17.7,0.0,0.5,3.54,0.0,0.0,21.74,CRD
yellow,VTS,2012-05-11T21:41:00.000+08:00,2012-05-11T21:51:00.000+08:00,"",1,0,0,-73.970537,40.761267,-73.9778,40.75289,2,1.39,6.9,0.5,0.5,2.0,0.0,0.0,9.9,CRD
