taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2012-08-01T01:09:00.000+08:00,2012-08-01T01:25:00.000+08:00,"",1,0,0,-74.00548,40.738597,-73.965235,40.759347,1,3.8,12.1,0.5,0.5,2.0,0.0,0.0,15.1,CRD
yellow,CMT,2012-08-01T01:10:24.000+08:00,2012-08-01T01:17:28.000+08:00,N,1,0,0,-74.000296,40.734026,-74.003331,40.727401,1,0.9,5.7,0.5,0.5,0.0,0.0,0.0,6.7,CSH
yellow,CMT,2012-08-01T03:52:44.000+08:00,2012-08-01T04:05:14.000+08:00,N,1,0,0,-74.00561,40.726262,-73.953412,40.77689,1,5.1,12.9,0.5,0.5,2.0,0.0,0.0,15.9,CRD
yellow,VTS,2012-08-01T07:20:00.000+08:00,2012-08-01T07:32:00.000+08:00,"",1,0,0,-73.986972,40.720715,-73.98437,40.74586,1,2.52,9.3,0.0,0.5,0.0,0.0,0.0,9.8,CSH
yellow,CMT,2012-08-01T07:20:45.000+08:00,2012-08-01T07:25:19.000+08:00,N,1,0,0,-73.992422,40.750588,-74.004859,40.751953,1,0.9,4.9,0.0,0.5,1.35,0.0,0.0,6.75,CRD
yellow,CMT,2012-08-01T03:51:46.000+08:00,2012-08-01T04:00:55.000+08:00,N,1,0,0,-73.95542,40.719803,-73.983042,40.726608,1,3.0,9.7,0.5,0.5,1.0,0.0,0.0,11.7,CRD
yellow,VTS,2012-08-01T03:55:00.000+08:00,2012-08-01T03:58:00.000+08:00,"",1,0,0,-73.980457,40.75167,-73.967403,40.7575,1,1.2,4.9,0.5,0.5,0.5,0.0,0.0,6.4,CRD
yellow,CMT,2012-08-01T01:09:23.000+08:00,2012-08-01T01:25:33.000+08:00,N,1,0,0,-73.94987,40.784483,-73.898958,40.823735,1,4.4,13.7,0.5,0.5,0.0,0.0,0.0,14.7,CSH
yellow,CMT,2012-08-01T01:08:32.000+08:00,2012-08-01T01:10:23.000+08:00,N,1,0,0,-73.99707,40.742251,-74.002667,40.733797,1,0.6,3.7,0.5,0.5,1.0,0.0,0.0,5.7,CRD
yellow,CMT,2012-08-01T01:09:31.000+08:00,2012-08-01T01:21:38.000+08:00,N,1,0,0,-73.985741,40.763081,-73.942603,40.82814,1,6.9,16.9,0.5,0.5,0.0,0.0,0.0,17.9,CSH
yellow,VTS,2012-08-01T00:00:00.000+08:00,2012-08-01T00:12:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,1,4.63,12.9,0.5,0.5,2.68,0.0,0.0,16.58,CRD
yellow,VTS,2012-08-01T05:42:00.000+08:00,2012-08-01T05:44:00.000+08:00,"",1,0,0,-73.949935,40.780425,-73.959648,40.766587,1,1.24,4.9,0.5,0.5,1.1,0.0,0.0,7.0,CRD
yellow,VTS,2012-08-01T05:44:00.000+08:00,2012-08-01T05:53:00.000+08:00,"",1,0,0,-73.984128,40.729265,-73.994255,40.743545,5,1.83,7.7,0.5,0.5,1.56,0.0,0.0,10.26,CRD
yellow,CMT,2012-08-01T01:08:49.000+08:00,2012-08-01T01:13:22.000+08:00,N,1,0,0,-73.988203,40.728781,-73.973365,40.743894,1,1.4,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,CMT,2012-08-01T01:09:11.000+08:00,2012-08-01T01:12:52.000+08:00,N,1,0,0,-73.983387,40.755983,-73.986595,40.745312,1,0.9,4.5,0.5,0.5,1.25,0.0,0.0,6.75,CRD
yellow,VTS,2012-08-01T01:09:00.000+08:00,2012-08-01T01:29:00.000+08:00,"",1,0,0,-73.984922,40.748255,-73.891237,40.719467,6,7.45,18.9,0.5,0.5,0.0,0.0,0.0,19.9,CSH
yellow,CMT,2012-08-01T01:08:45.000+08:00,2012-08-01T01:19:34.000+08:00,N,1,0,0,-73.963557,40.757575,-73.989067,40.748347,1,2.2,8.5,0.5,0.5,1.9,0.0,0.0,11.4,CRD
yellow,CMT,2012-08-01T01:09:55.000+08:00,2012-08-01T01:33:12.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,9.6,23.3,0.5,0.5,3.0,0.0,0.0,27.3,CRD
yellow,VTS,2012-08-01T01:11:00.000+08:00,2012-08-01T01:38:00.000+08:00,"",1,0,0,-73.870847,40.773742,-73.99392,40.756582,2,11.86,28.1,0.5,0.5,5.72,4.8,0.0,39.62,CRD
yellow,VTS,2012-08-01T03:52:00.000+08:00,2012-08-01T03:56:00.000+08:00,"",1,0,0,-73.944388,40.775707,-73.955417,40.779877,1,0.82,4.5,0.5,0.5,1.0,0.0,0.0,6.5,CRD
yellow,CMT,2012-08-01T01:08:11.000+08:00,2012-08-01T01:55:09.000+08:00,Y,1,0,0,-73.789957,40.64704,-74.032811,40.619272,1,25.5,57.7,0.5,0.5,14.67,0.0,0.0,73.37,CRD
yellow,CMT,2012-08-01T03:55:58.000+08:00,2012-08-01T03:59:39.000+08:00,N,1,0,0,-74.00673,40.744114,-73.99006,40.760575,1,1.6,5.7,0.5,0.5,0.8,0.0,0.0,7.5,CRD
yellow,CMT,2012-08-01T06:33:04.000+08:00,2012-08-01T06:45:30.000+08:00,N,1,0,0,-73.980892,40.767555,-74.0134,40.714376,1,4.3,11.7,0.0,0.5,0.0,0.0,0.0,12.2,CSH
yellow,CMT,2012-08-01T01:10:04.000+08:00,2012-08-01T01:28:38.000+08:00,N,1,0,0,-74.000116,40.733061,-73.932678,40.700114,2,5.1,14.9,0.5,0.5,3.97,0.0,0.0,19.87,CRD
yellow,VTS,2012-08-01T00:00:00.000+08:00,2012-08-01T00:01:00.000+08:00,"",1,0,0,-73.97145,40.746827,-73.970057,40.74862,1,0.66,3.7,0.5,0.5,0.75,0.0,0.0,5.45,CRD
yellow,CMT,2012-08-01T00:00:18.000+08:00,2012-08-01T00:27:32.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,7.9,22.1,0.5,0.5,5.77,0.0,0.0,28.87,CRD
yellow,CMT,2012-08-01T01:10:00.000+08:00,2012-08-01T01:13:47.000+08:00,N,1,0,0,-73.976707,40.785403,-73.964759,40.801883,1,1.2,4.9,0.5,0.5,1.47,0.0,0.0,7.37,CRD
yellow,VTS,2012-08-01T00:00:00.000+08:00,2012-08-01T00:13:00.000+08:00,"",1,0,0,-73.98566,40.757317,-73.990825,40.724137,3,3.06,9.7,0.5,0.5,0.0,0.0,0.0,10.7,CSH
yellow,VTS,2012-08-01T01:11:00.000+08:00,2012-08-01T01:29:00.000+08:00,"",1,0,0,-74.008142,40.722425,-73.959115,40.670862,1,4.86,14.9,0.5,0.5,0.0,0.0,0.0,15.9,CSH
yellow,CMT,2012-08-01T05:45:08.000+08:00,2012-08-01T05:47:40.000+08:00,N,1,0,0,-73.94778,40.775325,-73.946932,40.781805,1,0.5,3.7,0.0,0.5,1.25,0.0,0.0,5.45,CRD
yellow,CMT,2012-08-01T07:36:09.000+08:00,2012-08-01T07:39:13.000+08:00,N,1,0,0,-73.96675,40.758353,-73.975265,40.75201,1,0.7,4.1,0.0,0.5,0.0,0.0,0.0,4.6,CSH
yellow,VTS,2012-08-01T03:57:00.000+08:00,2012-08-01T04:18:00.000+08:00,"",1,0,0,-73.999572,40.734112,-73.91649,40.773062,2,7.32,19.3,0.5,0.5,5.94,0.0,0.0,26.24,CRD
yellow,CMT,2012-08-01T07:36:22.000+08:00,2012-08-01T07:48:12.000+08:00,N,1,0,0,-73.982216,40.776839,-73.988363,40.751814,1,2.1,8.1,0.0,0.5,0.0,0.0,0.0,8.6,CSH
yellow,VTS,2012-08-01T03:55:00.000+08:00,2012-08-01T03:58:00.000+08:00,"",1,0,0,-73.991715,40.759655,-73.99828,40.760782,1,0.43,3.3,0.5,0.5,0.0,0.0,0.0,4.3,CRD
yellow,CMT,2012-08-01T01:10:40.000+08:00,2012-08-01T01:27:21.000+08:00,N,1,0,0,-74.00667,40.751323,-73.952738,40.712038,1,5.3,14.9,0.5,0.5,3.15,0.0,0.0,19.05,CRD
yellow,VTS,2012-08-01T00:00:00.000+08:00,2012-08-01T00:14:00.000+08:00,"",1,0,0,-73.977753,40.75842,-73.931113,40.796723,5,4.42,12.1,0.5,0.5,0.0,0.0,0.0,13.1,CSH
