taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2012-09-01T05:35:00.000+08:00,2012-09-01T05:41:00.000+08:00,"",1,0,0,-73.995642,40.725272,-73.992367,40.749377,1,2.27,7.3,0.5,0.5,1.56,0.0,0.0,9.86,CRD
yellow,VTS,2012-09-01T05:31:00.000+08:00,2012-09-01T05:41:00.000+08:00,"",1,0,0,-73.973277,40.792908,-73.976047,40.750342,1,3.94,10.9,0.5,0.5,2.28,0.0,0.0,14.18,CRD
yellow,VTS,2012-09-01T05:16:00.000+08:00,2012-09-01T05:40:00.000+08:00,"",2,0,0,-73.937563,40.80126,-73.7833,40.643875,2,16.75,45.0,0.0,0.5,0.0,0.0,0.0,45.5,CSH
yellow,VTS,2012-09-01T05:41:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.987703,40.765295,-73.994442,40.753075,1,1.23,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,VTS,2012-09-01T05:27:00.000+08:00,2012-09-01T05:39:00.000+08:00,"",1,0,0,-73.954577,40.720492,-73.993452,40.727375,2,3.91,11.3,0.5,0.5,0.0,0.0,0.0,12.3,CSH
yellow,VTS,2012-09-01T05:37:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-74.001412,40.731162,-73.987508,40.728577,5,1.13,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,VTS,2012-09-01T05:32:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",1,0,0,-73.783207,40.649172,-73.786768,40.740562,3,11.36,25.3,0.5,0.5,0.0,0.0,0.0,26.3,CSH
yellow,VTS,2012-09-01T05:33:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-74.075088,40.595325,-74.075088,40.595325,1,5.72,14.5,0.5,0.5,1.0,0.0,0.0,16.5,CRD
yellow,VTS,2012-09-01T05:27:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",1,0,0,-73.992685,40.665627,-73.97839,40.761395,5,10.08,24.1,0.5,0.5,3.0,0.0,0.0,28.1,CRD
yellow,VTS,2012-09-01T05:43:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",1,0,0,-73.982782,40.751223,-73.991767,40.733942,1,1.45,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,VTS,2012-09-01T05:39:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",1,0,0,-74.00404,40.7077,-74.005585,40.717867,1,1.43,6.1,0.5,0.5,3.0,0.0,0.0,10.1,CRD
yellow,VTS,2012-09-01T05:40:00.000+08:00,2012-09-01T05:45:00.000+08:00,"",1,0,0,-73.964302,40.76751,-73.9789,40.77256,5,1.02,5.3,0.5,0.5,0.0,0.0,0.0,6.3,CSH
yellow,VTS,2012-09-01T05:22:00.000+08:00,2012-09-01T05:45:00.000+08:00,"",1,0,0,-73.990857,40.728212,-73.980385,40.688027,5,7.05,20.1,0.5,0.5,0.0,0.0,0.0,21.1,CSH
yellow,VTS,2012-09-01T05:33:00.000+08:00,2012-09-01T05:45:00.000+08:00,"",4,0,0,-73.959462,40.809075,-74.001542,40.756352,6,4.5,12.9,0.5,0.5,0.0,0.0,0.0,13.9,CSH
yellow,VTS,2012-09-01T05:23:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",3,0,0,-73.980622,40.774842,-74.180727,40.688167,6,17.5,53.1,0.5,0.0,10.72,11.5,0.0,75.82,CRD
yellow,VTS,2012-09-01T05:44:00.000+08:00,2012-09-01T05:47:00.000+08:00,"",1,0,0,-73.991722,40.767665,-74.001312,40.756617,1,1.03,4.9,0.5,0.5,1.08,0.0,0.0,6.98,CRD
yellow,VTS,2012-09-01T05:41:00.000+08:00,2012-09-01T05:47:00.000+08:00,"",1,0,0,-74.00428,40.725572,-73.990977,40.717315,1,1.21,5.7,0.5,0.5,0.0,0.0,0.0,6.7,CSH
yellow,VTS,2012-09-01T05:33:00.000+08:00,2012-09-01T05:47:00.000+08:00,"",1,0,0,-73.949365,40.80193,-73.918397,40.766567,2,4.54,13.3,0.5,0.5,0.0,4.8,0.0,19.1,CSH
yellow,VTS,2012-09-01T05:32:00.000+08:00,2012-09-01T05:41:00.000+08:00,"",1,0,0,-73.98955,40.720602,-73.981033,40.747175,1,2.24,8.1,0.5,0.5,0.0,0.0,0.0,9.1,CSH
yellow,VTS,2012-09-01T05:28:00.000+08:00,2012-09-01T05:41:00.000+08:00,"",1,0,0,-73.98065,40.74233,-73.946738,40.800477,1,4.83,12.5,0.5,0.5,0.0,0.0,0.0,13.5,CSH
yellow,VTS,2012-09-01T05:08:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-73.952497,40.810795,-73.922537,40.666167,1,16.64,38.5,0.5,0.5,0.0,0.0,0.0,39.5,CSH
yellow,VTS,2012-09-01T05:32:00.000+08:00,2012-09-01T05:40:00.000+08:00,"",1,0,0,-73.991355,40.750245,-73.974722,40.778057,2,2.79,8.9,0.5,0.5,0.0,0.0,0.0,9.9,CSH
yellow,VTS,2012-09-01T05:12:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.987147,40.761142,-73.85862,40.73648,5,8.79,24.1,0.5,0.5,0.0,0.0,0.0,25.1,CSH
yellow,VTS,2012-09-01T05:32:00.000+08:00,2012-09-01T05:40:00.000+08:00,"",1,0,0,-73.97981,40.749217,-73.971415,40.782382,1,2.95,9.3,0.5,0.5,1.96,0.0,0.0,12.26,CRD
yellow,VTS,2012-09-01T05:16:00.000+08:00,2012-09-01T05:42:00.000+08:00,"",2,0,0,-73.976427,40.762215,-73.782545,40.646697,1,17.16,45.0,0.0,0.5,9.0,0.0,0.0,54.5,CRD
yellow,VTS,2012-09-01T05:12:00.000+08:00,2012-09-01T05:30:00.000+08:00,"",1,0,0,-73.983303,40.730202,-73.917907,40.701067,1,5.98,16.5,0.5,0.5,5.1,0.0,0.0,22.6,CRD
yellow,VTS,2012-09-01T05:24:00.000+08:00,2012-09-01T05:46:00.000+08:00,"",1,0,0,-73.991705,40.7501,-73.930758,40.833805,1,8.91,22.5,0.5,0.5,0.0,0.0,0.0,23.5,CSH
yellow,VTS,2012-09-01T05:30:00.000+08:00,2012-09-01T05:42:00.000+08:00,"",1,0,0,-73.986605,40.747878,-73.921658,40.742777,5,4.66,12.5,0.5,0.5,0.0,0.0,0.0,13.5,CSH
yellow,VTS,2012-09-01T05:29:00.000+08:00,2012-09-01T05:42:00.000+08:00,"",1,0,0,-73.956337,40.76735,-73.997947,40.745197,2,4.16,12.9,0.5,0.5,1.2,0.0,0.0,15.1,CRD
yellow,VTS,2012-09-01T05:39:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.962168,40.810688,-73.950065,40.829512,5,1.61,6.1,0.5,0.5,1.32,0.0,0.0,8.42,CRD
yellow,VTS,2012-09-01T05:37:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-74.007685,40.74078,-74.00424,40.747957,1,1.25,6.1,0.5,0.5,1.32,0.0,0.0,8.42,CRD
yellow,VTS,2012-09-01T04:46:00.000+08:00,2012-09-01T05:08:00.000+08:00,"",1,0,0,-73.997547,40.763822,-73.886858,40.758655,1,0.7,18.9,0.5,0.5,0.0,0.0,0.0,19.9,CSH
yellow,VTS,2012-09-01T05:22:00.000+08:00,2012-09-01T05:41:00.000+08:00,"",2,0,0,-73.94867,40.785035,-73.809747,40.690285,1,15.12,45.0,0.0,0.5,9.0,4.8,0.0,59.3,CRD
yellow,VTS,2012-09-01T05:39:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-73.974295,40.747617,-73.978865,40.737067,3,1.01,4.9,0.5,0.5,0.0,0.0,0.0,5.9,CSH
yellow,VTS,2012-09-01T05:42:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-73.952322,40.777302,-73.956213,40.778893,1,0.23,2.9,0.5,0.5,0.0,0.0,0.0,3.9,CSH
yellow,VTS,2012-09-01T05:35:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-74.004832,40.707438,-73.975722,40.751997,5,4.84,12.5,0.5,0.5,0.0,0.0,0.0,13.5,CSH
yellow,VTS,2012-09-01T05:32:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-73.97692,40.79006,-73.991067,40.751092,2,3.5,11.3,0.5,0.5,2.0,0.0,0.0,14.3,CRD
yellow,VTS,2012-09-01T05:27:00.000+08:00,2012-09-01T05:47:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,1,6.57,18.1,0.5,0.5,0.0,0.0,0.0,19.1,CSH
yellow,VTS,2012-09-01T05:37:00.000+08:00,2012-09-01T05:42:00.000+08:00,"",1,0,0,-73.956372,40.813617,-73.950272,40.801305,1,1.26,5.7,0.5,0.5,0.0,0.0,0.0,6.7,CSH
yellow,VTS,2012-09-01T05:28:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,-73.986502,40.75591,-73.943842,40.79126,1,5.22,13.3,0.5,0.5,0.0,0.0,0.0,14.3,CSH
yellow,VTS,2012-09-01T04:54:00.000+08:00,2012-09-01T05:43:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,1,11.26,36.1,0.5,0.5,0.0,0.0,0.0,37.1,CSH
yellow,VTS,2012-09-01T05:36:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.9923,40.666062,-73.98893,40.691787,1,2.73,8.5,0.5,0.5,2.0,0.0,0.0,11.5,CRD
yellow,VTS,2012-09-01T05:38:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.987823,40.761352,-73.994692,40.750373,5,1.19,5.7,0.5,0.5,0.0,0.0,0.0,6.7,CSH
yellow,VTS,2012-09-01T05:21:00.000+08:00,2012-09-01T05:39:00.000+08:00,"",1,0,0,-73.977295,40.726507,-73.90675,40.753305,1,8.27,20.9,0.5,0.5,0.0,0.0,0.0,21.9,CSH
yellow,VTS,2012-09-01T05:25:00.000+08:00,2012-09-01T05:44:00.000+08:00,"",1,0,0,-73.897033,40.746342,-73.990777,40.75587,1,6.26,16.9,0.5,0.5,0.0,0.0,0.0,17.9,CSH
yellow,VTS,2012-09-01T05:40:00.000+08:00,2012-09-01T05:45:00.000+08:00,"",1,0,0,-73.98027,40.786163,-73.98027,40.786163,3,1.9,6.5,0.5,0.5,0.0,0.0,0.0,7.5,CSH
yellow,VTS,2012-09-01T05:25:00.000+08:00,2012-09-01T05:42:00.000+08:00,"",1,0,0,-73.95879,40.81534,-73.988545,40.736458,5,7.86,20.1,0.5,0.5,0.0,0.0,0.0,21.1,CSH
