taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2013-04-04T18:47:45.000+08:00,2013-04-04T19:00:25.000+08:00,N,1,0,0,-73.957855,40.76532,-73.976274,40.785647,1,2.5,11.0,1.0,0.5,2.5,0.0,0.0,15.0,CRD
yellow,CMT,2013-04-05T07:08:34.000+08:00,2013-04-05T07:17:34.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,1.6,8.5,0.0,0.5,1.8,0.0,0.0,10.8,CRD
yellow,CMT,2013-04-04T17:59:50.000+08:00,2013-04-04T18:21:48.000+08:00,N,1,0,0,-73.982876,40.754989,-74.009182,40.715375,1,3.6,16.5,1.0,0.5,3.6,0.0,0.0,21.6,CRD
yellow,CMT,2013-04-04T18:12:01.000+08:00,2013-04-04T18:25:24.000+08:00,N,1,0,0,-73.978117,40.763449,-73.955669,40.776641,1,1.9,10.0,1.0,0.5,3.45,0.0,0.0,14.95,CRD
yellow,CMT,2013-04-04T20:12:57.000+08:00,2013-04-04T20:29:55.000+08:00,N,1,0,0,-74.006369,40.744756,-73.96166,40.76108,1,3.6,15.0,0.5,0.5,3.2,0.0,0.0,19.2,CRD
yellow,CMT,2013-04-05T02:48:11.000+08:00,2013-04-05T02:51:21.000+08:00,N,1,0,0,-73.985195,40.754933,-73.990778,40.747996,2,0.7,4.5,0.5,0.5,1.1,0.0,0.0,6.6,CRD
yellow,CMT,2013-04-05T06:16:10.000+08:00,2013-04-05T06:22:05.000+08:00,N,1,0,0,-73.985167,40.763421,-73.978869,40.751143,1,1.2,6.5,0.0,0.5,1.0,0.0,0.0,8.0,CRD
yellow,CMT,2013-04-05T06:20:10.000+08:00,2013-04-05T06:27:43.000+08:00,N,1,0,0,-73.980028,40.745786,-74.002744,40.756167,1,1.6,8.0,0.0,0.5,2.1,0.0,0.0,10.6,CRD
yellow,CMT,2013-04-04T19:20:16.000+08:00,2013-04-04T19:30:52.000+08:00,N,1,0,0,-73.978476,40.76123,-73.984566,40.759414,1,0.4,7.5,1.0,0.5,2.25,0.0,0.0,11.25,CRD
yellow,CMT,2013-04-03T18:05:38.000+08:00,2013-04-03T18:23:06.000+08:00,N,1,0,0,-73.961344,40.764794,-73.98847,40.756006,1,2.4,12.5,1.0,0.5,2.8,0.0,0.0,16.8,CRD
yellow,CMT,2013-04-03T18:04:40.000+08:00,2013-04-03T18:11:59.000+08:00,N,1,0,0,-73.98929,40.747785,-73.982069,40.771231,1,1.1,6.5,1.0,0.5,2.0,0.0,0.0,10.0,CRD
yellow,CMT,2013-04-03T18:07:31.000+08:00,2013-04-03T18:47:47.000+08:00,N,1,0,0,-73.975168,40.792833,-73.972939,40.753866,1,3.6,25.0,1.0,0.5,2.0,0.0,0.0,28.5,CRD
yellow,CMT,2013-04-03T18:02:54.000+08:00,2013-04-03T18:49:03.000+08:00,N,1,0,0,-73.862752,40.76911,-73.996225,40.733008,1,10.3,37.5,1.0,0.5,4.0,5.33,0.0,48.33,CRD
yellow,CMT,2013-04-04T19:19:42.000+08:00,2013-04-04T19:22:41.000+08:00,N,1,0,0,-73.998497,40.723457,-74.003989,40.716854,1,0.5,4.0,1.0,0.5,1.5,0.0,0.0,7.0,CRD
yellow,CMT,2013-04-04T19:12:32.000+08:00,2013-04-04T19:31:35.000+08:00,N,1,0,0,-73.997737,40.73365,-73.985057,40.763362,1,2.4,14.0,1.0,0.5,3.1,0.0,0.0,18.6,CRD
yellow,CMT,2013-04-05T14:42:31.000+08:00,2013-04-05T14:54:32.000+08:00,N,1,0,0,-73.987978,40.743947,-73.975785,40.755438,1,1.2,9.5,0.0,0.5,1.0,0.0,0.0,11.0,CRD
yellow,CMT,2013-04-05T14:56:55.000+08:00,2013-04-05T15:01:59.000+08:00,N,1,0,0,-73.975438,40.756087,-73.974817,40.75157,1,0.4,5.0,0.0,0.5,1.1,0.0,0.0,6.6,CRD
yellow,CMT,2013-04-04T07:23:21.000+08:00,2013-04-04T07:30:35.000+08:00,N,1,0,0,-73.955007,40.779735,-73.953045,40.788944,2,1.3,7.5,0.0,0.5,2.4,0.0,0.0,10.4,CRD
yellow,CMT,2013-04-03T20:17:03.000+08:00,2013-04-03T20:31:10.000+08:00,N,1,0,0,-73.964988,40.759987,-73.992631,40.721353,1,3.0,12.5,0.5,0.5,1.0,0.0,0.0,14.5,CRD
yellow,CMT,2013-04-03T20:22:41.000+08:00,2013-04-03T20:31:29.000+08:00,N,1,0,0,-73.986034,40.751569,-73.970614,40.753932,1,1.0,7.0,0.5,0.5,1.6,0.0,0.0,9.6,CRD
yellow,CMT,2013-04-03T18:40:50.000+08:00,2013-04-03T19:00:48.000+08:00,N,1,0,0,-73.985441,40.741645,-73.987566,40.76024,1,1.8,13.5,1.0,0.5,3.0,0.0,0.0,18.0,CRD
yellow,CMT,2013-04-03T18:42:01.000+08:00,2013-04-03T19:05:06.000+08:00,N,1,0,0,-73.948423,40.77442,-73.995497,40.739914,1,4.8,19.5,1.0,0.5,4.2,0.0,0.0,25.2,CRD
yellow,CMT,2013-04-03T19:05:55.000+08:00,2013-04-03T19:13:58.000+08:00,N,1,0,0,-74.010246,40.719827,-74.002457,40.73873,1,1.6,7.5,1.0,0.5,0.0,0.0,0.0,9.0,CRD
yellow,CMT,2013-04-03T19:24:08.000+08:00,2013-04-03T19:38:12.000+08:00,N,1,0,0,-74.003964,40.752984,-73.987128,40.739338,1,1.6,10.5,0.5,0.5,3.45,0.0,0.0,14.95,CRD
yellow,CMT,2013-04-03T19:30:16.000+08:00,2013-04-03T19:42:20.000+08:00,N,1,0,0,-74.007669,40.74225,-73.984768,40.742494,2,1.6,9.5,1.0,0.5,2.0,0.0,0.0,13.0,CRD
yellow,CMT,2013-04-05T00:15:15.000+08:00,2013-04-05T00:27:26.000+08:00,N,1,0,0,-73.985784,40.762936,-73.96738,40.799405,2,3.0,12.0,0.5,0.5,1.5,0.0,0.0,14.5,CRD
yellow,CMT,2013-04-04T18:38:52.000+08:00,2013-04-04T18:48:09.000+08:00,N,1,0,0,-73.95631,40.781659,-73.960881,40.764122,1,1.6,8.5,1.0,0.5,1.5,0.0,0.0,11.5,CRD
yellow,CMT,2013-04-04T18:51:12.000+08:00,2013-04-04T18:58:49.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,1.2,7.5,1.0,0.5,1.8,0.0,0.0,10.8,CRD
yellow,CMT,2013-04-04T18:12:42.000+08:00,2013-04-04T18:24:43.000+08:00,N,1,0,0,-73.978128,40.752857,-74.000742,40.74634,1,1.9,10.0,1.0,0.5,1.5,0.0,0.0,13.0,CRD
yellow,CMT,2013-04-04T20:20:30.000+08:00,2013-04-04T20:26:47.000+08:00,N,1,0,0,-73.996318,40.725324,-73.993665,40.741654,1,1.4,7.0,0.5,0.5,1.0,0.0,0.0,9.0,CRD
