taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2013-08-26T15:33:22.000+08:00,2013-08-26T15:44:47.000+08:00,N,1,0,0,-73.989877,40.734282,-73.999419,40.73137,1,1.0,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CSH
yellow,CMT,2013-08-29T19:08:04.000+08:00,2013-08-29T19:36:56.000+08:00,N,1,0,0,-73.979861,40.760016,-73.94187,40.807038,1,6.7,24.5,1.0,0.5,0.0,0.0,0.0,26.0,CSH
yellow,CMT,2013-08-26T13:54:27.000+08:00,2013-08-26T14:08:44.000+08:00,N,1,0,0,-74.010442,40.710103,-73.987447,40.749764,1,3.0,12.5,0.0,0.5,0.0,0.0,0.0,13.0,CSH
yellow,CMT,2013-08-30T08:48:17.000+08:00,2013-08-30T09:30:51.000+08:00,N,1,0,0,-73.927998,40.763857,-73.990953,40.756045,2,5.2,27.0,0.0,0.5,0.0,0.0,0.0,27.5,CSH
yellow,CMT,2013-08-26T14:38:38.000+08:00,2013-08-26T14:57:43.000+08:00,N,1,0,0,-73.990084,40.742318,-74.0143,40.704145,1,4.2,17.0,0.0,0.5,0.0,0.0,0.0,17.5,CSH
yellow,CMT,2013-08-31T02:18:59.000+08:00,2013-08-31T02:22:14.000+08:00,N,1,0,0,-73.968052,40.759396,-73.955766,40.768182,1,1.1,5.5,0.5,0.5,0.0,0.0,0.0,6.5,CSH
yellow,CMT,2013-08-26T23:24:54.000+08:00,2013-08-26T23:31:51.000+08:00,Y,1,0,0,-73.981102,40.758697,-73.99718,40.744726,2,1.6,7.5,0.5,0.5,0.0,0.0,0.0,8.5,CSH
yellow,CMT,2013-08-26T19:20:32.000+08:00,2013-08-26T19:24:54.000+08:00,N,1,0,0,-73.959671,40.790207,-73.977851,40.782913,1,1.4,6.5,1.0,0.5,0.0,0.0,0.0,8.0,CSH
yellow,CMT,2013-08-29T20:49:32.000+08:00,2013-08-29T21:06:34.000+08:00,N,1,0,0,-74.000825,40.742071,-73.957935,40.761102,1,4.0,16.0,0.5,0.5,0.0,0.0,0.0,17.0,CSH
yellow,CMT,2013-08-31T17:55:04.000+08:00,2013-08-31T18:06:43.000+08:00,N,1,0,0,-73.962933,40.712021,-73.956845,40.744627,2,2.8,11.5,0.0,0.5,0.0,0.0,0.0,12.0,CSH
