taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2013-09-01T16:35:05.000+08:00,2013-09-01T16:47:53.000+08:00,N,1,0,0,-73.987902,40.724078,-73.9946,40.75058,2,2.6,11.5,0.0,0.5,2.4,0.0,0.0,14.4,CRD
yellow,CMT,2013-09-01T17:44:05.000+08:00,2013-09-01T17:58:37.000+08:00,N,1,0,0,-74.007867,40.710233,-74.003977,40.75657,1,3.5,14.5,0.0,0.5,3.75,0.0,0.0,18.75,CRD
yellow,CMT,2013-09-01T16:36:20.000+08:00,2013-09-01T16:50:53.000+08:00,N,1,0,0,-74.016725,40.70924,-74.000437,40.752535,1,3.1,14.0,0.0,0.5,1.0,0.0,0.0,15.5,CRD
yellow,CMT,2013-09-01T07:54:47.000+08:00,2013-09-01T08:09:17.000+08:00,N,1,0,0,-73.984882,40.736415,-73.861418,40.76818,1,9.6,27.0,0.0,0.5,5.0,5.33,0.0,37.83,CRD
yellow,CMT,2013-09-02T22:50:34.000+08:00,2013-09-02T22:58:22.000+08:00,N,1,0,0,-73.983377,40.770254,-73.976156,40.789187,1,1.5,8.0,0.5,0.5,2.0,0.0,0.0,11.0,CRD
yellow,CMT,2013-09-02T23:39:36.000+08:00,2013-09-02T23:58:10.000+08:00,Y,1,0,0,-73.970513,40.752357,-73.876568,40.738854,1,8.3,25.5,0.5,0.5,5.3,0.0,0.0,31.8,CRD
yellow,CMT,2013-09-02T20:56:24.000+08:00,2013-09-02T21:13:10.000+08:00,N,1,0,0,-73.874452,40.774062,-73.984712,40.703598,1,9.9,28.0,0.5,0.5,7.25,0.0,0.0,36.25,CRD
yellow,CMT,2013-09-02T23:07:43.000+08:00,2013-09-02T23:20:50.000+08:00,N,1,0,0,-74.008255,40.721904,-73.966478,40.753864,2,3.9,13.5,0.5,0.5,2.0,0.0,0.0,16.5,CRD
yellow,CMT,2013-09-02T20:02:09.000+08:00,2013-09-02T20:13:20.000+08:00,N,1,0,0,-73.983785,40.743669,-73.982826,40.767152,1,2.2,10.5,0.5,0.5,1.5,0.0,0.0,13.0,CRD
yellow,CMT,2013-09-02T17:14:08.000+08:00,2013-09-02T17:31:13.000+08:00,N,1,0,0,-73.954203,40.76419,-73.975345,40.790533,1,2.8,14.0,0.0,0.5,2.0,0.0,0.0,16.5,CRD
yellow,CMT,2013-09-04T19:41:38.000+08:00,2013-09-04T20:07:41.000+08:00,N,1,0,0,-73.781224,40.644761,-73.985096,40.692684,1,18.8,50.0,1.0,0.5,3.5,0.0,0.0,55.0,CRD
yellow,CMT,2013-09-04T18:29:33.000+08:00,2013-09-04T18:57:41.000+08:00,N,1,0,0,-73.963702,40.75727,-73.830095,40.848578,1,11.4,34.5,1.0,0.5,2.0,0.0,0.0,38.0,CRD
yellow,CMT,2013-09-04T18:16:38.000+08:00,2013-09-04T18:23:35.000+08:00,N,1,0,0,-73.961417,40.764914,-73.965765,40.752715,1,1.2,7.0,1.0,0.5,1.7,0.0,0.0,10.2,CRD
yellow,CMT,2013-09-04T22:32:15.000+08:00,2013-09-04T22:36:18.000+08:00,N,1,0,0,-73.988798,40.748431,-73.981207,40.762512,1,1.1,5.5,0.5,0.5,1.3,0.0,0.0,7.8,CRD
yellow,CMT,2013-09-04T16:52:07.000+08:00,2013-09-04T17:04:49.000+08:00,N,1,0,0,-73.986693,40.766476,-73.975061,40.760782,1,0.7,7.0,1.0,0.5,1.7,0.0,0.0,10.2,CRD
yellow,CMT,2013-09-04T18:33:38.000+08:00,2013-09-04T18:36:30.000+08:00,N,1,0,0,-73.988433,40.737187,-73.984652,40.743234,1,0.5,4.0,1.0,0.5,1.1,0.0,0.0,6.6,CRD
yellow,CMT,2013-09-04T22:02:34.000+08:00,2013-09-04T22:28:13.000+08:00,N,1,0,0,-73.983576,40.764359,-73.86974,40.738226,1,8.4,27.0,0.5,0.5,5.6,0.0,0.0,33.6,CRD
yellow,CMT,2013-09-03T21:33:51.000+08:00,2013-09-03T21:39:39.000+08:00,N,1,0,0,-73.987347,40.754975,-73.999814,40.731094,2,1.9,7.5,0.5,0.5,1.0,0.0,0.0,9.5,CRD
yellow,CMT,2013-09-03T21:41:21.000+08:00,2013-09-03T21:44:57.000+08:00,N,1,0,0,-74.00033,40.730154,-73.994853,40.723245,1,0.7,5.0,0.5,0.5,1.2,0.0,0.0,7.2,CRD
yellow,CMT,2013-09-03T22:40:21.000+08:00,2013-09-03T23:00:25.000+08:00,N,1,0,0,-74.009449,40.729017,-73.972833,40.736742,2,4.4,17.5,0.5,0.5,3.0,0.0,0.0,21.5,CRD
yellow,CMT,2013-09-03T19:10:45.000+08:00,2013-09-03T19:30:17.000+08:00,N,1,0,0,-73.981486,40.745548,-73.970685,40.793376,1,4.2,16.5,1.0,0.5,2.0,0.0,0.0,20.0,CRD
yellow,CMT,2013-09-02T20:46:42.000+08:00,2013-09-02T20:54:26.000+08:00,N,1,0,0,-74.000987,40.741756,-73.982326,40.767832,1,2.0,8.5,0.5,0.5,1.9,0.0,0.0,11.4,CRD
yellow,CMT,2013-09-02T19:00:32.000+08:00,2013-09-02T19:08:41.000+08:00,N,1,0,0,-73.990425,40.749304,-73.980198,40.735146,2,1.6,8.0,0.0,0.5,1.7,0.0,0.0,10.2,CRD
yellow,CMT,2013-09-04T19:22:54.000+08:00,2013-09-04T19:29:40.000+08:00,N,1,0,0,-73.989912,40.7314,-73.987755,40.724778,2,0.7,6.0,1.0,0.5,0.5,0.0,0.0,8.0,CRD
yellow,CMT,2013-09-04T18:13:39.000+08:00,2013-09-04T18:18:04.000+08:00,N,1,0,0,-73.965135,40.774943,-73.956007,40.784735,3,0.9,5.5,1.0,0.5,1.4,0.0,0.0,8.4,CRD
yellow,CMT,2013-09-03T01:46:13.000+08:00,2013-09-03T02:00:06.000+08:00,N,1,0,0,-73.939797,40.707441,-73.989413,40.690233,1,4.9,16.5,0.5,0.5,3.5,0.0,0.0,21.0,CRD
yellow,CMT,2013-09-05T06:39:50.000+08:00,2013-09-05T06:42:26.000+08:00,N,1,0,0,-73.991368,40.744345,-74.000161,40.739872,1,0.7,4.5,0.0,0.5,1.0,0.0,0.0,6.0,CRD
yellow,CMT,2013-09-05T05:27:17.000+08:00,2013-09-05T05:48:21.000+08:00,N,1,0,0,-73.98835,40.738774,-73.948581,40.828812,2,8.1,26.5,0.5,0.5,1.5,0.0,0.0,29.0,CRD
yellow,CMT,2013-09-02T21:24:34.000+08:00,2013-09-02T21:37:45.000+08:00,N,1,0,0,-73.974325,40.743903,-74.006971,40.740774,1,2.7,11.5,0.5,0.5,2.5,0.0,0.0,15.0,CRD
yellow,CMT,2013-09-02T17:52:32.000+08:00,2013-09-02T17:59:20.000+08:00,N,1,0,0,-73.990708,40.740152,-73.999626,40.722044,1,1.5,7.0,0.0,0.5,1.0,0.0,0.0,8.5,CRD
yellow,CMT,2013-09-03T17:57:38.000+08:00,2013-09-03T18:02:15.000+08:00,N,1,0,0,-74.002771,40.739744,-73.989804,40.734866,1,0.7,5.0,1.0,0.5,1.3,0.0,0.0,7.8,CRD
yellow,CMT,2013-09-03T17:35:07.000+08:00,2013-09-03T17:51:36.000+08:00,N,1,0,0,-73.997576,40.724367,-74.006233,40.74225,1,2.1,12.5,1.0,0.5,2.8,0.0,0.0,16.8,CRD
yellow,CMT,2013-09-03T22:35:28.000+08:00,2013-09-03T22:45:04.000+08:00,N,1,0,0,-73.990957,40.734341,-74.01308,40.709273,2,2.2,9.5,0.5,0.5,2.1,0.0,0.0,12.6,CRD
yellow,CMT,2013-09-02T00:14:55.000+08:00,2013-09-02T00:20:15.000+08:00,N,1,0,0,-73.977937,40.752073,-73.968586,40.75889,1,0.8,6.0,0.5,0.5,0.0,0.0,0.0,7.0,CRD
yellow,CMT,2013-09-04T22:19:08.000+08:00,2013-09-04T22:23:45.000+08:00,N,1,0,0,-73.961951,40.77612,-73.963401,40.764997,2,1.0,5.5,0.5,0.5,1.3,0.0,0.0,7.8,CRD
yellow,CMT,2013-09-04T17:32:01.000+08:00,2013-09-04T17:33:40.000+08:00,N,1,0,0,-73.978756,40.785199,-73.973776,40.791765,1,0.5,4.0,1.0,0.5,0.5,0.0,0.0,6.0,CRD
yellow,CMT,2013-09-02T17:16:22.000+08:00,2013-09-02T17:23:43.000+08:00,N,1,0,0,-74.005322,40.722085,-73.994583,40.750259,1,2.3,8.5,0.0,0.5,1.8,0.0,0.0,10.8,CRD
yellow,CMT,2013-09-05T08:05:16.000+08:00,2013-09-05T08:22:58.000+08:00,N,1,0,0,-73.991495,40.751459,-73.944794,40.837297,1,7.6,24.0,0.0,0.5,6.12,0.0,0.0,30.62,CRD
yellow,CMT,2013-09-02T22:18:47.000+08:00,2013-09-02T22:35:11.000+08:00,N,1,0,0,-73.863285,40.769904,-73.950936,40.769704,3,8.9,26.0,0.5,0.5,5.0,5.33,0.0,37.33,CRD
yellow,CMT,2013-09-04T22:33:07.000+08:00,2013-09-04T22:41:22.000+08:00,N,1,0,0,-73.935271,40.696882,-73.959471,40.690554,1,1.9,9.0,0.5,0.5,2.0,0.0,0.0,12.0,CRD
yellow,CMT,2013-09-04T11:06:57.000+08:00,2013-09-04T11:29:34.000+08:00,N,1,0,0,-74.010289,40.70952,-73.985535,40.743979,1,3.3,16.0,0.0,0.5,3.3,0.0,0.0,19.8,CRD
yellow,CMT,2013-09-04T07:25:08.000+08:00,2013-09-04T07:28:57.000+08:00,N,1,0,0,-73.979284,40.73966,-73.978129,40.7484,1,0.8,5.0,0.0,0.5,1.1,0.0,0.0,6.6,CRD
yellow,CMT,2013-09-02T17:21:07.000+08:00,2013-09-02T18:00:07.000+08:00,N,2,0,0,-73.782898,40.644452,-73.980068,40.744337,2,16.7,52.0,0.0,0.5,5.0,5.33,0.0,62.83,CRD
yellow,CMT,2013-09-04T13:01:23.000+08:00,2013-09-04T13:08:38.000+08:00,N,1,0,0,-73.956126,40.786422,-73.960693,40.771529,1,1.3,7.5,0.0,0.5,1.6,0.0,0.0,9.6,CRD
yellow,CMT,2013-09-02T18:29:54.000+08:00,2013-09-02T18:43:20.000+08:00,Y,1,0,0,-73.982164,40.748946,-73.947692,40.721424,1,3.8,14.0,0.0,0.5,2.0,5.33,0.0,21.83,CRD
yellow,CMT,2013-09-02T20:49:10.000+08:00,2013-09-02T20:58:46.000+08:00,N,1,0,0,-73.990439,40.76146,-73.973344,40.748732,1,1.5,8.5,0.5,0.5,1.9,0.0,0.0,11.4,CRD
yellow,CMT,2013-09-02T16:46:34.000+08:00,2013-09-02T16:50:39.000+08:00,N,1,0,0,-73.9476,40.783645,-73.956354,40.771496,1,0.9,5.5,0.0,0.5,1.0,0.0,0.0,7.0,CRD
yellow,CMT,2013-09-02T15:45:57.000+08:00,2013-09-02T15:52:03.000+08:00,N,1,0,0,-73.975474,40.752937,-73.964991,40.756946,1,1.2,6.5,0.0,0.5,1.0,0.0,0.0,8.0,CRD
yellow,CMT,2013-09-02T18:56:03.000+08:00,2013-09-02T19:02:03.000+08:00,N,1,0,0,-73.992591,40.742707,-74.003786,40.737302,1,1.1,6.0,0.0,0.5,1.3,0.0,0.0,7.8,CRD
yellow,CMT,2013-09-02T23:23:25.000+08:00,2013-09-02T23:35:43.000+08:00,N,1,0,0,-73.996202,40.721579,-73.968123,40.766928,1,3.6,13.0,0.5,0.5,1.5,0.0,0.0,15.5,CRD
yellow,CMT,2013-09-02T18:09:31.000+08:00,2013-09-02T18:10:38.000+08:00,N,1,0,0,-74.008045,40.739247,-74.008423,40.736136,2,0.2,3.0,0.0,0.5,1.0,0.0,0.0,4.5,CRD
yellow,CMT,2013-09-02T17:03:00.000+08:00,2013-09-02T17:13:26.000+08:00,N,1,0,0,-73.985932,40.726718,-73.976146,40.755572,1,2.4,10.5,0.0,0.5,1.0,0.0,0.0,12.0,CRD
yellow,CMT,2013-09-02T16:55:51.000+08:00,2013-09-02T16:59:29.000+08:00,N,1,0,0,-74.01126,40.71564,-74.002737,40.716998,2,2.7,4.5,0.0,0.5,1.0,0.0,0.0,6.0,CRD
yellow,CMT,2013-09-02T04:48:16.000+08:00,2013-09-02T04:51:13.000+08:00,N,1,0,0,-73.928037,40.769621,-73.928037,40.769621,1,0.8,5.0,0.5,0.5,1.0,0.0,0.0,7.0,CRD
yellow,CMT,2013-09-05T05:29:26.000+08:00,2013-09-05T05:32:48.000+08:00,N,1,0,0,-73.981443,40.74959,-73.990935,40.750195,1,0.7,4.5,0.5,0.5,1.0,0.0,0.0,6.5,CRD
yellow,CMT,2013-09-03T01:48:57.000+08:00,2013-09-03T01:54:36.000+08:00,N,1,0,0,-73.982677,40.762082,-73.979484,40.776656,2,1.3,6.5,0.5,0.5,1.5,0.0,0.0,9.0,CRD
yellow,CMT,2013-09-05T05:05:46.000+08:00,2013-09-05T05:17:01.000+08:00,N,1,0,0,-74.00033,40.718682,-73.96849,40.762437,1,3.7,13.5,0.5,0.5,2.0,0.0,0.0,16.5,CRD
yellow,CMT,2013-09-02T18:10:20.000+08:00,2013-09-02T18:15:08.000+08:00,N,1,0,0,-73.980801,40.764108,-73.990259,40.751281,1,1.0,5.5,0.0,0.5,1.0,0.0,0.0,7.0,CRD
yellow,CMT,2013-09-05T04:50:39.000+08:00,2013-09-05T05:07:25.000+08:00,N,1,0,0,-73.951577,40.74152,-73.971894,40.765097,1,2.9,14.5,0.5,0.5,3.1,0.0,0.0,18.6,CRD
