taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2013-11-25T15:53:33.000+08:00,2013-11-25T16:00:51.000+08:00,N,1,0,0,-73.978104,40.752966,-73.985756,40.762685,1,0.6,6.0,1.0,0.5,1.0,0.0,0.0,8.5,CRD
yellow,CMT,2013-11-25T15:24:41.000+08:00,2013-11-25T15:30:18.000+08:00,N,1,0,0,-73.982313,40.764827,-73.982129,40.758889,1,0.5,5.5,0.0,0.5,3.0,0.0,0.0,9.0,CRD
yellow,CMT,2013-11-25T09:43:42.000+08:00,2013-11-25T10:02:57.000+08:00,N,1,0,0,-73.982013,40.762507,-74.006854,40.719582,1,3.3,15.0,0.0,0.5,2.0,0.0,0.0,17.5,CRD
yellow,CMT,2013-11-25T06:49:58.000+08:00,2013-11-25T07:04:22.000+08:00,N,1,0,0,-73.976005,40.744481,-74.016063,40.717298,1,3.8,14.0,0.0,0.5,2.9,0.0,0.0,17.4,CRD
yellow,CMT,2013-11-25T10:02:12.000+08:00,2013-11-25T10:17:15.000+08:00,N,1,0,0,-73.952625,40.780962,-73.98163,40.777978,1,2.2,12.0,0.0,0.5,2.0,0.0,0.0,14.5,CRD
yellow,CMT,2013-11-25T15:18:07.000+08:00,2013-11-25T15:33:25.000+08:00,N,1,0,0,-73.992423,40.749517,-73.98816,40.746557,1,1.0,10.0,0.0,0.5,2.22,0.0,0.0,12.72,CRD
yellow,CMT,2013-11-25T21:20:50.000+08:00,2013-11-25T21:26:22.000+08:00,N,1,0,0,-73.946371,40.775369,-73.95309,40.785103,1,1.1,6.5,0.5,0.5,1.5,0.0,0.0,9.0,CRD
yellow,CMT,2013-11-25T07:00:55.000+08:00,2013-11-25T07:04:37.000+08:00,N,1,0,0,-73.983357,40.767193,-73.978394,40.75558,1,1.2,5.5,0.0,0.5,1.0,0.0,0.0,7.0,CRD
yellow,CMT,2013-11-25T05:34:37.000+08:00,2013-11-25T05:48:15.000+08:00,N,1,0,0,-73.971555,40.794548,-73.975399,40.755404,1,3.6,14.5,0.5,0.5,1.0,0.0,0.0,16.5,CRD
yellow,CMT,2013-11-25T08:31:21.000+08:00,2013-11-25T08:55:05.000+08:00,N,1,0,0,-73.94764,40.830465,-73.972323,40.76332,1,5.9,21.0,0.0,0.5,3.0,0.0,0.0,24.5,CRD
yellow,CMT,2013-11-25T07:20:52.000+08:00,2013-11-25T07:40:07.000+08:00,N,1,0,0,-73.997703,40.757676,-74.011711,40.704844,1,5.0,19.0,0.0,0.5,3.0,0.0,0.0,22.5,CRD
yellow,CMT,2013-11-25T14:02:17.000+08:00,2013-11-25T14:19:50.000+08:00,N,1,0,0,-73.945744,40.777831,-73.981577,40.735993,1,4.0,16.0,0.0,0.5,4.12,0.0,0.0,20.62,CRD
yellow,CMT,2013-11-25T11:41:43.000+08:00,2013-11-25T11:56:02.000+08:00,N,1,0,0,-73.974121,40.763923,-73.980328,40.753925,1,0.8,9.5,0.0,0.5,1.0,0.0,0.0,11.0,CRD
yellow,CMT,2013-11-25T11:51:07.000+08:00,2013-11-25T12:01:18.000+08:00,N,1,0,0,-73.973337,40.785078,-73.981175,40.772529,1,1.0,8.0,0.0,0.5,1.0,0.0,0.0,9.5,CRD
yellow,CMT,2013-11-25T16:48:04.000+08:00,2013-11-25T16:58:34.000+08:00,Y,1,0,0,-74.002862,40.739215,-73.981044,40.759356,2,2.0,9.0,1.0,0.5,1.5,0.0,0.0,12.0,CRD
yellow,CMT,2013-11-25T12:14:14.000+08:00,2013-11-25T12:20:47.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,0.5,5.5,0.0,0.5,1.2,0.0,0.0,7.2,CRD
yellow,CMT,2013-11-25T10:55:26.000+08:00,2013-11-25T11:14:08.000+08:00,N,1,0,0,-73.990954,40.755934,-73.962171,40.767627,1,2.3,13.5,0.0,0.5,2.8,0.0,0.0,16.8,CRD
yellow,CMT,2013-11-25T09:00:26.000+08:00,2013-11-25T09:14:35.000+08:00,N,1,0,0,-74.011456,40.707859,-74.01287,40.714584,1,1.0,10.0,0.0,0.5,1.5,0.0,0.0,12.0,CRD
yellow,CMT,2013-11-25T13:36:52.000+08:00,2013-11-25T13:48:37.000+08:00,N,1,0,0,-73.961191,40.767389,-73.977372,40.754093,1,1.5,9.0,0.0,0.5,1.77,0.0,0.0,11.27,CRD
