taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2014-03-01T01:07:38.000+08:00,2014-03-01T01:16:26.000+08:00,N,1,0,0,-73.951504,40.714113,-73.944278,40.690677,1,2.0,9.0,0.5,0.5,2.0,0.0,0.0,12.0,CRD
yellow,CMT,2014-03-01T01:08:03.000+08:00,2014-03-01T01:12:51.000+08:00,N,1,0,0,-74.004735,40.742173,-73.992228,40.74821,2,1.2,6.0,0.5,0.5,1.0,0.0,0.0,8.0,CRD
yellow,CMT,2014-03-01T01:08:51.000+08:00,2014-03-01T01:13:18.000+08:00,N,1,0,0,-73.949302,40.707569,-73.951654,40.71425,3,0.5,5.0,0.5,0.5,1.2,0.0,0.0,7.2,CRD
yellow,CMT,2014-03-01T01:09:20.000+08:00,2014-03-01T01:24:18.000+08:00,N,1,0,0,-73.993539,40.7213,-73.961437,40.760412,3,3.5,14.0,0.5,0.5,3.0,0.0,0.0,18.0,CRD
yellow,CMT,2014-03-01T01:09:46.000+08:00,2014-03-01T01:22:34.000+08:00,N,1,0,0,-73.987881,40.744579,-74.004384,40.722775,1,1.8,10.5,0.5,0.5,1.0,0.0,0.0,12.5,CRD
yellow,CMT,2014-03-01T01:12:41.000+08:00,2014-03-01T01:15:38.000+08:00,N,1,0,0,-74.00211,40.724484,-73.998613,40.72001,1,0.5,4.0,0.5,0.5,0.5,0.0,0.0,5.5,CRD
yellow,CMT,2014-03-01T01:12:11.000+08:00,2014-03-01T01:27:38.000+08:00,N,1,0,0,-73.971921,40.762606,-74.005544,40.726855,2,3.7,14.5,0.5,0.5,3.1,0.0,0.0,18.6,CRD
yellow,CMT,2014-03-01T01:13:55.000+08:00,2014-03-01T01:34:54.000+08:00,N,1,0,0,-73.991226,40.749797,-73.976974,40.681622,1,5.4,20.0,0.5,0.5,3.0,0.0,0.0,24.0,CRD
yellow,CMT,2014-03-01T01:14:06.000+08:00,2014-03-01T01:28:25.000+08:00,N,1,0,0,-73.995061,40.720683,-73.995324,40.759944,1,3.5,13.5,0.5,0.5,2.9,0.0,0.0,17.4,CRD
yellow,CMT,2014-03-01T01:13:10.000+08:00,2014-03-01T01:38:54.000+08:00,N,1,0,0,-73.975166,40.782357,-73.990145,40.719024,3,5.9,21.5,0.5,0.5,2.0,0.0,0.0,24.5,CRD
