taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2014-05-31T17:17:00.000+08:00,2014-05-31T17:17:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,2,0.0,2.5,0.0,0.5,0.0,0.0,0.0,3.0,CSH
yellow,VTS,2014-05-31T17:07:00.000+08:00,2014-05-31T17:19:00.000+08:00,"",1,0,0,-73.98704,40.76012,-74.00555,40.74561,2,2.22,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
yellow,VTS,2014-05-31T16:29:00.000+08:00,2014-05-31T17:17:00.000+08:00,"",2,0,0,0.0,0.0,-73.9822,40.75092,1,17.11,52.0,0.0,0.5,11.47,5.33,0.0,69.3,CRD
yellow,VTS,2014-05-29T13:49:00.000+08:00,2014-05-29T14:03:00.000+08:00,"",1,0,0,-73.983312,40.734602,-73.995767,40.73692,1,0.82,9.5,0.0,0.5,1.9,0.0,0.0,11.9,CRD
yellow,VTS,2014-05-29T13:56:00.000+08:00,2014-05-29T14:06:00.000+08:00,"",1,0,0,-73.989925,40.745145,-73.985975,40.754945,1,0.86,8.0,0.0,0.5,1.6,0.0,0.0,10.1,CRD
yellow,VTS,2014-05-30T11:53:00.000+08:00,2014-05-30T12:10:00.000+08:00,"",1,0,0,-73.98563,40.735587,-73.956062,40.772127,2,3.38,14.0,0.0,0.5,0.0,0.0,0.0,14.5,CSH
yellow,VTS,2014-05-31T16:58:00.000+08:00,2014-05-31T17:09:00.000+08:00,"",1,0,0,-73.987915,40.750152,-73.97799,40.761547,6,1.04,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CSH
yellow,VTS,2014-05-31T16:52:00.000+08:00,2014-05-31T17:07:00.000+08:00,"",1,0,0,-73.99316,40.747882,-73.984995,40.763485,1,1.5,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
yellow,VTS,2014-05-30T23:30:00.000+08:00,2014-05-30T23:42:00.000+08:00,"",1,0,0,-73.98353,40.75585,-73.951552,40.782112,1,2.96,11.5,0.5,0.5,2.4,0.0,0.0,14.9,CRD
yellow,VTS,2014-05-30T23:25:00.000+08:00,2014-05-30T23:45:00.000+08:00,"",1,0,0,-74.006752,40.70569,-73.951317,40.797727,6,9.11,27.5,0.5,0.5,0.0,0.0,0.0,28.5,CSH
yellow,VTS,2014-05-30T12:03:00.000+08:00,2014-05-30T12:11:00.000+08:00,"",1,0,0,-73.985962,40.726525,-73.994952,40.7231,1,0.87,7.0,0.0,0.5,0.0,0.0,0.0,7.5,CSH
yellow,VTS,2014-05-30T11:25:00.000+08:00,2014-05-30T12:14:00.000+08:00,"",2,0,0,-73.782065,40.644632,-73.995062,40.75543,2,17.83,52.0,0.0,0.5,10.0,5.33,0.0,67.83,CRD
yellow,VTS,2014-05-29T20:28:00.000+08:00,2014-05-29T20:49:00.000+08:00,"",1,0,0,-73.980358,40.767677,-73.923927,40.766657,1,4.12,17.5,0.5,0.5,3.6,0.0,0.0,22.1,CRD
