taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2014-07-10T10:07:55.000+08:00,2014-07-10T10:16:19.000+08:00,N,1,0,0,-73.981241,40.781829,-73.974051,40.78732,1,1.2,7.5,0.0,0.5,0.0,0.0,0.0,8.0,CSH
yellow,CMT,2014-07-10T09:06:52.000+08:00,2014-07-10T09:36:36.000+08:00,N,1,0,0,-74.000953,40.733972,-73.970544,40.764482,1,3.4,19.0,0.0,0.5,0.0,0.0,0.0,19.5,CSH
yellow,CMT,2014-07-10T10:37:55.000+08:00,2014-07-10T10:49:25.000+08:00,N,1,0,0,-74.006417,40.7332,-73.999509,40.723267,1,1.0,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CSH
yellow,CMT,2014-07-10T12:43:30.000+08:00,2014-07-10T12:47:15.000+08:00,N,1,0,0,-73.981445,40.780761,-73.974931,40.788042,1,0.7,5.0,0.0,0.5,0.0,0.0,0.0,5.5,CSH
yellow,CMT,2014-07-10T07:51:07.000+08:00,2014-07-10T07:57:56.000+08:00,N,1,0,0,-74.013998,40.713855,-74.012623,40.702553,1,1.1,6.5,0.0,0.5,0.0,0.0,0.0,7.0,CSH
yellow,CMT,2014-07-10T10:23:15.000+08:00,2014-07-10T10:30:20.000+08:00,N,1,0,0,-73.979968,40.749549,-73.98357,40.756798,1,0.7,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
yellow,CMT,2014-07-10T05:08:31.000+08:00,2014-07-10T05:23:07.000+08:00,N,1,0,0,-73.989069,40.758427,-73.917638,40.739391,1,5.0,17.0,0.5,0.5,0.0,0.0,0.0,18.0,CSH
yellow,CMT,2014-07-10T06:28:46.000+08:00,2014-07-10T06:32:26.000+08:00,N,1,0,0,-74.000193,40.738842,-74.008368,40.742964,1,0.5,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CSH
yellow,CMT,2014-07-10T08:27:33.000+08:00,2014-07-10T09:05:32.000+08:00,N,1,0,0,-74.007319,40.705925,-73.987457,40.760095,1,4.3,24.0,0.0,0.5,0.0,0.0,0.0,24.5,CSH
yellow,CMT,2014-07-10T10:02:43.000+08:00,2014-07-10T10:16:21.000+08:00,N,1,0,0,-73.967832,40.752837,-73.973223,40.763591,1,1.1,9.5,0.0,0.5,0.0,0.0,0.0,10.0,CSH
yellow,CMT,2014-07-10T08:12:14.000+08:00,2014-07-10T08:31:20.000+08:00,N,1,0,0,-74.000056,40.743002,-73.962065,40.810664,1,6.8,22.5,0.0,0.5,0.0,0.0,0.0,23.0,CSH
yellow,CMT,2014-07-10T10:19:36.000+08:00,2014-07-10T10:40:25.000+08:00,N,1,0,0,-73.98201,40.774332,-73.975839,40.759953,1,1.2,13.0,0.0,0.5,0.0,0.0,0.0,13.5,CSH
yellow,CMT,2014-07-10T11:59:21.000+08:00,2014-07-10T12:08:06.000+08:00,N,1,0,0,-73.989788,40.756352,-73.980414,40.764529,1,1.0,7.5,0.0,0.5,0.0,0.0,0.0,8.0,CSH
yellow,CMT,2014-07-10T10:28:16.000+08:00,2014-07-10T10:39:25.000+08:00,N,1,0,0,-73.964208,40.776292,-73.977099,40.762657,1,1.2,9.0,0.0,0.5,0.0,0.0,0.0,9.5,CSH
yellow,CMT,2014-07-10T09:54:44.000+08:00,2014-07-10T10:05:02.000+08:00,N,1,0,0,-73.96025,40.776162,-73.97788,40.789136,4,1.6,9.0,0.0,0.5,0.0,0.0,0.0,9.5,CSH
yellow,CMT,2014-07-10T05:37:23.000+08:00,2014-07-10T05:43:37.000+08:00,N,1,0,0,-73.947277,40.784212,-73.976383,40.75121,4,2.9,10.0,0.0,0.5,0.0,0.0,0.0,10.5,CSH
yellow,CMT,2014-07-10T04:56:09.000+08:00,2014-07-10T04:58:51.000+08:00,N,1,0,0,-74.001003,40.731606,-74.002412,40.725004,1,0.5,4.0,0.5,0.5,0.0,0.0,0.0,5.0,CSH
yellow,CMT,2014-07-10T04:44:09.000+08:00,2014-07-10T04:54:29.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,3.0,11.5,0.5,0.5,0.0,0.0,0.0,12.5,CSH
yellow,CMT,2014-07-10T14:20:32.000+08:00,2014-07-10T14:57:05.000+08:00,N,1,0,0,-73.776666,40.645232,-74.035367,40.615252,1,20.2,54.5,0.0,0.5,0.0,0.0,0.0,55.0,CSH
yellow,CMT,2014-07-10T11:31:06.000+08:00,2014-07-10T11:43:27.000+08:00,N,1,0,0,-73.953488,40.782826,-73.970192,40.764926,1,1.6,10.0,0.0,0.5,0.0,0.0,0.0,10.5,CSH
yellow,CMT,2014-07-10T10:52:59.000+08:00,2014-07-10T10:57:51.000+08:00,N,1,0,0,-73.970008,40.785917,-73.955692,40.78239,1,1.0,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
yellow,CMT,2014-07-10T03:54:57.000+08:00,2014-07-10T03:57:31.000+08:00,N,1,0,0,-73.990863,40.760722,-73.996093,40.759172,1,0.3,4.0,0.5,0.5,0.0,0.0,0.0,5.0,CSH
yellow,CMT,2014-07-10T06:04:30.000+08:00,2014-07-10T06:06:22.000+08:00,N,1,0,0,-73.978301,40.745878,-73.978558,40.741072,2,0.4,3.5,0.0,0.5,0.0,0.0,0.0,4.0,CSH
yellow,CMT,2014-07-10T09:20:22.000+08:00,2014-07-10T09:45:11.000+08:00,N,1,0,0,-73.99362,40.748769,-74.009371,40.709993,1,4.6,19.5,0.0,0.5,0.0,0.0,0.0,20.0,CSH
yellow,CMT,2014-07-10T06:53:11.000+08:00,2014-07-10T07:00:28.000+08:00,N,1,0,0,-73.975778,40.781848,-73.96815,40.762335,1,1.9,8.0,0.0,0.5,0.0,0.0,0.0,8.5,CSH
yellow,CMT,2014-07-10T07:18:49.000+08:00,2014-07-10T07:28:12.000+08:00,N,1,0,0,-73.962636,40.763207,-73.985642,40.741479,1,2.2,9.0,0.0,0.5,0.0,0.0,0.0,9.5,CSH
yellow,CMT,2014-07-10T08:39:03.000+08:00,2014-07-10T08:48:14.000+08:00,N,1,0,0,-73.970357,40.755434,-73.955892,40.764003,1,1.4,8.0,0.0,0.5,0.0,0.0,0.0,8.5,CSH
yellow,CMT,2014-07-10T06:39:34.000+08:00,2014-07-10T06:47:10.000+08:00,N,1,0,0,-73.993674,40.736132,-74.003531,40.755549,1,2.0,8.5,0.0,0.5,0.0,0.0,0.0,9.0,CSH
yellow,CMT,2014-07-10T12:05:32.000+08:00,2014-07-10T12:24:08.000+08:00,N,1,0,0,-73.988945,40.691885,-73.955706,40.680998,1,2.5,14.0,0.0,0.5,0.0,0.0,0.0,14.5,CSH
yellow,CMT,2014-07-10T06:41:46.000+08:00,2014-07-10T06:43:26.000+08:00,N,1,0,0,-73.982299,40.748335,-73.975408,40.756262,1,0.7,4.0,0.0,0.5,0.0,0.0,0.0,4.5,CSH
yellow,CMT,2014-07-10T05:16:10.000+08:00,2014-07-10T05:40:28.000+08:00,N,1,0,0,-74.004639,40.71651,-74.00753,40.575737,1,14.9,41.0,0.5,0.5,0.0,0.0,0.0,42.0,CSH
yellow,CMT,2014-07-10T03:59:38.000+08:00,2014-07-10T03:59:49.000+08:00,N,1,0,0,-73.980456,40.683277,-73.980446,40.68329,1,0.0,2.5,0.5,0.5,0.0,0.0,0.0,3.5,NOC
yellow,CMT,2014-07-10T08:02:34.000+08:00,2014-07-10T08:21:16.000+08:00,N,1,0,0,-74.003205,40.708237,-73.981885,40.757782,1,5.2,19.0,0.0,0.5,0.0,0.0,0.0,19.5,CSH
yellow,CMT,2014-07-10T12:20:01.000+08:00,2014-07-10T12:50:00.000+08:00,N,1,0,0,-73.870878,40.773556,-73.976926,40.656547,4,14.1,39.5,0.0,0.5,0.0,0.0,0.0,40.0,CSH
yellow,CMT,2014-07-10T08:38:46.000+08:00,2014-07-10T09:08:06.000+08:00,N,1,0,0,-74.004041,40.748259,-73.971745,40.765248,1,2.9,18.5,0.0,0.5,0.0,0.0,0.0,19.0,CSH
yellow,CMT,2014-07-10T04:32:09.000+08:00,2014-07-10T04:46:39.000+08:00,N,1,0,0,-73.992702,40.74288,-73.954647,40.824643,1,7.4,22.0,0.5,0.5,0.0,0.0,0.0,23.0,CSH
yellow,CMT,2014-07-10T04:23:37.000+08:00,2014-07-10T04:41:49.000+08:00,N,1,0,0,-74.011432,40.702942,-73.90867,40.706526,1,6.6,21.0,0.5,0.5,0.0,0.0,0.0,22.0,CSH
yellow,CMT,2014-07-10T11:35:14.000+08:00,2014-07-10T11:45:08.000+08:00,N,1,0,0,-73.973316,40.746989,-73.985024,40.723965,1,2.7,11.0,0.0,0.5,0.0,0.0,0.0,11.5,CSH
