taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,CMT,2014-08-16T14:58:49.000+08:00,2014-08-16T15:15:59.000+08:00,N,1,0,0,-73.946537,40.776813,-73.976193,40.755625,1,2.7,14.0,0.0,0.5,0.0,0.0,0.0,14.5,CSH
yellow,CMT,2014-08-16T08:10:48.000+08:00,2014-08-16T08:58:16.000+08:00,Y,1,0,0,-73.776857,40.645099,-73.916249,40.837357,3,20.4,58.5,0.0,0.5,0.0,5.33,0.0,64.33,CSH
yellow,CMT,2014-08-16T09:44:07.000+08:00,2014-08-16T09:54:37.000+08:00,N,1,0,0,-73.986585,40.725848,-73.977157,40.751961,1,2.1,9.5,0.0,0.5,0.0,0.0,0.0,10.0,CSH
yellow,CMT,2014-08-16T10:46:13.000+08:00,2014-08-16T10:51:25.000+08:00,N,1,0,0,-73.97629,40.765231,-73.961485,40.777889,1,1.3,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
yellow,CMT,2014-08-16T09:27:23.000+08:00,2014-08-16T09:39:37.000+08:00,Y,1,0,0,-73.995248,40.754646,-73.995903,40.769201,2,1.7,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
yellow,CMT,2014-08-16T14:14:16.000+08:00,2014-08-16T14:25:33.000+08:00,N,1,0,0,-73.991535,40.759863,-74.005722,40.737558,2,1.7,10.0,0.0,0.5,0.0,0.0,0.0,10.5,CSH
yellow,CMT,2014-08-16T15:55:16.000+08:00,2014-08-16T16:00:10.000+08:00,N,1,0,0,-73.972307,40.794076,-73.963865,40.807858,1,1.0,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
yellow,CMT,2014-08-16T14:08:29.000+08:00,2014-08-16T14:32:03.000+08:00,N,1,0,0,-73.967338,40.766009,-73.872972,40.774487,1,9.2,28.5,0.0,0.5,0.0,0.0,0.0,29.0,CSH
yellow,CMT,2014-08-16T11:11:21.000+08:00,2014-08-16T11:23:48.000+08:00,N,1,0,0,-73.973775,40.794591,-73.970561,40.768086,1,2.6,11.5,0.0,0.5,0.0,0.0,0.0,12.0,CSH
yellow,CMT,2014-08-16T07:44:56.000+08:00,2014-08-16T07:49:26.000+08:00,N,1,0,0,-73.98636,40.737913,-73.977117,40.751126,1,1.4,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
