taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2014-09-10T12:19:00.000+08:00,2014-09-10T12:39:00.000+08:00,"",1,0,0,-73.96227,40.779057,-73.976247,40.759452,2,1.53,13.5,0.0,0.5,0.0,0.0,0.0,14.0,CSH
yellow,VTS,2014-09-10T12:33:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.97403,40.762792,-73.978342,40.756787,1,0.5,6.0,0.0,0.5,1.2,0.0,0.0,7.7,UNK
yellow,VTS,2014-09-10T12:31:00.000+08:00,2014-09-10T12:39:00.000+08:00,"",1,0,0,-73.98052,40.738287,-73.994565,40.729317,5,1.25,7.0,0.0,0.5,0.0,0.0,0.0,7.5,CSH
yellow,VTS,2014-09-10T12:33:00.000+08:00,2014-09-10T12:42:00.000+08:00,"",1,0,0,-73.97072,40.76477,-73.96461,40.75793,1,0.87,6.5,0.0,0.5,1.3,0.0,0.0,8.3,CRD
yellow,VTS,2014-09-10T12:30:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.97807,40.73749,-73.96232,40.75922,6,1.7,9.5,0.0,0.5,2.38,0.0,0.0,12.38,CRD
yellow,VTS,2014-09-10T12:27:00.000+08:00,2014-09-10T12:38:00.000+08:00,"",1,0,0,-73.96113,40.774877,-73.972142,40.760317,1,1.2,8.5,0.0,0.5,2.12,0.0,0.0,11.12,CRD
yellow,VTS,2014-09-10T12:37:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.992985,40.75804,-73.989607,40.76543,5,0.77,5.0,0.0,0.5,1.0,0.0,0.0,6.5,CRD
yellow,VTS,2014-09-10T12:40:00.000+08:00,2014-09-10T12:44:00.000+08:00,"",1,0,0,-74.00035,40.737895,-74.007353,40.74095,1,0.45,4.5,0.0,0.5,0.75,0.0,0.0,5.75,CRD
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:44:00.000+08:00,"",1,0,0,-73.981312,40.763527,-73.989945,40.752332,2,0.88,8.5,0.0,0.5,1.7,0.0,0.0,10.7,CRD
yellow,VTS,2014-09-10T12:40:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.98137,40.78107,-73.98099,40.78684,1,0.48,4.5,0.0,0.5,0.0,0.0,0.0,5.0,CSH
yellow,VTS,2014-09-10T12:45:00.000+08:00,2014-09-10T12:54:00.000+08:00,"",1,0,0,-73.991527,40.738517,-74.006628,40.741212,1,1.02,7.5,0.0,0.5,1.88,0.0,0.0,9.88,CRD
yellow,VTS,2014-09-10T12:36:00.000+08:00,2014-09-10T12:48:00.000+08:00,"",1,0,0,-73.975172,40.75451,-73.978533,40.772527,1,1.54,10.0,0.0,0.5,2.0,0.0,0.0,12.5,CRD
yellow,VTS,2014-09-10T12:35:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.99637,40.729802,-73.99287,40.738062,1,1.09,6.5,0.0,0.5,1.0,0.0,0.0,8.0,CRD
yellow,VTS,2014-09-10T11:35:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.97151,40.797575,-73.97152,40.797482,1,9.25,45.0,0.0,0.5,5.0,0.0,0.0,50.5,CRD
yellow,VTS,2014-09-10T12:37:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.953822,40.775192,-73.954977,40.783012,1,0.9,6.0,0.0,0.5,0.0,0.0,0.0,6.5,CSH
yellow,VTS,2014-09-10T12:38:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.98183,40.7686,-73.97761,40.76287,1,0.54,5.5,0.0,0.5,1.38,0.0,0.0,7.38,CRD
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.96921,40.763507,-73.961577,40.777085,1,1.11,7.5,0.0,0.5,0.0,0.0,0.0,8.0,CSH
yellow,VTS,2014-09-10T12:20:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.987645,40.769637,-73.970895,40.752332,1,1.96,15.5,0.0,0.5,3.88,0.0,0.0,19.88,CRD
yellow,VTS,2014-09-10T12:38:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.980742,40.753722,-73.992307,40.737925,1,1.25,6.5,0.0,0.5,1.62,0.0,0.0,8.62,CRD
yellow,VTS,2014-09-10T12:27:00.000+08:00,2014-09-10T12:47:00.000+08:00,"",1,0,0,-73.98635,40.740098,-73.968198,40.765238,1,2.02,13.5,0.0,0.5,2.7,0.0,0.0,16.7,CRD
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.98807,40.749312,-73.991687,40.738667,2,1.3,9.0,0.0,0.5,1.8,0.0,0.0,11.3,CRD
yellow,VTS,2014-09-10T12:38:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.971272,40.792677,-73.979225,40.786707,1,0.96,6.5,0.0,0.5,1.3,0.0,0.0,8.3,CRD
yellow,VTS,2014-09-10T12:33:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.993095,40.729912,-73.992907,40.73663,1,1.27,8.0,0.0,0.5,0.0,0.0,0.0,8.5,CSH
yellow,VTS,2014-09-10T12:28:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.985048,40.74716,-73.99854,40.757602,2,1.64,10.5,0.0,0.5,0.0,0.0,0.0,11.0,CSH
yellow,VTS,2014-09-10T12:23:00.000+08:00,2014-09-10T12:46:00.000+08:00,"",1,0,0,-73.93649,40.75936,0.0,0.0,1,1.85,13.0,0.0,0.5,1.5,0.0,0.0,15.0,CRD
yellow,VTS,2014-09-10T12:24:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.996295,40.738002,-73.982002,40.778052,1,3.49,16.0,0.0,0.5,3.2,0.0,0.0,19.7,CRD
yellow,VTS,2014-09-10T12:19:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-73.968955,40.754287,-73.983835,40.770707,2,2.41,15.0,0.0,0.5,3.0,0.0,0.0,18.5,CRD
yellow,VTS,2014-09-10T11:18:00.000+08:00,2014-09-10T12:39:00.000+08:00,"",2,0,0,-73.785553,40.650703,-73.980297,40.763628,1,19.28,52.0,0.0,0.5,0.0,5.33,0.0,57.83,CSH
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:42:00.000+08:00,"",1,0,0,-73.945102,40.782767,-73.953905,40.787452,1,0.71,7.5,0.0,0.5,2.25,0.0,0.0,10.25,CRD
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.974318,40.757277,-73.967352,40.763575,1,0.75,8.0,0.0,0.5,1.6,0.0,0.0,10.1,CRD
yellow,VTS,2014-09-10T12:32:00.000+08:00,2014-09-10T12:42:00.000+08:00,"",1,0,0,-73.96122,40.774867,-73.953838,40.76633,1,0.94,8.0,0.0,0.5,0.0,0.0,0.0,8.5,CSH
yellow,VTS,2014-09-10T12:37:00.000+08:00,2014-09-10T12:41:00.000+08:00,"",1,0,0,-74.009077,40.717655,-74.00768,40.730355,4,0.99,5.5,0.0,0.5,0.0,0.0,0.0,6.0,CSH
yellow,VTS,2014-09-10T12:37:00.000+08:00,2014-09-10T12:43:00.000+08:00,"",1,0,0,-73.976732,40.756462,-73.971235,40.76359,6,0.54,5.5,0.0,0.5,1.38,0.0,0.0,7.38,CRD
yellow,VTS,2014-09-10T12:14:00.000+08:00,2014-09-10T12:34:00.000+08:00,"",1,0,0,-73.980915,40.747315,-73.983875,40.757942,1,1.16,12.5,0.0,0.5,3.12,0.0,0.0,16.12,CRD
yellow,VTS,2014-09-22T17:56:00.000+08:00,2014-09-22T18:20:00.000+08:00,"",1,0,0,0.0,0.0,0.0,0.0,5,9.23,27.5,1.0,0.5,5.7,0.0,0.0,34.7,UNK
yellow,VTS,2014-09-10T12:23:00.000+08:00,2014-09-10T12:42:00.000+08:00,"",1,0,0,-73.982742,40.772122,-74.008227,40.737862,1,3.38,15.0,0.0,0.5,3.0,0.0,0.0,18.5,CRD
yellow,VTS,2014-09-10T12:36:00.000+08:00,2014-09-10T12:44:00.000+08:00,"",1,0,0,-73.97901,40.744497,-73.974992,40.751637,1,0.64,6.5,0.0,0.5,1.0,0.0,0.0,8.0,CRD
yellow,VTS,2014-09-10T12:01:00.000+08:00,2014-09-10T12:37:00.000+08:00,"",1,0,0,-73.99448,40.74549,-73.95725,40.70339,3,4.83,25.5,0.0,0.5,0.0,0.0,0.0,26.0,CSH
yellow,VTS,2014-09-10T12:33:00.000+08:00,2014-09-10T12:45:00.000+08:00,"",1,0,0,-73.98396,40.770407,-73.99517,40.749827,1,1.73,9.5,0.0,0.5,2.38,0.0,0.0,12.38,CRD
yellow,VTS,2014-09-10T12:24:00.000+08:00,2014-09-10T12:44:00.000+08:00,"",1,0,0,-74.009707,40.712492,-73.994962,40.762712,1,4.05,17.0,0.0,0.5,0.0,0.0,0.0,17.5,CSH
yellow,VTS,2014-09-10T12:35:00.000+08:00,2014-09-10T12:49:00.000+08:00,"",1,0,0,-73.979612,40.755167,-73.980455,40.744855,1,0.9,9.0,0.0,0.5,2.25,0.0,0.0,11.75,CRD
yellow,VTS,2014-09-19T09:38:00.000+08:00,2014-09-19T09:45:00.000+08:00,"",1,0,0,-73.975502,40.752823,-73.985688,40.75533,1,0.66,6.0,0.0,0.5,1.2,0.0,0.0,7.7,CRD
yellow,VTS,2014-09-19T09:43:00.000+08:00,2014-09-19T09:48:00.000+08:00,"",1,0,0,-74.001652,40.73572,-73.995093,40.739762,1,0.69,5.0,0.0,0.5,0.5,0.0,0.0,6.0,CRD
yellow,VTS,2014-09-18T07:27:00.000+08:00,2014-09-18T07:42:00.000+08:00,"",1,0,0,-73.993747,40.741735,-73.96388,40.773927,1,3.05,13.0,0.0,0.5,2.6,0.0,0.0,16.1,CRD
yellow,VTS,2014-09-17T09:02:00.000+08:00,2014-09-17T09:08:00.000+08:00,"",1,0,0,-73.968742,40.799047,-73.969285,40.788622,2,1.01,6.0,0.0,0.5,1.5,0.0,0.0,8.0,CRD
