taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2015-01-15T19:05:39.000+08:00,2015-01-15T19:23:42.000+08:00,N,1,0,0,-73.993896484375,40.7501106262207,-73.97478485107422,40.75061798095703,1,1.59,12.0,1.0,0.5,3.25,0.0,0.3,17.05,1
yellow,1,2015-01-10T20:33:38.000+08:00,2015-01-10T20:53:28.000+08:00,N,1,0,0,-74.00164794921875,40.7242431640625,-73.99441528320312,40.75910949707031,1,3.3,14.5,0.5,0.5,2.0,0.0,0.3,17.8,1
yellow,1,2015-01-10T20:33:38.000+08:00,2015-01-10T20:43:41.000+08:00,N,1,0,0,-73.96334075927734,40.80278778076172,-73.95182037353516,40.82441329956055,1,1.8,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T20:35:31.000+08:00,N,1,0,0,-74.00908660888672,40.71381759643555,-74.00432586669922,40.71998596191406,1,0.5,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T20:52:58.000+08:00,N,1,0,0,-73.97117614746094,40.762428283691406,-74.00418090820312,40.742652893066406,1,3.0,15.0,0.5,0.5,0.0,0.0,0.3,16.3,2
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T20:53:52.000+08:00,N,1,0,0,-73.87437438964844,40.7740478515625,-73.98697662353516,40.75819396972656,1,9.0,27.0,0.5,0.5,6.7,5.33,0.3,40.33,1
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T20:58:31.000+08:00,N,1,0,0,-73.9832763671875,40.726009368896484,-73.99246978759766,40.7496337890625,1,2.2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,2
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T20:42:20.000+08:00,N,1,0,0,-74.0026626586914,40.7341423034668,-73.99501037597656,40.72632598876953,3,0.8,7.0,0.5,0.5,1.66,0.0,0.3,9.96,1
yellow,1,2015-01-10T20:33:39.000+08:00,2015-01-10T21:11:35.000+08:00,N,2,0,0,-73.78304290771484,40.64435577392578,-73.98759460449219,40.75935745239258,3,18.2,52.0,0.0,0.5,0.0,5.33,0.3,58.13,2
yellow,1,2015-01-10T20:33:40.000+08:00,2015-01-10T20:40:44.000+08:00,N,1,0,0,-73.98558807373047,40.767948150634766,-73.98591613769531,40.75936508178711,2,0.9,6.5,0.5,0.5,1.55,0.0,0.3,9.35,1
yellow,1,2015-01-10T20:33:40.000+08:00,2015-01-10T20:41:39.000+08:00,N,1,0,0,-73.98861694335938,40.72310256958008,-74.00439453125,40.72858428955078,1,0.9,7.0,0.5,0.5,1.66,0.0,0.3,9.96,1
yellow,1,2015-01-10T20:33:41.000+08:00,2015-01-10T20:43:26.000+08:00,N,1,0,0,-73.99378204345703,40.75141906738281,-73.9674072265625,40.75721740722656,1,1.1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,1
yellow,1,2015-01-10T20:33:41.000+08:00,2015-01-10T20:35:23.000+08:00,N,1,0,0,-74.00836181640625,40.704376220703125,-74.00977325439453,40.707725524902344,1,0.3,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2
yellow,1,2015-01-10T20:33:41.000+08:00,2015-01-10T21:03:04.000+08:00,N,1,0,0,-73.97394561767578,40.76044845581055,-73.99734497070312,40.73521041870117,1,3.1,19.0,0.5,0.5,3.0,0.0,0.3,23.3,1
yellow,1,2015-01-10T20:33:41.000+08:00,2015-01-10T20:39:23.000+08:00,N,1,0,0,-74.00672149658203,40.73177719116211,-73.9952163696289,40.73989486694336,1,1.1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2015-01-15T19:05:39.000+08:00,2015-01-15T19:32:00.000+08:00,N,1,0,0,-73.97642517089844,40.739810943603516,-73.98397827148438,40.75788879394531,1,2.38,16.5,1.0,0.5,4.38,0.0,0.3,22.68,1
yellow,2,2015-01-15T19:05:40.000+08:00,2015-01-15T19:21:00.000+08:00,N,1,0,0,-73.96870422363281,40.75424575805664,-73.95512390136719,40.78685760498047,5,2.83,12.5,1.0,0.5,0.0,0.0,0.3,14.3,2
yellow,2,2015-01-15T19:05:40.000+08:00,2015-01-15T19:28:18.000+08:00,N,1,0,0,-73.8630599975586,40.76958084106445,-73.95271301269531,40.78578186035156,5,8.33,26.0,1.0,0.5,8.08,5.33,0.3,41.21,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:20:36.000+08:00,N,1,0,0,-73.94554138183594,40.779422760009766,-73.98085021972656,40.78608322143555,1,2.37,11.5,1.0,0.5,0.0,0.0,0.3,13.3,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:20:22.000+08:00,N,1,0,0,-73.87445831298828,40.774009704589844,-73.95237731933594,40.718589782714844,2,7.13,21.5,1.0,0.5,4.5,0.0,0.3,27.8,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:31:00.000+08:00,N,1,0,0,-73.97660064697266,40.751895904541016,-73.9989242553711,40.714595794677734,1,3.6,17.5,1.0,0.5,0.0,0.0,0.3,19.3,2
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:10:22.000+08:00,N,1,0,0,-73.99495697021484,40.745079040527344,-73.99993896484375,40.734649658203125,1,0.89,5.5,1.0,0.5,1.62,0.0,0.3,8.92,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:10:55.000+08:00,N,1,0,0,-74.00093841552734,40.74706268310547,-74.0035629272461,40.735511779785156,1,0.96,5.5,1.0,0.5,1.3,0.0,0.3,8.6,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:12:36.000+08:00,N,1,0,0,-74.00277709960938,40.717891693115234,-74.00791931152344,40.704219818115234,2,1.25,6.5,1.0,0.5,1.5,0.0,0.3,9.8,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:22:11.000+08:00,N,1,0,0,-73.9974594116211,40.73636245727539,-73.9781723022461,40.76185607910156,5,2.11,11.5,1.0,0.5,2.5,0.0,0.3,15.8,1
yellow,2,2015-01-15T19:05:41.000+08:00,2015-01-15T19:14:05.000+08:00,N,1,0,0,-73.95227813720703,40.82399368286133,-73.95333862304688,40.81108856201172,5,1.15,7.5,1.0,0.5,1.7,0.0,0.3,11.0,1
yellow,2,2015-01-15T19:05:42.000+08:00,2015-01-15T19:16:18.000+08:00,N,1,0,0,-73.99112701416016,40.75008010864258,-73.98860931396484,40.73488998413086,1,1.53,9.0,1.0,0.5,0.0,0.0,0.3,10.8,2
yellow,2,2015-01-15T19:05:42.000+08:00,2015-01-15T19:49:07.000+08:00,N,2,0,0,-73.78657531738281,40.644126892089844,-73.98560333251953,40.7435302734375,1,18.06,52.0,0.0,0.5,6.0,5.33,0.3,64.13,1
yellow,2,2015-01-15T19:05:42.000+08:00,2015-01-15T19:18:33.000+08:00,N,1,0,0,-73.99366760253906,40.74144744873047,-73.99451446533203,40.757720947265625,1,1.76,10.0,1.0,0.5,2.36,0.0,0.3,14.16,1
yellow,2,2015-01-15T19:05:42.000+08:00,2015-01-15T19:21:40.000+08:00,N,1,0,0,-73.98529052734375,40.744083404541016,-74.00907897949219,40.704689025878906,6,5.19,17.5,1.0,0.5,3.7,0.0,0.3,23.0,1
yellow,2,2015-01-15T19:05:42.000+08:00,2015-01-15T19:14:23.000+08:00,N,1,0,0,-73.96977233886719,40.78561019897461,-73.9507064819336,40.774681091308594,1,1.38,7.5,1.0,0.5,1.7,0.0,0.3,11.0,1
yellow,2,2015-01-15T19:05:43.000+08:00,2015-01-15T19:05:44.000+08:00,N,5,0,0,0.0,0.0,0.0,0.0,2,0.01,60.0,0.0,0.0,0.0,0.0,0.3,60.3,1
yellow,2,2015-01-15T19:05:43.000+08:00,2015-01-15T19:17:43.000+08:00,N,1,0,0,-73.98509216308594,40.756988525390625,-73.98487854003906,40.7801513671875,2,2.23,10.0,1.0,0.5,2.2,0.0,0.3,14.0,1
yellow,2,2015-01-15T19:05:43.000+08:00,2015-01-15T19:15:17.000+08:00,N,1,0,0,-73.9661636352539,40.76216125488281,-73.9500503540039,40.77625274658203,1,1.56,8.0,1.0,0.5,1.8,0.0,0.3,11.6,1
yellow,2,2015-01-15T19:05:43.000+08:00,2015-01-15T19:15:09.000+08:00,N,1,0,0,-73.97842407226562,40.74620819091797,-73.98021697998047,40.72854232788086,5,1.57,8.0,1.0,0.5,1.8,0.0,0.3,11.6,1
yellow,2,2015-01-15T19:05:44.000+08:00,2015-01-15T19:17:44.000+08:00,N,1,0,0,-73.99835205078125,40.72003173828125,-73.95582580566406,40.715599060058594,1,2.92,12.5,1.0,0.5,2.7,0.0,0.3,17.0,1
yellow,1,2015-01-10T19:12:21.000+08:00,2015-01-10T19:31:33.000+08:00,N,1,0,0,-74.0030517578125,40.727718353271484,-73.97603607177734,40.76396942138672,1,2.9,13.5,0.0,0.5,0.0,0.0,0.3,14.3,2
yellow,1,2015-01-10T19:12:21.000+08:00,2015-01-10T19:46:08.000+08:00,N,2,0,0,-73.97709655761719,40.7631721496582,-73.79071044921875,40.6442756652832,1,16.4,52.0,0.0,0.5,10.0,0.0,0.3,62.8,1
yellow,2,2015-01-25T00:13:04.000+08:00,2015-01-25T00:13:18.000+08:00,N,1,0,0,-73.99481201171875,40.72774124145508,-73.99694061279297,40.72555923461914,1,0.02,2.5,0.5,0.5,0.0,0.0,0.3,3.8,2
yellow,2,2015-01-25T00:13:05.000+08:00,2015-01-25T00:29:11.000+08:00,N,1,0,0,-73.9859390258789,40.72676467895508,-74.00654602050781,40.73786544799805,1,1.73,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2
yellow,2,2015-01-25T00:13:05.000+08:00,2015-01-25T00:25:43.000+08:00,N,1,0,0,-73.97998809814453,40.7432746887207,-74.00808715820312,40.73905563354492,1,2.25,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1
yellow,2,2015-01-25T00:13:05.000+08:00,2015-01-25T00:25:50.000+08:00,N,1,0,0,-73.98896789550781,40.7216796875,-73.97872924804688,40.76247024536133,1,3.53,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:23:26.000+08:00,N,1,0,0,-73.94868469238281,40.7823600769043,-73.95708465576172,40.8019905090332,1,2.01,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:24:51.000+08:00,N,1,0,0,-73.94551086425781,40.77372360229492,-73.98743438720703,40.755706787109375,1,3.37,12.5,0.5,0.5,0.0,0.0,0.3,13.8,1
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:22:20.000+08:00,N,1,0,0,-73.93394470214844,40.76285171508789,-73.91702270507812,40.77094650268555,1,1.35,8.0,0.5,0.5,0.7,0.0,0.3,10.0,1
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:18:30.000+08:00,N,1,0,0,-73.98302459716797,40.767818450927734,-73.96830749511719,40.76314926147461,1,1.18,6.0,0.5,0.5,1.8,0.0,0.3,9.1,1
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:21:15.000+08:00,N,1,0,0,-73.99095916748047,40.73482131958008,-73.99073028564453,40.75537109375,5,2.05,8.5,0.5,0.5,1.96,0.0,0.3,11.76,1
yellow,2,2015-01-25T00:13:06.000+08:00,2015-01-25T00:34:32.000+08:00,N,1,0,0,-73.99163818359375,40.727088928222656,-73.95171356201172,40.714778900146484,1,3.05,16.5,0.5,0.5,5.34,0.0,0.3,23.14,1
yellow,2,2015-01-25T00:13:07.000+08:00,2015-01-25T00:27:08.000+08:00,N,1,0,0,-73.99263763427734,40.723793029785156,-73.96405029296875,40.756866455078125,4,3.06,12.5,0.5,0.5,2.76,0.0,0.3,16.56,1
yellow,2,2015-01-25T00:13:07.000+08:00,2015-01-25T00:15:39.000+08:00,N,1,0,0,-73.98616027832031,40.75994873046875,-73.98360443115234,40.763938903808594,1,0.49,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
yellow,2,2015-01-25T00:13:07.000+08:00,2015-01-25T00:24:59.000+08:00,N,1,0,0,-73.94847869873047,40.78247833251953,-73.9715347290039,40.80033874511719,1,2.6,11.0,0.5,0.5,1.5,0.0,0.3,13.8,1
yellow,2,2015-01-25T00:13:07.000+08:00,2015-01-25T00:41:19.000+08:00,N,1,0,0,-74.00163269042969,40.740936279296875,-73.91980743408203,40.743080139160156,1,6.17,24.0,0.5,0.5,2.7,0.0,0.3,28.0,1
yellow,2,2015-01-25T00:13:08.000+08:00,2015-01-25T00:34:57.000+08:00,N,1,0,0,-73.975341796875,40.789878845214844,-74.00504302978516,40.74119186401367,1,3.72,16.5,0.5,0.5,3.56,0.0,0.3,21.36,1
yellow,2,2015-01-25T00:13:08.000+08:00,2015-01-25T00:18:57.000+08:00,N,1,0,0,-73.9798812866211,40.746246337890625,-73.98766326904297,40.73267364501953,1,1.1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
