taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2015-02-08T11:33:46.000+08:00,2015-02-08T11:37:45.000+08:00,N,1,0,0,-73.94990539550781,40.717437744140625,-73.95001220703125,40.7240104675293,1,0.56,4.5,0.0,0.5,1.06,0.0,0.3,6.36,1
yellow,2,2015-02-28T23:52:39.000+08:00,2015-03-01T00:00:03.000+08:00,N,1,0,0,-73.9834976196289,40.756103515625,-73.98954010009766,40.767860412597656,1,1.24,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1
yellow,2,2015-02-28T23:52:39.000+08:00,2015-03-01T00:03:25.000+08:00,N,1,0,0,-74.00318908691406,40.73305892944336,-73.99236297607422,40.7150993347168,1,2.07,10.0,0.5,0.5,2.26,0.0,0.3,13.56,1
yellow,2,2015-02-28T23:52:39.000+08:00,2015-03-01T00:04:58.000+08:00,N,1,0,0,-73.95854949951172,40.76047897338867,-73.979248046875,40.73666000366211,1,2.29,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1
yellow,2,2015-02-28T23:52:39.000+08:00,2015-03-01T00:00:16.000+08:00,N,1,0,0,-73.97405242919922,40.75133514404297,-73.9817886352539,40.76314926147461,1,1.36,7.0,0.5,0.5,1.0,0.0,0.3,9.3,1
yellow,2,2015-02-28T23:52:40.000+08:00,2015-02-28T23:57:53.000+08:00,N,1,0,0,-73.98101043701172,40.72975158691406,-73.97582244873047,40.74066162109375,1,0.96,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1
yellow,2,2015-02-28T23:52:40.000+08:00,2015-03-01T00:02:30.000+08:00,N,1,0,0,-73.9912109375,40.74057388305664,-73.98234558105469,40.768836975097656,1,2.58,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2
yellow,2,2015-02-28T23:52:40.000+08:00,2015-02-28T23:58:46.000+08:00,N,1,0,0,-73.9806137084961,40.73386001586914,-73.99263763427734,40.744529724121094,6,1.21,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1
yellow,2,2015-02-28T23:52:41.000+08:00,2015-03-01T00:07:55.000+08:00,N,1,0,0,-73.94686126708984,40.785118103027344,-73.9869155883789,40.73244857788086,1,4.95,17.0,0.5,0.5,0.0,0.0,0.3,18.3,2
yellow,2,2015-02-28T23:52:41.000+08:00,2015-03-01T00:00:32.000+08:00,N,1,0,0,-73.98385620117188,40.72966003417969,-73.96293640136719,40.758060455322266,2,2.32,9.0,0.5,0.5,1.0,0.0,0.3,11.3,1
