taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,1,2015-03-06T08:02:31.000+08:00,2015-03-06T08:09:55.000+08:00,N,1,0,0,-73.9902114868164,40.75096893310547,-73.9878921508789,40.738037109375,1,1.2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2
yellow,1,2015-03-06T08:02:31.000+08:00,2015-03-06T08:15:23.000+08:00,N,1,0,0,-73.93518829345703,40.80072021484375,-73.95255279541016,40.76537322998047,1,3.2,11.5,0.0,0.5,0.0,0.0,0.3,12.3,2
yellow,1,2015-03-06T08:02:31.000+08:00,2015-03-06T08:12:27.000+08:00,N,1,0,0,-73.96375274658203,40.76793670654297,-73.95694732666016,40.780269622802734,1,1.1,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2
yellow,1,2015-03-06T08:02:31.000+08:00,2015-03-06T08:09:09.000+08:00,N,1,0,0,-73.99717712402344,40.74216842651367,-74.00806427001953,40.739280700683594,1,0.8,6.0,0.0,0.5,1.0,0.0,0.3,7.8,1
yellow,1,2015-03-06T08:02:32.000+08:00,2015-03-06T08:19:37.000+08:00,N,1,0,0,-74.00684356689453,40.73026657104492,-73.97686004638672,40.75067138671875,1,2.7,13.0,0.0,0.5,2.75,0.0,0.3,16.55,1
yellow,1,2015-03-06T08:02:32.000+08:00,2015-03-06T08:14:35.000+08:00,N,1,0,0,-73.95459747314453,40.7656135559082,-73.97651672363281,40.7396125793457,1,2.9,12.5,0.0,0.5,2.65,0.0,0.3,15.95,1
yellow,1,2015-03-06T08:02:33.000+08:00,2015-03-06T08:16:40.000+08:00,N,1,0,0,-73.95404052734375,40.764015197753906,-74.01260375976562,40.70183563232422,1,6.1,19.0,0.0,0.5,0.0,0.0,0.3,19.8,1
yellow,1,2015-03-06T08:02:34.000+08:00,2015-03-06T08:16:16.000+08:00,N,1,0,0,-73.95919036865234,40.81494903564453,-73.97586822509766,40.786441802978516,3,2.2,11.0,0.0,0.5,2.36,0.0,0.3,14.16,1
yellow,1,2015-03-06T08:02:34.000+08:00,2015-03-06T08:14:45.000+08:00,N,1,0,0,-73.88959503173828,40.747310638427734,-73.86195373535156,40.768550872802734,1,3.8,14.0,0.0,0.5,0.0,0.0,0.3,14.8,2
yellow,1,2015-03-06T08:02:34.000+08:00,2015-03-06T08:22:44.000+08:00,N,1,0,0,-73.98035430908203,40.770206451416016,-73.98978424072266,40.74138641357422,1,2.1,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:05:44.000+08:00,N,1,0,0,-73.95974731445312,40.77366638183594,-73.96137237548828,40.76884078979492,1,0.5,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:02:35.000+08:00,N,1,0,0,-73.9678955078125,40.78736877441406,0.0,0.0,1,0.0,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:04:14.000+08:00,N,1,0,0,-73.99166870117188,40.751644134521484,-73.99799346923828,40.75410461425781,1,0.4,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:13:17.000+08:00,N,1,0,0,-73.9903335571289,40.73180389404297,-74.00979614257812,40.72200012207031,1,2.0,9.0,0.0,0.5,2.0,0.0,0.3,11.8,1
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:06:17.000+08:00,N,1,0,0,-73.976806640625,40.755733489990234,-73.97911834716797,40.76156234741211,1,0.5,4.5,0.0,0.5,1.06,0.0,0.3,6.36,1
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:08:24.000+08:00,N,1,0,0,-73.9985580444336,40.760711669921875,-73.99789428710938,40.75319290161133,1,0.8,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2
yellow,1,2015-03-06T08:02:35.000+08:00,2015-03-06T08:11:43.000+08:00,N,1,0,0,-73.94579315185547,40.77809524536133,-73.95407104492188,40.76402282714844,1,1.2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,2
yellow,1,2015-03-06T08:02:36.000+08:00,2015-03-06T08:08:20.000+08:00,N,1,0,0,-73.99154663085938,40.770076751708984,-73.99164581298828,40.7596435546875,1,1.0,6.0,0.0,0.5,1.0,0.0,0.3,7.8,1
yellow,1,2015-03-06T08:02:36.000+08:00,2015-03-06T08:05:36.000+08:00,N,1,0,0,-73.97257232666016,40.79105758666992,-73.96308898925781,40.803932189941406,1,1.0,5.0,0.0,0.5,0.0,0.0,0.3,5.8,2
yellow,1,2015-03-06T08:02:36.000+08:00,2015-03-06T09:09:24.000+08:00,N,1,0,0,-73.77667236328125,40.64530944824219,-73.88402557373047,40.748268127441406,1,13.8,50.0,0.0,0.5,0.0,0.0,0.3,50.8,2
yellow,1,2015-03-06T08:02:36.000+08:00,2015-03-06T08:18:41.000+08:00,N,1,0,0,-73.94120025634766,40.83076858520508,-73.96512603759766,40.806060791015625,1,3.4,12.5,0.0,0.5,2.7,0.0,0.3,16.0,1
yellow,1,2015-03-06T08:02:37.000+08:00,2015-03-06T08:08:22.000+08:00,N,1,0,0,-73.9679183959961,40.765220642089844,-73.97377014160156,40.756343841552734,1,0.6,5.5,0.0,0.5,1.25,0.0,0.3,7.55,1
yellow,1,2015-03-21T03:42:33.000+08:00,2015-03-21T03:51:37.000+08:00,N,1,0,0,-73.99871826171875,40.724544525146484,-74.00684356689453,40.70819854736328,1,1.4,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
