taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2015-04-27T15:16:29.000+08:00,2015-04-27T15:26:14.000+08:00,N,1,0,0,-73.9888687133789,40.75839614868164,-73.98477935791016,40.74827194213867,1,1.05,7.5,0.0,0.5,0.0,0.0,0.3,8.3,2
yellow,2,2015-04-27T15:16:29.000+08:00,2015-04-27T15:25:03.000+08:00,N,1,0,0,-74.0085678100586,40.7044792175293,-73.978271484375,40.720542907714844,1,2.67,10.5,0.0,0.5,1.0,0.0,0.3,12.3,1
yellow,2,2015-04-27T15:16:29.000+08:00,2015-04-27T15:31:48.000+08:00,N,1,0,0,-73.9941177368164,40.756431579589844,-73.9932632446289,40.72444152832031,1,2.89,12.5,0.0,0.5,3.32,0.0,0.3,16.62,1
yellow,2,2015-04-27T15:16:29.000+08:00,2015-04-27T15:25:26.000+08:00,N,1,0,0,-73.9743881225586,40.76166534423828,-73.98554229736328,40.756168365478516,1,0.94,7.5,0.0,0.5,0.0,0.0,0.3,8.3,2
yellow,2,2015-04-27T15:16:29.000+08:00,2015-04-27T15:45:38.000+08:00,N,1,0,0,-73.97218322753906,40.762725830078125,-73.9908447265625,40.75067138671875,1,2.3,17.5,0.0,0.5,0.0,0.0,0.3,18.3,2
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:34:43.000+08:00,N,1,0,0,-73.97209167480469,40.7631721496582,-73.9489517211914,40.79444885253906,5,2.5,13.0,0.0,0.5,3.0,0.0,0.3,16.8,1
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:53:44.000+08:00,N,1,0,0,-73.8638687133789,40.770084381103516,-73.98657989501953,40.75830841064453,1,9.57,34.0,0.0,0.5,10.08,5.54,0.3,50.42,1
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:39:29.000+08:00,N,1,0,0,-73.87097930908203,40.77376937866211,-73.97261047363281,40.749820709228516,1,8.39,26.0,0.0,0.5,5.0,5.54,0.3,37.34,1
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:26:35.000+08:00,N,1,0,0,-74.00285339355469,40.7604866027832,-73.9854736328125,40.75910568237305,6,1.27,8.0,0.0,0.5,1.76,0.0,0.3,10.56,1
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:30:38.000+08:00,N,1,0,0,-73.9803466796875,40.75297164916992,-73.9869384765625,40.764251708984375,3,1.41,10.0,0.0,0.5,0.0,0.0,0.3,10.8,2
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:23:22.000+08:00,N,1,0,0,-73.95357513427734,40.78535079956055,-73.9612045288086,40.774879455566406,1,0.85,6.0,0.0,0.5,0.0,0.0,0.3,6.8,2
yellow,2,2015-04-27T15:16:30.000+08:00,2015-04-27T15:20:30.000+08:00,N,1,0,0,-74.00153350830078,40.72263717651367,-73.99851989746094,40.738121032714844,1,1.35,6.0,0.0,0.5,1.36,0.0,0.3,8.16,1
yellow,2,2015-04-27T15:16:31.000+08:00,2015-04-27T16:06:30.000+08:00,N,2,0,0,-73.78202819824219,40.64458084106445,-73.99298095703125,40.752418518066406,3,17.76,52.0,0.0,0.5,10.56,0.0,0.3,63.36,1
yellow,2,2015-04-27T15:16:31.000+08:00,2015-04-27T16:02:45.000+08:00,N,1,0,0,-73.86287689208984,40.76910400390625,-73.99565887451172,40.759254455566406,1,12.69,42.5,0.0,0.5,0.02,5.54,0.3,48.86,1
yellow,2,2015-04-27T15:16:31.000+08:00,2015-04-27T15:38:50.000+08:00,N,1,0,0,-74.01441955566406,40.70389175415039,-73.9861068725586,40.75634002685547,2,6.17,22.5,0.0,0.5,0.0,0.0,0.3,23.3,2
yellow,2,2015-04-27T15:16:32.000+08:00,2015-04-27T15:54:46.000+08:00,N,2,0,0,-73.7863998413086,40.641719818115234,-73.9642562866211,40.75904846191406,1,17.66,52.0,0.0,0.5,14.58,5.54,0.3,72.92,1
yellow,2,2015-04-27T15:16:32.000+08:00,2015-04-27T16:05:01.000+08:00,N,2,0,0,-73.97099304199219,40.75870132446289,-73.78340911865234,40.643768310546875,2,17.26,52.0,0.0,0.5,8.0,5.54,0.3,66.34,1
yellow,2,2015-04-27T15:16:33.000+08:00,2015-04-27T15:29:12.000+08:00,N,1,0,0,-73.97191619873047,40.76543045043945,-73.97525787353516,40.78015899658203,5,1.57,9.5,0.0,0.5,1.0,0.0,0.3,11.3,1
yellow,2,2015-04-27T15:16:33.000+08:00,2015-04-27T15:19:51.000+08:00,N,1,0,0,-73.98216247558594,40.767730712890625,-73.97756958007812,40.76449966430664,5,0.35,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2
yellow,2,2015-04-27T15:16:33.000+08:00,2015-04-27T15:20:20.000+08:00,N,1,0,0,-73.9747085571289,40.787635803222656,-73.98180389404297,40.779502868652344,1,0.92,5.5,0.0,0.5,1.26,0.0,0.3,7.56,1
yellow,2,2015-04-27T15:16:34.000+08:00,2015-04-27T15:20:58.000+08:00,N,1,0,0,-73.96610260009766,40.76210021972656,-73.95887756347656,40.768341064453125,1,0.76,5.0,0.0,0.5,1.16,0.0,0.3,6.96,1
