taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,1,2015-05-05T23:37:40.000+08:00,2015-05-05T23:45:41.000+08:00,N,1,0,0,-74.00167846679688,40.73931121826172,-73.9782943725586,40.75210952758789,1,2.0,8.5,0.5,0.5,0.0,0.0,0.3,9.8,2
yellow,2,2015-05-05T23:37:40.000+08:00,2015-05-05T23:40:36.000+08:00,N,1,0,0,-73.93083953857422,40.744789123535156,-73.93751525878906,40.749359130859375,1,0.54,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
yellow,2,2015-05-05T23:37:40.000+08:00,2015-05-05T23:44:03.000+08:00,N,1,0,0,-74.00141143798828,40.73108673095703,-73.98167419433594,40.75828170776367,3,2.1,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,2,2015-05-05T23:37:40.000+08:00,2015-05-06T00:14:01.000+08:00,N,1,0,0,-73.97067260742188,40.75856018066406,-73.93376159667969,40.6705436706543,6,10.93,36.0,0.5,0.5,9.32,0.0,0.3,46.62,1
yellow,2,2015-05-05T23:37:40.000+08:00,2015-05-05T23:46:03.000+08:00,N,1,0,0,-73.98673248291016,40.75587844848633,-73.99095916748047,40.74998092651367,5,0.93,7.0,0.5,0.5,2.49,0.0,0.3,10.79,1
yellow,1,2015-05-05T23:37:41.000+08:00,2015-05-05T23:50:34.000+08:00,N,1,0,0,-73.98932647705078,40.75659942626953,-73.97958374023438,40.7353630065918,3,2.4,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2
yellow,1,2015-05-05T23:37:42.000+08:00,2015-05-05T23:41:51.000+08:00,N,1,0,0,-73.9555435180664,40.7767219543457,-73.94133758544922,40.78812026977539,1,1.3,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2015-05-05T23:37:42.000+08:00,2015-05-05T23:53:25.000+08:00,N,1,0,0,-73.9922103881836,40.72918701171875,-73.96039581298828,40.775630950927734,1,3.7,15.0,0.5,0.5,3.26,0.0,0.3,19.56,1
yellow,2,2015-05-05T23:37:42.000+08:00,2015-05-05T23:52:53.000+08:00,N,1,0,0,-73.98773956298828,40.74085998535156,-73.8731689453125,40.72309112548828,2,7.84,23.5,0.5,0.5,6.07,5.54,0.3,36.41,1
yellow,2,2015-05-05T23:37:42.000+08:00,2015-05-05T23:48:25.000+08:00,N,1,0,0,-73.98799896240234,40.743995666503906,-73.99852752685547,40.717002868652344,3,2.36,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2
yellow,2,2015-05-05T23:37:42.000+08:00,2015-05-05T23:41:37.000+08:00,N,1,0,0,-73.97103881835938,40.757938385009766,-73.98065185546875,40.74224853515625,1,1.35,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,1,2015-05-05T23:37:43.000+08:00,2015-05-05T23:42:23.000+08:00,N,1,0,0,-73.97806549072266,40.72515869140625,-73.97891998291016,40.713619232177734,1,1.3,6.0,0.5,0.5,1.45,0.0,0.3,8.75,1
yellow,1,2015-05-05T23:37:43.000+08:00,2015-05-05T23:49:51.000+08:00,N,1,0,0,-73.97650146484375,40.74988555908203,-74.00616455078125,40.70794677734375,2,4.7,15.5,0.5,0.5,3.36,0.0,0.3,20.16,1
yellow,1,2015-05-05T23:37:43.000+08:00,2015-05-05T23:50:24.000+08:00,N,1,0,0,-73.95781707763672,40.71780014038086,-73.9320068359375,40.70644760131836,1,2.2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2
yellow,1,2015-05-05T23:37:43.000+08:00,2015-05-05T23:45:51.000+08:00,N,1,0,0,-73.96894836425781,40.79884719848633,-73.98978424072266,40.77588653564453,2,2.2,9.0,0.5,0.5,1.0,0.0,0.3,11.3,1
