taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2015-09-01T00:05:55.000+08:00,2015-09-01T00:31:02.000+08:00,N,1,0,0,-73.79135131835938,40.646690368652344,-73.85743713378906,40.848262786865234,1,17.45,47.5,0.5,0.5,5.0,5.54,0.3,59.34,1
yellow,1,2015-09-01T00:05:56.000+08:00,2015-09-01T00:07:42.000+08:00,N,1,0,0,-73.97893524169922,40.75285339355469,-73.9860610961914,40.75539779663086,1,0.4,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2
yellow,1,2015-09-01T00:05:57.000+08:00,2015-09-01T00:16:48.000+08:00,N,1,0,0,-73.99089050292969,40.72397232055664,-74.00955963134766,40.72891616821289,1,1.5,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2
yellow,1,2015-09-01T00:05:57.000+08:00,2015-09-01T00:05:57.000+08:00,N,1,0,0,-73.93265533447266,40.803768157958984,0.0,0.0,1,0.0,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
yellow,1,2015-09-01T00:05:57.000+08:00,2015-09-01T00:30:32.000+08:00,N,1,0,0,-73.98777770996094,40.73819351196289,-73.94475555419922,40.82816696166992,1,7.5,23.5,0.5,0.5,4.95,0.0,0.3,29.75,1
yellow,2,2015-09-01T00:05:57.000+08:00,2015-09-01T00:12:41.000+08:00,N,1,0,0,-73.9902572631836,40.73728942871094,-73.99508666992188,40.744850158691406,3,1.61,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2
yellow,2,2015-09-01T00:05:57.000+08:00,2015-09-01T00:08:56.000+08:00,N,1,0,0,-73.94365692138672,40.820594787597656,-73.93763732910156,40.82869338989258,2,0.69,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
yellow,1,2015-09-01T00:05:58.000+08:00,2015-09-01T00:10:23.000+08:00,N,1,0,0,-74.00408935546875,40.751827239990234,-74.0038070678711,40.74201965332031,1,0.8,5.5,0.5,0.5,1.0,0.0,0.3,7.8,1
yellow,1,2015-09-01T00:05:58.000+08:00,2015-09-01T00:32:10.000+08:00,N,1,0,0,-73.98703002929688,40.7664909362793,-73.91083526611328,40.7711296081543,3,5.8,22.0,0.5,0.5,4.65,0.0,0.3,27.95,1
yellow,1,2015-09-01T00:05:58.000+08:00,2015-09-01T00:19:44.000+08:00,N,1,0,0,-73.99694061279297,40.72531509399414,-73.95201873779297,40.69283676147461,1,3.9,14.0,0.5,0.5,3.06,0.0,0.3,18.36,1
yellow,2,2015-09-01T00:05:58.000+08:00,2015-09-01T00:22:53.000+08:00,N,1,0,0,-73.9866943359375,40.73014831542969,-73.98115539550781,40.67548751831055,1,4.21,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2
yellow,1,2015-09-01T00:05:59.000+08:00,2015-09-01T00:22:06.000+08:00,N,1,0,0,-73.99407196044922,40.73230743408203,-73.98139190673828,40.76856231689453,3,3.7,15.0,0.5,0.5,0.0,0.0,0.3,16.3,2
yellow,2,2015-09-01T00:06:00.000+08:00,2015-09-01T00:08:50.000+08:00,N,1,0,0,-73.97113037109375,40.75532150268555,-73.96334075927734,40.76594161987305,1,0.84,4.5,0.5,0.5,1.2,0.0,0.3,7.0,1
yellow,2,2015-09-01T00:06:01.000+08:00,2015-09-01T00:15:00.000+08:00,N,1,0,0,-73.9862289428711,40.730552673339844,-74.00285339355469,40.73085021972656,1,1.21,7.5,0.5,0.5,1.76,0.0,0.3,10.56,1
yellow,1,2015-09-01T00:06:02.000+08:00,2015-09-01T00:10:57.000+08:00,N,1,0,0,-73.98223114013672,40.77463912963867,-73.9677734375,40.800540924072266,2,2.0,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2
yellow,1,2015-09-01T00:06:02.000+08:00,2015-09-01T00:15:50.000+08:00,N,1,0,0,-73.86343383789062,40.7690544128418,-73.92523956298828,40.75936508178711,1,4.3,14.5,0.5,0.5,2.0,0.0,0.3,17.8,1
yellow,2,2015-09-01T00:06:02.000+08:00,2015-09-01T00:23:10.000+08:00,N,1,0,0,-74.00825500488281,40.72288131713867,-73.98292541503906,40.78201675415039,1,5.14,17.5,0.5,0.5,1.8,0.0,0.3,20.6,1
yellow,2,2015-09-01T00:06:02.000+08:00,2015-09-01T00:15:15.000+08:00,N,1,0,0,-73.98204803466797,40.77817916870117,-73.96746826171875,40.75267028808594,1,2.44,10.0,0.5,0.5,0.7,0.0,0.3,12.0,1
yellow,2,2015-09-01T00:06:02.000+08:00,2015-09-01T00:51:55.000+08:00,N,1,0,0,-73.99427795410156,40.761531829833984,-73.96601104736328,40.63460159301758,1,11.15,38.5,0.5,0.5,7.96,0.0,0.3,47.76,1
yellow,2,2015-09-01T00:06:02.000+08:00,2015-09-01T00:11:48.000+08:00,N,1,0,0,-73.98101806640625,40.78226089477539,-73.96713256835938,40.79845428466797,1,1.47,7.0,0.5,0.5,0.7,0.0,0.3,9.0,1
yellow,1,2015-09-01T00:06:04.000+08:00,2015-09-01T00:19:32.000+08:00,N,1,0,0,-73.97525787353516,40.76431655883789,-73.93508911132812,40.79835891723633,1,3.8,13.0,0.5,0.5,2.85,0.0,0.3,17.15,1
yellow,2,2015-09-01T00:06:04.000+08:00,2015-09-01T00:37:54.000+08:00,N,1,0,0,-73.87464904785156,40.7741584777832,-73.99826049804688,40.73186111450195,1,11.58,35.0,0.5,0.5,8.37,5.54,0.3,50.21,1
yellow,1,2015-09-01T00:06:05.000+08:00,2015-09-01T00:16:18.000+08:00,N,1,0,0,-73.98746490478516,40.748626708984375,-73.98422241210938,40.767234802246094,1,1.9,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2
yellow,1,2015-09-01T00:06:05.000+08:00,2015-09-01T00:22:25.000+08:00,N,1,0,0,-73.98221588134766,40.765289306640625,-73.9189224243164,40.86732482910156,1,9.2,27.0,0.5,0.5,0.0,0.0,0.3,28.3,2
yellow,2,2015-09-01T00:06:05.000+08:00,2015-09-01T00:11:18.000+08:00,N,1,0,0,-73.99764251708984,40.7217903137207,-74.00444793701172,40.70724868774414,1,1.32,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1
yellow,2,2015-09-01T00:06:05.000+08:00,2015-09-01T00:13:30.000+08:00,N,1,0,0,-73.97818756103516,40.77308654785156,-73.97583770751953,40.7938346862793,5,1.92,8.5,0.5,0.5,1.0,0.0,0.3,10.8,1
yellow,2,2015-09-01T00:06:06.000+08:00,2015-09-01T00:15:54.000+08:00,N,1,0,0,-73.9725112915039,40.79399108886719,-73.98483276367188,40.78253936767578,1,1.25,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,2,2015-09-01T00:06:06.000+08:00,2015-09-01T00:21:46.000+08:00,N,1,0,0,-73.97271728515625,40.7535285949707,-73.99832153320312,40.68996810913086,1,7.54,22.5,0.5,0.5,0.0,0.0,0.3,23.8,2
yellow,2,2015-09-01T00:06:06.000+08:00,2015-09-01T00:23:47.000+08:00,N,1,0,0,-74.0099105834961,40.7122688293457,-73.99247741699219,40.76828384399414,1,4.45,16.5,0.5,0.5,0.0,0.0,0.3,17.8,1
yellow,1,2015-09-01T00:06:07.000+08:00,2015-09-01T00:07:49.000+08:00,N,1,0,0,-73.99517059326172,40.7421875,-73.99893951416016,40.739479064941406,1,0.3,3.5,0.5,0.5,7.2,0.0,0.3,12.0,1
yellow,1,2015-09-01T00:06:07.000+08:00,2015-09-01T00:11:26.000+08:00,N,1,0,0,-73.99757385253906,40.7208137512207,-73.99011993408203,40.73469924926758,1,1.0,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2015-09-01T00:06:07.000+08:00,2015-09-01T00:12:26.000+08:00,N,1,0,0,-73.99172973632812,40.75986862182617,-73.97845458984375,40.75182342529297,6,0.98,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2
yellow,2,2015-09-01T00:06:07.000+08:00,2015-09-01T00:19:44.000+08:00,N,1,0,0,-73.87444305419922,40.77410888671875,-73.92366790771484,40.74232864379883,2,4.94,16.5,0.5,0.5,5.34,0.0,0.3,23.14,1
yellow,1,2015-09-01T00:06:08.000+08:00,2015-09-01T00:16:09.000+08:00,N,1,0,0,-73.97893524169922,40.75334930419922,-73.97618103027344,40.728660583496094,1,2.5,10.0,0.5,0.5,2.8,0.0,0.3,14.1,1
yellow,2,2015-09-01T00:06:08.000+08:00,2015-09-01T00:12:01.000+08:00,N,1,0,0,0.0,0.0,0.0,0.0,1,1.28,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
