taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:00:00.000+08:00,N,1,0,0,-73.99037170410156,40.73469543457031,-73.98184204101562,40.73240661621094,2,1.1,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:00:00.000+08:00,N,1,0,0,-73.98078155517578,40.72991180419922,-73.94447326660156,40.716678619384766,5,4.9,18.0,0.5,0.5,0.0,0.0,0.3,19.3,1
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:00:00.000+08:00,N,1,0,0,-73.98455047607422,40.6795654296875,-73.95027160644531,40.78892517089844,1,10.54,33.0,0.5,0.5,0.0,0.0,0.3,34.3,1
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:00:00.000+08:00,N,1,0,0,-73.99346923828125,40.718990325927734,-73.96224212646484,40.65733337402344,1,4.75,16.5,0.0,0.5,0.0,0.0,0.3,17.3,2
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:00:00.000+08:00,N,1,0,0,-73.96062469482422,40.78133010864258,-73.97726440429688,40.758514404296875,3,1.76,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:18:30.000+08:00,N,1,0,0,-73.98011779785156,40.74304962158203,-73.91349029541016,40.76314163208008,2,5.52,19.0,0.5,0.5,0.0,0.0,0.3,20.3,2
yellow,2,2016-01-01T00:00:00.000+08:00,2016-01-01T00:26:45.000+08:00,N,1,0,0,-73.99405670166016,40.71998977661133,-73.96636199951172,40.78987121582031,2,7.45,26.0,0.5,0.5,0.0,0.0,0.3,27.3,2
yellow,1,2016-01-01T00:00:01.000+08:00,2016-01-01T00:11:55.000+08:00,N,1,0,0,-73.97942352294922,40.74461364746094,-73.99203491210938,40.753944396972656,1,1.2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2
yellow,1,2016-01-01T00:00:02.000+08:00,2016-01-01T00:11:14.000+08:00,N,1,0,0,-73.94715118408203,40.791046142578125,-73.92076873779297,40.865577697753906,1,6.0,18.0,0.5,0.5,0.0,0.0,0.3,19.3,2
yellow,2,2016-01-01T00:00:02.000+08:00,2016-01-01T00:11:08.000+08:00,N,1,0,0,-73.99834442138672,40.72389602661133,-73.995849609375,40.68840026855469,1,3.21,11.5,0.5,0.5,0.0,0.0,0.3,12.8,2
yellow,2,2016-01-01T00:00:03.000+08:00,2016-01-01T00:06:19.000+08:00,N,1,0,0,-74.00614929199219,40.74491882324219,-73.9937973022461,40.74143981933594,1,0.79,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2016-01-01T00:00:03.000+08:00,2016-01-01T00:15:49.000+08:00,N,1,0,0,-73.96932983398438,40.7635383605957,-73.99568939208984,40.7442512512207,6,2.43,12.0,0.5,0.5,3.99,0.0,0.3,17.29,1
yellow,2,2016-01-01T00:00:03.000+08:00,2016-01-01T00:00:11.000+08:00,N,1,0,0,-73.98902130126953,40.72153854370117,-73.98896026611328,40.72169876098633,4,0.01,2.5,0.5,0.5,0.0,0.0,0.3,3.8,2
