taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,1,2016-03-01T00:00:00.000+08:00,2016-03-01T00:07:55.000+08:00,N,1,0,0,-73.97674560546875,40.76515197753906,-74.00426483154297,40.74612808227539,1,2.5,9.0,0.5,0.5,2.05,0.0,0.3,12.35,1
yellow,1,2016-03-01T00:00:00.000+08:00,2016-03-01T00:11:06.000+08:00,N,1,0,0,-73.98348236083984,40.76792526245117,-74.00594329833984,40.7331657409668,1,2.9,11.0,0.5,0.5,3.05,0.0,0.3,15.35,1
yellow,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:31:06.000+08:00,N,1,0,0,-73.78202056884766,40.64480972290039,-73.97454071044922,40.6757698059082,2,19.98,54.5,0.5,0.5,8.0,0.0,0.3,63.8,1
yellow,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:00:00.000+08:00,N,1,0,0,-73.86341857910156,40.769813537597656,-73.96965026855469,40.75776672363281,3,10.78,31.5,0.0,0.5,3.78,5.54,0.3,41.62,1
yellow,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:00:00.000+08:00,N,3,0,0,-73.97174072265625,40.79218292236328,-74.17716979980469,40.69505310058594,5,30.43,98.0,0.0,0.0,0.0,15.5,0.3,113.8,1
yellow,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:00:00.000+08:00,N,1,0,0,-74.01719665527344,40.70538330078125,-73.97807312011719,40.75578689575195,5,5.92,23.5,1.0,0.5,5.06,0.0,0.3,30.36,1
yellow,2,2016-03-01T00:00:00.000+08:00,2016-03-01T00:00:00.000+08:00,N,1,0,0,-73.99458312988281,40.727848052978516,0.0,0.0,6,5.72,23.0,0.5,0.5,0.0,0.0,0.3,24.3,2
yellow,1,2016-03-01T00:00:01.000+08:00,2016-03-01T00:16:04.000+08:00,N,1,0,0,-73.78877258300781,40.64775848388672,-73.82920837402344,40.712345123291016,1,6.2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,3
yellow,1,2016-03-01T00:00:01.000+08:00,2016-03-01T00:05:00.000+08:00,N,1,0,0,-73.95822143554688,40.76464080810547,-73.9678955078125,40.762901306152344,1,0.7,5.5,0.5,0.5,2.0,0.0,0.3,8.8,1
yellow,2,2016-03-01T00:00:01.000+08:00,2016-03-01T00:24:06.000+08:00,N,1,0,0,-73.98577880859375,40.74119186401367,-73.94635009765625,40.79787826538086,3,7.18,23.5,0.5,0.5,3.2,0.0,0.3,28.0,1
yellow,2,2016-03-01T00:00:01.000+08:00,2016-03-01T00:02:03.000+08:00,N,1,0,0,-73.9884262084961,40.76416015625,-73.99239349365234,40.75822448730469,2,0.54,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
yellow,1,2016-03-01T00:00:02.000+08:00,2016-03-01T00:07:49.000+08:00,N,1,0,0,-73.96981811523438,40.797428131103516,-73.94377136230469,40.796199798583984,1,1.7,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,1,2016-03-01T00:00:02.000+08:00,2016-03-01T00:03:05.000+08:00,N,1,0,0,-73.95380401611328,40.78812789916992,-73.97154998779297,40.79523849487305,1,1.1,5.5,0.5,0.5,2.2,0.0,0.3,9.0,1
yellow,2,2016-03-01T00:00:02.000+08:00,2016-03-01T00:09:32.000+08:00,N,1,0,0,-73.97608947753906,40.75217056274414,-73.9874496459961,40.770782470703125,1,2.1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1
yellow,2,2016-03-01T00:00:02.000+08:00,2016-03-01T00:24:11.000+08:00,N,1,0,0,-74.00206756591797,40.719120025634766,-73.95211791992188,40.811241149902344,1,8.54,27.0,0.5,0.5,5.66,0.0,0.3,33.96,1
yellow,2,2016-03-01T00:00:02.000+08:00,2016-03-01T00:08:24.000+08:00,N,1,0,0,-74.00672912597656,40.730716705322266,-74.01704406738281,40.70936584472656,1,2.0,8.5,0.5,0.5,2.0,0.0,0.3,11.8,1
yellow,1,2016-03-01T00:00:03.000+08:00,2016-03-01T00:09:23.000+08:00,N,1,0,0,-74.0066146850586,40.71662139892578,-73.99010467529297,40.75605010986328,1,3.2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2
yellow,2,2016-03-01T00:00:03.000+08:00,2016-03-01T00:08:34.000+08:00,N,1,0,0,-73.98226928710938,40.7706184387207,-73.96874237060547,40.75503921508789,1,1.59,8.0,0.5,0.5,1.86,0.0,0.3,11.16,1
