taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,1,2016-07-10T06:56:05.000+08:00,2016-07-10T06:59:53.000+08:00,N,1,263,236,"","","","",1,0.5,4.5,1.0,0.5,2.7,0.0,0.3,9.0,1
yellow,2,2016-07-10T10:50:18.000+08:00,2016-07-10T10:55:21.000+08:00,N,1,142,163,"","","","",5,1.34,6.0,0.0,0.5,1.36,0.0,0.3,8.16,1
yellow,2,2016-07-10T10:50:18.000+08:00,2016-07-10T11:08:38.000+08:00,N,1,74,66,"","","","",1,9.48,27.0,0.0,0.5,0.0,0.0,0.3,27.8,1
yellow,1,2016-07-10T10:50:19.000+08:00,2016-07-10T10:55:14.000+08:00,N,1,264,264,"","","","",1,1.0,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2
yellow,1,2016-07-10T10:50:19.000+08:00,2016-07-10T10:55:47.000+08:00,N,1,48,68,"","","","",1,0.9,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2
yellow,1,2016-07-10T10:50:19.000+08:00,2016-07-10T10:55:38.000+08:00,N,1,161,142,"","","","",1,0.9,6.0,0.0,0.5,1.0,0.0,0.3,7.8,1
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T10:54:56.000+08:00,N,1,144,231,"","","","",6,1.07,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T11:08:54.000+08:00,N,1,226,261,"","","","",1,7.44,23.0,0.0,0.5,4.76,0.0,0.3,28.56,1
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T10:56:33.000+08:00,N,1,261,87,"","","","",2,0.87,6.0,0.0,0.5,1.0,0.0,0.3,7.8,1
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T11:02:27.000+08:00,N,1,263,164,"","","","",5,3.02,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1
yellow,2,2016-07-10T10:50:20.000+08:00,2016-07-10T11:08:35.000+08:00,N,1,236,186,"","","","",5,3.56,15.5,0.0,0.5,3.26,0.0,0.3,19.56,1
yellow,2,2016-07-10T10:50:20.000+08:00,2016-07-10T11:19:48.000+08:00,N,1,138,114,"","","","",1,13.13,38.5,0.0,0.5,0.0,5.54,0.3,44.84,2
