taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2016-11-01T00:00:00.000+08:00,2016-11-01T00:17:01.000+08:00,N,1,90,262,,,,,1,4.36,15.5,0.5,0.5,3.36,0.0,0.3,20.16,1
yellow,2,2016-11-01T00:00:00.000+08:00,2016-11-01T00:00:00.000+08:00,N,1,140,237,,,,,1,0.68,6.5,1.0,0.5,1.24,0.0,0.3,9.54,1
yellow,2,2016-11-01T00:00:00.000+08:00,2016-11-01T00:00:00.000+08:00,N,2,132,170,,,,,1,16.75,52.0,4.5,0.5,12.57,5.54,0.3,75.41,1
yellow,2,2016-11-01T00:00:00.000+08:00,2016-11-01T00:00:00.000+08:00,N,1,186,231,,,,,1,2.55,11.5,1.0,0.5,0.0,0.0,0.3,13.3,1
yellow,2,2016-11-01T00:00:00.000+08:00,2016-11-01T00:00:00.000+08:00,N,1,162,164,,,,,1,0.4,5.5,1.0,0.5,0.0,0.0,0.3,7.3,1
yellow,1,2016-11-01T00:00:01.000+08:00,2016-11-01T00:04:19.000+08:00,N,1,107,164,,,,,1,0.7,5.0,0.5,0.5,1.0,0.0,0.3,7.3,1
yellow,1,2016-11-01T00:00:01.000+08:00,2016-11-01T00:15:37.000+08:00,N,1,170,45,,,,,3,2.3,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2
yellow,2,2016-11-01T00:00:01.000+08:00,2016-11-01T00:07:52.000+08:00,N,1,163,186,,,,,1,1.15,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2
yellow,2,2016-11-01T00:00:01.000+08:00,2016-11-01T00:17:34.000+08:00,N,1,249,142,,,,,1,2.55,13.0,0.5,0.5,2.86,0.0,0.3,17.16,1
yellow,1,2016-11-01T00:00:02.000+08:00,2016-11-01T00:05:14.000+08:00,N,1,162,48,,,,,1,0.8,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2
yellow,2,2016-11-01T00:00:02.000+08:00,2016-11-01T00:05:34.000+08:00,N,1,68,68,,,,,5,1.27,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1
yellow,1,2016-11-01T00:00:03.000+08:00,2016-11-01T00:05:00.000+08:00,N,1,170,170,,,,,1,0.8,5.5,0.5,0.5,1.35,0.0,0.3,8.15,1
yellow,2,2016-11-01T00:00:03.000+08:00,2016-11-01T00:08:33.000+08:00,N,1,234,90,,,,,3,0.97,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2
yellow,2,2016-11-01T00:00:03.000+08:00,2016-11-01T00:07:14.000+08:00,N,1,163,43,,,,,1,1.97,8.5,0.5,0.5,1.5,0.0,0.3,11.3,1
yellow,2,2016-11-01T00:00:04.000+08:00,2016-11-01T00:26:12.000+08:00,N,1,48,217,,,,,2,6.89,24.5,0.5,0.5,0.0,0.0,0.3,25.8,2
yellow,2,2016-11-01T00:00:04.000+08:00,2016-11-01T00:23:11.000+08:00,N,1,230,129,,,,,1,7.95,25.0,0.5,0.5,7.89,0.0,0.3,34.19,1
yellow,2,2016-11-01T00:00:04.000+08:00,2016-11-01T00:07:01.000+08:00,N,1,100,230,,,,,1,0.81,6.0,0.5,0.5,1.82,0.0,0.3,9.12,1
yellow,1,2016-11-01T00:00:05.000+08:00,2016-11-01T00:24:06.000+08:00,N,1,62,216,,,,,1,7.8,24.5,0.5,0.5,0.0,0.0,0.3,25.8,2
yellow,1,2016-11-01T00:00:05.000+08:00,2016-11-01T00:05:41.000+08:00,N,1,48,238,,,,,1,1.7,7.5,0.5,0.5,1.75,0.0,0.3,10.55,1
yellow,2,2016-11-01T00:00:05.000+08:00,2016-11-01T00:01:04.000+08:00,N,5,264,177,,,,,1,0.0,37.8,0.0,0.0,0.0,0.0,0.3,38.1,2
yellow,1,2016-11-01T00:00:06.000+08:00,2016-11-01T00:07:36.000+08:00,N,1,79,234,,,,,2,0.8,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2
yellow,2,2016-11-01T00:00:06.000+08:00,2016-11-01T00:17:53.000+08:00,N,1,79,142,,,,,1,4.17,16.0,0.5,0.5,0.0,0.0,0.3,17.3,1
yellow,2,2016-11-01T00:00:07.000+08:00,2016-11-01T00:19:12.000+08:00,N,1,234,74,,,,,1,6.16,19.5,0.5,0.5,0.0,0.0,0.3,20.8,2
yellow,1,2016-11-01T00:00:08.000+08:00,2016-11-01T00:10:45.000+08:00,N,1,142,161,,,,,2,1.5,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2
yellow,2,2016-11-01T00:00:08.000+08:00,2016-11-01T00:24:47.000+08:00,N,1,148,170,,,,,3,3.45,17.5,0.5,0.5,3.76,0.0,0.3,22.56,1
yellow,2,2016-11-01T00:00:08.000+08:00,2016-11-01T00:22:34.000+08:00,N,1,114,230,,,,,1,3.41,16.5,0.5,0.5,3.56,0.0,0.3,21.36,1
yellow,2,2016-11-01T00:00:08.000+08:00,2016-11-01T00:14:12.000+08:00,N,1,263,48,,,,,1,3.99,13.5,0.5,0.5,0.0,0.0,0.3,14.8,2
yellow,2,2016-11-01T00:00:08.000+08:00,2016-11-01T00:16:51.000+08:00,N,1,186,7,,,,,2,4.87,16.5,0.5,0.5,4.45,0.0,0.3,22.25,1
yellow,2,2016-11-01T00:00:08.000+08:00,2016-11-01T00:17:56.000+08:00,N,1,162,95,,,,,1,8.35,24.5,0.5,0.5,0.0,0.0,0.3,25.8,1
yellow,2,2016-11-01T00:00:09.000+08:00,2016-11-01T00:22:48.000+08:00,N,2,132,233,,,,,1,15.64,52.0,0.0,0.5,11.67,5.54,0.3,70.01,1
yellow,1,2016-11-01T00:00:10.000+08:00,2016-11-01T00:02:01.000+08:00,N,1,68,158,,,,,1,0.2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2
yellow,1,2016-11-01T00:00:10.000+08:00,2016-11-01T00:10:44.000+08:00,N,1,249,68,,,,,1,0.8,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,1,2016-11-01T00:00:11.000+08:00,2016-11-01T00:14:12.000+08:00,N,1,249,48,,,,,1,2.7,12.0,0.5,0.5,16.7,0.0,0.3,30.0,1
yellow,1,2016-11-01T00:00:11.000+08:00,2016-11-01T00:09:53.000+08:00,N,1,68,48,,,,,2,1.1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,1
yellow,1,2016-11-01T00:00:11.000+08:00,2016-11-01T00:07:12.000+08:00,N,1,234,90,,,,,1,0.8,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,1,2016-11-01T00:00:11.000+08:00,2016-11-01T00:18:00.000+08:00,N,1,79,144,,,,,2,1.9,12.5,0.5,0.5,2.75,0.0,0.3,16.55,1
yellow,2,2016-11-01T00:00:11.000+08:00,2016-11-01T00:14:24.000+08:00,N,1,114,80,,,,,1,3.11,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2
yellow,1,2016-11-01T00:00:12.000+08:00,2016-11-01T00:17:07.000+08:00,N,1,249,164,,,,,1,2.5,12.5,0.5,0.5,2.75,0.0,0.3,16.55,1
yellow,1,2016-11-01T00:00:13.000+08:00,2016-11-01T00:08:57.000+08:00,N,1,142,163,,,,,1,1.0,7.5,0.5,0.5,1.75,0.0,0.3,10.55,1
yellow,1,2016-11-01T00:00:14.000+08:00,2016-11-01T00:11:24.000+08:00,N,1,100,79,,,,,1,2.2,10.0,0.5,0.5,1.0,0.0,0.3,12.3,1
yellow,2,2016-11-01T00:00:14.000+08:00,2016-11-01T00:21:43.000+08:00,N,1,158,17,,,,,1,7.08,23.5,0.5,0.5,0.0,0.0,0.3,24.8,2
yellow,2,2016-11-01T00:00:14.000+08:00,2016-11-01T00:19:33.000+08:00,N,1,68,231,,,,,1,2.12,13.5,0.5,0.5,1.0,0.0,0.3,15.8,1
yellow,2,2016-11-01T00:00:14.000+08:00,2016-11-01T00:09:47.000+08:00,N,1,263,230,,,,,2,2.65,10.0,0.5,0.5,2.26,0.0,0.3,13.56,1
yellow,1,2016-11-01T00:00:15.000+08:00,2016-11-01T00:12:25.000+08:00,N,1,224,148,,,,,2,1.4,9.5,0.5,0.5,1.05,0.0,0.3,11.85,1
yellow,1,2016-11-01T00:00:15.000+08:00,2016-11-01T00:02:37.000+08:00,N,1,75,141,,,,,1,1.1,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2
yellow,1,2016-11-01T00:00:15.000+08:00,2016-11-01T00:05:51.000+08:00,N,1,162,107,,,,,1,1.5,7.0,0.5,0.5,2.05,0.0,0.3,10.35,1
yellow,2,2016-11-01T00:00:15.000+08:00,2016-11-01T00:29:30.000+08:00,N,1,234,41,,,,,4,6.1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,1
yellow,2,2016-11-01T00:00:16.000+08:00,2016-11-01T00:12:08.000+08:00,N,1,79,141,,,,,1,3.93,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2
yellow,2,2016-11-01T00:00:16.000+08:00,2016-11-01T00:30:03.000+08:00,N,2,132,48,,,,,3,17.74,52.0,0.0,0.5,11.67,5.54,0.3,70.01,1
yellow,2,2016-11-01T00:00:16.000+08:00,2016-11-01T00:16:38.000+08:00,N,1,45,4,,,,,5,2.32,12.5,0.5,0.5,2.76,0.0,0.3,16.56,1
yellow,2,2016-11-01T00:00:16.000+08:00,2016-11-01T00:08:35.000+08:00,N,1,24,42,,,,,1,1.66,8.0,0.5,0.5,1.86,0.0,0.3,11.16,1
yellow,1,2016-11-01T00:00:17.000+08:00,2016-11-01T00:12:42.000+08:00,N,1,68,230,,,,,1,1.8,10.0,0.5,0.5,3.35,0.0,0.3,14.65,1
yellow,1,2016-11-01T00:00:17.000+08:00,2016-11-01T00:24:04.000+08:00,N,1,249,114,,,,,1,1.3,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2
