taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2016-12-31T15:15:01.000+08:00,2016-12-31T15:15:09.000+08:00,N,1,264,264,,,,,1,0.0,1.0,0.0,0.5,0.0,0.0,0.3,1.8,2
yellow,1,2016-12-01T00:00:01.000+08:00,2016-12-01T00:10:22.000+08:00,N,1,163,143,,,,,1,1.6,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2
yellow,1,2016-12-01T00:00:01.000+08:00,2016-12-01T00:11:01.000+08:00,N,1,164,229,,,,,1,1.4,9.0,0.5,0.5,2.05,0.0,0.3,12.35,1
yellow,2,2016-12-01T00:00:02.000+08:00,2016-12-01T00:09:17.000+08:00,N,1,246,107,,,,,6,1.69,8.5,0.5,0.5,2.45,0.0,0.3,12.25,1
yellow,2,2016-12-01T00:00:02.000+08:00,2016-12-01T00:15:20.000+08:00,N,1,161,162,,,,,1,1.88,10.5,0.5,0.5,2.95,0.0,0.3,14.75,1
yellow,2,2016-12-01T00:00:02.000+08:00,2016-12-01T00:04:29.000+08:00,N,1,164,186,,,,,1,0.6,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
yellow,1,2016-12-01T00:00:03.000+08:00,2016-12-01T00:06:37.000+08:00,N,1,226,157,,,,,1,2.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,2,2016-12-01T00:00:03.000+08:00,2016-12-01T00:06:21.000+08:00,N,1,148,79,,,,,1,0.77,5.5,0.5,0.5,1.36,0.0,0.3,8.16,1
yellow,2,2016-12-01T00:00:03.000+08:00,2016-12-01T00:05:16.000+08:00,N,1,114,68,,,,,1,1.11,6.0,0.5,0.5,1.0,0.0,0.3,8.3,1
yellow,2,2016-12-01T00:00:03.000+08:00,2016-12-01T00:06:13.000+08:00,N,1,229,140,,,,,1,1.06,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2016-12-01T00:00:03.000+08:00,2016-12-01T00:38:38.000+08:00,N,2,132,143,,,,,1,19.98,52.0,0.0,0.5,14.58,5.54,0.3,72.92,1
yellow,1,2016-12-01T00:00:04.000+08:00,2016-12-01T00:04:38.000+08:00,N,1,234,68,,,,,1,0.6,5.0,0.5,0.5,1.25,0.0,0.3,7.55,1
yellow,2,2016-12-01T00:00:04.000+08:00,2016-12-01T00:07:15.000+08:00,N,1,234,224,,,,,1,1.09,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1
yellow,2,2016-12-01T00:00:04.000+08:00,2016-12-01T00:03:28.000+08:00,N,1,230,186,,,,,1,0.45,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
yellow,1,2016-12-01T00:00:05.000+08:00,2016-12-01T00:26:35.000+08:00,N,1,113,36,,,,,1,7.0,24.5,0.5,0.5,5.15,0.0,0.3,30.95,1
yellow,1,2016-12-01T00:00:05.000+08:00,2016-12-01T00:05:31.000+08:00,N,1,231,13,,,,,1,1.0,6.0,0.5,0.5,1.8,0.0,0.3,9.1,1
yellow,1,2016-12-01T00:00:05.000+08:00,2016-12-01T00:17:43.000+08:00,N,1,246,161,,,,,1,2.0,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2
yellow,2,2016-12-01T00:00:05.000+08:00,2016-12-01T00:05:36.000+08:00,N,1,186,137,,,,,1,0.93,5.5,0.5,0.5,1.36,0.0,0.3,8.16,1
yellow,2,2016-12-01T00:00:06.000+08:00,2016-12-01T00:24:44.000+08:00,N,1,138,65,,,,,1,10.13,31.0,0.5,0.5,5.0,0.0,0.3,37.3,1
yellow,1,2016-12-01T00:00:07.000+08:00,2016-12-01T00:29:11.000+08:00,N,1,264,264,,,,,1,11.1,34.0,0.5,0.5,8.15,5.54,0.3,48.99,1
yellow,1,2016-12-01T00:00:07.000+08:00,2016-12-01T00:15:07.000+08:00,N,1,138,223,,,,,1,2.5,13.0,0.5,0.5,3.55,0.0,0.3,17.85,1
yellow,2,2016-12-01T00:00:07.000+08:00,2016-12-01T00:07:35.000+08:00,N,1,68,238,,,,,1,2.68,9.5,0.5,0.5,2.7,0.0,0.3,13.5,1
