taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,1,2017-04-01T00:00:00.000+08:00,2017-04-01T00:15:07.000+08:00,N,1,158,113,"","","","",1,1.8,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2
yellow,1,2017-04-01T00:00:00.000+08:00,2017-04-01T00:16:23.000+08:00,N,1,87,158,"","","","",3,3.7,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2
yellow,2,2017-04-01T00:00:00.000+08:00,2017-04-01T10:20:01.000+08:00,N,1,264,193,"","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:37:05.000+08:00,N,1,230,4,"","","","",2,3.3,23.5,0.5,0.5,4.95,0.0,0.3,29.75,1
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:02:56.000+08:00,N,1,142,143,"","","","",1,0.7,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:07:28.000+08:00,N,1,170,263,"","","","",1,2.2,8.5,0.5,0.5,2.45,0.0,0.3,12.25,1
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:08:30.000+08:00,N,1,100,48,"","","","",1,0.7,7.0,0.5,0.5,1.65,0.0,0.3,9.95,1
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:02:40.000+08:00,N,1,166,166,"","","","",1,0.4,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
yellow,2,2017-04-01T00:00:01.000+08:00,2017-04-01T00:10:20.000+08:00,N,1,113,68,"","","","",1,1.23,8.0,0.5,0.5,1.0,0.0,0.3,10.3,1
yellow,2,2017-04-05T07:52:23.000+08:00,2017-04-05T07:55:02.000+08:00,N,1,68,68,"","","","",1,0.55,4.0,0.0,0.5,0.0,0.0,0.3,4.8,1
yellow,2,2017-04-26T15:45:22.000+08:00,2017-04-26T16:10:00.000+08:00,N,1,88,246,"","","","",6,3.72,18.5,1.0,0.5,3.04,0.0,0.3,25.29,1
